time_seconds,a1_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,f1_c_retransmissions_ul_count,f1_c_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_packet_loss_dl_percentage,f1_u_packet_loss_ul_percentage,f1_u_retransmissions_dl_count,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,e2_du_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,f1_c_latency_mean_ul_ms,f1_c_latency_mean_dl_ms,f1_c_latency_p90_ul_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,f1_u_latency_mean_dl_ms,f1_u_latency_p90_dl_ms,f1_c_latency_p90_dl_ms,a1_latency_mean_dl_ms,a1_latency_p90_dl_ms,e2_du_throughput_dl_kbps,a1_retransmissions_ul_count,e2_du_throughput_ul_kbps,a1_retransmissions_dl_count,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,f1_u_throughput_ul_kbps,a1_throughput_dl_kbps,a1_throughput_ul_kbps,a1_packet_loss_dl_percentage,a1_latency_mean_ul_ms,a1_latency_p90_ul_ms,f1_u_throughput_dl_kbps,F-node
56,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0075113655316947,0.0100135803222656,0.009775161743164,0.009775161743164,0.0,0.0,0.0,0.0126361846923828,0.0126361846923828,0.0038662820832805,0.0045299530029296,0.0,0.0106573104858398,0.0242948532104492,0.496,0.0,1.424,0.0,0.0,0.0,118.448,8.264,7.736,0.0,0.006413459777832,0.0088453292846679,16853.352,0
57,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0071112472232025,0.0095367431640625,0.0131130218505859,0.0131130218505859,0.0,0.0,0.0,0.0200271606445312,0.0200271606445312,0.0054836273193359,0.0054836273193359,0.0,0.0,0.0,0.496,0.0,1.424,0.0,0.0,0.0,118.448,0.0,0.0,0.0,0.0,0.0,1.192,0
58,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0059924908538362,0.0078678131103515,0.0116825103759765,0.0116825103759765,0.0,0.0,0.0,0.0104904174804687,0.0104904174804687,0.0088214874267578,0.0088214874267578,0.0,0.0,0.0,0.496,0.0,1.424,0.0,0.0,0.0,113.256,0.0,0.0,0.0,0.0,0.0,1.192,0
59,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0061571598052978,0.0081062316894531,0.006723403930664,0.005960464477539,0.0,0.0,0.0,0.0091791152954101,0.0104188919067382,0.0,0.0,0.0,0.0,0.0,1.344,0.0,2.208,0.0,0.0,0.0,112.0,0.0,0.0,0.0,0.0,0.0,0.0,0
60,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0060856342315673,0.0078916549682617,0.005960464477539,0.005960464477539,0.0,0.0,0.0,0.0069141387939453,0.0069141387939453,0.0,0.0,0.0,0.0102996826171875,0.0194072723388671,0.496,0.0,1.36,0.0,0.0,0.0,112.0,3.744,4.232,0.0,0.0062465667724609,0.0089168548583984,0.0,0
61,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0062739849090576,0.0083446502685546,0.0073909759521484,0.0073909759521484,0.0,0.0,0.0,0.0090599060058593,0.0090599060058593,0.0,0.0,0.0,0.0100612640380859,0.0187397003173828,0.496,0.0,1.36,0.0,0.0,0.0,112.0,3.744,4.232,0.0,0.0064849853515625,0.0087738037109375,0.0,0
62,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0062802942787728,0.0084877014160156,0.0078678131103515,0.0078678131103515,0.0,0.0,0.0,0.0088214874267578,0.0088214874267578,0.0046205520629882,0.0059843063354492,0.0,0.0099897384643554,0.0235795974731445,0.496,0.0,1.424,0.0,0.0,0.0,132.36,8.264,7.736,0.0,0.0060796737670898,0.0083684921264648,369.872,0
63,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0061668566803434,0.0083446502685546,0.0081062316894531,0.0081062316894531,0.0,0.0,0.0,0.0100135803222656,0.0100135803222656,0.004334883256392,0.0052452087402343,0.0,0.0,0.0,0.496,0.0,1.424,0.0,0.0,0.0,113.256,0.0,0.0,0.0,0.0,0.0,67.672,0
64,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.005888108590349,0.0081062316894531,0.0066757202148437,0.0066757202148437,0.0,0.0,0.0,0.0064373016357421,0.0064373016357421,0.0042915344238281,0.0042915344238281,0.0,0.0,0.0,0.496,0.0,1.392,0.0,0.0,0.0,113.256,0.0,0.0,0.0,0.0,0.0,1.192,0
65,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0060446819855799,0.0081062316894531,0.0073909759521484,0.0073909759521484,0.0,0.0,0.0,0.0073909759521484,0.0073909759521484,0.0064373016357421,0.0064373016357421,0.0,0.0,0.0,0.496,0.0,1.36,0.0,0.0,0.0,113.256,0.0,0.0,0.0,0.0,0.0,1.192,0
66,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0059783458709716,0.0081300735473632,0.0078678131103515,0.0078678131103515,0.0,0.0,0.0,0.0085830688476562,0.0085830688476562,0.0,0.0,0.0,0.011301040649414,0.0216484069824218,0.496,0.0,1.36,0.0,0.0,0.0,112.0,3.744,4.232,0.0,0.0060558319091796,0.0077247619628906,0.0,0
67,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0060164928436279,0.0081062316894531,0.0081062316894531,0.0081062316894531,0.0,0.0,0.0,0.0126361846923828,0.0126361846923828,0.0,0.0,0.0,0.0121116638183593,0.0232219696044921,0.496,0.0,1.36,0.0,0.0,0.0,112.0,3.744,4.232,0.0,0.0089168548583984,0.01220703125,0.0,0
