time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,f1_c_retransmissions_dl_count,f1_c_retransmissions_ul_count,f1_u_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_packet_loss_dl_percentage,f1_u_packet_loss_ul_percentage,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,e2_du_latency_p90_ul_ms,f1_c_latency_mean_ul_ms,f1_c_latency_p90_ul_ms,a1_latency_mean_ul_ms,f1_u_latency_mean_dl_ms,e2_du_latency_mean_dl_ms,f1_u_latency_p90_dl_ms,e2_du_latency_p90_dl_ms,a1_latency_p90_ul_ms,a1_latency_mean_dl_ms,a1_latency_p90_dl_ms,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,a1_throughput_ul_kbps,a1_throughput_dl_kbps,f1_c_latency_mean_dl_ms,f1_c_latency_p90_dl_ms,f1_u_throughput_ul_kbps,f1_u_throughput_dl_kbps,F-node
21,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060319900512695,0.0085830688476562,0.0078678131103515,0.0078678131103515,0.0,0.0,0.0061511993408203,0.0,0.0102519989013671,0.0,0.0102519989013671,0.0088691711425781,0.0111897786458333,0.0272750854492187,0.496,1.36,0.0,0.0,11.968,12.008,0.0,0.0,112.0,0.0,0
22,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060802668481323,0.0081062316894531,0.0073909759521484,0.0073909759521484,0.0,0.0,0.0064373016357421,0.0073909759521484,0.0085830688476562,0.0073909759521484,0.0085830688476562,0.0087261199951171,0.0104904174804687,0.0194549560546875,0.496,1.36,0.0,0.0,4.232,3.744,0.0,0.0,115.864,3.576,0
23,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062683253612333,0.0084638595581054,0.0071525573730468,0.0071525573730468,0.0,0.0,0.0061273574829101,0.0063351222446986,0.0107288360595703,0.0080585479736328,0.0107288360595703,0.0084161758422851,0.01068115234375,0.025177001953125,0.496,1.36,0.0,0.0,7.736,8.264,0.0,0.0,135.28,34.392,0
24,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061194101969401,0.0083446502685546,0.009775161743164,0.009775161743164,0.0,0.0,0.0,0.0047683715820312,0.0112056732177734,0.0047683715820312,0.0112056732177734,0.0,0.0,0.0,0.496,1.424,0.0,0.0,0.0,0.0,0.0,0.0,113.256,1.192,0
25,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061205963590251,0.0081062316894531,0.0092983245849609,0.0092983245849609,0.0,0.0,0.0058650970458984,0.0061988830566406,0.00762939453125,0.0061988830566406,0.00762939453125,0.0074386596679687,0.0104904174804687,0.0195026397705078,0.496,1.424,0.0,0.0,4.232,3.744,0.0,0.0,113.256,1.192,0
26,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062261647845975,0.0083446502685546,0.0092983245849609,0.0092983245849609,0.0,0.0,0.0058412551879882,0.0073909759521484,0.0138282775878906,0.0073909759521484,0.0138282775878906,0.0063657760620117,0.0107685724894205,0.0195503234863281,0.496,1.36,0.0,0.0,3.704,4.272,0.0,0.0,113.256,1.192,0
27,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061419472765566,0.0083446502685546,0.0058412551879882,0.0066995620727539,0.0,0.0,0.0064055124918619,0.0064373016357421,0.0122785568237304,0.0064373016357421,0.014662742614746,0.0087261199951171,0.0108242034912109,0.025796890258789,1.344,2.208,0.0,0.0,11.968,12.008,0.0,0.0,117.192,10.696,0
28,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061419472765566,0.0083446502685546,0.0066757202148437,0.0066757202148437,0.0,0.0,0.0062942504882812,0.0064373016357421,0.0100135803222656,0.0064373016357421,0.0100135803222656,0.0080108642578125,0.0113964080810546,0.0212669372558593,0.496,1.424,0.0,0.0,4.232,3.744,0.0,0.0,117.192,10.696,0
29,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061419472765566,0.0083446502685546,0.0107288360595703,0.0107288360595703,0.0,0.0,0.007033348083496,0.0064373016357421,0.0083446502685546,0.0064373016357421,0.0083446502685546,0.0087499618530273,0.010538101196289,0.0249862670898437,0.496,1.36,0.0,0.0,7.736,8.264,0.0,0.0,117.192,10.696,0
30,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060657853061713,0.0082254409790039,0.0078678131103515,0.0078678131103515,0.0,0.0,0.0,0.0039986201695033,0.0121593475341796,0.0042915344238281,0.0121593475341796,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,0.0,0.0,143.152,407.0,0
