time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,f1_c_retransmissions_dl_count,f1_c_retransmissions_ul_count,f1_u_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_packet_loss_dl_percentage,f1_u_packet_loss_ul_percentage,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,f1_u_latency_mean_dl_ms,f1_u_latency_p90_dl_ms,e2_du_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,a1_latency_mean_ul_ms,f1_c_latency_mean_dl_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,f1_c_latency_p90_dl_ms,a1_latency_p90_ul_ms,a1_latency_mean_dl_ms,f1_c_latency_mean_ul_ms,f1_c_latency_p90_ul_ms,a1_latency_p90_dl_ms,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_throughput_ul_kbps,f1_c_throughput_dl_kbps,f1_u_throughput_ul_kbps,a1_throughput_dl_kbps,a1_throughput_ul_kbps,f1_u_throughput_dl_kbps,F-node
77,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060510635375976,0.0078678131103515,0.0,0.0,0.0081062316894531,0.0081062316894531,0.0,0.0,0.0073909759521484,0.0073909759521484,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,112.0,0.0,0.0,0.0,0
78,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062382221221923,0.0085830688476562,0.0,0.0,0.0071525573730468,0.0071525573730468,0.0061988830566406,0.0,0.0107288360595703,0.0107288360595703,0.0,0.00762939453125,0.0109195709228515,0.0,0.0,0.0209808349609375,0.496,1.36,0.0,0.0,112.0,3.744,4.232,0.0,0
79,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062346458435058,0.0083446502685546,0.0,0.0,0.0085830688476562,0.0085830688476562,0.0064373016357421,0.0,0.009775161743164,0.009775161743164,0.0,0.0089883804321289,0.0113725662231445,0.0,0.0,0.028395652770996,0.496,1.36,0.0,0.0,112.0,7.488,8.464,0.0,0
80,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060197725817931,0.0078678131103515,0.0092983245849609,0.0092983245849609,0.0083446502685546,0.0083446502685546,0.007025400797526,0.0,0.0073909759521484,0.0073909759521484,0.0,0.009012222290039,0.0112215677897135,0.0,0.0,0.0279426574707031,0.496,1.36,0.0,0.0,113.256,12.008,11.968,1.192,0
81,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060525270971921,0.0081062316894531,0.0045299530029296,0.005507469177246,0.00762939453125,0.00762939453125,0.0063657760620117,0.0,0.0121593475341796,0.0121593475341796,0.0,0.007939338684082,0.0108242034912109,0.0,0.0,0.0257253646850585,0.496,1.36,0.0,0.0,118.448,8.264,7.736,29.856,0
82,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062460946564627,0.0083446502685546,0.007033348083496,0.0071287155151367,0.011444091796875,0.011444091796875,0.0,0.0,0.0090599060058593,0.0090599060058593,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.424,0.0,0.0,115.84,0.0,0.0,3.488,0
83,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0063256519596751,0.0088214874267578,0.0041173852008322,0.0050067901611328,0.0057220458984375,0.0057220458984375,0.0,0.0,0.013589859008789,0.013589859008789,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.424,0.0,0.0,137.96,0.0,0.0,1264.76,0
84,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0072139324528155,0.0099897384643554,0.0038795611437629,0.0045299530029296,0.00762939453125,0.00762939453125,0.0063419342041015,0.0,0.0138282775878906,0.0138282775878906,0.0,0.008392333984375,0.0114917755126953,0.0,0.0,0.0220775604248046,0.496,1.424,0.0,0.0,122.384,3.744,4.232,13466.992,0
85,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005960464477539,0.0081062316894531,0.0,0.0,0.0081062316894531,0.0081062316894531,0.0058650970458984,0.0,0.0112056732177734,0.0112056732177734,0.0,0.007486343383789,0.011444091796875,0.0,0.0,0.0218391418457031,0.496,1.424,0.0,0.0,112.0,3.744,4.232,0.0,0
86,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059700012207031,0.0078678131103515,0.0,0.0,0.00762939453125,0.00762939453125,0.0064055124918619,0.0,0.0145435333251953,0.0145435333251953,0.0,0.0093460083007812,0.0107924143473307,0.0,0.0,0.0274181365966796,0.496,1.36,0.0,0.0,112.0,12.008,11.968,0.0,0
