time_seconds,a1_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,f1_c_retransmissions_ul_count,f1_c_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_packet_loss_dl_percentage,f1_u_packet_loss_ul_percentage,f1_u_retransmissions_dl_count,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,e2_du_latency_p90_ul_ms,f1_c_latency_mean_ul_ms,f1_u_latency_mean_dl_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,f1_c_latency_p90_ul_ms,f1_u_latency_p90_dl_ms,a1_latency_mean_ul_ms,f1_c_latency_mean_dl_ms,f1_c_latency_p90_dl_ms,a1_latency_p90_ul_ms,a1_latency_mean_dl_ms,a1_latency_p90_dl_ms,e2_du_throughput_dl_kbps,a1_retransmissions_ul_count,e2_du_throughput_ul_kbps,a1_retransmissions_dl_count,f1_c_throughput_ul_kbps,f1_c_throughput_dl_kbps,f1_u_throughput_ul_kbps,a1_throughput_dl_kbps,a1_throughput_ul_kbps,a1_packet_loss_dl_percentage,f1_u_throughput_dl_kbps,F-node
21,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.006031634202644,0.0078678131103515,0.0069141387939453,0.0069141387939453,0.0083446502685546,0.00762939453125,0.0081062316894531,0.0081062316894531,0.0083446502685546,0.00762939453125,0.0,0.0088214874267578,0.0088214874267578,0.0,0.0,0.0,0.496,0.0,1.36,0.0,0.848,0.848,113.256,0.0,0.0,0.0,1.192,0
22,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0060790806860473,0.0085830688476562,0.0071525573730468,0.0071525573730468,0.0,0.0057220458984375,0.0112056732177734,0.0112056732177734,0.0,0.0057220458984375,0.0,0.0,0.0,0.0,0.0,0.0,0.496,0.0,1.36,0.0,0.0,0.0,113.256,0.0,0.0,0.0,1.192,0
23,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0059106456699656,0.0078678131103515,0.0069141387939453,0.0069141387939453,0.0,0.0054836273193359,0.0088214874267578,0.0088214874267578,0.0,0.0054836273193359,0.0,0.0,0.0,0.0,0.0,0.0,0.496,0.0,1.36,0.0,0.0,0.0,113.256,0.0,0.0,0.0,1.192,0
24,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0060224533081054,0.0083446502685546,0.0083446502685546,0.0083446502685546,0.0,0.0,0.0090599060058593,0.0090599060058593,0.0,0.0,0.0069618225097656,0.0,0.0,0.0086784362792968,0.0104427337646484,0.0194549560546875,0.496,0.0,1.36,0.0,0.0,0.0,112.0,3.744,4.232,0.0,0.0,0
25,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0060081481933593,0.0081062316894531,0.0081062316894531,0.0081062316894531,0.0,0.0,0.0069141387939453,0.0069141387939453,0.0,0.0,0.006103515625,0.0,0.0,0.00762939453125,0.0098228454589843,0.0180244445800781,0.496,0.0,1.36,0.0,0.0,0.0,112.0,3.744,4.232,0.0,0.0,0
26,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0062937760234472,0.0088214874267578,0.0071525573730468,0.0071525573730468,0.0,0.0058809916178385,0.0092983245849609,0.0092983245849609,0.0,0.0083446502685546,0.0062942504882812,0.0,0.0,0.0081777572631835,0.0101566314697265,0.0228643417358398,0.496,0.0,1.36,0.0,0.0,0.0,117.192,8.264,7.736,0.0,31.512,0
27,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0060721871933499,0.0083446502685546,0.0066757202148437,0.0066757202148437,0.0,0.0042413410387541,0.00762939453125,0.00762939453125,0.0,0.005960464477539,0.0,0.0,0.0,0.0,0.0,0.0,0.496,0.0,1.424,0.0,0.0,0.0,141.232,0.0,0.0,0.0,424.768,0
28,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.006247515702129,0.0083446502685546,0.0067949295043945,0.0078439712524414,0.0,0.004132588704427,0.0104904174804687,0.0112533569335937,0.0,0.005197525024414,0.0,0.0,0.0,0.0,0.0,0.0,1.344,0.0,2.272,0.0,0.0,0.0,117.888,0.0,0.0,0.0,153.896,0
29,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0061194101969401,0.0081062316894531,0.0066757202148437,0.0066757202148437,0.0,0.0054836273193359,0.0073909759521484,0.0073909759521484,0.0,0.0054836273193359,0.0,0.0,0.0,0.0,0.0,0.0,0.496,0.0,1.424,0.0,0.0,0.0,113.256,0.0,0.0,0.0,1.192,0
30,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0070726930214266,0.0095367431640625,0.0119209289550781,0.0119209289550781,0.0,0.0039558602458347,0.0162124633789062,0.0162124633789062,0.0,0.0047683715820312,0.005960464477539,0.0,0.0,0.0077724456787109,0.0101089477539062,0.0185966491699218,0.496,0.0,1.424,0.0,0.0,0.0,123.64,3.744,4.232,0.0,16129.232,0
31,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0061762332916259,0.0081300735473632,0.0078678131103515,0.0078678131103515,0.0,0.0039681521329012,0.0085830688476562,0.0085830688476562,0.0,0.0047683715820312,0.006723403930664,0.0,0.0,0.0089168548583984,0.0102519989013671,0.0186443328857421,0.496,0.0,1.424,0.0,0.0,0.0,112.0,3.744,4.232,0.0,3007.488,0
32,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0060200691223144,0.0081062316894531,0.0073909759521484,0.0073909759521484,0.0,0.0,0.0066757202148437,0.0066757202148437,0.0,0.0,0.0066995620727539,0.0,0.0,0.0086069107055664,0.0106096267700195,0.0220537185668945,0.496,0.0,1.36,0.0,0.0,0.0,112.0,8.264,7.736,0.0,0.0,0
