time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,f1_c_retransmissions_dl_count,f1_c_retransmissions_ul_count,f1_u_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_packet_loss_ul_percentage,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,e2_du_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,a1_latency_mean_ul_ms,a1_latency_p90_ul_ms,f1_c_latency_mean_ul_ms,f1_c_latency_mean_dl_ms,f1_c_latency_p90_ul_ms,f1_c_latency_p90_dl_ms,a1_latency_mean_dl_ms,a1_latency_p90_dl_ms,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,f1_u_packet_loss_dl_percentage,f1_u_throughput_ul_kbps,a1_throughput_dl_kbps,a1_throughput_ul_kbps,f1_u_latency_mean_dl_ms,f1_u_latency_p90_dl_ms,f1_u_throughput_dl_kbps,F-node
60,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059592783154539,0.0078678131103515,0.0088214874267578,0.0088214874267578,0.0100135803222656,0.0100135803222656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,113.256,0.0,0.0,0.0042915344238281,0.0042915344238281,1.192,0
61,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059509751808584,0.0081062316894531,0.0102519989013671,0.0102519989013671,0.0119209289550781,0.0119209289550781,0.0063896179199218,0.0078678131103515,0.0,0.0,0.0,0.0,0.0118255615234375,0.0225543975830078,0.496,1.36,0.0,0.0,0.0,113.256,3.744,4.232,0.0054836273193359,0.0054836273193359,1.192,0
62,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060057640075683,0.0078678131103515,0.0061988830566406,0.0061988830566406,0.0119209289550781,0.0119209289550781,0.0061988830566406,0.0086545944213867,0.0,0.0,0.0,0.0,0.0108242034912109,0.0279188156127929,0.496,1.36,0.0,0.0,0.0,112.0,7.488,8.464,0.0,0.0,0.0,0
63,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059294700622558,0.0078678131103515,0.011444091796875,0.011444091796875,0.0102519989013671,0.0102519989013671,0.0060558319091796,0.0080108642578125,0.0,0.0,0.0,0.0,0.0107765197753906,0.0279426574707031,0.496,1.36,0.0,0.0,0.0,112.0,12.008,11.968,0.0,0.0,0.0,0
64,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0058996677398681,0.0078678131103515,0.00762939453125,0.00762939453125,0.0092983245849609,0.0092983245849609,0.0063419342041015,0.0084161758422851,0.0,0.0,0.0,0.0,0.0105142593383789,0.0262975692749023,0.496,1.36,0.0,0.0,0.0,112.0,8.264,7.736,0.0,0.0,0.0,0
65,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060112169473478,0.0080823898315429,0.0104904174804687,0.0104904174804687,0.0092983245849609,0.0092983245849609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.424,0.0,0.0,0.0,118.672,0.0,0.0,0.008702278137207,0.0087976455688476,6.096,0
66,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060403288291592,0.0078678131103515,0.0088214874267578,0.0088214874267578,0.005960464477539,0.005960464477539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,119.16,0.0,0.0,0.0057220458984375,0.0063896179199218,6.52,0
67,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061941384083002,0.0083446502685546,0.0095367431640625,0.0095367431640625,0.0147819519042968,0.0147819519042968,0.0054836273193359,0.0071048736572265,0.0,0.0,0.0,0.0,0.0098228454589843,0.0184535980224609,0.496,1.424,0.0,0.0,0.0,113.256,3.744,4.232,0.0057220458984375,0.0057220458984375,1.192,0
68,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061490642490671,0.0081062316894531,0.0090599060058593,0.0090599060058593,0.0073909759521484,0.0073909759521484,0.0060319900512695,0.0078916549682617,0.0,0.0,0.0,0.0,0.010991096496582,0.0288724899291992,0.496,1.36,0.0,0.0,0.0,113.256,7.488,8.464,0.00762939453125,0.00762939453125,1.192,0
69,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059747695922851,0.0081062316894531,0.0073909759521484,0.0073909759521484,0.0104904174804687,0.0104904174804687,0.0061511993408203,0.0078678131103515,0.0,0.0,0.0,0.0,0.010538101196289,0.0255107879638671,0.496,1.36,0.0,0.0,0.0,112.0,12.008,11.968,0.0,0.0,0.0,0
