time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_ul_percentage,f1_u_retransmissions_ul_count,f1_u_packet_loss_dl_percentage,f1_u_packet_loss_ul_percentage,f1_u_retransmissions_dl_count,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,f1_u_latency_mean_dl_ms,f1_u_latency_p90_dl_ms,a1_latency_mean_ul_ms,e2_du_latency_mean_ul_ms,e2_du_latency_p90_ul_ms,a1_latency_p90_ul_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,a1_latency_mean_dl_ms,a1_latency_p90_dl_ms,f1_c_retransmissions_dl_count,f1_c_retransmissions_ul_count,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_throughput_ul_kbps,f1_c_throughput_dl_kbps,a1_throughput_dl_kbps,a1_throughput_ul_kbps,f1_u_throughput_ul_kbps,f1_c_packet_loss_dl_percentage,f1_c_latency_mean_ul_ms,f1_c_latency_p90_ul_ms,f1_u_throughput_dl_kbps,f1_c_latency_mean_dl_ms,f1_c_latency_p90_dl_ms,F-node
20,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0074271644864763,0.0097513198852539,0.0046610832214355,0.005960464477539,0.0061750411987304,0.0,0.0,0.0086307525634765,0.0,0.0,0.010848045349121,0.0264883041381835,0.0,0.0,0.0,0.0,0.0,0.0,8.264,7.736,117.12,0.0,0.0,0.0,71.48,0.0,0.0,0
21,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0074271644864763,0.0097513198852539,0.0046610832214355,0.005960464477539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117.12,0.0,0.0,0.0,71.48,0.0,0.0,0
22,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0074271644864763,0.0097513198852539,0.0046610832214355,0.005960464477539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117.12,0.0,0.0,0.0,71.48,0.0,0.0,0
23,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0074271644864763,0.0097513198852539,0.0046610832214355,0.005960464477539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117.12,0.0,0.0,0.0,71.48,0.0,0.0,0
24,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0074271644864763,0.0097513198852539,0.0046610832214355,0.005960464477539,0.0060081481933593,0.0,0.0,0.0076770782470703,0.0,0.0,0.0115394592285156,0.0220775604248046,0.0,0.0,0.0,0.0,0.0,0.0,3.744,4.232,117.12,0.0,0.0,0.0,71.48,0.0,0.0,0
25,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0074271644864763,0.0097513198852539,0.0046610832214355,0.005960464477539,0.0053644180297851,0.0,0.0,0.005960464477539,0.0,0.0,0.012516975402832,0.025177001953125,0.0,0.0,0.0,0.0,0.0,0.0,3.216,3.704,117.12,0.0,0.0,0.0,71.48,0.0,0.0,0
26,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0074271644864763,0.0097513198852539,0.0046610832214355,0.005960464477539,0.0088214874267578,0.0,0.0,0.0088214874267578,0.0,0.0,0.0085830688476562,0.0085830688476562,0.0,0.0,0.0,0.0,0.0,0.0,0.528,0.528,117.12,0.0,0.0,0.0,71.48,0.0,0.0,0
27,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0074271644864763,0.0097513198852539,0.0046610832214355,0.005960464477539,0.006270408630371,0.0,0.0,0.007796287536621,0.0,0.0,0.0114679336547851,0.0283241271972656,0.0,0.0,0.0,0.0,0.0,0.0,8.264,7.736,117.12,0.0,0.0,0.0,71.48,0.0,0.0,0
28,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0074271644864763,0.0097513198852539,0.0046610832214355,0.005960464477539,0.0,0.0138282775878906,0.0153541564941406,0.0,0.0140666961669921,0.0161647796630859,0.0,0.0,0.0,0.0,1.696,1.696,0.0,0.0,0.0,0.0,117.12,0.0,0.0,0.0,71.48,0.0,0.0,0
29,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0074271644864763,0.0097513198852539,0.0046610832214355,0.005960464477539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117.12,0.0,0.0,0.0,71.48,0.0,0.0,0
