time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_u_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_packet_loss_dl_percentage,f1_u_packet_loss_ul_percentage,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,e2_du_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,f1_u_latency_mean_dl_ms,f1_u_latency_p90_dl_ms,a1_latency_mean_ul_ms,a1_latency_p90_ul_ms,a1_latency_mean_dl_ms,a1_latency_p90_dl_ms,f1_c_retransmissions_ul_count,f1_c_retransmissions_dl_count,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_throughput_ul_kbps,f1_c_throughput_dl_kbps,a1_throughput_dl_kbps,a1_throughput_ul_kbps,f1_u_throughput_ul_kbps,f1_c_packet_loss_ul_percentage,f1_c_packet_loss_dl_percentage,f1_c_latency_mean_ul_ms,f1_c_latency_p90_ul_ms,f1_u_throughput_dl_kbps,f1_c_latency_mean_dl_ms,f1_c_latency_p90_dl_ms,F-node
113,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.006377106845969,0.0085830688476562,0.0100135803222656,0.0100135803222656,0.0109672546386718,0.0109672546386718,0.0042798089199378,0.005197525024414,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,118.448,0.0,0.0,0.0,0.0,1701.736,0.0,0.0,1
114,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0061516714568185,0.0083446502685546,0.0081062316894531,0.0081062316894531,0.0066757202148437,0.0066757202148437,0.0044504801432291,0.0054836273193359,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,118.448,0.0,0.0,0.0,0.0,514.224,0.0,0.0,1
115,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0063334361161335,0.008559226989746,0.0140666961669921,0.0140666961669921,0.00762939453125,0.00762939453125,0.0041351471868319,0.0050067901611328,0.0060081481933593,0.0078201293945312,0.0107288360595703,0.020456314086914,0.0,0.0,0.496,1.36,0.848,0.0,3.744,4.232,118.448,0.0,100.0,0.009775161743164,0.009775161743164,5046.216,0.0,0.0,1
116,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0062261647845975,0.0085830688476562,0.0073909759521484,0.0073909759521484,0.0152587890625,0.0152587890625,0.0045696894327799,0.0058412551879882,0.0056743621826171,0.0072479248046875,0.0104904174804687,0.0201225280761718,0.0,0.0,0.496,1.36,0.0,0.0,3.744,4.232,117.192,0.0,100.0,0.0,0.0,661.072,0.0,0.0,1
117,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0059652091258793,0.0083446502685546,0.0081062316894531,0.0081062316894531,0.0083446502685546,0.0083446502685546,0.0061988830566406,0.0061988830566406,0.005960464477539,0.0081777572631835,0.0101566314697265,0.0229597091674804,0.0,0.0,0.496,1.36,0.0,0.0,8.264,7.736,114.264,0.0,100.0,0.0,0.0,1.976,0.0,0.0,1
118,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.006133644141961,0.0081062316894531,0.00762939453125,0.00762939453125,0.0121593475341796,0.0121593475341796,0.0046849250793457,0.0072002410888671,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,117.192,0.0,100.0,0.0,0.0,174.608,0.0,0.0,1
119,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.005887746810913,0.0081062316894531,0.0071525573730468,0.0071525573730468,0.0090599060058593,0.0090599060058593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,112.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1
120,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0059886518957579,0.0080585479736328,0.0057220458984375,0.0057220458984375,0.0061988830566406,0.0061988830566406,0.0046466259246176,0.005960464477539,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,123.64,0.0,100.0,0.0,0.0,425.992,0.0,0.0,1
121,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0060340065268141,0.0081062316894531,0.0065565109252929,0.0060796737670898,0.0079870223999023,0.0082731246948242,0.0064373016357421,0.0064373016357421,0.0059127807617187,0.0072002410888671,0.0107288360595703,0.0198841094970703,0.0,0.0,1.344,2.208,0.0,0.0,3.744,4.232,113.256,0.0,100.0,0.0,0.0,1.192,0.0,0.0,1
122,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0060802668481323,0.0081062316894531,0.0069141387939453,0.0069141387939453,0.0081062316894531,0.0081062316894531,0.0069141387939453,0.0069141387939453,0.0065326690673828,0.0085830688476562,0.0100135803222656,0.018310546875,0.0,0.0,0.496,1.36,0.0,0.0,3.744,4.232,113.256,0.0,100.0,0.0,0.0,1.192,0.0,0.0,1
