time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_ul_percentage,f1_u_retransmissions_ul_count,f1_u_packet_loss_dl_percentage,f1_u_packet_loss_ul_percentage,f1_u_retransmissions_dl_count,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,e2_du_latency_p90_ul_ms,f1_u_latency_mean_dl_ms,f1_u_latency_p90_dl_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,a1_latency_mean_ul_ms,a1_latency_p90_ul_ms,a1_latency_mean_dl_ms,a1_latency_p90_dl_ms,f1_c_retransmissions_dl_count,f1_c_retransmissions_ul_count,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,a1_throughput_dl_kbps,a1_throughput_ul_kbps,f1_u_throughput_ul_kbps,f1_c_packet_loss_dl_percentage,f1_c_latency_mean_ul_ms,f1_u_throughput_dl_kbps,f1_c_latency_p90_ul_ms,f1_c_latency_p90_dl_ms,f1_c_latency_mean_dl_ms,F-node
107,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0062071450866094,0.0081062316894531,0.0066757202148437,0.0066757202148437,0.0049565967760587,0.0056743621826171,0.0138282775878906,0.0138282775878906,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,115.84,0.0,0.0,46.664,0.0,0.0,0.0,0
108,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0063240528106689,0.0085830688476562,0.0107288360595703,0.0107288360595703,0.005172646563986,0.0068187713623046,0.0104904174804687,0.0104904174804687,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,113.832,0.0,0.0,53.864,0.0,0.0,0.0,0
109,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0063898551523388,0.0085830688476562,0.0088214874267578,0.0088214874267578,0.0055338207044099,0.0061988830566406,0.013589859008789,0.013589859008789,0.0063896179199218,0.0083446502685546,0.012826919555664,0.0255584716796875,0.0,0.0,0.496,1.36,0.0,0.0,3.744,4.232,114.712,0.0,0.0,44.296,0.0,0.0,0.0,1
110,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0061822767874494,0.0081062316894531,0.0069141387939453,0.0069141387939453,0.0051657358805338,0.0061273574829101,0.0100135803222656,0.0100135803222656,0.0065803527832031,0.0085353851318359,0.0109195709228515,0.0201702117919921,0.0,0.0,0.496,1.36,0.0,0.0,3.744,4.232,114.968,0.0,0.0,31.072,0.0,0.0,0.0,1
111,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0063068238063831,0.0088214874267578,0.0081062316894531,0.0081062316894531,0.0052213668823242,0.0057697296142578,0.0104904174804687,0.0104904174804687,0.0065565109252929,0.0086069107055664,0.0105142593383789,0.023961067199707,0.0,0.0,0.496,1.36,0.0,0.0,8.264,7.736,114.648,0.0,0.0,45.984,0.0,0.0,0.0,1
112,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0059864308574412,0.0083446502685546,0.0057220458984375,0.0057220458984375,0.0053019750685918,0.0061988830566406,0.0095367431640625,0.0095367431640625,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,115.904,0.0,0.0,44.952,0.0,0.0,0.0,1
113,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0062838639363203,0.0083446502685546,0.00762939453125,0.00762939453125,0.0051164627075195,0.0066995620727539,0.00762939453125,0.00762939453125,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,115.6,100.0,0.0,219.648,0.0,0.0,0.0,1
114,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0060773131870987,0.008559226989746,0.0073909759521484,0.0073909759521484,0.0050583401241817,0.0057220458984375,0.0150203704833984,0.0150203704833984,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.848,0.0,0.0,115.6,100.0,0.0066757202148437,75.704,0.0066757202148437,0.0,0.0,1
115,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0062143031637466,0.0085830688476562,0.0066757202148437,0.0066757202148437,0.0048205256462097,0.0054836273193359,0.0128746032714843,0.0128746032714843,0.0060081481933593,0.0077247619628906,0.0113964080810546,0.0212669372558593,0.0,0.0,0.496,1.36,0.0,0.0,3.744,4.232,114.424,100.0,0.0,66.832,0.0,0.0,0.0,1
116,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0061751598149389,0.0081062316894531,0.005960464477539,0.005960464477539,0.0050680977957589,0.0060081481933593,0.0064373016357421,0.0064373016357421,0.0062465667724609,0.0082015991210937,0.0121593475341796,0.0221729278564453,0.0,0.0,0.496,1.36,0.0,0.0,3.744,4.232,114.344,100.0,0.0,72.728,0.0,0.0,0.0,1
