time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_ul_percentage,f1_u_retransmissions_ul_count,f1_u_packet_loss_dl_percentage,f1_u_packet_loss_ul_percentage,f1_u_retransmissions_dl_count,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,e2_du_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,f1_u_latency_mean_dl_ms,f1_u_latency_p90_dl_ms,a1_latency_mean_ul_ms,a1_latency_p90_ul_ms,a1_latency_mean_dl_ms,a1_latency_p90_dl_ms,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_retransmissions_dl_count,f1_c_retransmissions_ul_count,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,f1_u_throughput_ul_kbps,a1_throughput_dl_kbps,a1_throughput_ul_kbps,f1_c_packet_loss_dl_percentage,f1_c_latency_mean_ul_ms,f1_c_latency_mean_dl_ms,f1_c_latency_p90_ul_ms,f1_u_throughput_dl_kbps,f1_c_latency_p90_dl_ms,F-node
31,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0061558514106564,0.0083446502685546,0.00762939453125,0.00762939453125,0.0107288360595703,0.0107288360595703,0.00457903918098,0.0059127807617187,0.005960464477539,0.0077247619628906,0.0107288360595703,0.020599365234375,0.496,1.36,0.0,0.0,0.0,0.0,126.344,3.744,4.232,0.0,0.0,0.0,0.0,261.664,0.0,0
32,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0061810906253643,0.0083446502685546,0.009775161743164,0.009775161743164,0.0138282775878906,0.0138282775878906,0.0046094258626302,0.0058889389038085,0.0060558319091796,0.008392333984375,0.0112533569335937,0.0244855880737304,0.496,1.36,0.0,0.0,0.0,0.0,117.192,8.264,7.736,0.0,0.0,0.0,0.0,173.872,0.0,0
33,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0060517989580904,0.0083446502685546,0.0071525573730468,0.0071525573730468,0.0131130218505859,0.0131130218505859,0.0045108795166015,0.0063896179199218,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,114.36,0.0,0.0,0.0,0.0,0.0,0.0,226.616,0.0,0
34,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0059854984283447,0.0078916549682617,0.005960464477539,0.005960464477539,0.0073909759521484,0.0073909759521484,0.0053133283342633,0.0065803527832031,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,112.0,0.0,0.0,0.0,0.0,0.0,0.0,45.384,0.0,0
35,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.006084394927072,0.0083208084106445,0.0064373016357421,0.0064373016357421,0.0147819519042968,0.0147819519042968,0.0056425730387369,0.0075817108154296,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,118.448,0.0,0.0,0.0,0.0,0.0,0.0,20.184,0.0,0
36,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0063938460326547,0.0085830688476562,0.0078678131103515,0.0078678131103515,0.0081062316894531,0.0081062316894531,0.0049903475005051,0.0062942504882812,0.0057697296142578,0.0071525573730468,0.0102996826171875,0.0189781188964843,0.496,1.36,0.0,0.0,0.0,0.0,121.0,3.744,4.232,0.0,0.0,0.0,0.0,128.264,0.0,0
37,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0063275346661558,0.0083446502685546,0.0057220458984375,0.0057220458984375,0.0121593475341796,0.0121593475341796,0.0048109463282993,0.0053882598876953,0.0068187713623046,0.0092506408691406,0.0108242034912109,0.01983642578125,0.496,1.36,0.0,0.0,0.0,0.0,115.984,3.744,4.232,0.0,0.0,0.0,0.0,95.008,0.0,0
38,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0062202339741721,0.0085830688476562,0.0064373016357421,0.0064373016357421,0.0090599060058593,0.0090599060058593,0.004887580871582,0.0057220458984375,0.0061273574829101,0.0088453292846679,0.0104427337646484,0.0247478485107421,0.496,1.36,0.0,0.0,0.0,0.0,116.84,8.264,7.736,0.0,0.0,0.0,0.0,106.272,0.0,0
39,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0062297232708527,0.0085830688476562,0.0081062316894531,0.0081062316894531,0.0107288360595703,0.0107288360595703,0.004887580871582,0.0057220458984375,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,114.728,0.0,0.0,0.0,0.0,0.0,0.0,87.536,0.0,0
40,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0062309094329378,0.0081062316894531,0.0078678131103515,0.0078678131103515,0.0083446502685546,0.0083446502685546,0.0051212310791015,0.0058650970458984,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,114.856,0.0,0.0,0.0,0.0,0.0,0.0,65.608,0.0,0
