time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,f1_c_retransmissions_dl_count,f1_c_retransmissions_ul_count,f1_u_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_packet_loss_ul_percentage,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,e2_du_latency_p90_ul_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,a1_latency_mean_ul_ms,f1_c_latency_mean_dl_ms,f1_c_latency_mean_ul_ms,f1_c_latency_p90_dl_ms,f1_c_latency_p90_ul_ms,a1_latency_p90_ul_ms,a1_latency_mean_dl_ms,a1_latency_p90_dl_ms,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_throughput_dl_kbps,f1_u_packet_loss_dl_percentage,f1_c_throughput_ul_kbps,a1_throughput_ul_kbps,a1_throughput_dl_kbps,f1_u_throughput_ul_kbps,f1_u_latency_mean_dl_ms,f1_u_latency_p90_dl_ms,f1_u_throughput_dl_kbps,F-node
104,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0064171368802957,0.0088214874267578,0.0085830688476562,0.0085830688476562,0.0078678131103515,0.0078678131103515,0.0060115541730608,0.0,0.0,0.0,0.0,0.0079631805419921,0.0103265047073364,0.0263452529907226,0.496,1.424,0.0,0.0,0.0,11.44,12.536,113.256,226.00913047790527,226.00913047790527,1.192,1
105,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061304262368985,0.0083208084106445,0.0071525573730468,0.0071525573730468,0.0131130218505859,0.0131130218505859,0.0057220458984375,0.0,0.0,0.0,0.0,0.0073909759521484,0.0114917755126953,0.0210285186767578,0.496,1.36,0.0,0.0,0.0,4.232,3.744,122.384,226.13759774428144,226.34520530700684,674.344,1
106,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060606002807617,0.0083446502685546,0.0078678131103515,0.0078678131103515,0.0090599060058593,0.0090599060058593,0.0058412551879882,0.0,0.0,0.0,0.0,0.0064611434936523,0.0100930531819661,0.017404556274414,0.496,1.424,0.0,0.0,0.0,2.976,5.048,112.0,0.0,0.0,0.0,1
107,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061822767874494,0.0085830688476562,0.0064373016357421,0.0064373016357421,0.0078678131103515,0.0078678131103515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,0.0,117.192,226.16014088669868,226.42505168914795,78.424,1
108,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061894407366762,0.0083446502685546,0.0066757202148437,0.0066757202148437,0.0047683715820312,0.0047683715820312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,0.0,122.384,0.0,0.0,1550.952,1
109,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061360164661312,0.0081062316894531,0.0126361846923828,0.0126361846923828,0.0081062316894531,0.0081062316894531,0.0064849853515625,0.0,0.0,0.0,0.0,0.0080585479736328,0.0102996826171875,0.019073486328125,0.496,1.424,0.0,0.0,0.0,4.232,3.744,113.256,226.01008415222168,226.01008415222168,0.0,1
110,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062368402433632,0.0083446502685546,0.0081062316894531,0.0081062316894531,0.0078678131103515,0.0078678131103515,0.0053644180297851,0.0,0.0,0.0,0.0,0.0060319900512695,0.0098148981730143,0.0219106674194336,0.496,1.36,0.0,0.0,0.0,7.408,8.544,113.256,226.0119915008545,226.0119915008545,1.192,1
111,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062119308395765,0.0085830688476562,0.0083446502685546,0.0083446502685546,0.0071525573730468,0.0071525573730468,0.0063101450602213,0.0,0.0,0.0,0.0,0.008249282836914,0.0104745229085286,0.026559829711914,0.496,1.36,0.0,0.0,0.0,11.968,12.008,113.256,226.00626945495603,226.00626945495603,1.192,1
112,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062036514282226,0.0085830688476562,0.0073909759521484,0.0073909759521484,0.0107288360595703,0.0107288360595703,0.0058889389038085,0.0,0.0,0.0,0.0,0.0077247619628906,0.0105857849121093,0.0260114669799804,0.496,1.36,0.0,0.0,0.0,7.736,8.264,112.0,0.0,0.0,1.192,1
113,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060641765594482,0.0081062316894531,0.0069141387939453,0.0069141387939453,0.0088214874267578,0.0088214874267578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,0.0,112.0,0.0,0.0,0.0,1
114,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060672190651964,0.0081062316894531,0.0061988830566406,0.0061988830566406,0.0085830688476562,0.0085830688476562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,0.0,115.496,226.00960731506348,226.00960731506348,3.208,1
