time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,f1_c_retransmissions_dl_count,f1_c_retransmissions_ul_count,f1_u_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_packet_loss_dl_percentage,f1_u_packet_loss_ul_percentage,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,f1_c_latency_mean_dl_ms,f1_c_latency_mean_ul_ms,f1_c_latency_p90_ul_ms,f1_c_latency_p90_dl_ms,f1_u_latency_mean_dl_ms,f1_u_latency_p90_dl_ms,a1_latency_mean_ul_ms,a1_latency_p90_ul_ms,e2_du_latency_mean_dl_ms,e2_du_latency_mean_ul_ms,e2_du_latency_p90_dl_ms,e2_du_latency_p90_ul_ms,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,a1_throughput_dl_kbps,a1_throughput_ul_kbps,f1_u_throughput_ul_kbps,a1_latency_p90_dl_ms,a1_latency_mean_dl_ms,f1_u_throughput_dl_kbps,F-node
60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0067290975086724,0.0085830688476562,0.0094771385192871,0.0067353248596191,0.0081062316894531,0.0175952911376953,0.0054286076472355,0.0075340270996093,0.005960464477539,0.0081777572631835,0.0045299530029296,0.0104904174804687,0.0045299530029296,0.0104904174804687,0.848,0.848,5.6,5.76,14.52,15.544,115.088,0.0242948532104492,0.0107288360595703,28.808,0
61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0067350283190978,0.0088214874267578,0.0060796737670898,0.0072121620178222,0.0091552734375,0.0067949295043945,0.0049273173014322,0.0050067901611328,0.0058280097113715,0.006866455078125,0.0,0.0,0.0,0.0,0.0,0.0,5.6,5.76,8.792,7.208,117.888,0.0302791595458984,0.0112706964666193,9.56,0
62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0064538256956799,0.008559226989746,0.0061988830566406,0.0077486038208007,0.0092267990112304,0.0071525573730468,0.0053346157073974,0.006103515625,0.0055789947509765,0.005960464477539,0.0,0.0,0.0,0.0,0.0,0.0,5.104,5.76,3.744,4.232,116.864,0.0256061553955078,0.0131130218505859,17.264,0
63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0069224834442138,0.0088214874267578,0.0072717666625976,0.0058412551879882,0.0072956085205078,0.0120162963867187,0.0052452087402343,0.0052452087402343,0.0062942504882812,0.0080108642578125,0.0,0.0,0.0,0.0,0.0,0.0,5.6,5.76,3.744,4.232,112.0,0.0257015228271484,0.012826919555664,2.488,0
64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0068397805242255,0.0085830688476562,0.0071525573730468,0.0075101852416992,0.008559226989746,0.00762939453125,0.0050749097551618,0.0056743621826171,0.0059869554307725,0.0081062316894531,0.0,0.0,0.0,0.0,0.0,0.0,4.752,4.48,8.792,7.208,118.992,0.0293254852294921,0.0113790685480291,25.4,0
65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0067889690399169,0.0085830688476562,0.0051856040954589,0.0078082084655761,0.0093698501586914,0.0059843063354492,0.0048478444417317,0.0054597854614257,0.0058650970458984,0.0073909759521484,0.0,0.0,0.0,0.0,0.0,0.0,5.6,5.76,3.744,4.232,115.32,0.0213623046875,0.0109195709228515,43.104,0
66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0064194202423095,0.0085830688476562,0.0081062316894531,0.0078678131103515,0.0086307525634765,0.0113487243652343,0.0053644180297851,0.0058174133300781,0.0062942504882812,0.0081539154052734,0.0,0.0,0.0,0.0,0.0,0.0,1.344,1.28,3.744,4.232,112.0,0.0236034393310546,0.0119209289550781,13.216,0
67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0067379674300771,0.0083446502685546,0.005960464477539,0.0075101852416992,0.0085353851318359,0.0077724456787109,0.0060081481933593,0.0075101852416992,0.0065803527832031,0.0087738037109375,0.0,0.0,0.0,0.0,0.0,0.0,5.6,5.76,8.264,7.736,121.016,0.0297069549560546,0.0118494033813476,41.328,0
68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0067338421570127,0.0083446502685546,0.0063776969909667,0.007331371307373,0.0085115432739257,0.0074148178100585,0.0055537504308363,0.0070095062255859,0.0065803527832031,0.0086784362792968,0.0,0.0,0.0,0.0,0.0,0.0,5.6,5.76,3.744,4.232,117.888,0.0232696533203125,0.0125885009765625,65.576,0
69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.006809756530458,0.0088214874267578,0.0061392784118652,0.0064969062805175,0.0081062316894531,0.0072717666625976,0.0051856040954589,0.0055789947509765,0.0057697296142578,0.0072956085205078,0.0,0.0,0.0,0.0,0.0,0.0,5.6,5.76,3.744,4.232,113.256,0.0208854675292968,0.0108718872070312,11.584,0
70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0062298774719238,0.0085830688476562,0.0060200691223144,0.0080466270446777,0.0093460083007812,0.0073432922363281,0.0057220458984375,0.0057220458984375,0.0061511993408203,0.0084161758422851,0.0,0.0,0.0,0.0,0.0,0.0,5.6,5.76,8.264,7.736,115.32,0.0295639038085937,0.0117778778076171,3.592,0
71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0067765439920757,0.0088214874267578,0.0057220458984375,0.0067353248596191,0.0081777572631835,0.0068187713623046,0.005960464477539,0.0081062316894531,0.0063419342041015,0.0079631805419921,0.0,0.0,0.0,0.0,0.0,0.0,5.104,5.76,3.744,4.232,115.496,0.0241756439208984,0.0123500823974609,16.424,0
72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0066273283250261,0.0083446502685546,0.007331371307373,0.0073909759521484,0.008392333984375,0.0100135803222656,0.0073909759521484,0.0089645385742187,0.0058174133300781,0.0073909759521484,0.0,0.0,0.0,0.0,0.0,0.0,5.6,5.76,3.744,4.232,119.376,0.021219253540039,0.0112533569335937,9.624,0
73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0068429690688403,0.0090599060058593,0.0082651774088541,0.0064373016357421,0.0068187713623046,0.0102996826171875,0.0063578287760416,0.0072956085205078,0.0061988830566406,0.0081300735473632,0.0,0.0,0.0,0.0,0.0,0.0,4.752,4.48,8.264,7.736,115.88,0.0265359878540039,0.0111341476440429,10.392,0
74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0068020820617675,0.0090837478637695,0.005960464477539,0.007331371307373,0.0088214874267578,0.0071048736572265,0.006103515625,0.0078201293945312,0.005960464477539,0.007486343383789,0.0,0.0,0.0,0.0,0.0,0.0,5.6,5.76,3.744,4.232,112.696,0.0241279602050781,0.0127315521240234,20.808,1
75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0068704680641098,0.0092983245849609,0.0065962473551432,0.0057220458984375,0.0061988830566406,0.0085830688476562,0.0058650970458984,0.0068187713623046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.624,4.592,0.0,0.0,116.752,868.0384159088135,868.0384159088135,14.792,1
76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0069497236564977,0.0090599060058593,0.0054836273193359,0.0070730845133463,0.00762939453125,0.0064849853515625,0.0054836273193359,0.0054836273193359,0.0119209289550781,0.0119209289550781,0.0,0.0,0.0,0.0,0.0,0.0,2.32,2.448,0.592,0.592,113.256,868.0229663848877,868.0222034454346,1.192,1
77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0066471099853515,0.0083684921264648,0.0065565109252929,0.0066161155700683,0.0079631805419921,0.0090360641479492,0.0,0.0,0.0098943710327148,0.013279914855957,0.0,0.0,0.0,0.0,0.0,0.0,5.6,5.76,3.152,3.64,112.0,868.0375099182129,868.0241107940674,0.0,1
78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.006795516742274,0.0088214874267578,0.0067949295043945,0.0073909759521484,0.0084877014160156,0.008559226989746,0.0054041544596354,0.0060081481933593,0.0122785568237304,0.0129461288452148,0.0,0.0,0.0,0.0,0.0,0.0,5.6,5.76,1.184,1.184,123.256,868.0408000946045,868.0276393890381,10.392,1
79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0068259239196777,0.0090599060058593,0.0063578287760416,0.0064373016357421,0.0069141387939453,0.0080108642578125,0.0,0.0,0.0083843866984049,0.0116825103759765,0.0,0.0,0.0,0.0,0.0,0.0,5.104,5.76,4.192,6.224,112.0,868.0253505706787,868.0175304412842,0.0,1
80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0068545341491699,0.0086069107055664,0.0068545341491699,0.0069737434387207,0.0086545944213867,0.0082254409790039,0.0,0.0,0.0161329905192057,0.0178813934326171,0.0,0.0,0.0,0.0,0.0,0.0,5.6,5.76,2.704,1.648,112.0,868.0355072021484,868.0254618326823,0.0,1
81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0065935069117052,0.0085830688476562,0.0081062316894531,0.0067949295043945,0.0082254409790039,0.0091552734375,0.0057697296142578,0.0072956085205078,0.0093664441789899,0.0132560729980468,0.0,0.0,0.0,0.0,0.0,0.0,4.752,4.48,5.56,6.088,126.12,868.0206537246704,868.016759554545,30.448,1
82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0062000692187257,0.0081062316894531,0.0067353248596191,0.0082850456237792,0.0116586685180664,0.0103473663330078,0.0047683715820312,0.0047683715820312,0.0170469284057617,0.0171422958374023,0.0,0.0,0.0,0.0,0.0,0.0,5.6,5.76,2.112,1.056,113.256,868.0369853973389,868.0369853973389,1.192,1
83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0064112060698703,0.0083446502685546,0.0069141387939453,0.0069141387939453,0.0082969665527343,0.0096321105957031,0.0066757202148437,0.0087738037109375,0.0104904174804687,0.0104904174804687,0.0,0.0,0.0,0.0,0.0,0.0,4.624,4.592,0.592,0.592,116.192,868.0169820785522,868.0151700973511,10.816,1
84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0065958499908447,0.0090837478637695,0.0055631001790364,0.0068346659342447,0.0079631805419921,0.0064849853515625,0.0,0.0,0.00762939453125,0.0115871429443359,0.0,0.0,0.0,0.0,0.0,0.0,2.32,2.448,2.096,3.112,112.0,868.0313110351562,868.0193424224854,0.0,1
85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0062215328216552,0.0083684921264648,0.0077486038208007,0.0069737434387207,0.007486343383789,0.01220703125,0.0,0.0,0.0127553939819335,0.0149488449096679,0.0,0.0,0.0,0.0,0.0,0.0,5.6,5.76,1.648,1.12,112.0,868.0476188659668,868.0321375528971,0.0,1
86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0064635276794433,0.0088214874267578,0.0075101852416992,0.0063776969909667,0.0068426132202148,0.0098943710327148,0.0,0.0,0.0082850456237792,0.0108957290649414,0.0,0.0,0.0,0.0,0.0,0.0,5.6,5.76,3.464,2.976,112.0,868.0208683013916,868.0145144462585,0.0,1
87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.006338357925415,0.0085830688476562,0.0056028366088867,0.0072121620178222,0.0082254409790039,0.006723403930664,0.0,0.0,0.00840425491333,0.0121355056762695,0.0,0.0,0.0,0.0,0.0,0.0,5.6,5.76,3.152,3.64,112.0,868.0204391479492,868.016242980957,0.0,1
88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0063180923461914,0.0083446502685546,0.0075101852416992,0.0063776969909667,0.0076532363891601,0.0111579895019531,0.0060399373372395,0.0065803527832031,0.0157356262207031,0.0157356262207031,0.0,0.0,0.0,0.0,0.0,0.0,5.6,5.76,1.056,0.528,116.752,868.0408000946045,868.0408000946045,7.608,1
89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0066236384863992,0.0089406967163085,0.0062783559163411,0.0072717666625976,0.0089406967163085,0.0077724456787109,0.0047867114727313,0.0054359436035156,0.0095367431640625,0.0095367431640625,0.0,0.0,0.0,0.0,0.0,0.0,5.104,5.76,0.592,0.592,133.584,868.0238246917725,868.0226802825928,43.976,1
90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0066602230072021,0.0088214874267578,0.0060200691223144,0.0074704488118489,0.0082969665527343,0.007176399230957,0.0042915344238281,0.0042915344238281,0.0115633010864257,0.0156402587890625,0.0112056732177734,0.0050067901611328,0.0112056732177734,0.0050067901611328,0.848,0.848,5.6,4.976,3.152,3.64,112.696,868.0362224578857,868.0252234141032,1.192,1
91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0068220761742922,0.0092983245849609,0.0063578287760416,0.0060399373372395,0.0064849853515625,0.0070095062255859,0.0049816934685958,0.0057220458984374,0.0120401382446289,0.0123262405395507,0.0069141387939453,0.0195503234863281,0.0069141387939453,0.0195503234863281,0.848,0.848,4.752,5.264,1.184,1.184,118.992,868.0378437042236,868.0217742919922,62.872,1
92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0069746330602845,0.0085830688476562,0.00762939453125,0.0063180923461914,0.0076770782470703,0.0113487243652343,0.0050586202870244,0.0065803527832031,0.0077088673909505,0.0109672546386718,0.0,0.0,0.0,0.0,0.0,0.0,4.624,5.76,4.192,6.224,115.496,868.0266857147217,868.0169105529785,86.248,1
93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0064015388488769,0.0081062316894531,0.0075499216715494,0.0061988830566406,0.0061988830566406,0.0096321105957031,0.0054836273193359,0.0062465667724609,0.0120004018147786,0.0139236450195312,0.0,0.0,0.0,0.0,0.0,0.0,2.32,1.28,2.704,1.648,116.632,868.0360794067383,868.0245081583658,12.56,1
