time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,f1_c_retransmissions_dl_count,f1_c_retransmissions_ul_count,f1_u_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_packet_loss_ul_percentage,f1_u_latency_p90_ul_ms,f1_u_latency_mean_ul_ms,e2_du_latency_mean_ul_ms,e2_du_latency_p90_ul_ms,f1_c_latency_mean_ul_ms,f1_c_latency_p90_ul_ms,f1_c_latency_mean_dl_ms,f1_c_latency_p90_dl_ms,a1_latency_mean_ul_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,a1_latency_p90_ul_ms,a1_latency_mean_dl_ms,a1_latency_p90_dl_ms,f1_u_latency_mean_dl_ms,f1_u_latency_p90_dl_ms,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,f1_u_throughput_ul_kbps,a1_throughput_dl_kbps,a1_throughput_ul_kbps,f1_u_packet_loss_dl_percentage,f1_u_throughput_dl_kbps,F-node
65,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0081062316894531,0.0061372026282163,0.0092983245849609,0.0092983245849609,0.0,0.0,0.0,0.0,0.0,0.0095367431640625,0.0095367431640625,0.0,0.0,0.0,0.0052054723103841,0.0064611434936523,0.496,1.424,0.0,0.0,115.624,0.0,0.0,0.0,65.648,0
66,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0085830688476562,0.0061668566803434,0.0081062316894531,0.0081062316894531,0.0081062316894531,0.0081062316894531,0.0064373016357421,0.0064373016357421,0.0,0.0164508819580078,0.0164508819580078,0.0,0.0,0.0,0.0048279762268066,0.0056982040405273,0.496,1.424,0.848,0.848,114.616,0.0,0.0,0.0,141.168,0
67,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0081062316894531,0.0062297232708527,0.0116825103759765,0.0116825103759765,0.00762939453125,0.00762939453125,0.0050067901611328,0.0050067901611328,0.0,0.0085830688476562,0.0085830688476562,0.0,0.0,0.0,0.00518798828125,0.0061511993408203,0.496,1.424,0.848,0.848,115.624,0.0,0.0,0.0,89.304,0
68,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0088214874267578,0.0063459671551908,0.0078678131103515,0.0078678131103515,0.0,0.0,0.0,0.0,0.0064373016357421,0.0107288360595703,0.0107288360595703,0.0081539154052734,0.010848045349121,0.0275135040283203,0.0045299530029296,0.0052452087402343,0.496,1.424,0.0,0.0,114.728,7.488,8.464,0.0,255.744,0
69,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0083446502685546,0.0063794674259601,0.0088214874267578,0.0088214874267578,0.0,0.0,0.0,0.0,0.0064373016357421,0.0054836273193359,0.0054836273193359,0.0083446502685546,0.0106334686279296,0.0262022018432617,0.0050643394733297,0.0060558319091796,0.496,1.424,0.0,0.0,117.008,7.488,8.464,0.0,85.608,0
70,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0085830688476562,0.0063098303162225,0.0085830688476562,0.0085830688476562,0.0,0.0,0.0,0.0,0.0065445899963378,0.0066757202148437,0.0066757202148437,0.0086545944213867,0.0115633010864257,0.0285148620605468,0.0045845905939737,0.0057220458984375,0.496,1.424,0.0,0.0,116.064,16.528,15.472,0.0,198.64,0
71,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008559226989746,0.0063251740861647,0.00762939453125,0.00762939453125,0.0,0.0,0.0,0.0,0.0,0.0126361846923828,0.0126361846923828,0.0,0.0,0.0,0.0050624211629231,0.0059843063354492,0.496,1.424,0.0,0.0,117.392,0.0,0.0,0.0,104.144,0
72,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0083446502685546,0.0064017167731897,0.0102519989013671,0.0102519989013671,0.0,0.0,0.0,0.0,0.0,0.0116825103759765,0.0116825103759765,0.0,0.0,0.0,0.0049578837859324,0.006723403930664,0.496,1.424,0.0,0.0,114.648,0.0,0.0,0.0,209.4,0
73,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0085830688476562,0.0064527217428482,0.0083446502685546,0.0083446502685546,0.0,0.0,0.0,0.0,0.0,0.0052452087402343,0.0052452087402343,0.0,0.0,0.0,0.0048831657127097,0.005960464477539,0.496,1.424,0.0,0.0,114.792,0.0,0.0,0.0,79.848,0
74,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0088214874267578,0.0064301846632316,0.0088214874267578,0.0088214874267578,0.0,0.0,0.0,0.0,0.006103515625,0.019073486328125,0.019073486328125,0.007939338684082,0.0106096267700195,0.027322769165039,0.0049571196238199,0.0051736831665039,0.496,1.424,0.0,0.0,115.752,7.488,8.464,0.0,71.248,0
