time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_ul_percentage,f1_u_retransmissions_ul_count,f1_u_packet_loss_dl_percentage,f1_u_packet_loss_ul_percentage,f1_u_retransmissions_dl_count,f1_u_latency_p90_ul_ms,f1_u_latency_mean_ul_ms,f1_u_latency_mean_dl_ms,f1_u_latency_p90_dl_ms,a1_latency_mean_ul_ms,e2_du_latency_mean_ul_ms,e2_du_latency_p90_ul_ms,a1_latency_p90_ul_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,a1_latency_mean_dl_ms,a1_latency_p90_dl_ms,f1_c_retransmissions_ul_count,f1_c_retransmissions_dl_count,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_throughput_ul_kbps,f1_c_throughput_dl_kbps,a1_throughput_dl_kbps,a1_throughput_ul_kbps,f1_u_throughput_ul_kbps,f1_c_packet_loss_dl_percentage,f1_c_latency_mean_dl_ms,f1_c_latency_mean_ul_ms,f1_c_latency_p90_dl_ms,f1_c_latency_p90_ul_ms,f1_u_throughput_dl_kbps,F-node
124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0085830688476562,0.0061257050769163,0.0071525573730468,0.0071525573730468,0.0,0.005960464477539,0.005960464477539,0.0,0.0121593475341796,0.0121593475341796,0.0,0.0,0.0,0.0,0.496,1.424,0.0,0.0,0.0,0.0,118.448,0.0,0.0,0.0,0.0,0.0,1.192,1
125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.00762939453125,0.0057849124889468,0.0104904174804687,0.0104904174804687,0.0,0.00762939453125,0.00762939453125,0.0,0.0102519989013671,0.0102519989013671,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,113.256,0.0,0.0,0.0,0.0,0.0,1.192,1
126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0078916549682617,0.0059449672698974,0.0,0.0,0.0,0.0064373016357421,0.0064373016357421,0.0,0.0085830688476562,0.0085830688476562,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,112.0,0.0,0.0,0.0,0.0,0.0,0.0,1
127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0076532363891601,0.0058734416961669,0.0,0.0,0.0,0.005960464477539,0.005960464477539,0.0,0.011444091796875,0.011444091796875,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,112.0,0.0,0.0,0.0,0.0,0.0,0.0,1
128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0078916549682617,0.0061213970184326,0.0,0.0,0.005960464477539,0.0066757202148437,0.0066757202148437,0.007486343383789,0.0071525573730468,0.0071525573730468,0.0107765197753906,0.0198841094970703,0.0,0.0,0.496,1.36,0.848,0.0,3.744,4.232,112.0,100.0,0.0,0.0073909759521484,0.0,0.0073909759521484,0.0,1
129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0073909759521484,0.0057852268218994,0.0,0.0,0.0058650970458984,0.0083446502685546,0.0083446502685546,0.0071525573730468,0.0095367431640625,0.0095367431640625,0.0125885009765625,0.0253677368164062,0.0,0.0,0.496,1.36,0.848,0.848,3.744,4.232,112.0,0.0,0.0090599060058593,0.0047683715820312,0.0090599060058593,0.0047683715820312,0.0,1
130,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0092983245849609,0.0067517377328181,0.0040766401960543,0.0047683715820312,0.0059811965278957,0.011444091796875,0.011444091796875,0.0078678131103515,0.0069141387939453,0.0069141387939453,0.0097486707899305,0.0200271606445312,0.0,0.0,0.496,1.36,0.0,0.0,20.096,17.992,144.408,0.0,0.0,0.0,0.0,0.0,18675.888,1
131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0088214874267578,0.0063803658556582,0.004158922906458,0.0052452087402343,0.0,0.0088214874267578,0.0088214874267578,0.0,0.0147819519042968,0.0147819519042968,0.0,0.0,0.0,0.0,0.496,1.424,0.0,0.0,0.0,0.0,113.256,0.0,0.0,0.0,0.0,0.0,1875.8,1
132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.00762939453125,0.0058335451344352,0.005960464477539,0.005960464477539,0.0,0.0069141387939453,0.0069141387939453,0.0,0.0128746032714843,0.0128746032714843,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,113.256,0.0,0.0,0.0,0.0,0.0,1.192,1
133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0088214874267578,0.0068362396542388,0.0043616237410579,0.0052452087402343,0.0,0.0090599060058593,0.0090599060058593,0.0,0.0073909759521484,0.0073909759521484,0.0,0.0,0.0,0.0,0.496,1.424,0.0,0.0,0.0,0.0,127.016,0.0,0.0,0.0,0.0,0.0,4121.752,1
