time_seconds,a1_retransmissions_ul_count,a1_packet_loss_ul_percentage,e2_du_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,f1_c_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_retransmissions_dl_count,f1_c_retransmissions_ul_count,f1_u_packet_loss_dl_percentage,f1_u_packet_loss_ul_percentage,f1_u_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,e2_du_latency_p90_ul_ms,f1_u_latency_mean_dl_ms,a1_latency_mean_ul_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,f1_u_latency_p90_dl_ms,f1_c_latency_mean_ul_ms,a1_latency_p90_ul_ms,f1_c_latency_mean_dl_ms,f1_c_latency_p90_ul_ms,f1_c_latency_p90_dl_ms,a1_latency_mean_dl_ms,a1_latency_p90_dl_ms,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,a1_retransmissions_dl_count,f1_c_throughput_ul_kbps,f1_c_throughput_dl_kbps,a1_throughput_dl_kbps,f1_u_throughput_ul_kbps,a1_throughput_ul_kbps,a1_packet_loss_dl_percentage,f1_u_throughput_dl_kbps,F-node
58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0058975978870296,0.00762939453125,0.0066757202148437,0.0066757202148437,0.0064373016357421,0.0,0.0100135803222656,0.0100135803222656,0.0064373016357421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,113.256,0.0,0.0,1.192,0
59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0061372026282163,0.0081062316894531,0.0069141387939453,0.0069141387939453,0.0088214874267578,0.0,0.0150203704833984,0.0150203704833984,0.0088214874267578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,113.256,0.0,0.0,1.192,0
60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0060033798217773,0.0078678131103515,0.0063180923461914,0.006413459777832,0.0,0.0,0.0092983245849609,0.0123500823974609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.344,2.208,0.0,0.0,0.0,0.0,112.0,0.0,0.0,0.0,0
61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0060737133026123,0.0083446502685546,0.0073909759521484,0.0073909759521484,0.0,0.0063419342041015,0.0083446502685546,0.0083446502685546,0.0,0.0,0.0080585479736328,0.0,0.0,0.0,0.0100135803222656,0.0184535980224609,0.496,1.36,0.0,0.0,0.0,3.744,112.0,4.232,0.0,0.0,0
62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0062382221221923,0.0083446502685546,0.0088214874267578,0.0088214874267578,0.0,0.0057697296142578,0.0064373016357421,0.0064373016357421,0.0,0.0,0.0074386596679687,0.0,0.0,0.0,0.009918212890625,0.0183582305908203,0.496,1.36,0.0,0.0,0.0,3.744,112.0,4.232,0.0,0.0,0
63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.006183385848999,0.0083446502685546,0.0078678131103515,0.0078678131103515,0.0,0.006270408630371,0.0090599060058593,0.0090599060058593,0.0,0.0,0.0083684921264648,0.0,0.0,0.0,0.009918212890625,0.0234127044677734,0.496,1.36,0.0,0.0,0.0,8.264,112.0,7.736,0.0,0.0,0
64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0062593773229798,0.0083446502685546,0.0064373016357421,0.0064373016357421,0.0083446502685546,0.0,0.0131130218505859,0.0131130218505859,0.0083446502685546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,113.256,0.0,0.0,1.192,0
65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0059901185296661,0.0081062316894531,0.0071525573730468,0.0071525573730468,0.0058412551879882,0.0,0.0126361846923828,0.0126361846923828,0.0059366226196289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,117.888,0.0,0.0,10.096,0
66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0060411234993246,0.0081062316894531,0.0073909759521484,0.0073909759521484,0.0066757202148437,0.0,0.0112056732177734,0.0112056732177734,0.0066757202148437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,113.256,0.0,0.0,1.192,0
67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0069905253289972,0.0095367431640625,0.0090599060058593,0.0090599060058593,0.0039110822100557,0.0063419342041015,0.0102519989013671,0.0102519989013671,0.0045299530029296,0.0,0.008392333984375,0.0,0.0,0.0,0.0102043151855468,0.0182628631591796,0.496,1.36,0.0,0.0,0.0,3.744,142.208,4.232,0.0,37946.072,0
68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0077812232781405,0.009775161743164,0.0102519989013671,0.0102519989013671,0.0038934976949948,0.0060081481933593,0.0138282775878906,0.0138282775878906,0.0045299530029296,0.0,0.0079631805419921,0.0,0.0,0.0,0.0096797943115234,0.0174999237060546,0.496,1.36,0.0,0.0,0.0,3.744,117.192,4.232,0.0,42612.112,0
69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0075984001159667,0.0102519989013671,0.0100135803222656,0.0100135803222656,0.003927619276719,0.0064671039581298,0.0121593475341796,0.0121593475341796,0.0045299530029296,0.0,0.0088691711425781,0.0,0.0,0.0,0.009775161743164,0.0199079513549804,0.496,1.36,0.0,0.0,0.0,19.568,116.632,18.52,0.0,43214.0,0
70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0078986533245637,0.0104904174804687,0.0090599060058593,0.0090599060058593,0.0039700223536046,0.0,0.0152587890625,0.0152587890625,0.0047683715820312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,117.192,0.0,0.0,24739.336,0
71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0072776681125754,0.0095367431640625,0.0123977661132812,0.0123977661132812,0.0052187177870008,0.0,0.0078678131103515,0.0078678131103515,0.0063419342041015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,118.448,0.0,0.0,97.28,0
72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0071549179530379,0.009775161743164,0.0081062316894531,0.0081062316894531,0.004841356861348,0.0,0.0090599060058593,0.0090599060058593,0.0062465667724609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,118.448,0.0,0.0,230.056,0
73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0063416981461024,0.0085830688476562,0.0085830688476562,0.0085830688476562,0.004432201385498,0.0063896179199218,0.0081062316894531,0.0081062316894531,0.0054836273193359,0.0,0.0084877014160156,0.0,0.0,0.0,0.0111103057861328,0.0207901000976562,0.496,1.36,0.0,0.0,0.0,3.744,116.56,4.232,0.0,448.336,0
74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0059948631780064,0.0081062316894531,0.00762939453125,0.00762939453125,0.0050801497239332,0.0062942504882812,0.0092983245849609,0.0092983245849609,0.006866455078125,0.0,0.0081062316894531,0.0,0.0,0.0,0.0105857849121093,0.01983642578125,0.496,1.36,0.0,0.0,0.0,3.744,114.648,4.232,0.0,88.712,0
75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0063744350452328,0.0081062316894531,0.0078678131103515,0.0078678131103515,0.0065735408238002,0.0067472457885742,0.0078678131103515,0.0078678131103515,0.0093460083007812,0.0,0.0087499618530273,0.0,0.0,0.0,0.0104904174804687,0.023818016052246,0.496,1.36,0.0,0.0,0.0,8.264,117.192,7.736,0.0,24.44,0
76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0065946578979492,0.0081062316894531,0.0078678131103515,0.0078678131103515,0.0,0.0,0.0147819519042968,0.0147819519042968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,112.0,0.0,0.0,0.0,0
77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0065982341766357,0.0081300735473632,0.0073909759521484,0.0073909759521484,0.0,0.0,0.0116825103759765,0.0116825103759765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,112.0,0.0,0.0,0.0,0
78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0062513351440429,0.0083446502685546,0.0073909759521484,0.0073909759521484,0.0047683715820312,0.0,0.0057220458984375,0.0057220458984375,0.0047683715820312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,112.696,0.0,0.0,1.192,0
79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0062083723533212,0.0083446502685546,0.0085830688476562,0.0085830688476562,0.0052452087402343,0.0069618225097656,0.0109672546386718,0.0109672546386718,0.0052452087402343,0.0,0.009012222290039,0.0,0.0,0.0,0.0116825103759765,0.0218391418457031,0.496,1.36,0.0,0.0,0.0,3.744,113.256,4.232,0.0,1.192,0
80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0062354720465027,0.0083446502685546,0.0085830688476562,0.0085830688476562,0.0067949295043945,0.0060558319091796,0.0102519989013671,0.0102519989013671,0.0072717666625976,0.0,0.0078678131103515,0.0,0.0,0.0,0.0102519989013671,0.0193119049072265,0.496,1.36,0.0,0.0,0.0,3.744,116.096,4.232,0.0,3.744,0
81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0060965375202458,0.0080108642578124,0.0140666961669921,0.0140666961669921,0.005960464477539,0.0064373016357421,0.0054836273193359,0.0054836273193359,0.0077009201049804,0.0,0.0086069107055664,0.0,0.0,0.0,0.0102519989013671,0.0238895416259765,0.496,1.36,0.0,0.0,0.0,8.264,131.08,7.736,0.0,27.216,0
