time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,f1_c_retransmissions_dl_count,f1_c_retransmissions_ul_count,f1_u_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_packet_loss_ul_percentage,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,e2_du_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,f1_c_latency_mean_ul_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,f1_c_latency_p90_ul_ms,f1_c_latency_mean_dl_ms,a1_latency_mean_ul_ms,f1_c_latency_p90_dl_ms,a1_latency_p90_ul_ms,a1_latency_mean_dl_ms,a1_latency_p90_dl_ms,f1_u_latency_mean_dl_ms,f1_u_latency_p90_dl_ms,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,a1_throughput_ul_kbps,a1_throughput_dl_kbps,f1_u_throughput_ul_kbps,f1_u_packet_loss_dl_percentage,f1_u_throughput_dl_kbps,F-node
21,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062370300292968,0.0085830688476562,0.0073909759521484,0.0073909759521484,0.0,0.0102519989013671,0.0102519989013671,0.0,0.0,0.006413459777832,0.0,0.0090599060058593,0.0104904174804687,0.0268459320068359,0.0,0.0,0.496,1.36,0.0,0.0,7.736,8.264,112.0,0.0,0.0,0
22,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059108922977258,0.0078678131103515,0.0071525573730468,0.0071525573730468,0.0,0.0066757202148437,0.0066757202148437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0054836273193359,0.0064373016357421,0.496,1.36,0.0,0.0,0.0,0.0,118.8,0.0,6.224,0
23,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061032795670008,0.0081062316894531,0.0061988830566406,0.0061988830566406,0.0,0.0061988830566406,0.0061988830566406,0.0,0.0,0.0057697296142578,0.0,0.0074386596679687,0.0116348266601562,0.022125244140625,0.0084638595581054,0.0104665756225585,0.496,1.424,0.0,0.0,4.232,3.744,116.528,0.0,3.952,0
24,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061751598149389,0.0085830688476562,0.0102519989013671,0.0102519989013671,0.0,0.0064373016357421,0.0064373016357421,0.0,0.0,0.0058650970458984,0.0,0.0075340270996093,0.010538101196289,0.0202178955078125,0.0054836273193359,0.0054836273193359,0.496,1.424,0.0,0.0,4.232,3.744,113.256,0.0,1.192,0
25,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062083723533212,0.0083446502685546,0.0071525573730468,0.0071525573730468,0.0,0.009775161743164,0.009775161743164,0.0,0.0,0.0060876210530598,0.0,0.0086784362792968,0.0112215677897135,0.028228759765625,0.0085830688476562,0.0085830688476562,0.496,1.36,0.0,0.0,11.968,12.008,113.256,0.0,1.192,0
26,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061883127748085,0.0085830688476562,0.0071525573730468,0.0071525573730468,0.0,0.00762939453125,0.00762939453125,0.0,0.0,0.005960464477539,0.0,0.0074386596679687,0.010538101196289,0.0202178955078125,0.0057816505432128,0.0080108642578125,0.496,1.36,0.0,0.0,4.232,3.744,121.688,0.0,23.088,0
27,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061883127748085,0.0085830688476562,0.0075817108154296,0.0064373016357421,0.0,0.0106096267700195,0.0110864639282226,0.0,0.0,0.0062465667724609,0.0,0.0088214874267578,0.0116586685180664,0.0284433364868164,0.0057816505432128,0.0080108642578125,1.344,2.272,0.0,0.0,7.736,8.264,121.688,0.0,23.088,0
28,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061883127748085,0.0085830688476562,0.0085830688476562,0.0085830688476562,0.0,0.0116825103759765,0.0116825103759765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0057816505432128,0.0080108642578125,0.496,1.36,0.0,0.0,0.0,0.0,121.688,0.0,23.088,0
29,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061883127748085,0.0085830688476562,0.0061988830566406,0.0061988830566406,0.0,0.0061988830566406,0.0061988830566406,0.0,0.0,0.0058650970458984,0.0,0.0075340270996093,0.01068115234375,0.020599365234375,0.0057816505432128,0.0080108642578125,0.496,1.36,0.0,0.0,4.232,3.744,121.688,0.0,23.088,0
30,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006319871589319,0.0081062316894531,0.0078678131103515,0.0078678131103515,0.0,0.0121593475341796,0.0121593475341796,0.0,0.0,0.007486343383789,0.0,0.0092029571533203,0.0109672546386718,0.0209331512451171,0.005801518758138,0.0083446502685546,0.496,1.36,0.0,0.0,4.232,3.744,118.976,0.0,19.464,0
