time_seconds,a1_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,f1_c_retransmissions_ul_count,f1_c_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_packet_loss_dl_percentage,f1_u_packet_loss_ul_percentage,f1_u_retransmissions_dl_count,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,e2_du_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,f1_u_latency_mean_dl_ms,f1_u_latency_p90_dl_ms,f1_c_latency_mean_ul_ms,f1_c_latency_p90_ul_ms,f1_c_latency_mean_dl_ms,a1_latency_mean_dl_ms,f1_c_latency_p90_dl_ms,a1_latency_p90_dl_ms,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,a1_retransmissions_ul_count,a1_retransmissions_dl_count,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,a1_throughput_dl_kbps,a1_throughput_ul_kbps,f1_u_throughput_ul_kbps,a1_packet_loss_dl_percentage,a1_latency_mean_ul_ms,a1_latency_p90_ul_ms,f1_u_throughput_dl_kbps,F-node
110,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0061964988708496,0.0085830688476562,0.0083446502685546,0.0083446502685546,0.0138282775878906,0.0138282775878906,0.0,0.0,0.0,0.0,0.0,0.0095367431640625,0.0,0.0095367431640625,0.496,1.424,1.0,2.0,0.0,0.0,0.528,0.592,112.0,66.66666666666666,-511.9736194610596,-102.3806095123291,0.0,1
111,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0060093402862548,0.0078678131103515,0.0071525573730468,0.0071525573730468,0.013589859008789,0.013589859008789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.36,0.0,1.0,0.0,0.0,0.0,0.0,112.0,100.0,0.0,0.0,0.0,1
112,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0061684963749904,0.0081062316894531,0.005960464477539,0.005960464477539,0.0140666961669921,0.0140666961669921,0.0052213668823242,0.0077247619628906,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,0.0,0.0,127.312,100.0,0.0,0.0,144.368,1
113,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0062937760234472,0.0083446502685546,0.009775161743164,0.009775161743164,0.0100135803222656,0.0100135803222656,0.0056028366088867,0.0069618225097656,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.424,0.0,1.0,0.0,0.0,0.0,0.0,113.256,100.0,0.0,0.0,22.272,1
114,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0064020673629685,0.0085830688476562,0.00762939453125,0.00762939453125,0.0116825103759765,0.0116825103759765,0.0049375718639742,0.0069141387939453,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.392,0.0,0.0,0.0,0.0,0.0,0.0,123.64,100.0,0.0,0.0,205.064,1
115,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0062392125675334,0.0083446502685546,0.0069141387939453,0.0069141387939453,0.0162124633789062,0.0162124633789062,0.0042170286178588,0.0056028366088867,0.0110864639282226,0.0142335891723632,0.0139474868774414,0.0,0.0149965286254882,0.0,0.496,1.424,0.0,0.0,1.696,1.696,0.0,0.0,113.256,100.0,0.0,0.0,168.464,1
116,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0060248374938964,0.0078678131103515,0.0061988830566406,0.0061988830566406,0.0073909759521484,0.0073909759521484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.36,0.0,1.0,0.0,0.0,0.0,0.0,112.0,100.0,0.0,0.0,0.0,1
117,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0061765680172173,0.0085830688476562,0.00762939453125,0.00762939453125,0.0073909759521484,0.0073909759521484,0.0044226646423339,0.0053644180297851,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,0.0,0.0,125.672,100.0,0.0,0.0,156.24,1
118,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0061297416687011,0.0081062316894531,0.0061988830566406,0.0061988830566406,0.00762939453125,0.00762939453125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.424,0.0,0.0,0.0,0.0,0.0,0.0,112.0,100.0,0.0,0.0,0.0,1
119,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0060391426086425,0.0078916549682617,0.0064373016357421,0.0064373016357421,0.0116825103759765,0.0116825103759765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,0.0,0.0,112.0,100.0,0.0,0.0,0.0,1
120,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0062366523364982,0.0081062316894531,0.0073909759521484,0.0073909759521484,0.0069141387939453,0.0069141387939453,0.0061988830566406,0.0075340270996093,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,0.0,0.0,118.448,100.0,0.0,0.0,8.928,1
121,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0061810906253643,0.0083446502685546,0.00762939453125,0.00762939453125,0.0100135803222656,0.0100135803222656,0.0045299530029296,0.0045299530029296,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.424,0.0,0.0,0.0,0.0,0.0,0.0,113.256,100.0,0.0,0.0,1.192,1
122,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0061122932244296,0.0081062316894531,0.006270408630371,0.0056028366088867,0.0090599060058593,0.0102043151855468,0.0073909759521484,0.0073909759521484,0.0,0.0,0.0,0.0157356262207031,0.0,0.0205039978027343,1.344,2.208,0.0,1.0,0.0,0.0,2.096,3.64,113.256,33.33333333333333,0.0066161155700683,0.0086784362792968,1.192,1
123,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0060176849365234,0.0078678131103515,0.0066757202148437,0.0066757202148437,0.0126361846923828,0.0126361846923828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,0.0,0.0,112.0,100.0,0.0,0.0,0.0,1
124,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0061738491058349,0.0083684921264648,0.005960464477539,0.005960464477539,0.013589859008789,0.013589859008789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.36,0.0,1.0,0.0,0.0,0.0,0.0,112.0,100.0,0.0,0.0,0.0,1
125,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0061345100402832,0.0083684921264648,0.0083446502685546,0.0083446502685546,0.0102519989013671,0.0102519989013671,0.0,0.0,0.0,0.0,0.0,0.0369548797607421,0.0,0.0369548797607421,0.496,1.36,0.0,1.0,0.0,0.0,0.592,0.592,112.0,66.66666666666666,9717.811067899069,23552.969098091125,0.0,1
126,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.005960464477539,0.0078678131103515,0.0073909759521484,0.0073909759521484,0.0112056732177734,0.0112056732177734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.36,1.0,3.0,0.0,0.0,0.0,0.592,112.0,100.0,8692.843159039816,22528.001189231876,0.0,1
127,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0058964117249446,0.0078678131103515,0.0092983245849609,0.0092983245849609,0.0128746032714843,0.0128746032714843,0.0083446502685546,0.0083446502685546,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.36,0.0,1.0,0.0,0.0,0.0,0.0,113.256,100.0,0.0,0.0,1.192,1
128,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0059877462054959,0.0081062316894531,0.0061988830566406,0.0061988830566406,0.0109672546386718,0.0109672546386718,0.0045299530029296,0.0045299530029296,0.0,0.0,0.0,0.02288818359375,0.0,0.02288818359375,0.496,1.36,1.0,3.0,0.0,0.0,0.592,1.184,113.256,83.33333333333334,5696.444886071341,18842.61016845704,1.192,1
129,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0062012553808107,0.0083446502685546,0.0066757202148437,0.0066757202148437,0.0066757202148437,0.0066757202148437,0.0088214874267578,0.0088214874267578,0.0,0.0,0.0,0.0166893005371093,0.0,0.0202178955078125,0.496,1.36,0.0,4.0,0.0,0.0,2.432,3.184,113.256,57.14285714285714,0.0092387199401855,0.0106334686279296,1.192,1
130,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0062215328216552,0.0085830688476562,0.0090599060058593,0.0090599060058593,0.0138282775878906,0.0138282775878906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.36,0.0,1.0,0.0,0.0,0.0,0.0,112.0,100.0,0.0,0.0,0.0,1
131,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0060832500457763,0.0085830688476562,0.0066757202148437,0.0066757202148437,0.0126361846923828,0.0126361846923828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.36,0.0,1.0,0.0,0.0,0.0,0.0,112.0,100.0,0.0,0.0,0.0,1
132,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.005965232849121,0.0078916549682617,0.0081062316894531,0.0081062316894531,0.0069141387939453,0.0069141387939453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.36,0.0,2.0,0.0,0.0,0.0,0.0,112.0,100.0,0.0,0.0,0.0,1
133,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0063049793243408,0.0085830688476562,0.0064373016357421,0.0064373016357421,0.0083446502685546,0.0083446502685546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.36,1.0,1.0,0.0,0.0,0.0,0.592,112.0,100.0,2613.862951596578,16449.020981788635,0.0,1
134,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0061087347381743,0.0085830688476562,0.0071525573730468,0.0071525573730468,0.0104904174804687,0.0104904174804687,0.0052452087402343,0.0052452087402343,0.0,0.0,0.0,0.0171184539794921,0.0,0.0212669372558593,0.496,1.36,2.0,5.0,0.0,0.0,4.584,8.064,113.256,68.75,0.0073909759521484,0.009775161743164,1.192,1
135,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.006118224034855,0.0083446502685546,0.0061988830566406,0.0061988830566406,0.0112056732177734,0.0112056732177734,0.0083446502685546,0.0083446502685546,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.36,0.0,2.0,0.0,0.0,0.0,0.0,113.256,100.0,0.0,0.0,1.192,1
136,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0057493276263943,0.00762939453125,0.0123977661132812,0.0123977661132812,0.0102519989013671,0.0102519989013671,0.0042915344238281,0.0042915344238281,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,0.0,0.0,113.256,100.0,0.0,0.0,1.192,1
137,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0060411234993246,0.0081062316894531,0.0061988830566406,0.0061988830566406,0.0100135803222656,0.0100135803222656,0.0073909759521484,0.0073909759521484,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.36,1.0,1.0,0.0,0.0,0.0,1.584,117.192,100.0,0.0154972076416015,0.0154972076416015,10.376,1
138,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0061375079768719,0.0081062316894531,0.0069141387939453,0.0069141387939453,0.0131130218505859,0.0131130218505859,0.0047476395316745,0.0077247619628906,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.424,0.0,0.0,0.0,0.0,0.0,0.0,120.304,100.0,0.0,0.0,231.24,1
