time_seconds,a1_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,f1_c_retransmissions_ul_count,f1_c_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_packet_loss_dl_percentage,f1_u_packet_loss_ul_percentage,f1_u_retransmissions_dl_count,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,e2_du_latency_p90_ul_ms,f1_c_latency_mean_ul_ms,f1_u_latency_mean_dl_ms,f1_c_latency_mean_dl_ms,f1_c_latency_p90_ul_ms,f1_u_latency_p90_dl_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,f1_c_latency_p90_dl_ms,a1_latency_mean_dl_ms,a1_latency_p90_dl_ms,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,a1_retransmissions_ul_count,a1_retransmissions_dl_count,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,a1_throughput_dl_kbps,f1_u_throughput_ul_kbps,a1_throughput_ul_kbps,a1_packet_loss_dl_percentage,a1_latency_mean_ul_ms,a1_latency_p90_ul_ms,f1_u_throughput_dl_kbps,F-node
25,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0060260295867919,0.0078678131103515,0.0066757202148437,0.0066757202148437,0.0,0.0,0.0,0.0,0.0,0.0140666961669921,0.0140666961669921,0.0,0.0111579895019531,0.0198841094970703,0.496,1.36,0.0,0.0,0.0,0.0,3.744,112.0,4.232,0.0,0.0061988830566406,0.0079154968261718,0.0,0
26,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0059819221496582,0.0078678131103515,0.0066757202148437,0.0066757202148437,0.0,0.0,0.0,0.0,0.0,0.0073909759521484,0.0073909759521484,0.0,0.0107526779174804,0.0263929367065429,0.496,1.36,0.0,0.0,0.0,0.0,8.264,112.0,7.736,0.0,0.0066280364990234,0.0088214874267578,0.0,0
27,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0062509647850851,0.0084638595581054,0.0073909759521484,0.0077724456787109,0.0,0.0047385692596435,0.0,0.0,0.0071525573730468,0.0100135803222656,0.0123023986816406,0.0,0.0,0.0,1.344,2.208,0.0,0.0,0.0,0.0,0.0,141.248,0.0,0.0,0.0,0.0,148.432,0
28,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0060601020926859,0.0083446502685546,0.0061988830566406,0.0061988830566406,0.0,0.0081062316894531,0.0,0.0,0.0081062316894531,0.0069141387939453,0.0069141387939453,0.0,0.0,0.0,0.496,1.424,0.0,0.0,0.0,0.0,0.0,113.256,0.0,0.0,0.0,0.0,1.192,0
29,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0061599334867874,0.0083446502685546,0.0064373016357421,0.0064373016357421,0.0,0.0041345270668588,0.0,0.0,0.0052452087402343,0.0121593475341796,0.0121593475341796,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,0.0,118.448,0.0,0.0,0.0,0.0,448.024,0
30,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0060565436064307,0.0078678131103515,0.0085830688476562,0.0085830688476562,0.0,0.0054836273193359,0.0,0.0,0.0054836273193359,0.0073909759521484,0.0073909759521484,0.0,0.0101566314697265,0.0182151794433593,0.496,1.424,0.0,0.0,0.0,0.0,3.744,113.256,4.232,0.0,0.0068187713623046,0.0093936920166015,1.192,0
31,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0059831142425537,0.0081300735473632,0.0085830688476562,0.0085830688476562,0.0,0.0,0.0,0.0,0.0,0.0092983245849609,0.0092983245849609,0.0,0.0102043151855468,0.0185489654541015,0.496,1.36,0.0,0.0,0.0,0.0,3.744,112.0,4.232,0.0,0.0061511993408203,0.0080108642578125,0.0,0
32,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0058710575103759,0.00762939453125,0.0069141387939453,0.0069141387939453,0.0,0.0,0.0,0.0,0.0,0.0088214874267578,0.0088214874267578,0.0,0.0102519989013671,0.0222444534301757,0.496,1.36,0.0,0.0,0.0,0.0,8.264,112.0,7.736,0.0,0.0061511993408203,0.0082254409790039,0.0,0
33,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0062036514282226,0.0085830688476562,0.0083446502685546,0.0083446502685546,0.0,0.0,0.0,0.0,0.0,0.0121593475341796,0.0121593475341796,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,0.0,112.0,0.0,0.0,0.0,0.0,0.0,0
34,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0060701370239257,0.0083684921264648,0.0073909759521484,0.0073909759521484,0.0,0.0,0.0,0.0,0.0,0.0095367431640625,0.0095367431640625,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,0.0,112.0,0.0,0.0,0.0,0.0,0.0,0
35,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0061087347381743,0.0083446502685546,0.00762939453125,0.00762939453125,0.0,0.0081062316894531,0.0,0.0,0.0081062316894531,0.0069141387939453,0.0069141387939453,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,0.0,113.256,0.0,0.0,0.0,0.0,1.192,0
36,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0060019801505169,0.0083446502685546,0.0088214874267578,0.0088214874267578,0.0,0.0069141387939453,0.0,0.0,0.0069141387939453,0.0102519989013671,0.0102519989013671,0.0,0.0108718872070312,0.0203132629394531,0.496,1.36,0.0,0.0,0.0,0.0,3.744,113.256,4.232,0.0,0.0067710876464843,0.0093936920166015,1.192,0
37,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0058252419998396,0.0078678131103515,0.0069141387939453,0.0069141387939453,0.0,0.0052452087402343,0.0,0.0,0.0052452087402343,0.0100135803222656,0.0100135803222656,0.0,0.0107288360595703,0.0203132629394531,0.496,1.36,0.0,0.0,0.0,0.0,3.744,113.256,4.232,0.0,0.0063419342041015,0.008249282836914,1.192,0
38,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0063371658325195,0.0083446502685546,0.0064373016357421,0.0064373016357421,0.0,0.0057220458984375,0.0,0.0,0.0072479248046875,0.0083446502685546,0.0083446502685546,0.0,0.0104687430641867,0.0236034393310546,0.496,1.36,0.0,0.0,0.0,0.0,8.792,112.0,7.208,0.0,0.005854500664605,0.0068187713623046,14.128,0
39,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0059367412358374,0.0081062316894531,0.00762939453125,0.00762939453125,0.0,0.0,0.0,0.0,0.0,0.0066757202148437,0.0066757202148437,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,0.0,117.192,0.0,0.0,0.0,0.0,0.0,0
40,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0061249732971191,0.0083446502685546,0.0066757202148437,0.0066757202148437,0.0,0.0,0.0,0.0,0.0,0.0081062316894531,0.0081062316894531,0.0,0.0,0.0,0.496,1.424,0.0,0.0,0.0,0.0,0.0,112.0,0.0,0.0,0.0,0.0,0.0,0
