time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_ul_percentage,f1_u_retransmissions_ul_count,f1_u_packet_loss_dl_percentage,f1_u_packet_loss_ul_percentage,f1_u_retransmissions_dl_count,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,e2_du_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,f1_u_latency_mean_dl_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,f1_u_latency_p90_dl_ms,a1_latency_mean_ul_ms,a1_latency_p90_ul_ms,a1_latency_mean_dl_ms,a1_latency_p90_dl_ms,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_retransmissions_ul_count,f1_c_retransmissions_dl_count,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,a1_throughput_dl_kbps,a1_throughput_ul_kbps,f1_u_throughput_ul_kbps,f1_c_packet_loss_dl_percentage,f1_c_latency_mean_ul_ms,f1_c_latency_p90_ul_ms,f1_c_latency_mean_dl_ms,f1_c_latency_p90_dl_ms,f1_u_throughput_dl_kbps,F-node
91,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0065356782339151,0.0092983245849609,0.0061988830566406,0.0061988830566406,0.0038817863060378,0.00762939453125,0.00762939453125,0.0045299530029296,0.0069618225097656,0.0102519989013671,0.0121116638183593,0.0226497650146484,0.496,1.36,0.0,0.0,0.0,0.0,3.744,4.232,143.152,0.0,0.0,0.0,0.0,0.0,7583.496,0
92,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0061988830566406,0.0085830688476562,0.0078678131103515,0.0078678131103515,0.0038766241692877,0.0159740447998046,0.0159740447998046,0.0045299530029296,0.0064849853515625,0.008392333984375,0.0111103057861328,0.0202178955078125,0.496,1.36,0.0,0.0,0.0,0.0,3.744,4.232,118.448,0.0,0.0,0.0,0.0,0.0,3562.048,0
93,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0061810906253643,0.0085830688476562,0.0064373016357421,0.0064373016357421,0.0045299530029296,0.0131130218505859,0.0131130218505859,0.0045299530029296,0.0066757202148437,0.0103473663330078,0.0108242034912109,0.025033950805664,0.496,1.36,0.0,0.0,0.0,0.0,8.264,7.736,113.256,0.0,0.0,0.0,0.0,0.0,1.192,0
94,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0061348303040461,0.0081062316894531,0.0071525573730468,0.0071525573730468,0.0047683715820312,0.0123977661132812,0.0123977661132812,0.0047683715820312,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,0.0,0.0,113.256,0.0,0.0,0.0,0.0,0.0,1.192,0
95,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0061249732971191,0.0083446502685546,0.0085830688476562,0.0085830688476562,0.0,0.009775161743164,0.009775161743164,0.0,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,0.0,0.0,112.0,0.0,0.0,0.0,0.0,0.0,0.0,0
96,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0061738491058349,0.0081062316894531,0.0083446502685546,0.0083446502685546,0.0,0.0095367431640625,0.0095367431640625,0.0,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,0.0,0.0,112.0,0.0,0.0,0.0,0.0,0.0,0.0,0
97,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0059998035430908,0.0083446502685546,0.0066757202148437,0.0066757202148437,0.0,0.0069141387939453,0.0069141387939453,0.0,0.0066161155700683,0.0080108642578125,0.0114043553670247,0.0199079513549804,0.496,1.36,0.0,0.0,0.0,0.0,4.272,3.704,112.0,0.0,0.0,0.0,0.0,0.0,0.0,0
98,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0060522556304931,0.0083684921264648,0.0069141387939453,0.0069141387939453,0.0,0.009775161743164,0.009775161743164,0.0,0.0060081481933593,0.0077724456787109,0.0111579895019531,0.0204086303710937,0.496,1.36,0.0,0.0,0.0,0.0,3.744,4.232,112.0,0.0,0.0,0.0,0.0,0.0,0.0,0
99,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0061348303040461,0.0085830688476562,0.0069141387939453,0.0069141387939453,0.0050067901611328,0.0107288360595703,0.0107288360595703,0.0050067901611328,0.0066518783569335,0.0090837478637695,0.0112533569335937,0.0259876251220703,0.496,1.36,0.0,0.0,0.0,0.0,8.264,7.736,113.256,0.0,0.0,0.0,0.0,0.0,1.192,0
100,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0061893937599599,0.0081062316894531,0.0104904174804687,0.0104904174804687,0.0083446502685546,0.0071525573730468,0.0071525573730468,0.0083446502685546,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,0.0,0.0,113.256,0.0,0.0,0.0,0.0,0.0,1.192,0
101,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0062930874708222,0.0083446502685546,0.0064373016357421,0.0064373016357421,0.0043166311163651,0.00762939453125,0.00762939453125,0.0064849853515625,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,0.0,0.0,134.024,0.0,0.0,0.0,0.0,0.0,177.56,0
102,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0062295705965249,0.0081062316894531,0.0069141387939453,0.0069141387939453,0.0039318393420621,0.0085830688476562,0.0085830688476562,0.0047206878662109,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,0.0,0.0,122.384,0.0,0.0,0.0,0.0,0.0,1948.456,0
103,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0062558188367245,0.0088214874267578,0.0078678131103515,0.0078678131103515,0.0041267845068085,0.0066757202148437,0.0066757202148437,0.0052452087402343,0.0079631805419921,0.0102519989013671,0.0119209289550781,0.0230789184570312,0.496,1.36,0.0,0.0,0.0,0.0,3.744,4.232,117.192,0.0,0.0,0.0,0.0,0.0,1923.536,0
104,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0061666965484619,0.0083684921264648,0.00762939453125,0.00762939453125,0.0,0.0061988830566406,0.0061988830566406,0.0,0.0060558319091796,0.0076770782470703,0.0120162963867187,0.0219345092773437,0.496,1.36,0.0,0.0,0.0,0.0,3.744,4.232,112.0,0.0,0.0,0.0,0.0,0.0,0.0,0
105,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0060371833272499,0.0083446502685546,0.0081062316894531,0.0081062316894531,0.0042511866642878,0.0252723693847656,0.0252723693847656,0.0052452087402343,0.0066995620727539,0.009012222290039,0.0110864639282226,0.0260829925537109,0.496,1.36,0.0,0.0,0.0,0.0,8.264,7.736,122.384,0.0,0.0,0.0,0.0,0.0,674.344,0
106,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0062783559163411,0.0081062316894531,0.0078678131103515,0.0078678131103515,0.0052452087402343,0.0066757202148437,0.0066757202148437,0.0052452087402343,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,0.0,0.0,113.256,0.0,0.0,0.0,0.0,0.0,1.192,0
107,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0060890235152899,0.0083446502685546,0.0071525573730468,0.0071525573730468,0.0039347175027237,0.0078678131103515,0.0078678131103515,0.0047683715820312,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,0.0,0.0,128.832,0.0,0.0,0.0,0.0,0.0,1630.568,0
108,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0061466919248969,0.0083446502685546,0.0083446502685546,0.0083446502685546,0.0057220458984375,0.0102519989013671,0.0102519989013671,0.0057220458984375,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,0.0,0.0,113.256,0.0,0.0,0.0,0.0,0.0,1.192,0
109,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.006260871887207,0.0088214874267578,0.0069141387939453,0.0069141387939453,0.0,0.0088214874267578,0.0088214874267578,0.0,0.0065326690673828,0.0085830688476562,0.0116825103759765,0.0221729278564453,0.496,1.36,0.0,0.0,0.0,0.0,3.744,4.232,112.0,0.0,0.0,0.0,0.0,0.0,0.0,1
110,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.006030797958374,0.0078678131103515,0.0069141387939453,0.0069141387939453,0.0,0.0109672546386718,0.0109672546386718,0.0,0.0062942504882812,0.0080108642578125,0.0110149383544921,0.020599365234375,0.496,1.36,0.0,0.0,0.0,0.0,3.744,4.232,112.0,0.0,0.0,0.0,0.0,0.0,0.0,1
111,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0060606002807617,0.0078916549682617,0.00762939453125,0.00762939453125,0.0,0.0083446502685546,0.0083446502685546,0.0,0.006103515625,0.0081777572631835,0.0110864639282226,0.0241041183471679,0.496,1.36,0.0,0.0,0.0,0.0,8.264,7.736,112.0,0.0,0.0,0.0,0.0,0.0,0.0,1
112,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0059926509857177,0.0078678131103515,0.0071525573730468,0.0071525573730468,0.0,0.0100135803222656,0.0100135803222656,0.0,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,0.0,0.0,112.0,0.0,0.0,0.0,0.0,0.0,0.0,1
113,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0061028039277489,0.0083446502685546,0.0073909759521484,0.0073909759521484,0.0078678131103515,0.009775161743164,0.009775161743164,0.0078678131103515,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.848,0.0,0.0,113.256,100.0,0.0131130218505859,0.0131130218505859,0.0,0.0,1.192,1
114,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0059970534674011,0.0078678131103515,0.0078678131103515,0.0078678131103515,0.00762939453125,0.011444091796875,0.011444091796875,0.0089645385742187,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.848,0.848,0.0,0.0,116.752,0.0,0.0052452087402343,0.0052452087402343,0.0140666961669921,0.0140666961669921,4.4,1
115,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0062985206717875,0.0083446502685546,0.00762939453125,0.00762939453125,0.0061988830566406,0.0128746032714843,0.0128746032714843,0.0061988830566406,0.006866455078125,0.0101089477539062,0.0117301940917968,0.0223636627197265,0.496,1.36,0.0,0.0,0.0,0.0,3.744,4.232,113.256,0.0,0.0,0.0,0.0,0.0,1.192,1
116,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0059020519256591,0.0078678131103515,0.0090599060058593,0.0090599060058593,0.0,0.0100135803222656,0.0100135803222656,0.0,0.0061511993408203,0.0079154968261718,0.0119686126708984,0.0226974487304687,0.496,1.36,0.0,0.0,0.0,0.0,3.744,4.232,112.0,0.0,0.0,0.0,0.0,0.0,0.0,1
117,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0060415267944335,0.0081300735473632,0.0073909759521484,0.0073909759521484,0.0,0.0154972076416015,0.0154972076416015,0.0,0.0064611434936523,0.0092983245849609,0.0111341476440429,0.0240564346313476,0.496,1.36,0.0,0.0,0.0,0.0,8.264,7.736,112.0,0.0,0.0,0.0,0.0,0.0,0.0,1
