time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,f1_c_retransmissions_dl_count,f1_c_retransmissions_ul_count,f1_u_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_packet_loss_ul_percentage,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,e2_du_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,a1_latency_mean_ul_ms,f1_c_latency_mean_dl_ms,f1_c_latency_mean_ul_ms,f1_c_latency_p90_ul_ms,f1_c_latency_p90_dl_ms,a1_latency_p90_ul_ms,a1_latency_mean_dl_ms,a1_latency_p90_dl_ms,f1_u_latency_mean_dl_ms,f1_u_latency_p90_dl_ms,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,a1_throughput_ul_kbps,a1_throughput_dl_kbps,f1_u_throughput_ul_kbps,f1_u_packet_loss_dl_percentage,f1_u_throughput_dl_kbps,F-node
80,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0067694270195652,0.0092983245849609,0.0092983245849609,0.0092983245849609,0.0121593475341796,0.0121593475341796,0.0070571899414062,0.0,0.0,0.0,0.0,0.0093936920166015,0.0121116638183593,0.0219345092773437,0.0040237772076942,0.0047683715820312,0.496,1.424,0.0,0.0,4.232,3.744,117.192,0.0,6540.872,0
81,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061894407366762,0.0081062316894531,0.0071525573730468,0.0071525573730468,0.0119209289550781,0.0119209289550781,0.0062465667724609,0.0,0.0,0.0,0.0,0.0083446502685546,0.0114679336547851,0.0280380249023437,0.0061194101969401,0.0072479248046875,0.496,1.424,0.0,0.0,8.464,7.488,118.448,0.0,8.472,0
82,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061241548452804,0.0081062316894531,0.0066757202148437,0.0066757202148437,0.0109672546386718,0.0109672546386718,0.0061750411987304,0.0,0.0,0.0,0.0,0.0083684921264648,0.0115633010864257,0.0298261642456054,0.0045299530029296,0.0045299530029296,0.496,1.424,0.0,0.0,15.472,16.528,113.256,0.0,1.192,0
83,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061028039277489,0.0081062316894531,0.0061988830566406,0.0061988830566406,0.0100135803222656,0.0100135803222656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0045299530029296,0.0045299530029296,0.496,1.36,0.0,0.0,0.0,0.0,113.256,0.0,1.192,0
84,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061869621276855,0.0083446502685546,0.0071525573730468,0.0071525573730468,0.0116825103759765,0.0116825103759765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,112.0,0.0,0.0,0
85,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062346458435058,0.0086069107055664,0.0071525573730468,0.0071525573730468,0.0107288360595703,0.0107288360595703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,112.0,0.0,0.0,0
86,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062322616577148,0.0081062316894531,0.0071525573730468,0.0071525573730468,0.0092983245849609,0.0092983245849609,0.0058889389038085,0.0,0.0,0.0,0.0,0.0081300735473632,0.0106573104858398,0.0286102294921875,0.0,0.0,0.496,1.36,0.0,0.0,8.464,7.488,112.0,0.0,0.0,0
87,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062906742095947,0.0085830688476562,0.0073909759521484,0.0073909759521484,0.0128746032714843,0.0128746032714843,0.0057697296142578,0.0,0.0,0.0,0.0,0.0083446502685546,0.0111579895019531,0.0272274017333984,0.0,0.0,0.496,1.36,0.0,0.0,8.464,7.488,112.0,0.0,0.0,0
88,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060411234993246,0.0081062316894531,0.0073909759521484,0.0073909759521484,0.0066757202148437,0.0066757202148437,0.0062942504882812,0.0,0.0,0.0,0.0,0.0088214874267578,0.0115275382995605,0.0277280807495117,0.0050067901611328,0.0050067901611328,0.496,1.36,0.0,0.0,15.472,16.528,113.256,0.0,1.192,0
89,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061839099091608,0.0085830688476562,0.0071525573730468,0.0071525573730468,0.0107288360595703,0.0107288360595703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0040260858313981,0.0047683715820312,0.496,1.36,0.0,0.0,0.0,0.0,144.408,0.0,3282.0,0
