time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,f1_c_retransmissions_dl_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_dl_percentage,f1_c_retransmissions_ul_count,f1_u_packet_loss_dl_percentage,f1_u_packet_loss_ul_percentage,f1_u_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,f1_c_latency_mean_ul_ms,f1_c_latency_mean_dl_ms,f1_c_latency_p90_ul_ms,f1_u_latency_mean_dl_ms,f1_c_latency_p90_dl_ms,f1_u_latency_p90_dl_ms,a1_latency_mean_ul_ms,a1_latency_p90_ul_ms,a1_latency_mean_dl_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,a1_latency_p90_dl_ms,e2_du_retransmissions_ul_count,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,f1_u_throughput_ul_kbps,a1_throughput_dl_kbps,a1_throughput_ul_kbps,e2_du_packet_loss_ul_percentage,f1_u_throughput_dl_kbps,e2_du_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,F-node
61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0064396051968929,0.0092983245849609,0.0,0.0,0.0,0.003970586336576,0.0,0.0047683715820312,0.006103515625,0.0078201293945312,0.0106334686279296,0.0083446502685546,0.0083446502685546,0.0203132629394531,0,0.496,1.36,0.0,0.0,144.408,3.744,4.232,0.0,2855.488,0.0073909759521484,0.0073909759521484,0
62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0063605827860312,0.0085830688476562,0.0,0.0,0.0,0.0038791675956881,0.0,0.0045299530029296,0.0063896179199218,0.0081539154052734,0.012063980102539,0.0159740447998046,0.0159740447998046,0.0237464904785156,0,0.496,1.424,0.0,0.0,118.448,3.744,4.232,0.0,4327.344,0.0083446502685546,0.0083446502685546,0
63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0070078455986668,0.0095367431640625,0.0,0.0,0.0,0.0038733084996541,0.0,0.0045299530029296,0.0060319900512695,0.008392333984375,0.0108003616333007,0.0126361846923828,0.0126361846923828,0.0269412994384765,0,0.496,1.424,0.0,0.0,117.192,8.264,7.736,0.0,16259.76,0.009775161743164,0.009775161743164,0
64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0064112060698703,0.0092983245849609,0.0,0.0,0.0,0.0038963075372001,0.0,0.0045299530029296,0.0,0.0,0.0,0.0090599060058593,0.0090599060058593,0.0,0,0.496,1.424,0.0,0.0,117.192,0.0,0.0,0.0,4615.464,0.0064373016357421,0.0064373016357421,0
65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0074336777872114,0.0100135803222656,0.005960464477539,0.0252723693847656,0.005960464477539,0.0038744352541247,0.0252723693847656,0.0045299530029296,0.0,0.0,0.0,0.0092983245849609,0.0092983245849609,0.0,0,0.496,1.392,0.848,0.848,117.192,0.0,0.0,0.0,46057.624,0.00762939453125,0.00762939453125,0
66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.007313875416618,0.0100135803222656,0.0,0.0,0.0,0.0039061582289994,0.0,0.0045299530029296,0.0,0.0,0.0,0.017404556274414,0.017404556274414,0.0,0,0.496,1.424,0.0,0.0,117.192,0.0,0.0,0.0,8738.808,0.0095367431640625,0.0095367431640625,0
67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0062570049988096,0.0083446502685546,0.0,0.0,0.0,0.0078678131103515,0.0,0.0078678131103515,0.005960464477539,0.0066041946411132,0.010530153910319,0.011444091796875,0.011444091796875,0.0185966491699218,0,0.496,1.424,0.0,0.0,113.256,4.272,3.704,0.0,1.192,0.011444091796875,0.011444091796875,0
68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0060434958234948,0.0081062316894531,0.0,0.0,0.0,0.0078678131103515,0.0,0.0078678131103515,0.0060558319091796,0.0077247619628906,0.0116348266601562,0.0095367431640625,0.0095367431640625,0.0220298767089843,0,0.496,1.392,0.0,0.0,113.256,3.744,4.232,0.0,1.192,0.0078678131103515,0.0078678131103515,0
69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0060719637135368,0.0081062316894531,0.00762939453125,0.0052452087402343,0.00762939453125,0.0045299530029296,0.0052452087402343,0.0045299530029296,0.005960464477539,0.008392333984375,0.0114202499389648,0.0085830688476562,0.0085830688476562,0.0247478485107421,0,0.496,1.36,0.848,0.848,113.256,8.264,7.736,0.0,1.192,0.0090599060058593,0.0090599060058593,0
70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0063157549091413,0.0085830688476562,0.0,0.0,0.0,0.0038992526919342,0.0,0.0045299530029296,0.0,0.0,0.0,0.0073909759521484,0.0073909759521484,0.0,0,0.496,1.36,0.0,0.0,132.768,0.0,0.0,0.0,3850.992,0.0066757202148437,0.0066757202148437,0
