time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_ul_percentage,f1_u_retransmissions_ul_count,f1_u_packet_loss_dl_percentage,f1_u_packet_loss_ul_percentage,f1_u_retransmissions_dl_count,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,e2_du_latency_p90_ul_ms,f1_u_latency_mean_dl_ms,f1_u_latency_p90_dl_ms,a1_latency_mean_ul_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,a1_latency_p90_ul_ms,a1_latency_mean_dl_ms,a1_latency_p90_dl_ms,f1_c_retransmissions_ul_count,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_retransmissions_dl_count,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,a1_throughput_dl_kbps,a1_throughput_ul_kbps,f1_u_throughput_ul_kbps,f1_c_packet_loss_dl_percentage,f1_c_latency_mean_ul_ms,f1_c_latency_mean_dl_ms,f1_c_latency_p90_dl_ms,f1_u_throughput_dl_kbps,f1_c_latency_p90_ul_ms,F-node
123,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0063841885859423,0.0083446502685546,0.0071525573730468,0.0071525573730468,0.0047943808815696,0.0061988830566406,0.0065565109252929,0.0073909759521484,0.0073909759521484,0.0088453292846679,0.010085105895996,0.0227928161621093,0.0,0.496,1.424,0.0,0.0,0.0,8.264,7.736,118.448,100.0,0.0,0.0,0.0,448.808,0.0,1
124,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0062214201362571,0.0085830688476562,0.0066757202148437,0.0066757202148437,0.0043176114559173,0.005340576171875,0.0,0.0071525573730468,0.0071525573730468,0.0,0.0,0.0,0.0,0.496,1.424,0.0,0.0,0.0,0.0,0.0,117.192,100.0,0.0,0.0,0.0,631.6,0.0,1
125,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0060725212097167,0.0078916549682617,0.0083446502685546,0.0083446502685546,0.0,0.0,0.0,0.0123977661132812,0.0123977661132812,0.0,0.0,0.0,0.0,0.496,1.424,0.0,0.0,0.0,0.0,0.0,112.0,100.0,0.0,0.0,0.0,0.0,0.0,1
126,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0060761328971031,0.0085830688476562,0.0092983245849609,0.0092983245849609,0.0057061513264973,0.0081539154052734,0.0,0.0081062316894531,0.0081062316894531,0.0,0.0,0.0,0.0,0.496,1.424,0.0,0.0,0.0,0.0,0.0,120.08,100.0,0.0,0.0,0.0,70.84,0.0,1
127,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0063625734243819,0.0088214874267578,0.0092983245849609,0.0092983245849609,0.0042417547204992,0.0050067901611328,0.0066280364990234,0.0126361846923828,0.0126361846923828,0.0095844268798828,0.0092625617980957,0.0182390213012695,0.0,0.496,1.424,0.0,0.0,0.0,14.52,15.544,114.728,100.0,0.0,0.0,0.0,2616.216,0.0,1
128,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0064172367058177,0.0087976455688476,0.0095367431640625,0.0095367431640625,0.0043091950593171,0.0052452087402343,0.0057697296142578,0.0143051147460937,0.0143051147460937,0.0072956085205078,0.0103473663330078,0.0194072723388671,0.0,0.496,1.424,0.0,0.0,0.0,3.744,4.232,118.448,100.0,0.0,0.0,0.0,3290.328,0.0,1
129,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0063039288662447,0.008559226989746,0.0071525573730468,0.0071525573730468,0.0044267911177415,0.0054836273193359,0.0060319900512695,0.0147819519042968,0.0147819519042968,0.0083684921264648,0.0106334686279296,0.0245332717895507,0.0,0.496,1.424,0.0,0.0,0.0,8.264,7.736,118.448,100.0,0.0,0.0,0.0,992.864,0.0,1
130,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0063447809931057,0.0085830688476562,0.0083446502685546,0.0083446502685546,0.0049173831939697,0.0063896179199218,0.0,0.0140666961669921,0.0140666961669921,0.0,0.0,0.0,0.0,0.496,1.424,0.0,0.0,0.0,0.0,0.0,113.256,100.0,0.0,0.0,0.0,161.056,0.0,1
131,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0059699537742197,0.0078678131103515,0.0071525573730468,0.0071525573730468,0.0083446502685546,0.0083446502685546,0.0,0.0109672546386718,0.0109672546386718,0.0,0.0,0.0,0.0,0.496,1.424,0.0,0.0,0.0,0.0,0.0,114.392,100.0,0.0,0.0,0.0,2.104,0.0,1
132,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0062237924604273,0.0083446502685546,0.00762939453125,0.00762939453125,0.00762939453125,0.00762939453125,0.0,0.0121593475341796,0.0121593475341796,0.0,0.0,0.0,0.0,0.496,1.424,0.0,0.0,0.0,0.0,0.0,117.192,100.0,0.0,0.0,0.0,6.92,0.0,1
133,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0065211022254264,0.0092744827270507,0.0104904174804687,0.0104904174804687,0.0042071028865408,0.0047683715820312,0.0064373016357421,0.0126361846923828,0.0126361846923828,0.0081539154052734,0.0122547149658203,0.0229358673095703,0.0,0.496,1.36,0.0,0.0,0.0,3.744,4.232,122.384,100.0,0.0,0.0,0.0,5348.888,0.0,1
