time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,f1_c_retransmissions_dl_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_dl_percentage,f1_c_retransmissions_ul_count,f1_u_packet_loss_dl_percentage,f1_u_packet_loss_ul_percentage,f1_u_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,f1_u_latency_mean_dl_ms,f1_u_latency_p90_dl_ms,a1_latency_mean_ul_ms,f1_c_latency_mean_ul_ms,f1_c_latency_mean_dl_ms,a1_latency_p90_ul_ms,f1_c_latency_p90_dl_ms,f1_c_latency_p90_ul_ms,a1_latency_mean_dl_ms,a1_latency_p90_dl_ms,e2_du_retransmissions_ul_count,e2_du_throughput_dl_kbps,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,e2_du_throughput_ul_kbps,f1_u_throughput_ul_kbps,a1_throughput_dl_kbps,a1_throughput_ul_kbps,e2_du_packet_loss_ul_percentage,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,f1_u_throughput_dl_kbps,e2_du_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,F-node
29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.006197702766645,0.0081062316894531,0.0084638595581054,0.0087499618530273,0.0067174434661865,0.0,0.0,0.0093698501586914,0.0,0.0,0.0100910663604736,0.0217199325561523,0,0.496,0.0,0.0,1.36,116.096,29.672,30.848,0.0,0.0100135803222656,0.0100135803222656,3.744,0.0071525573730468,0.0071525573730468,0
30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0071195092531714,0.009775161743164,0.0038621877996121,0.0045299530029296,0.0067174434661865,0.0,0.0,0.0093698501586914,0.0,0.0,0.0100910663604736,0.0217199325561523,0,0.496,0.0,0.0,1.424,123.08,29.672,30.848,0.0,0.0081062316894531,0.0081062316894531,16780.968,0.0092983245849609,0.0092983245849609,0
31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0064195092044659,0.0090599060058593,0.0057220458984375,0.0072002410888671,0.0067174434661865,0.0,0.0,0.0093698501586914,0.0,0.0,0.0100910663604736,0.0217199325561523,0,0.496,0.0,0.0,1.424,113.256,29.672,30.848,0.0,0.0143051147460937,0.0143051147460937,37.984,0.0083446502685546,0.0083446502685546,0
32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.006265640258789,0.0088214874267578,0.0,0.0,0.0067174434661865,0.0,0.0,0.0093698501586914,0.0,0.0,0.0100910663604736,0.0217199325561523,0,0.496,0.0,0.0,1.392,112.0,29.672,30.848,0.0,0.0152587890625,0.0152587890625,0.0,0.0083446502685546,0.0083446502685546,0
33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0061037505201518,0.0085353851318359,0.0045738722148694,0.0063419342041015,0.0067174434661865,0.0,0.0,0.0093698501586914,0.0,0.0,0.0100910663604736,0.0217199325561523,0,0.496,0.0,0.0,1.36,121.096,29.672,30.848,0.0,0.0116825103759765,0.0116825103759765,383.888,0.0088214874267578,0.0088214874267578,0
34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.006132457979876,0.0083446502685546,0.0065565109252929,0.0066518783569335,0.0067174434661865,0.0,0.0,0.0093698501586914,0.0,0.0,0.0100910663604736,0.0217199325561523,0,0.496,0.0,0.0,1.424,117.192,29.672,30.848,0.0,0.0102519989013671,0.0102519989013671,15.536,0.0088214874267578,0.0088214874267578,0
35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0063661319106372,0.0083446502685546,0.0045439776252297,0.0058174133300781,0.0067174434661865,0.0,0.0,0.0093698501586914,0.0,0.0,0.0100910663604736,0.0217199325561523,0,0.496,0.0,0.0,1.424,114.264,29.672,30.848,0.0,0.0078678131103515,0.0078678131103515,129.448,0.0107288360595703,0.0107288360595703,0
36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0061277133315356,0.0083446502685546,0.0045877514463482,0.005960464477539,0.0067174434661865,0.0,0.0,0.0093698501586914,0.0,0.0,0.0100910663604736,0.0217199325561523,0,0.496,0.0,0.0,1.424,115.16,29.672,30.848,0.0,0.0102519989013671,0.0102519989013671,315.128,0.0078678131103515,0.0078678131103515,0
37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0062815033563292,0.0088214874267578,0.004345720464533,0.0066757202148437,0.0067174434661865,0.0,0.0,0.0093698501586914,0.0,0.0,0.0100910663604736,0.0217199325561523,0,0.496,0.0,0.0,1.424,118.448,29.672,30.848,0.0,0.0090599060058593,0.0090599060058593,240.576,0.0088214874267578,0.0088214874267578,0
38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0064550940670184,0.0090599060058593,0.0039209691128989,0.0045299530029296,0.0067174434661865,0.0095367431640625,0.0045299530029296,0.0093698501586914,0.0045299530029296,0.0095367431640625,0.0100910663604736,0.0217199325561523,0,0.496,0.848,0.848,1.424,113.256,29.672,30.848,0.0,0.0078678131103515,0.0078678131103515,8773.44,0.00762939453125,0.00762939453125,0
