time_seconds,a1_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,f1_c_retransmissions_ul_count,f1_c_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_packet_loss_dl_percentage,f1_u_packet_loss_ul_percentage,f1_u_retransmissions_dl_count,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,e2_du_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,f1_u_latency_mean_dl_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,f1_u_latency_p90_dl_ms,f1_c_latency_mean_ul_ms,f1_c_latency_mean_dl_ms,f1_c_latency_p90_dl_ms,f1_c_latency_p90_ul_ms,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,a1_retransmissions_ul_count,a1_retransmissions_dl_count,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,a1_throughput_dl_kbps,a1_throughput_ul_kbps,f1_u_throughput_ul_kbps,a1_latency_mean_dl_ms,a1_latency_p90_dl_ms,a1_packet_loss_dl_percentage,a1_latency_mean_ul_ms,a1_latency_p90_ul_ms,f1_u_throughput_dl_kbps,F-node
101,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0061666332005302,0.0084400177001953,0.0069141387939453,0.0069141387939453,0.0039149463939492,0.0069141387939453,0.0069141387939453,0.0045299530029296,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,0.0,0.0,142.248,0.0,0.0,0.0,0.0,0.0,6043.16,0
102,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0069046964739808,0.0095367431640625,0.0159740447998046,0.0159740447998046,0.0039418623958131,0.0178813934326171,0.0178813934326171,0.0047683715820312,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,0.0,0.0,118.448,0.0,0.0,0.0,0.0,0.0,19861.504,0
103,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0061738491058349,0.0083684921264648,0.0078678131103515,0.0078678131103515,0.0,0.0066757202148437,0.0066757202148437,0.0,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,3.744,4.232,112.0,0.0112533569335937,0.0199794769287109,0.0,0.0060558319091796,0.0077247619628906,0.0,1
104,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0059831142425537,0.0076532363891601,0.0071525573730468,0.0071525573730468,0.0,0.0092983245849609,0.0092983245849609,0.0,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,0.0,0.0,112.0,0.0,0.0,100.0,0.0,0.0,0.0,1
105,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0059711933135986,0.0081300735473632,0.005960464477539,0.005960464477539,0.0,0.0138282775878906,0.0138282775878906,0.0,0.0,0.0,0.0,0.0,0.496,1.36,0.0,1.0,0.0,0.0,0.0,0.0,112.0,0.0,0.0,100.0,0.0,0.0,0.0,1
106,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0059568881988525,0.00762939453125,0.0073909759521484,0.0073909759521484,0.0,0.0102519989013671,0.0102519989013671,0.0,0.0,0.0,0.0,0.0,0.496,1.36,0.0,1.0,0.0,0.0,0.592,0.592,112.0,0.0200271606445312,0.0200271606445312,66.66666666666666,0.0057220458984375,0.0057220458984375,0.0,1
107,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0062036277049809,0.0085830688476562,0.0069141387939453,0.0069141387939453,0.0047683715820312,0.0100135803222656,0.0100135803222656,0.0047683715820312,0.0,0.0,0.0,0.0,0.496,1.36,0.0,3.0,0.0,0.0,2.624,3.64,113.256,0.0218550364176432,0.0348091125488281,40.0,0.0067949295043945,0.0090599060058593,1.192,1
108,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.006162112032003,0.0081062316894531,0.0100135803222656,0.0100135803222656,0.0088214874267578,0.0121593475341796,0.0121593475341796,0.0088214874267578,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,0.0,0.0,113.256,0.0,0.0,100.0,0.0,0.0,1.192,1
109,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0063728019235214,0.0091552734375,0.0123977661132812,0.0123977661132812,0.003886836792778,0.0069141387939453,0.0069141387939453,0.0045299530029296,0.0,0.0,0.0,0.0,0.496,1.36,0.0,3.0,0.0,0.0,1.12,0.592,144.408,0.0153779983520507,0.0234842300415039,60.0,0.0061988830566406,0.0061988830566406,5293.104,1
110,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0060868263244628,0.0078678131103515,0.00762939453125,0.00762939453125,0.0,0.0116825103759765,0.0116825103759765,0.0,0.0,0.0,0.0,0.0,0.496,1.36,0.0,1.0,0.0,0.0,2.096,3.64,112.0,0.0143051147460937,0.017547607421875,50.0,0.0064373016357421,0.0084638595581054,0.0,1
