time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,f1_c_retransmissions_dl_count,f1_c_retransmissions_ul_count,f1_u_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_packet_loss_dl_percentage,f1_u_packet_loss_ul_percentage,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,f1_c_latency_mean_ul_ms,f1_c_latency_mean_dl_ms,f1_c_latency_p90_ul_ms,f1_c_latency_p90_dl_ms,a1_latency_mean_ul_ms,e2_du_latency_mean_dl_ms,f1_u_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,f1_u_latency_p90_dl_ms,a1_latency_p90_ul_ms,a1_latency_mean_dl_ms,a1_latency_p90_dl_ms,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,f1_u_throughput_ul_kbps,a1_throughput_dl_kbps,a1_throughput_ul_kbps,e2_du_latency_mean_ul_ms,e2_du_latency_p90_ul_ms,f1_u_throughput_dl_kbps,F-node
50,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061631202697753,0.0083446502685546,0.0056028366088867,0.007486343383789,0.0064611434936523,0.0098228454589843,0.0060081481933593,0.0128746032714843,0.0,0.0128746032714843,0.0,0.0075340270996093,0.0116825103759765,0.0232696533203125,0.496,1.36,6.096,5.728,112.0,3.744,4.232,0.0116825103759765,0.0116825103759765,0.0,0
51,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060665607452392,0.0083446502685546,0.0090201695760091,0.0069538752237955,0.011444091796875,0.008702278137207,0.0062465667724609,0.0088214874267578,0.0,0.0088214874267578,0.0,0.0088930130004882,0.0117778778076171,0.0301122665405273,0.496,1.36,9.856,10.176,112.0,8.264,7.736,0.0069141387939453,0.0069141387939453,0.0,0
52,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060221449059633,0.0085830688476562,0.005960464477539,0.0068545341491699,0.0066280364990234,0.0078678131103515,0.0068187713623046,0.0116825103759765,0.0057220458984375,0.0116825103759765,0.0057220458984375,0.0084400177001953,0.0119686126708984,0.0233650207519531,0.496,1.36,5.6,5.728,113.256,3.744,4.232,0.0071525573730468,0.0071525573730468,1.192,0
53,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061752772567295,0.0081062316894531,0.0072717666625976,0.0075817108154296,0.0089406967163085,0.0127315521240234,0.0062465667724609,0.00762939453125,0.0044703483581542,0.00762939453125,0.0052452087402343,0.0079154968261718,0.0116348266601562,0.0226020812988281,0.496,1.36,6.448,7.008,118.448,3.744,4.232,0.0081062316894531,0.0081062316894531,27.552,0
54,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0065217897729966,0.0088214874267578,0.0088810920715332,0.0070571899414062,0.0108957290649414,0.0102043151855468,0.0063180923461914,0.0095367431640625,0.004267424679874,0.0095367431640625,0.0052452087402343,0.0086784362792968,0.0111579895019531,0.0286102294921875,0.496,1.392,6.096,5.728,136.432,8.264,7.736,0.0092983245849609,0.0092983245849609,2366.552,0
55,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006028413772583,0.0083446502685546,0.0065167744954427,0.0066757202148437,0.0073909759521484,0.0077724456787109,0.006866455078125,0.0128746032714843,0.0,0.0128746032714843,0.0,0.0092506408691406,0.0115871429443359,0.0219345092773437,0.496,1.424,8.88,10.176,112.0,3.744,4.232,0.0085830688476562,0.0085830688476562,0.0,0
56,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062142268265828,0.0083208084106445,0.007331371307373,0.0056266784667968,0.0091552734375,0.0066280364990234,0.0065326690673828,0.0107288360595703,0.0045159283806295,0.0107288360595703,0.0052452087402343,0.0081062316894531,0.0126361846923828,0.0225067138671875,0.496,1.36,6.576,5.728,119.088,3.744,4.232,0.0095367431640625,0.0095367431640625,127.944,0
57,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00596284866333,0.0078916549682617,0.0060796737670898,0.0059127807617187,0.0071525573730468,0.0078678131103515,0.0062465667724609,0.0152587890625,0.0,0.0152587890625,0.0,0.0083446502685546,0.0111818313598632,0.0273466110229492,0.496,1.424,6.448,7.008,112.0,8.264,7.736,0.011444091796875,0.011444091796875,0.0,0
58,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060534477233886,0.0083684921264648,0.0075101852416992,0.007486343383789,0.0092267990112304,0.0099658966064453,0.0062465667724609,0.0100135803222656,0.0,0.0100135803222656,0.0,0.0079631805419921,0.0125408172607421,0.0242233276367187,0.496,1.36,6.096,5.728,112.0,3.744,4.232,0.0107288360595703,0.0107288360595703,0.0,0
59,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061646546467696,0.0085830688476562,0.0071048736572265,0.0068187713623046,0.008249282836914,0.0096797943115234,0.0060558319091796,0.0139474868774414,0.0071525573730468,0.0142335891723632,0.0081062316894531,0.0077247619628906,0.0113964080810546,0.0223159790039062,1.344,2.208,8.88,9.04,117.648,3.744,4.232,0.00762939453125,0.008392333984375,5.296,0
