time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,f1_c_retransmissions_dl_count,f1_c_retransmissions_ul_count,f1_u_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_packet_loss_ul_percentage,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,e2_du_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,f1_c_latency_mean_ul_ms,f1_c_latency_p90_ul_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,a1_latency_mean_ul_ms,f1_c_latency_mean_dl_ms,f1_c_latency_p90_dl_ms,a1_latency_p90_ul_ms,a1_latency_mean_dl_ms,a1_latency_p90_dl_ms,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,f1_u_packet_loss_dl_percentage,f1_u_throughput_ul_kbps,a1_throughput_dl_kbps,a1_throughput_ul_kbps,f1_u_latency_mean_dl_ms,f1_u_latency_p90_dl_ms,f1_u_throughput_dl_kbps,F-node
94,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006287404806307,0.0083208084106445,0.00762939453125,0.00762939453125,0.0,0.0,0.0081062316894531,0.0081062316894531,0.0064849853515625,0.0,0.0,0.0090837478637695,0.0116586685180664,0.0307559967041015,0.496,1.392,0.0,0.0,0.0,122.384,16.528,15.472,0.0048637390136718,0.0064373016357421,293.024,1
95,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0067335544246258,0.0090599060058593,0.0090599060058593,0.0090599060058593,0.0,0.0,0.0143051147460937,0.0143051147460937,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.424,0.0,0.0,0.0,118.448,0.0,0.0,216.73227592369392,226.00984573364255,927.08,1
96,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006920040243923,0.0095367431640625,0.0085830688476562,0.0085830688476562,0.0,0.0,0.0131130218505859,0.0131130218505859,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.424,0.0,0.0,0.0,118.448,0.0,0.0,226.00741968810104,226.00984573364255,4276.48,1
97,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062472749464582,0.0083208084106445,0.005960464477539,0.005960464477539,0.0,0.0,0.0143051147460937,0.0143051147460937,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.424,0.0,0.0,0.0,117.888,0.0,0.0,226.0061410757212,226.00769996643064,53.528,1
98,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060498714447021,0.0078678131103515,0.0081062316894531,0.0081062316894531,0.0,0.0,0.0164508819580078,0.0164508819580078,0.0059008598327636,0.0,0.0,0.0064373016357421,0.0102917353312174,0.0188350677490234,0.496,1.424,0.0,0.0,0.0,112.0,4.272,3.704,0.0,0.0,6.384,1
99,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0072189824498114,0.0100135803222656,0.00762939453125,0.00762939453125,0.0,0.0,0.0116825103759765,0.0116825103759765,0.0065326690673828,0.0,0.0,0.0092267990112304,0.0113725662231445,0.0292539596557617,0.496,1.392,0.0,0.0,14.198188598827915,120.128,7.488,8.464,226.19642385300995,226.4399528503418,32373.392,1
100,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0071240894830048,0.009775161743164,0.0102519989013671,0.0102519989013671,0.0,0.0,0.011444091796875,0.011444091796875,0.0062499727521623,0.0,0.0,0.0077247619628906,0.0114291906356811,0.0276565551757812,0.496,1.424,0.0,0.0,14.198188598827915,117.192,12.536,11.44,0.0,0.0,4416.248,1
101,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061631202697753,0.0081062316894531,0.009775161743164,0.009775161743164,0.0,0.0,0.011444091796875,0.011444091796875,0.0061511993408203,0.0,0.0,0.0088214874267578,0.010991096496582,0.0261306762695312,0.496,1.424,0.0,0.0,14.198188598827915,112.0,8.264,7.736,0.0,0.0,0.0,1
102,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061870214357898,0.0083446502685546,0.0078678131103515,0.0078678131103515,0.0,0.0,0.0085830688476562,0.0085830688476562,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,113.256,0.0,0.0,226.00817680358887,226.00817680358887,1.192,1
103,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0057623754093303,0.0073909759521484,0.0083446502685546,0.0083446502685546,0.0,0.0,0.0085830688476562,0.0085830688476562,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,113.256,0.0,0.0,226.17922248421132,226.4331102371216,1.192,1
