time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,f1_c_retransmissions_dl_count,f1_c_retransmissions_ul_count,f1_u_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_packet_loss_ul_percentage,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,e2_du_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,f1_c_latency_mean_dl_ms,f1_c_latency_mean_ul_ms,f1_c_latency_p90_dl_ms,f1_c_latency_p90_ul_ms,a1_latency_mean_ul_ms,e2_du_latency_p90_dl_ms,e2_du_latency_mean_dl_ms,a1_latency_p90_ul_ms,a1_latency_mean_dl_ms,a1_latency_p90_dl_ms,f1_u_latency_mean_dl_ms,f1_u_latency_p90_dl_ms,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,a1_throughput_ul_kbps,a1_throughput_dl_kbps,f1_u_throughput_ul_kbps,f1_u_packet_loss_dl_percentage,f1_u_throughput_dl_kbps,F-node
124,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062747974300858,0.0083446502685546,0.005960464477539,0.005960464477539,0.0,0.0,0.0,0.0,0.0060558319091796,0.0112056732177734,0.0112056732177734,0.0079154968261718,0.0102758407592773,0.0254631042480468,0.0121593475341796,0.0121593475341796,0.496,1.36,0.0,0.0,7.736,8.264,113.256,0.0,1.192,1
125,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0064200249271116,0.0089168548583984,0.0073909759521484,0.0073909759521484,0.0,0.0,0.0,0.0,0.0,0.0107288360595703,0.0107288360595703,0.0,0.0,0.0,0.1047383035932268,0.3211498260498047,0.496,1.36,0.0,0.0,0.0,0.0,144.408,25.61105207226355,7875.008,1
126,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0066851625348081,0.0090599060058593,0.0102519989013671,0.0102519989013671,0.0,0.0,0.0,0.0,0.0068187713623046,0.0152587890625,0.0152587890625,0.0096797943115234,0.0114917755126953,0.0226497650146484,0.1232927305656566,0.3271102905273437,0.496,1.424,0.0,0.0,4.232,3.744,118.448,22.272727272727273,7744.96,1
127,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060343742370605,0.0081062316894531,0.0064373016357421,0.0064373016357421,0.0,0.0,0.0,0.0,0.0057697296142578,0.0073909759521484,0.0073909759521484,0.0071048736572265,0.0108718872070312,0.0208377838134765,0.0,0.0,0.496,1.424,0.0,0.0,4.232,3.744,112.0,22.272727272727273,0.0,1
128,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0065329051253819,0.0090599060058593,0.0088214874267578,0.0088214874267578,0.0,0.0,0.0,0.0,0.0058650970458984,0.0104904174804687,0.0104904174804687,0.0080108642578125,0.0106970469156901,0.0270843505859375,0.0428171718821806,0.1960277557373047,0.496,1.36,0.0,0.0,11.968,12.008,122.384,27.966101694915253,2520.76,1
129,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062961483476173,0.0085830688476562,0.0100135803222656,0.0100135803222656,0.0,0.0,0.0,0.0,0.0060081481933593,0.011444091796875,0.011444091796875,0.0078201293945312,0.0112056732177734,0.021219253540039,0.0258575786243785,0.0977039337158203,0.496,1.424,0.0,0.0,4.232,3.744,117.192,26.666666666666668,555.928,1
130,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060009956359863,0.0081062316894531,0.0069141387939453,0.0069141387939453,0.0,0.0,0.0,0.0,0.0062227249145507,0.0088214874267578,0.0088214874267578,0.0083446502685546,0.0107288360595703,0.0265121459960937,0.0,0.0,0.496,1.424,0.0,0.0,7.736,8.264,112.0,26.666666666666668,0.0,1
131,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061690807342529,0.0085830688476562,0.0100135803222656,0.0100135803222656,0.0,0.0,0.0,0.0,0.0,0.0073909759521484,0.0073909759521484,0.0,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,112.0,26.666666666666668,0.0,1
132,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0063305470480847,0.0083446502685546,0.0090599060058593,0.0090599060058593,0.0,0.0,0.0,0.0,0.005960464477539,0.0119209289550781,0.0119209289550781,0.0077247619628906,0.0106334686279296,0.0203609466552734,0.0,0.0,0.496,1.36,0.0,0.0,4.232,3.744,113.256,100.0,0.0,1
133,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0063376640205952,0.0083446502685546,0.0083446502685546,0.0083446502685546,0.0,0.0,0.0,0.0,0.006103515625,0.0102519989013671,0.0102519989013671,0.0081539154052734,0.0111103057861328,0.0209808349609375,0.0861807986422702,0.2198219299316406,0.496,1.36,0.0,0.0,4.232,3.744,113.256,22.916666666666664,2495.296,1
134,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0058750608074131,0.0073909759521484,0.0081062316894531,0.0081062316894531,0.0147819519042968,0.0066757202148437,0.0147819519042968,0.0066757202148437,0.0056198665073939,0.0100135803222656,0.0100135803222656,0.0072002410888671,0.0102967023849487,0.0256299972534179,0.0,0.0,0.496,1.392,0.848,0.848,11.44,12.536,113.256,100.0,0.0,1
135,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006188154220581,0.0083446502685546,0.0088214874267578,0.0088214874267578,0.005960464477539,0.0133514404296875,0.005960464477539,0.0133514404296875,0.0057220458984375,0.0083446502685546,0.0083446502685546,0.0062942504882812,0.0101725260416666,0.0182390213012695,0.0,0.0,0.496,1.36,0.848,0.848,3.704,4.272,112.0,100.0,0.0,1
136,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059068202972412,0.0078678131103515,0.0073909759521484,0.0073909759521484,0.0,0.0,0.0,0.0,0.0061750411987304,0.0140666961669921,0.0140666961669921,0.0079154968261718,0.0112533569335937,0.0272035598754882,0.0063180923461914,0.007939338684082,0.496,1.36,0.0,0.0,7.736,8.264,112.0,0.0,17.408,1
137,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062995743983,0.0085830688476562,0.00762939453125,0.00762939453125,0.0,0.0,0.0,0.0,0.0,0.0119209289550781,0.0119209289550781,0.0,0.0,0.0,0.015717286330003,0.0498294830322265,0.496,1.392,0.0,0.0,0.0,0.0,137.456,31.57894736842105,196.944,1
138,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0064705141741244,0.0085830688476562,0.0081062316894531,0.0081062316894531,0.0,0.0,0.0,0.0,0.0066280364990234,0.0085830688476562,0.0085830688476562,0.0092506408691406,0.01068115234375,0.01983642578125,0.034431048801967,0.1008749008178711,0.496,1.424,0.0,0.0,4.232,3.744,114.6,30.693069306930692,655.072,1
139,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060224533081054,0.0081062316894531,0.0069141387939453,0.0069141387939453,0.0,0.0,0.0,0.0,0.0064849853515625,0.0081062316894531,0.0081062316894531,0.008249282836914,0.0119209289550781,0.0233173370361328,0.0113844871520996,0.0211954116821289,0.496,1.424,0.0,0.0,4.232,3.744,112.0,20.0,34.24,1
140,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006162112032003,0.0083446502685546,0.0083446502685546,0.0083446502685546,0.0,0.0,0.0,0.0,0.0060399373372395,0.0100135803222656,0.0100135803222656,0.0081062316894531,0.0108242034912109,0.0277996063232421,0.0052452087402343,0.0052452087402343,0.496,1.392,0.0,0.0,11.968,12.008,113.256,0.0,1.192,1
