time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,f1_c_retransmissions_dl_count,f1_c_retransmissions_ul_count,f1_u_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_packet_loss_ul_percentage,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,e2_du_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,f1_c_latency_mean_ul_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,f1_c_latency_mean_dl_ms,f1_c_latency_p90_ul_ms,a1_latency_mean_ul_ms,f1_c_latency_p90_dl_ms,a1_latency_p90_ul_ms,a1_latency_mean_dl_ms,a1_latency_p90_dl_ms,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,a1_throughput_ul_kbps,a1_throughput_dl_kbps,f1_u_packet_loss_dl_percentage,f1_u_throughput_ul_kbps,f1_u_latency_mean_dl_ms,f1_u_latency_p90_dl_ms,f1_u_throughput_dl_kbps,F-node
69,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060719637135368,0.0081062316894531,0.0066757202148437,0.0066757202148437,0.0,0.0126361846923828,0.0126361846923828,0.0,0.0,0.0058889389038085,0.0,0.0081062316894531,0.0104188919067382,0.0270605087280273,0.496,1.36,0.0,0.0,8.464,7.488,0.0,113.256,0.0042915344238281,0.0042915344238281,1.192,0
70,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062322616577148,0.0081300735473632,0.0085830688476562,0.0085830688476562,0.0,0.0128746032714843,0.0128746032714843,0.0,0.0,0.005960464477539,0.0,0.0076293945312499,0.0104450044177827,0.0245571136474609,0.496,1.36,0.0,0.0,14.944,17.056,0.0,112.0,0.0,0.0,0.0,0
71,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0063710096405773,0.0085830688476562,0.00762939453125,0.00762939453125,0.0,0.0147819519042968,0.0147819519042968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,0.0,137.96,0.004138906630512,0.0052452087402343,2411.08,0
72,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062429904937744,0.0085830688476562,0.0112056732177734,0.0112056732177734,0.0,0.0128746032714843,0.0128746032714843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.424,0.0,0.0,0.0,0.0,0.0,112.0,0.0043187822614397,0.0056266784667968,343.896,0
73,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0063393375661113,0.0085830688476562,0.0078678131103515,0.0078678131103515,0.0069141387939453,0.0119209289550781,0.0119209289550781,0.0100135803222656,0.0069141387939453,0.0,0.0100135803222656,0.0,0.0,0.0,0.496,1.424,0.848,0.848,0.0,0.0,0.0,122.16,0.0039706720369998,0.0047683715820312,4497.216,0
74,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007133672733118,0.0100135803222656,0.0100135803222656,0.0100135803222656,0.0073909759521484,0.0154972076416015,0.0154972076416015,0.0045299530029296,0.0073909759521484,0.006103515625,0.0045299530029296,0.0081062316894531,0.0106334686279296,0.0260353088378906,0.496,1.424,0.848,0.848,8.464,7.488,0.0,118.448,0.0039402186960748,0.0047683715820312,13573.728,0
75,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006262935809235,0.0083446502685546,0.0083446502685546,0.0083446502685546,0.0,0.0171661376953125,0.0171661376953125,0.0,0.0,0.0063180923461914,0.0,0.0086545944213867,0.0105142593383789,0.0263929367065429,0.496,1.424,0.0,0.0,8.464,7.488,0.0,113.256,0.0041650266063456,0.0052452087402343,980.016,0
76,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006075522199792,0.0088214874267578,0.0069141387939453,0.0069141387939453,0.0,0.0102519989013671,0.0102519989013671,0.0,0.0,0.0066757202148437,0.0,0.0091552734375,0.0112414360046386,0.0277280807495117,0.496,1.424,0.0,0.0,15.472,16.528,0.0,113.256,0.0045299530029296,0.0045299530029296,1.192,0
77,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059073514277392,0.0081062316894531,0.0090599060058593,0.0090599060058593,0.0,0.0102519989013671,0.0102519989013671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,0.0,122.384,0.0072717666625976,0.007939338684082,10.512,0
78,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059426720462628,0.0081062316894531,0.0083446502685546,0.0083446502685546,0.0,0.0140666961669921,0.0140666961669921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.424,0.0,0.0,0.0,0.0,0.0,117.192,0.0081062316894531,0.0081062316894531,5.256,0
79,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062823295593261,0.0085830688476562,0.0119209289550781,0.0119209289550781,0.0,0.0109672546386718,0.0109672546386718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,0.0,112.0,0.0,0.0,0.0,0
80,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062519961064404,0.0088214874267578,0.0064373016357421,0.0064373016357421,0.0,0.00762939453125,0.00762939453125,0.0,0.0,0.0064373016357421,0.0,0.0085830688476562,0.0116586685180664,0.028395652770996,0.496,1.424,0.0,0.0,8.464,7.488,0.0,127.016,0.0039578274905582,0.0047683715820312,6130.136,0
81,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0067583405145324,0.0090360641479492,0.0088214874267578,0.0088214874267578,0.0,0.0164508819580078,0.0164508819580078,0.0,0.0,0.006103515625,0.0,0.0083446502685546,0.0111579895019531,0.0279903411865234,0.496,1.424,0.0,0.0,8.464,7.488,0.0,118.448,0.0040976094527983,0.0050067901611328,2841.296,0
82,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062700527817455,0.0083446502685546,0.0085830688476562,0.0085830688476562,0.0,0.0123977661132812,0.0123977661132812,0.0,0.0,0.0060319900512695,0.0,0.0086069107055664,0.0109672546386718,0.0261783599853515,0.496,1.424,0.0,0.0,15.472,16.528,0.0,113.256,0.004097267433449,0.0055789947509765,271.992,0
83,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0063034113992023,0.0085830688476562,0.0109672546386718,0.0109672546386718,0.0,0.0109672546386718,0.0109672546386718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.424,0.0,0.0,0.0,0.0,0.0,121.048,0.004221128937382,0.0052452087402343,1137.848,0
