time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,f1_c_retransmissions_dl_count,f1_c_retransmissions_ul_count,f1_u_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_packet_loss_dl_percentage,f1_u_packet_loss_ul_percentage,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,e2_du_latency_p90_ul_ms,a1_latency_mean_ul_ms,e2_du_latency_mean_dl_ms,a1_latency_p90_ul_ms,e2_du_latency_p90_dl_ms,f1_c_latency_mean_dl_ms,f1_c_latency_mean_ul_ms,a1_latency_mean_dl_ms,f1_c_latency_p90_dl_ms,f1_c_latency_p90_ul_ms,a1_latency_p90_dl_ms,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,a1_throughput_ul_kbps,a1_throughput_dl_kbps,f1_u_throughput_ul_kbps,f1_u_latency_mean_dl_ms,f1_u_latency_p90_dl_ms,f1_u_throughput_dl_kbps,F-node
37,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061297416687011,0.0083446502685546,0.0078678131103515,0.0078678131103515,0.0062942504882812,0.013589859008789,0.0082015991210937,0.013589859008789,0.0,0.0,0.0109195709228515,0.0,0.0,0.0200271606445312,0.496,1.424,0.0,0.0,4.232,3.744,112.0,0.0,0.0,0.0,0
38,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062498880262991,0.0083446502685546,0.0071525573730468,0.0071525573730468,0.0066757202148437,0.0071525573730468,0.0087738037109375,0.0071525573730468,0.0,0.0,0.0126361846923828,0.0,0.0,0.0246524810791015,0.496,1.36,0.0,0.0,4.232,3.744,113.256,0.0047683715820312,0.0047683715820312,1.192,0
39,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060656491447897,0.0081062316894531,0.0109672546386718,0.0109672546386718,0.0061750411987304,0.0102519989013671,0.0081300735473632,0.0102519989013671,0.0,0.0,0.011301040649414,0.0,0.0,0.0267744064331054,0.496,1.36,0.0,0.0,7.736,8.264,120.4,0.0047172818865094,0.0064373016357421,145.664,0
40,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060419044872321,0.0080823898315429,0.0095367431640625,0.0095367431640625,0.0064849853515625,0.0073909759521484,0.008392333984375,0.0073909759521484,0.0077486038208007,0.0075101852416992,0.0113487243652343,0.0078439712524414,0.007796287536621,0.0216007232666015,0.496,1.424,1.696,1.696,4.232,3.744,117.136,0.0066757202148437,0.006866455078125,6.888,0
41,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062154893258317,0.0088214874267578,0.0071525573730468,0.0071525573730468,0.0063419342041015,0.0095367431640625,0.0078678131103515,0.0095367431640625,0.0,0.0,0.0108242034912109,0.0,0.0,0.0203132629394531,0.496,1.424,0.0,0.0,4.232,3.744,114.984,0.0044037314022288,0.0062465667724609,174.472,0
42,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059296242633269,0.0078678131103515,0.0112056732177734,0.0112056732177734,0.0064611434936523,0.0104904174804687,0.0086069107055664,0.0104904174804687,0.0,0.0,0.0113248825073242,0.0,0.0,0.0261306762695312,0.496,1.424,0.0,0.0,7.736,8.264,114.968,0.0069141387939453,0.0069141387939453,2.68,0
43,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0063886689902538,0.0085830688476562,0.0095367431640625,0.0095367431640625,0.0083446502685546,0.0083446502685546,0.011444091796875,0.0083446502685546,0.0,0.0,0.0118732452392578,0.0,0.0,0.0219345092773437,0.496,1.424,0.0,0.0,4.232,3.744,114.968,0.0046510545034257,0.0056743621826171,270.024,0
44,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062320955950229,0.0081062316894531,0.0066757202148437,0.0066757202148437,0.007486343383789,0.0116825103759765,0.009012222290039,0.0116825103759765,0.0,0.0,0.0108718872070312,0.0,0.0,0.0201702117919921,0.496,1.424,0.0,0.0,4.232,3.744,117.192,0.0056028366088867,0.0066518783569335,15.904,0
45,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060867555070631,0.0078678131103515,0.0069141387939453,0.0069141387939453,0.005960464477539,0.011444091796875,0.0086069107055664,0.011444091796875,0.0,0.0,0.0114917755126953,0.0,0.0,0.026702880859375,0.496,1.424,0.0,0.0,7.736,8.264,117.504,0.0049500238327752,0.0061988830566406,147.8,0
46,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062803230663337,0.0083446502685546,0.0083446502685546,0.0083446502685546,0.0061988830566406,0.0140666961669921,0.0080108642578125,0.0140666961669921,0.0,0.0,0.0119209289550781,0.0,0.0,0.0237941741943359,0.496,1.424,0.0,0.0,4.232,3.744,118.448,0.0045908258316364,0.0058174133300781,272.104,0
