time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,f1_c_retransmissions_dl_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,f1_c_retransmissions_ul_count,f1_u_packet_loss_ul_percentage,f1_u_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_packet_loss_dl_percentage,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,f1_c_latency_mean_ul_ms,f1_c_latency_mean_dl_ms,f1_c_latency_p90_ul_ms,f1_c_latency_p90_dl_ms,f1_u_latency_mean_dl_ms,f1_u_latency_p90_dl_ms,e2_du_latency_p90_dl_ms,e2_du_latency_mean_dl_ms,a1_latency_mean_ul_ms,a1_latency_p90_ul_ms,a1_latency_mean_dl_ms,a1_latency_p90_dl_ms,e2_du_retransmissions_ul_count,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,a1_throughput_ul_kbps,a1_throughput_dl_kbps,f1_u_throughput_ul_kbps,e2_du_latency_mean_ul_ms,e2_du_latency_p90_ul_ms,f1_u_throughput_dl_kbps,F-node
134,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0068026395579475,0.0085830688476562,0.0077088673909505,0.0060002009073893,0.0092983245849609,0.0072717666625976,0.004744529724121,0.0057458877563476,0.0073909759521484,0.0073909759521484,0.0064373016357421,0.0083446502685546,0.0124454498291015,0.0226020812988281,0,0.496,1.424,9.856,10.176,4.232,3.744,117.888,32.01770782470703,32.01770782470703,63.216,1
135,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0064112060698703,0.0088214874267578,0.0078082084655761,0.0069737434387207,0.0099420547485351,0.0094413757324218,0.0048319498697916,0.0068664550781249,0.0140666961669921,0.0140666961669921,0.0072956085205078,0.0091552734375,0.0112056732177734,0.0272989273071289,0,0.496,1.392,5.6,5.728,8.464,7.488,117.192,32.010555267333984,32.010555267333984,118.44,1
136,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0064076475836151,0.0085830688476562,0.0073512395222981,0.0054836273193359,0.0083446502685546,0.006866455078125,0.0041809949007901,0.0052452087402343,0.0081062316894531,0.0081062316894531,0.0062306722005208,0.0088691711425781,0.011905034383138,0.0304698944091796,0,0.496,1.424,6.448,7.008,11.968,12.008,117.192,32.01413154602051,32.01413154602051,813.76,1
137,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0062918663024902,0.0083684921264648,0.0067949295043945,0.006866455078125,0.0076532363891601,0.0089168548583984,0.0051259994506835,0.0070571899414062,0.0083446502685546,0.0083446502685546,0.0063313378228081,0.0079631805419921,0.0110322778875177,0.0278949737548828,0,0.496,1.392,6.096,5.728,7.208,8.792,112.0,32.010793685913086,32.010793685913086,54.0,1
138,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0062937760234472,0.0083446502685546,0.0075499216715494,0.0067551930745442,0.0095367431640625,0.0085830688476562,0.0,0.0,0.0104904174804687,0.0104904174804687,0.0,0.0,0.0,0.0,0,0.496,1.424,9.856,10.176,0.0,0.0,117.192,32.02104568481445,32.02104568481445,0.0,1
139,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0062309094329378,0.0083446502685546,0.0064373016357421,0.0065326690673828,0.0074386596679687,0.0098228454589843,0.0042617321014404,0.005197525024414,0.0145435333251953,0.0145435333251953,0.0,0.0,0.0,0.0,0,0.496,1.36,6.448,6.224,0.0,0.0,122.52,32.00984001159668,32.00984001159668,66.0,1
140,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0065104796154664,0.0088214874267578,0.0065803527832031,0.0065565109252929,0.0075817108154296,0.0084400177001953,0.0048478444417317,0.0057220458984375,0.0092983245849609,0.0092983245849609,0.0066757202148437,0.0084400177001953,0.0118732452392578,0.0218868255615234,0,0.496,1.424,5.6,6.512,4.232,3.744,118.448,32.012224197387695,32.012224197387695,206.16,1
141,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0062878452130218,0.0085830688476562,0.0063776969909667,0.0060796737670898,0.0072240829467773,0.0073671340942382,0.0054836273193359,0.0054836273193359,0.0128746032714843,0.0128746032714843,0.006270408630371,0.0086545944213867,0.0115156173706054,0.029921531677246,0,0.496,1.36,12.448,15.712,8.464,7.488,113.256,32.011985778808594,32.011985778808594,1.192,1
142,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0065167744954427,0.0088214874267578,0.007682376437717,0.0064849853515625,0.0104904174804687,0.007796287536621,0.0049216406685965,0.0064373016357421,0.0102519989013671,0.0102519989013671,0.0063578287760416,0.0090599060058593,0.0120162963867187,0.0302314758300781,0,0.496,1.36,13.888,24.048,11.968,12.008,121.824,32.01103210449219,32.01103210449219,98.72,1
143,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0066697894044183,0.0090599060058593,0.0083446502685546,0.0066280364990234,0.010538101196289,0.0088691711425781,0.0043842527601454,0.0052452087402343,0.00762939453125,0.00762939453125,0.0063180923461914,0.0090837478637695,0.0118017196655273,0.0303030014038085,0,0.496,1.424,6.448,6.224,7.736,8.264,117.192,32.01127052307129,32.01127052307129,415.184,1
144,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0062191486358642,0.0081300735473632,0.0072479248046875,0.0070929527282714,0.008249282836914,0.0095844268798828,0.0,0.0,0.0112056732177734,0.0112056732177734,0.0,0.0,0.0,0.0,0,0.496,1.424,6.08,6.512,0.0,0.0,112.0,32.0127010345459,32.0127010345459,0.0,1
