time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,f1_c_retransmissions_dl_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_dl_percentage,f1_c_retransmissions_ul_count,f1_u_packet_loss_dl_percentage,f1_u_packet_loss_ul_percentage,f1_u_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,f1_u_latency_mean_dl_ms,f1_u_latency_p90_dl_ms,a1_latency_mean_ul_ms,a1_latency_p90_ul_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,f1_c_latency_mean_ul_ms,f1_c_latency_mean_dl_ms,f1_c_latency_p90_ul_ms,a1_latency_mean_dl_ms,f1_c_latency_p90_dl_ms,a1_latency_p90_dl_ms,e2_du_throughput_dl_kbps,e2_du_retransmissions_ul_count,e2_du_throughput_ul_kbps,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,f1_u_throughput_ul_kbps,a1_throughput_dl_kbps,a1_throughput_ul_kbps,e2_du_packet_loss_ul_percentage,e2_du_latency_mean_ul_ms,e2_du_latency_p90_ul_ms,f1_u_throughput_dl_kbps,F-node
32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0065612320852751,0.0087976455688476,0.0042084897502084,0.0050067901611328,0.0063419342041015,0.0083446502685546,0.0090599060058593,0.0090599060058593,0.0,0.0,0.0,0.0117778778076171,0.0,0.0215530395507812,0.496,0,1.424,0.0,0.0,116.08,4.52,3.504,0.0,0.0100135803222656,0.0100135803222656,1416.928,0
33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.006190579922045,0.0081062316894531,0.0047842661539713,0.0055313110351562,0.0,0.0,0.011444091796875,0.011444091796875,0.0,0.0,0.0,0.0,0.0,0.0,0.496,0,1.424,0.0,0.0,117.192,0.0,0.0,0.0,0.0081062316894531,0.0081062316894531,105.208,0
34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0064717003362095,0.0088214874267578,0.0041254450765888,0.0050067901611328,0.0,0.0,0.0123977661132812,0.0123977661132812,0.0,0.0,0.0,0.0,0.0,0.0,0.496,0,1.424,0.0,0.0,117.192,0.0,0.0,0.0,0.0069141387939453,0.0069141387939453,911.192,0
35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0066686032423332,0.0090599060058593,0.0038991719136982,0.0045299530029296,0.0,0.0,0.0119209289550781,0.0119209289550781,0.0,0.0,0.0,0.0,0.0,0.0,0.496,0,1.424,0.0,0.0,117.192,0.0,0.0,0.0,0.00762939453125,0.00762939453125,4910.472,0
36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.006345510482788,0.0085830688476562,0.003966208427183,0.0047683715820312,0.0057697296142578,0.0074386596679687,0.0069141387939453,0.0069141387939453,0.0,0.0,0.0,0.0106334686279296,0.0,0.0208377838134765,0.496,0,1.424,0.0,0.0,116.632,3.744,4.232,0.0,0.009775161743164,0.009775161743164,3432.464,0
37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0063723856859868,0.0088214874267578,0.0039852218122671,0.0050067901611328,0.0057697296142578,0.0073909759521484,0.0100135803222656,0.0100135803222656,0.0,0.0,0.0,0.0107765197753906,0.0,0.0206470489501953,0.496,0,1.424,0.0,0.0,118.448,3.744,4.232,0.0,0.0083446502685546,0.0083446502685546,1679.56,0
38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.005902630267757,0.0080823898315429,0.0063578287760416,0.0069141387939453,0.0063419342041015,0.0081539154052734,0.0095367431640625,0.0095367431640625,0.0,0.0,0.0,0.010085105895996,0.0,0.0242471694946289,0.496,0,1.424,0.0,0.0,117.232,8.264,7.736,0.0,0.0104904174804687,0.0104904174804687,8.568,0
39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0062838639363203,0.0083446502685546,0.0040671404670266,0.0050067901611328,0.0,0.0,0.0085830688476562,0.0085830688476562,0.0,0.0,0.0,0.0,0.0,0.0,0.496,0,1.424,0.0,0.0,118.448,0.0,0.0,0.0,0.0078678131103515,0.0078678131103515,1452.336,0
40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.006521519143783,0.0088214874267578,0.0039863978884347,0.0047683715820312,0.0,0.0,0.0121593475341796,0.0121593475341796,0.0,0.0,0.0,0.0,0.0,0.0,0.496,0,1.424,0.0,0.0,117.192,0.0,0.0,0.0,0.0126361846923828,0.0126361846923828,2567.576,0
41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0060999393463134,0.0078678131103515,0.0,0.0,0.0,0.0,0.005960464477539,0.005960464477539,0.0,0.0,0.0,0.0,0.0,0.0,0.496,0,1.424,0.0,0.0,112.0,0.0,0.0,0.0,0.0073909759521484,0.0073909759521484,0.0,0
42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0070121028635761,0.0092983245849609,0.0038629705791679,0.0045299530029296,0.006103515625,0.0079154968261718,0.0178813934326171,0.0178813934326171,0.0,0.0,0.0,0.0116825103759765,0.0,0.0231266021728515,0.496,0,1.36,0.0,0.0,122.384,3.744,4.232,0.0,0.0092983245849609,0.0092983245849609,37051.368,0
43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0069343035493917,0.009775161743164,0.0038754706289253,0.0045299530029296,0.0062942504882812,0.0079631805419921,0.0100135803222656,0.0100135803222656,0.0,0.0,0.0,0.0118732452392578,0.0,0.0223159790039062,0.496,0,1.424,0.0,0.0,117.192,3.744,4.232,0.0,0.009775161743164,0.009775161743164,2925.24,0
44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0061217825211102,0.0078678131103515,0.0042915344238281,0.0042915344238281,0.0060319900512695,0.0079154968261718,0.0066757202148437,0.0066757202148437,0.0,0.0,0.0,0.0105857849121093,0.0,0.0246524810791015,0.496,0,1.424,0.0,0.0,113.256,8.264,7.736,0.0,0.0121593475341796,0.0121593475341796,1.192,0
45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0061360164661312,0.0081062316894531,0.0064373016357421,0.0064373016357421,0.0,0.0,0.0116825103759765,0.0116825103759765,0.0,0.0,0.0,0.0,0.0,0.0,0.496,0,1.36,0.0,0.0,113.256,0.0,0.0,0.0,0.0073909759521484,0.0073909759521484,1.192,0
46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0060185864197081,0.0085830688476562,0.0047683715820312,0.0047683715820312,0.0,0.0,0.0126361846923828,0.0126361846923828,0.0,0.0,0.0,0.0,0.0,0.0,0.496,0,1.36,0.0,0.0,113.256,0.0,0.0,0.0,0.0073909759521484,0.0073909759521484,1.192,0
47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0060272216796875,0.0081062316894531,0.0,0.0,0.0,0.0,0.0102519989013671,0.0102519989013671,0.0,0.0,0.0,0.0,0.0,0.0,0.496,0,1.36,0.0,0.0,112.0,0.0,0.0,0.0,0.0064373016357421,0.0064373016357421,0.0,0
48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0059437751770019,0.0078678131103515,0.0,0.0,0.0058174133300781,0.0072479248046875,0.0138282775878906,0.0138282775878906,0.0,0.0,0.0,0.0101089477539062,0.0,0.0190258026123046,0.496,0,1.36,0.0,0.0,112.0,3.744,4.232,0.0,0.0078678131103515,0.0078678131103515,0.0,0
49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0060126556092826,0.0081062316894531,0.0067551930745442,0.008392333984375,0.0073432922363281,0.0109672546386718,0.0052452087402343,0.0052452087402343,0.0,0.0,0.0,0.0111579895019531,0.0,0.021219253540039,0.496,0,1.36,0.0,0.0,117.192,3.744,4.232,0.0,0.0071525573730468,0.0071525573730468,25.016,0
50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0075386791694455,0.0101566314697265,0.0038893868204991,0.0045299530029296,0.0060796737670898,0.0079631805419921,0.0143051147460937,0.0143051147460937,0.0,0.0,0.0,0.0114679336547851,0.0,0.0282049179077148,0.496,0,1.424,0.0,0.0,142.592,8.264,7.736,0.0,0.0128746032714843,0.0128746032714843,38610.944,0
51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0069153249560303,0.0090599060058593,0.0039989298040216,0.0047683715820312,0.0,0.0,0.0147819519042968,0.0147819519042968,0.0,0.0,0.0,0.0,0.0,0.0,0.496,0,1.424,0.0,0.0,113.256,0.0,0.0,0.0,0.0119209289550781,0.0119209289550781,1471.568,0
52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0059782569088152,0.0078678131103515,0.0045299530029296,0.0045299530029296,0.0,0.0,0.0197887420654296,0.0197887420654296,0.0,0.0,0.0,0.0,0.0,0.0,0.496,0,1.424,0.0,0.0,113.256,0.0,0.0,0.0,0.0078678131103515,0.0078678131103515,1.192,0
53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0059972355021766,0.00762939453125,0.0057220458984375,0.0057220458984375,0.0,0.0,0.0052452087402343,0.0052452087402343,0.0073909759521484,0.0127553939819335,0.0091075897216796,0.0,0.0189542770385742,0.0,0.496,0,1.36,1.696,1.696,113.256,0.0,0.0,0.0,0.0095367431640625,0.0095367431640625,1.192,0
54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0061201931807795,0.0083446502685546,0.0059008598327636,0.0067949295043945,0.0059127807617187,0.0075340270996093,0.0064373016357421,0.0064373016357421,0.0,0.0,0.0,0.0104427337646484,0.0,0.0202178955078125,0.496,0,1.36,0.0,0.0,122.104,3.744,4.232,0.0,0.0095367431640625,0.0095367431640625,12.448,0
55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0060731498756218,0.0078678131103515,0.0,0.0,0.0057220458984375,0.0061273574829101,0.0154972076416015,0.0154972076416015,0.0,0.0,0.0,0.0098943710327148,0.0,0.0176429748535156,0.496,0,1.424,0.0,0.0,115.496,4.272,3.704,0.0,0.0069141387939453,0.0069141387939453,0.0,0
56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0061786174774169,0.0083446502685546,0.0,0.0,0.0057697296142578,0.007939338684082,0.0081062316894531,0.0081062316894531,0.0,0.0,0.0,0.010538101196289,0.0,0.0266075134277343,0.496,0,1.424,0.0,0.0,112.0,8.264,7.736,0.0,0.0081062316894531,0.0081062316894531,0.0,0
57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0059163570404052,0.0078916549682617,0.0,0.0,0.0,0.0,0.0085830688476562,0.0085830688476562,0.0,0.0,0.0,0.0,0.0,0.0,0.496,0,1.36,0.0,0.0,112.0,0.0,0.0,0.0,0.0107288360595703,0.0107288360595703,0.0,0
58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0062178616500019,0.0085830688476562,0.0045299530029296,0.0045299530029296,0.0,0.0,0.0052452087402343,0.0052452087402343,0.0,0.0,0.0,0.0,0.0,0.0,0.496,0,1.36,0.0,0.0,113.256,0.0,0.0,0.0,0.0064373016357421,0.0064373016357421,1.192,0
59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0060363788509843,0.0081062316894531,0.0061988830566406,0.0061988830566406,0.0,0.0,0.0092983245849609,0.0127315521240234,0.0,0.0,0.0,0.0,0.0,0.0,1.344,0,2.208,0.0,0.0,113.256,0.0,0.0,0.0,0.0071525573730468,0.0082969665527343,1.192,0
60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.006349766312014,0.0088214874267578,0.0039426826991917,0.0047683715820312,0.0063896179199218,0.0081539154052734,0.0071525573730468,0.0071525573730468,0.0,0.0,0.0,0.0113964080810546,0.0,0.0216484069824218,0.496,0,1.36,0.0,0.0,141.192,3.744,4.232,0.0,0.0073909759521484,0.0073909759521484,3621.472,0
61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0072782905540656,0.0100135803222656,0.0038683210233818,0.0045299530029296,0.0057697296142578,0.0071525573730468,0.0100135803222656,0.0100135803222656,0.0,0.0,0.0,0.0102519989013671,0.0,0.0187397003173828,0.496,0,1.424,0.0,0.0,117.192,3.744,4.232,0.0,0.0112056732177734,0.0112056732177734,45942.672,0
62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0069995424640712,0.009775161743164,0.0049574621792497,0.0064849853515625,0.005960464477539,0.0081539154052734,0.0131130218505859,0.0131130218505859,0.0,0.0,0.0,0.010228157043457,0.0,0.0239849090576171,0.496,0,1.424,0.0,0.0,116.392,8.264,7.736,0.0,0.0085830688476562,0.0085830688476562,142.344,0
63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0061585535457478,0.0083446502685546,0.0047683715820312,0.0060558319091796,0.0,0.0,0.0071525573730468,0.0071525573730468,0.0,0.0,0.0,0.0,0.0,0.0,0.496,0,1.424,0.0,0.0,115.624,0.0,0.0,0.0,0.0078678131103515,0.0078678131103515,20.168,0
64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0059711933135986,0.0081062316894531,0.0073909759521484,0.0089168548583984,0.0,0.0,0.0109672546386718,0.0109672546386718,0.0,0.0,0.0,0.0,0.0,0.0,0.496,0,1.424,0.0,0.0,112.0,0.0,0.0,0.0,0.0066757202148437,0.0066757202148437,11.976,0
65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0062036277049809,0.0081062316894531,0.0085830688476562,0.0085830688476562,0.0,0.0,0.0092983245849609,0.0092983245849609,0.0,0.0,0.0,0.0,0.0,0.0,0.496,0,1.392,0.0,0.0,113.256,0.0,0.0,0.0,0.0083446502685546,0.0083446502685546,1.192,0
66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0062224888565516,0.0085830688476562,0.0054836273193359,0.0060558319091796,0.0056743621826171,0.0071525573730468,0.0123977661132812,0.0123977661132812,0.0,0.0,0.0,0.0105857849121093,0.0,0.01983642578125,0.496,0,1.36,0.0,0.0,118.448,3.744,4.232,0.0,0.0071525573730468,0.0071525573730468,11.12,0
67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0061025760443927,0.0081062316894531,0.0066280364990234,0.0080585479736328,0.0060081481933593,0.0076770782470703,0.0143051147460937,0.0143051147460937,0.0,0.0,0.0,0.0105857849121093,0.0,0.0200271606445312,0.496,0,1.424,0.0,0.0,123.64,3.744,4.232,0.0,0.0088214874267578,0.0088214874267578,29.512,0
68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0061702728271484,0.0085830688476562,0.0,0.0,0.0058650970458984,0.008392333984375,0.0061988830566406,0.0061988830566406,0.0,0.0,0.0,0.0103235244750976,0.0,0.0237941741943359,0.496,0,1.424,0.0,0.0,112.0,8.264,7.736,0.0,0.0078678131103515,0.0078678131103515,0.0,0
69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.00618577003479,0.0083446502685546,0.0,0.0,0.0,0.0,0.0078678131103515,0.0078678131103515,0.0,0.0,0.0,0.0,0.0,0.0,0.496,0,1.36,0.0,0.0,112.0,0.0,0.0,0.0,0.0064373016357421,0.0064373016357421,0.0,0
70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0060677528381347,0.0083446502685546,0.0,0.0,0.0,0.0,0.0083446502685546,0.0083446502685546,0.0,0.0,0.0,0.0,0.0,0.0,0.496,0,1.36,0.0,0.0,112.0,0.0,0.0,0.0,0.00762939453125,0.00762939453125,0.0,0
71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0061607360839843,0.0081300735473632,0.0,0.0,0.0,0.0,0.0131130218505859,0.0131130218505859,0.0,0.0,0.0,0.0,0.0,0.0,0.496,0,1.36,0.0,0.0,112.0,0.0,0.0,0.0,0.0069141387939453,0.0069141387939453,0.0,0
72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0063590149381267,0.0083446502685546,0.0054836273193359,0.0054836273193359,0.006866455078125,0.0095367431640625,0.0112056732177734,0.0112056732177734,0.0,0.0,0.0,0.010538101196289,0.0,0.019693374633789,0.496,0,1.36,0.0,0.0,113.256,3.744,4.232,0.0,0.0073909759521484,0.0073909759521484,1.192,0
73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0062273509466826,0.0083446502685546,0.0090599060058593,0.0090599060058593,0.0066280364990234,0.0085353851318359,0.0128746032714843,0.0128746032714843,0.0,0.0,0.0,0.0108242034912109,0.0,0.0211715698242187,0.496,0,1.36,0.0,0.0,113.256,3.744,4.232,0.0,0.0069141387939453,0.0069141387939453,1.192,0
74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0060968731173235,0.0081062316894531,0.0073909759521484,0.0073909759521484,0.0062942504882812,0.0088691711425781,0.0090599060058593,0.0090599060058593,0.0,0.0,0.0,0.0117063522338867,0.0,0.0304937362670898,0.496,0,1.36,0.0,0.0,113.256,8.264,7.736,0.0,0.0069141387939453,0.0069141387939453,1.192,0
75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0061500072479248,0.0081062316894531,0.0,0.0,0.0,0.0,0.009775161743164,0.009775161743164,0.0,0.0,0.0,0.0,0.0,0.0,0.496,0,1.36,0.0,0.0,112.0,0.0,0.0,0.0,0.0069141387939453,0.0069141387939453,0.0,0
76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0061714649200439,0.0081300735473632,0.0,0.0,0.0,0.0,0.0052452087402343,0.0052452087402343,0.0,0.0,0.0,0.0,0.0,0.0,0.496,0,1.36,0.0,0.0,112.0,0.0,0.0,0.0,0.0071525573730468,0.0071525573730468,0.0,0
77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.005723237991333,0.0076532363891601,0.0,0.0,0.0,0.0,0.009775161743164,0.009775161743164,0.0,0.0,0.0,0.0,0.0,0.0,0.496,0,1.36,0.0,0.0,112.0,0.0,0.0,0.0,0.0100135803222656,0.0100135803222656,0.0,0
78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0061440467834472,0.0083923339843749,0.0,0.0,0.0058650970458984,0.0074386596679687,0.0071525573730468,0.0071525573730468,0.0,0.0,0.0,0.0102043151855468,0.0,0.019073486328125,0.496,0,1.36,0.0,0.0,112.0,3.744,4.232,0.0,0.0064373016357421,0.0064373016357421,0.0,0
