time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,f1_c_retransmissions_dl_count,f1_c_retransmissions_ul_count,f1_u_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_packet_loss_dl_percentage,f1_u_packet_loss_ul_percentage,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,e2_du_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,a1_latency_mean_ul_ms,f1_c_latency_mean_dl_ms,f1_c_latency_mean_ul_ms,f1_c_latency_p90_dl_ms,f1_c_latency_p90_ul_ms,a1_latency_p90_ul_ms,a1_latency_mean_dl_ms,a1_latency_p90_dl_ms,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,f1_u_throughput_ul_kbps,a1_throughput_ul_kbps,a1_throughput_dl_kbps,f1_u_latency_mean_dl_ms,f1_u_latency_p90_dl_ms,f1_u_throughput_dl_kbps,F-node
123,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059926509857177,0.0081062316894531,0.0066757202148437,0.0066757202148437,0.0088214874267578,0.0088214874267578,0.0065088272094726,0.0,0.0,0.0,0.0,0.0081300735473632,0.010991096496582,0.0272750854492187,0.496,1.36,0.0,0.0,112.0,8.464,7.488,0.0,0.0,0.0,1
124,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061158517106848,0.0085830688476562,0.0066757202148437,0.0066757202148437,0.0090599060058593,0.0090599060058593,0.0061648232596261,0.0,0.0,0.0,0.0,0.0082731246948242,0.0107139348983764,0.0283718109130859,0.496,1.36,0.0,0.0,113.256,11.44,12.536,21.010875701904297,21.010875701904297,1.192,1
125,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060838253343876,0.0081062316894531,0.0073909759521484,0.0073909759521484,0.009775161743164,0.009775161743164,0.0058809916178385,0.0,0.0,0.0,0.0,0.0069141387939453,0.0103820453990589,0.0262260437011718,0.496,1.36,0.0,0.0,113.256,7.208,8.792,21.00801467895508,21.00801467895508,1.192,1
126,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059118318320506,0.0078678131103515,0.0088214874267578,0.0088214874267578,0.0081062316894531,0.0081062316894531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,113.256,0.0,0.0,21.008729934692383,21.008729934692383,1.192,1
127,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059187412261962,0.0078678131103515,0.0069141387939453,0.0069141387939453,0.0140666961669921,0.0140666961669921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,112.0,0.0,0.0,0.0,0.0,0.0,1
128,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060462951660156,0.0083446502685546,0.0061988830566406,0.0061988830566406,0.0081062316894531,0.0081062316894531,0.006103515625,0.0,0.0,0.0,0.0,0.0079154968261718,0.0113964080810546,0.021982192993164,0.496,1.36,0.0,0.0,112.0,4.232,3.744,0.0,0.0,0.0,1
129,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059306621551513,0.0081062316894531,0.0061988830566406,0.0061988830566406,0.0100135803222656,0.0100135803222656,0.0067472457885742,0.0,0.0,0.0,0.0,0.0085830688476562,0.0112295150756835,0.028395652770996,0.496,1.36,0.0,0.0,112.0,8.464,7.488,0.0,0.0,0.0,1
130,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0057932156235424,0.0073909759521484,0.0064373016357421,0.0064373016357421,0.0085830688476562,0.0085830688476562,0.0057816505432128,0.0,0.0,0.0,0.0,0.0062942504882812,0.0112454096476236,0.020146369934082,0.496,1.36,0.0,0.0,117.192,3.704,4.272,21.1872657140096,21.3923454284668,63.664,1
131,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059355550737523,0.0078678131103515,0.00762939453125,0.00762939453125,0.0078678131103515,0.0078678131103515,0.0068545341491699,0.0,0.0,0.0,0.0,0.0088453292846679,0.0109553337097167,0.0278472900390625,0.496,1.424,0.0,0.0,113.256,15.472,16.528,21.008729934692383,21.008729934692383,1.192,1
132,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006075522199792,0.0083446502685546,0.0064373016357421,0.0064373016357421,0.0052452087402343,0.0052452087402343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,113.256,0.0,0.0,21.012067794799805,21.012067794799805,1.192,1
133,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059675814500495,0.0078678131103515,0.0066757202148437,0.0066757202148437,0.011444091796875,0.011444091796875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,113.256,0.0,0.0,21.007061004638672,21.007061004638672,1.192,1
134,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060319900512695,0.0083446502685546,0.0064373016357421,0.0064373016357421,0.0100135803222656,0.0100135803222656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,112.0,0.0,0.0,0.0,0.0,0.0,1
135,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0058484077453613,0.00762939453125,0.0071525573730468,0.0071525573730468,0.0061988830566406,0.0061988830566406,0.0069856643676757,0.0052452087402343,0.0100135803222656,0.0052452087402343,0.0100135803222656,0.0092506408691406,0.0112771987915039,0.0286817550659179,0.496,1.36,0.848,0.848,112.0,8.464,7.488,0.0,0.0,0.0,1
136,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060939788818359,0.0085830688476562,0.0092983245849609,0.0092983245849609,0.0092983245849609,0.0092983245849609,0.0060319900512695,0.0157356262207031,0.0057220458984375,0.0157356262207031,0.0057220458984375,0.0090599060058593,0.0113248825073242,0.0284194946289062,0.496,1.36,0.848,0.848,112.0,8.464,7.488,0.0,0.0,0.0,1
137,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060939788818359,0.0081300735473632,0.0069141387939453,0.0069141387939453,0.0092983245849609,0.0092983245849609,0.006270408630371,0.0,0.0,0.0,0.0,0.0083446502685546,0.0113964080810546,0.0281333923339843,0.496,1.36,0.0,0.0,112.0,15.472,16.528,0.0,0.0,0.0,1
