time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,f1_c_retransmissions_dl_count,f1_c_retransmissions_ul_count,f1_u_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_packet_loss_dl_percentage,f1_u_packet_loss_ul_percentage,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,e2_du_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,f1_c_latency_mean_ul_ms,a1_latency_mean_ul_ms,f1_c_latency_mean_dl_ms,f1_c_latency_p90_ul_ms,f1_c_latency_p90_dl_ms,a1_latency_p90_ul_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,a1_latency_mean_dl_ms,a1_latency_p90_dl_ms,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,a1_throughput_ul_kbps,a1_throughput_dl_kbps,f1_u_throughput_ul_kbps,f1_u_latency_mean_dl_ms,f1_u_latency_p90_dl_ms,f1_u_throughput_dl_kbps,F-node
114,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060814530102174,0.0083446502685546,0.0069141387939453,0.0069141387939453,0.0,0.006723403930664,0.0,0.0,0.0,0.0086545944213867,0.0083446502685546,0.0083446502685546,0.0102996826171875,0.0249624252319335,0.496,1.424,0.0,0.0,7.736,8.264,117.192,21.02896746467141,21.09360694885254,150.008,1
115,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0064752588224648,0.0088214874267578,0.00762939453125,0.00762939453125,0.0,0.0,0.0,0.0,0.0,0.0,0.0073909759521484,0.0073909759521484,0.0,0.0,0.496,1.424,0.0,0.0,0.0,0.0,114.648,21.006678280077484,21.008777618408203,273.728,1
116,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006270408630371,0.0085830688476562,0.0064373016357421,0.0064373016357421,0.0,0.0058650970458984,0.0,0.0,0.0,0.0078678131103515,0.0107288360595703,0.0107288360595703,0.0104904174804687,0.0198841094970703,0.496,1.424,0.0,0.0,4.232,3.744,116.632,21.0086744885112,21.009445190429688,331.096,1
117,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061692290045135,0.0085830688476562,0.0150203704833984,0.0150203704833984,0.0,0.0058650970458984,0.0,0.0,0.0,0.0073909759521484,0.0133514404296875,0.0133514404296875,0.0104904174804687,0.0202178955078125,0.496,1.424,0.0,0.0,4.232,3.744,113.256,21.010398864746094,21.010398864746094,1.192,1
118,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006416161072078,0.0088214874267578,0.0071525573730468,0.0071525573730468,0.0,0.006421407063802,0.0,0.0,0.0,0.0084877014160156,0.0088214874267578,0.0088214874267578,0.0105857849121093,0.026559829711914,0.496,1.36,0.0,0.0,11.968,12.008,121.416,21.03945016860962,21.11890316009521,145.68,1
119,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006174096966734,0.0083208084106445,0.0078678131103515,0.0078678131103515,0.0,0.0060558319091796,0.0,0.0,0.0,0.00762939453125,0.00762939453125,0.00762939453125,0.0105857849121093,0.0200271606445312,0.496,1.424,0.0,0.0,4.232,3.744,118.448,21.07969919840495,21.24323844909668,63.592,1
120,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061538088974074,0.0083446502685546,0.0078678131103515,0.0078678131103515,0.0,0.0060558319091796,0.0,0.0,0.0,0.0083684921264648,0.0071525573730468,0.0071525573730468,0.0110149383544921,0.0250577926635742,0.496,1.424,0.0,0.0,7.736,8.264,117.192,21.007776260375977,21.007776260375977,10.6,1
121,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060749053955078,0.0078678131103515,0.0116825103759765,0.0116825103759765,0.0,0.0062783559163411,0.0,0.0,0.0,0.0089168548583984,0.0090599060058593,0.0090599060058593,0.0095208485921223,0.0191688537597656,0.496,1.424,0.0,0.0,11.312,10.776,112.0,0.0,0.0,0.0,1
122,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060021877288818,0.0081300735473632,0.0087976455688476,0.0067949295043945,0.0,0.0056743621826171,0.0,0.0,0.0,0.0072002410888671,0.0083446502685546,0.0089168548583984,0.0109672546386718,0.0211238861083984,1.344,2.208,0.0,0.0,4.232,3.744,112.0,0.0,0.0,0.0,1
123,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060725212097167,0.0081062316894531,0.00762939453125,0.00762939453125,0.0,0.0068187713623046,0.0,0.0,0.0,0.0083446502685546,0.0071525573730468,0.0071525573730468,0.0109672546386718,0.0201225280761718,0.496,1.36,0.0,0.0,4.232,3.744,112.0,0.0,0.0,0.0,1
