time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,f1_c_retransmissions_dl_count,f1_c_retransmissions_ul_count,f1_u_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_packet_loss_ul_percentage,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,e2_du_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,f1_c_latency_mean_ul_ms,f1_c_latency_p90_ul_ms,a1_latency_mean_ul_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,f1_c_latency_mean_dl_ms,f1_c_latency_p90_dl_ms,a1_latency_p90_ul_ms,a1_latency_mean_dl_ms,a1_latency_p90_dl_ms,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_throughput_ul_kbps,f1_c_throughput_dl_kbps,a1_throughput_dl_kbps,a1_throughput_ul_kbps,f1_u_packet_loss_dl_percentage,f1_u_throughput_ul_kbps,f1_u_latency_mean_dl_ms,f1_u_latency_p90_dl_ms,f1_u_throughput_dl_kbps,F-node
121,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006028413772583,0.0081062316894531,0.0128746032714843,0.0128746032714843,0.0040531158447265,0.0040531158447265,0.0,0.0057220458984375,0.0057220458984375,0.009775161743164,0.009775161743164,0.0,0.0,0.0,0.496,1.36,0.848,0.848,0.0,0.0,0.0,112.0,0.0,0.0,1.192,1
122,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059950351715087,0.0078678131103515,0.0068187713623046,0.0064373016357421,0.0,0.0,0.0065803527832031,0.0145435333251953,0.0145435333251953,0.0,0.0,0.008249282836914,0.0117301940917968,0.0215530395507812,1.344,2.208,0.0,0.0,3.744,4.232,0.0,112.0,0.0,0.0,0.0,1
123,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0058960914611816,0.0081062316894531,0.0092983245849609,0.0092983245849609,0.0,0.0,0.0060558319091796,0.0052452087402343,0.0052452087402343,0.0,0.0,0.0081539154052734,0.0108957290649414,0.0269412994384765,0.496,1.36,0.0,0.0,7.488,8.464,0.0,112.0,0.0,0.0,0.0,1
124,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060232674203267,0.0080108642578124,0.0066757202148437,0.0066757202148437,0.0,0.0,0.006262461344401,0.0090599060058593,0.0090599060058593,0.0,0.0,0.0080108642578125,0.0107447306315104,0.0257492065429687,0.496,1.36,0.0,0.0,12.008,11.968,0.0,127.032,3940.00776608785,3940.008640289306,15.648,1
125,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0058465929173711,0.0078678131103515,0.0069141387939453,0.0069141387939453,0.0,0.0,0.0064611434936523,0.0081062316894531,0.0081062316894531,0.0,0.0,0.0086784362792968,0.0108242034912109,0.0267744064331054,0.496,1.424,0.0,0.0,8.264,7.736,0.0,113.256,3940.041012880279,3940.107107162476,0.0,1
126,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059094595078805,0.0081062316894531,0.0071525573730468,0.0071525573730468,0.0,0.0,0.0,0.0126361846923828,0.0126361846923828,0.0,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,0.0,113.256,3940.024003982544,3940.067768096924,0.0,1
127,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060636605789412,0.00762939453125,0.00762939453125,0.00762939453125,0.0,0.0,0.0,0.0104904174804687,0.0104904174804687,0.0,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,0.0,113.256,3940.03238942888,3940.09850025177,0.0,1
128,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061264225080901,0.0083446502685546,0.0061988830566406,0.0061988830566406,0.0,0.0,0.0056624412536621,0.0128746032714843,0.0128746032714843,0.0,0.0,0.0061273574829101,0.010848045349121,0.020146369934082,0.496,1.36,0.0,0.0,4.272,3.704,0.0,122.4,3940.008670091629,3940.010786056519,102.864,1
129,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006176345977024,0.0083446502685546,0.00762939453125,0.00762939453125,0.0,0.0,0.0069379806518554,0.0119209289550781,0.0119209289550781,0.0,0.0,0.0086545944213867,0.012063980102539,0.0307559967041015,0.496,1.424,0.0,0.0,7.488,8.464,0.0,115.944,3940.008592605591,3940.009880065918,232.856,1
130,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059853738813257,0.0081062316894531,0.0081062316894531,0.0081062316894531,0.0,0.0,0.0060399373372395,0.0140666961669921,0.0140666961669921,0.0,0.0,0.008249282836914,0.0117937723795572,0.0282764434814453,0.496,1.424,0.0,0.0,12.008,11.968,0.0,117.192,3940.010160207749,3940.009331703186,178.896,1
131,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060458681476649,0.0078678131103515,0.0081062316894531,0.0081062316894531,0.0,0.0,0.0067287021213107,0.0131130218505859,0.0131130218505859,0.0,0.0,0.0082015991210937,0.0115307894620028,0.0252723693847656,0.496,1.424,0.0,0.0,8.792,7.208,0.0,114.36,3940.04340171814,3940.118718147278,173.04,1
132,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059094595078805,0.0078678131103515,0.0100135803222656,0.0100135803222656,0.0,0.0,0.0,0.0064373016357421,0.0064373016357421,0.0,0.0,0.0,0.0,0.0,0.496,1.424,0.0,0.0,0.0,0.0,0.0,117.192,3940.01280560213,3940.0091648101807,42.448,1
133,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059901185296661,0.0078678131103515,0.0078678131103515,0.0078678131103515,0.0,0.0,0.0,0.0112056732177734,0.0112056732177734,0.0,0.0,0.0,0.0,0.0,0.496,1.424,0.0,0.0,0.0,0.0,0.0,117.192,3940.006732940674,3940.007209777832,66.016,1
134,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0063227672202914,0.0085115432739257,0.0100135803222656,0.0100135803222656,0.0,0.0,0.006723403930664,0.0054836273193359,0.0054836273193359,0.0,0.0,0.0095844268798828,0.010538101196289,0.0201225280761718,0.496,1.424,0.0,0.0,3.744,4.232,0.0,134.672,3940.0069051318696,3940.008044242859,111.816,1
135,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060761676115148,0.0083446502685546,0.0078678131103515,0.0078678131103515,0.0,0.0,0.0061511993408203,0.0112056732177734,0.0112056732177734,0.0,0.0,0.0085830688476562,0.0114202499389648,0.0287294387817382,0.496,1.424,0.0,0.0,7.488,8.464,0.0,134.688,3940.006726496928,3940.0078773498535,125.264,1
136,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061825209972905,0.0081062316894531,0.0107288360595703,0.0107288360595703,0.0,0.0,0.0066916147867838,0.0112056732177734,0.0112056732177734,0.0,0.0,0.0085830688476562,0.0125090281168619,0.0321865081787109,0.496,1.424,0.0,0.0,12.008,11.968,0.0,134.592,3940.007420147167,3940.009832382202,68.296,1
137,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061351473968808,0.0083446502685546,0.0073909759521484,0.0073909759521484,0.0,0.0,0.0062465667724609,0.0083446502685546,0.0083446502685546,0.0,0.0,0.0083684921264648,0.011301040649414,0.0286102294921875,0.496,1.424,0.0,0.0,8.264,7.736,0.0,116.112,3940.007695445308,3940.010499954224,63.88,1
138,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0064981394800646,0.0088214874267578,0.0,0.0,0.0060796737670898,0.0075101852416992,0.0,0.0083446502685546,0.0083446502685546,0.0107288360595703,0.0107288360595703,0.0,0.0,0.0,0.496,0.0,1.792,0.976,0.0,0.0,0.0,94.088,3940.007421705458,3940.010404586792,118.792,1
139,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006866455078125,0.0,0.0,0.0152587890625,0.0152587890625,0.0090599060058593,0.0101566314697265,0.0237941741943359,0.0,0.0,0.0,0.496,10.776,11.312,0.0,0.0,0.0,0.0,80.072,1
140,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0094175338745117,0.0098943710327148,0.0123977661132812,0.0123977661132812,0.0077486038208007,0.0103473663330078,0.006723403930664,0.0,0.0,0.0083446502685546,0.0107288360595703,0.0094890594482421,0.0103950500488281,0.0194072723388671,0.0,1.424,26.88,23.008,3.744,4.232,0.0,1.336,0.0,0.0,50.624,1
141,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009775161743164,0.009775161743164,0.0164508819580078,0.0164508819580078,0.0082850456237792,0.0108957290649414,0.0062942504882812,0.0140666961669921,0.0140666961669921,0.0090301036834716,0.0126361846923828,0.0086545944213867,0.0112771987915039,0.0298500061035156,0.496,1.36,13.248,22.048,7.488,8.464,0.0,0.496,3940.0088787078857,3940.0088787078857,75.792,1
142,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0100135803222656,0.0100135803222656,0.0085234642028808,0.0101804733276367,0.0061194101969401,0.0100135803222656,0.0100135803222656,0.0088810920715332,0.0106334686279296,0.008249282836914,0.0104745229085286,0.0255107879638671,0.496,1.36,14.24,4.032,12.008,11.968,0.0,0.0,3940.0076866149902,3940.0084495544434,72.968,1
