time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,f1_c_retransmissions_dl_count,f1_c_retransmissions_ul_count,f1_u_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_packet_loss_ul_percentage,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,e2_du_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,f1_c_latency_mean_ul_ms,f1_c_latency_p90_ul_ms,f1_c_latency_mean_dl_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,f1_c_latency_p90_dl_ms,a1_latency_mean_ul_ms,a1_latency_p90_ul_ms,a1_latency_mean_dl_ms,a1_latency_p90_dl_ms,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,f1_u_packet_loss_dl_percentage,a1_throughput_ul_kbps,a1_throughput_dl_kbps,f1_u_throughput_ul_kbps,f1_u_latency_mean_dl_ms,f1_u_latency_p90_dl_ms,f1_u_throughput_dl_kbps,F-node
14,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060102832851125,0.0083446502685546,0.00762939453125,0.00762939453125,0.0,0.0,0.0,0.0090599060058593,0.0090599060058593,0.0,0.0062306722005208,0.008392333984375,0.0108083089192708,0.0258922576904296,0.496,1.36,0.0,0.0,0.0,11.968,12.008,117.192,0.0051259994506835,0.0061750411987304,18.192,0
15,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0069176109091749,0.0094175338745117,0.0140666961669921,0.0140666961669921,0.0,0.0,0.0,0.0090599060058593,0.0090599060058593,0.0,0.0063419342041015,0.0082015991210937,0.0101804733276367,0.0247955322265625,0.496,1.36,0.0,0.0,0.0,7.736,8.264,143.152,0.0038799138442494,0.0045299530029296,34640.984,0
16,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0073198062270434,0.009775161743164,0.0095367431640625,0.0095367431640625,0.0,0.0,0.0,0.013589859008789,0.013589859008789,0.0,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,0.0,117.192,0.0038824119215124,0.0045299530029296,8534.056,0
17,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061419472765566,0.0083446502685546,0.0088214874267578,0.0088214874267578,0.0,0.0,0.0,0.0147819519042968,0.0147819519042968,0.0,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,0.0,113.256,0.0054836273193359,0.0064373016357421,4.112,0
18,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0063258023997444,0.0088214874267578,0.0095367431640625,0.0095367431640625,0.0,0.0,0.0,0.0104904174804687,0.0104904174804687,0.0,0.0065326690673828,0.0094413757324218,0.0107288360595703,0.0204086303710937,0.496,1.36,0.0,0.0,0.0,4.232,3.744,113.256,0.005960464477539,0.005960464477539,1.192,0
19,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0058928532386893,0.0078678131103515,0.0066757202148437,0.0066757202148437,0.0,0.0,0.0,0.0085830688476562,0.0085830688476562,0.0,0.0060319900512695,0.0081300735473632,0.0111579895019531,0.0273704528808593,0.496,1.36,0.0,0.0,0.0,8.464,7.488,113.256,0.0045299530029296,0.0045299530029296,1.192,0
20,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006003166312602,0.0081062316894531,0.00762939453125,0.00762939453125,0.0,0.0,0.0,0.0147819519042968,0.0147819519042968,0.0,0.0066518783569335,0.0096082687377929,0.0104665756225585,0.0259637832641601,0.496,1.36,0.0,0.0,0.0,7.736,8.264,116.552,0.0061988830566406,0.0061988830566406,4.264,0
21,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059759616851806,0.0083446502685546,0.0066757202148437,0.0066757202148437,0.0,0.0,0.0,0.0081062316894531,0.0081062316894531,0.0,0.0066757202148437,0.0086784362792968,0.0130653381347656,0.0265121459960937,0.496,1.36,0.0,0.0,0.0,4.232,3.744,112.0,0.0,0.0,0.0,0
22,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060760974884033,0.0081062316894531,0.0090599060058593,0.0090599060058593,0.0,0.0,0.0,0.0123977661132812,0.0123977661132812,0.0,0.0061194101969401,0.0084400177001953,0.0103820453990589,0.0245571136474609,0.496,1.36,0.0,0.0,0.0,7.208,8.792,112.0,0.0,0.0,0.0,0
23,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0058531761169433,0.0078916549682617,0.0071525573730468,0.0071525573730468,0.0,0.0,0.0,0.0121593475341796,0.0121593475341796,0.0,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,0.0,112.0,0.0,0.0,0.0,0
24,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061632981940881,0.0083446502685546,0.0088214874267578,0.0088214874267578,0.0,0.0,0.0,0.011444091796875,0.011444091796875,0.0,0.0064373016357421,0.0081062316894531,0.0113964080810546,0.0213146209716796,0.496,1.36,0.0,0.0,0.0,4.232,3.744,113.256,0.00762939453125,0.00762939453125,1.192,0
25,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059711399363048,0.0081062316894531,0.0064373016357421,0.0064373016357421,0.0,0.0,0.0,0.00762939453125,0.00762939453125,0.0,0.0058174133300781,0.0075817108154296,0.0112056732177734,0.0217437744140625,0.496,1.36,0.0,0.0,0.0,4.232,3.744,113.256,0.0071525573730468,0.0071525573730468,1.192,0
26,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062119308395765,0.0081062316894531,0.0066757202148437,0.0066757202148437,0.0,0.0,0.0,0.0102519989013671,0.0102519989013671,0.0,0.0060717264811197,0.0084877014160156,0.0111738840738932,0.0274181365966796,0.496,1.36,0.0,0.0,0.0,11.968,12.008,113.256,0.0069141387939453,0.0069141387939453,1.192,0
