time_seconds,a1_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,e2_du_retransmissions_dl_count,f1_c_retransmissions_ul_count,f1_c_retransmissions_dl_count,e2_du_retransmissions_ul_count,f1_u_packet_loss_ul_percentage,f1_u_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_packet_loss_dl_percentage,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,f1_u_latency_mean_dl_ms,f1_u_latency_p90_dl_ms,e2_du_latency_mean_dl_ms,e2_du_latency_mean_ul_ms,e2_du_latency_p90_ul_ms,e2_du_latency_p90_dl_ms,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,a1_retransmissions_dl_count,a1_retransmissions_ul_count,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,f1_u_throughput_ul_kbps,f1_c_packet_loss_ul_percentage,a1_throughput_dl_kbps,a1_throughput_ul_kbps,f1_c_packet_loss_dl_percentage,a1_packet_loss_dl_percentage,f1_c_latency_p90_ul_ms,f1_c_latency_mean_ul_ms,f1_c_latency_p90_dl_ms,f1_c_latency_mean_dl_ms,a1_latency_mean_ul_ms,a1_latency_p90_ul_ms,a1_latency_p90_dl_ms,a1_latency_mean_dl_ms,f1_u_throughput_dl_kbps,F-node
18,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0071252756450899,0.0090599060058593,0.0041847229003906,0.0051498413085937,0.0156164169311523,0.0169277191162109,0.0186443328857421,0.0200986862182617,1.696,1.696,0.0,0.0,8.88,9.04,117.888,20.0,25.152,27.344,20.0,0.0,1223.9217042922974,1010.2547407150269,-891.3708448410034,-1138.5099291801453,0.0065667288643973,0.0085353851318359,0.0229835510253906,0.010190691266741,1157.928,0
19,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0069307450631364,0.0088214874267578,0.0042833130935142,0.0052452087402343,0.0156164169311523,0.0169277191162109,0.0186443328857421,0.0200986862182617,1.696,1.696,0.0,0.0,6.576,6.864,117.888,20.0,25.152,27.344,20.0,0.0,1223.805046081543,1069.0190196037292,-842.1773910522461,-1010.5289220809937,0.0065667288643973,0.0085353851318359,0.0229835510253906,0.010190691266741,836.52,0
20,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0062897653862981,0.0083208084106445,0.0044852495193481,0.0063180923461914,0.0156164169311523,0.0169277191162109,0.0186443328857421,0.0200986862182617,1.696,1.696,0.0,0.0,6.448,7.008,118.448,33.33333333333333,25.152,27.344,20.0,0.0,1286.6894245147705,1122.2051978111267,-892.0110940933228,-1051.7513155937197,0.0065667288643973,0.0085353851318359,0.0229835510253906,0.010190691266741,321.776,0
21,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0066936016082763,0.0088214874267578,0.004202127456665,0.0051736831665039,0.0156164169311523,0.0169277191162109,0.0186443328857421,0.0200986862182617,1.696,1.696,0.0,0.0,6.096,5.728,116.632,25.0,25.152,27.344,40.0,0.0,1242.7937984466553,1067.3421223958333,-876.2625694274902,-1067.1743551890056,0.0065667288643973,0.0085353851318359,0.0229835510253906,0.010190691266741,1378.176,0
22,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0070885046204524,0.0090599060058593,0.0041823030043278,0.0050067901611328,0.0156164169311523,0.0169277191162109,0.0186443328857421,0.0200986862182617,1.696,1.696,0.0,0.0,8.88,9.04,117.192,20.0,0.0,0.0,20.0,0.0,1221.0021018981934,1011.7812752723694,-892.6113367080688,-1138.275325298309,0.0,0.0,0.0,0.0,2132.952,0
23,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0068405967446702,0.0085830688476562,0.0041119464032061,0.0050067901611328,0.0156164169311523,0.0169277191162109,0.0186443328857421,0.0200986862182617,1.696,1.696,0.0,0.0,6.576,6.864,117.192,20.0,0.0,0.0,20.0,0.0,1220.611071586609,1069.7785019874573,-846.8300819396973,-1013.9175057411194,0.0,0.0,0.0,0.0,1607.232,0
24,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0063578287760416,0.0085830688476562,0.0042136834592235,0.0052452087402343,0.0156164169311523,0.0169277191162109,0.0186443328857421,0.0200986862182617,1.696,1.696,0.0,0.0,6.448,7.008,117.192,33.33333333333333,4.52,3.504,20.0,0.0,1280.6676149368286,1120.4838752746582,-896.207857131958,-1052.5630712509155,0.006723403930664,0.0088214874267578,0.0247478485107421,0.0130653381347656,1435.144,0
25,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0068180596650536,0.0085830688476562,0.0041683514912923,0.0050067901611328,0.0156164169311523,0.0169277191162109,0.0186443328857421,0.0200986862182617,1.696,1.696,0.0,0.0,6.096,5.728,117.888,25.0,3.744,4.232,40.0,0.0,1238.789129257202,1067.375898361206,-880.7016849517822,-1066.5789445241292,0.0062465667724609,0.0081062316894531,0.0240802764892578,0.0126838684082031,1040.048,0
26,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0067362144811829,0.0088214874267578,0.0043768631784539,0.0056266784667968,0.0156164169311523,0.0169277191162109,0.0186443328857421,0.0200986862182617,1.696,1.696,0.0,0.0,8.88,9.04,117.888,20.0,3.744,4.232,20.0,0.0,1217.7350521087646,1013.50998878479,-897.078275680542,-1136.8186473846436,0.0060081481933593,0.0077247619628906,0.02593994140625,0.0133514404296875,828.2,0
27,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0066614862698227,0.0085830688476562,0.0050067901611328,0.0050067901611328,0.0156164169311523,0.0169277191162109,0.0186443328857421,0.0200986862182617,1.696,1.696,0.0,0.0,6.576,6.864,113.256,20.0,8.264,7.736,20.0,0.0,1216.0263299942017,1068.986713886261,-852.4785995483398,-1013.6831998825072,0.0062465667724609,0.0083684921264648,0.0288963317871093,0.0113487243652343,1.192,0
