time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_ul_percentage,f1_u_retransmissions_ul_count,f1_u_packet_loss_dl_percentage,f1_u_packet_loss_ul_percentage,f1_u_retransmissions_dl_count,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,e2_du_latency_p90_ul_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,a1_latency_mean_ul_ms,f1_u_latency_mean_dl_ms,f1_u_latency_p90_dl_ms,a1_latency_p90_ul_ms,a1_latency_mean_dl_ms,f1_c_latency_mean_dl_ms,f1_c_latency_p90_dl_ms,a1_latency_p90_dl_ms,f1_c_retransmissions_dl_count,f1_c_retransmissions_ul_count,e2_du_throughput_ul_kbps,e2_du_throughput_dl_kbps,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,a1_throughput_dl_kbps,a1_throughput_ul_kbps,f1_u_throughput_ul_kbps,f1_c_packet_loss_dl_percentage,f1_c_latency_mean_ul_ms,f1_u_throughput_dl_kbps,f1_c_latency_p90_ul_ms,F-node
36,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.006073772317112,0.0080823898315429,0.0064373016357421,0.0064373016357421,0.009775161743164,0.009775161743164,0.0058650970458984,0.0066757202148437,0.0066757202148437,0.0073909759521484,0.0110626220703125,0.0,0.0,0.0209331512451171,0.0,0.0,1.36,0.496,0.0,0.0,3.744,4.232,118.448,0.0,0.0,11.568,0.0,0
37,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0060307230926366,0.0081062316894531,0.00762939453125,0.00762939453125,0.0088214874267578,0.0088214874267578,0.0066280364990234,0.0043607527209866,0.005960464477539,0.0081539154052734,0.0122547149658203,0.0,0.0,0.0236034393310546,0.0,0.0,1.36,0.496,0.0,0.0,3.744,4.232,142.232,0.0,0.0,287.992,0.0,0
38,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0058996677398681,0.00762939453125,0.0066757202148437,0.0066757202148437,0.0119209289550781,0.0119209289550781,0.0063180923461914,0.0,0.0,0.0086069107055664,0.0110149383544921,0.0,0.0,0.0248908996582031,0.0,0.0,1.36,0.496,0.0,0.0,8.264,7.736,112.0,0.0,0.0,0.0,0.0,0
39,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0060796737670898,0.0085830688476562,0.0090599060058593,0.0090599060058593,0.0061988830566406,0.0061988830566406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.36,0.496,0.0,0.0,0.0,0.0,112.0,0.0,0.0,0.0,0.0,0
40,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0060319900512695,0.0078916549682617,0.0088214874267578,0.0088214874267578,0.0085830688476562,0.0085830688476562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.36,0.496,0.0,0.0,0.0,0.0,112.0,0.0,0.0,0.0,0.0,0
41,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.006030797958374,0.00762939453125,0.0066757202148437,0.0066757202148437,0.0061988830566406,0.0061988830566406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.36,0.496,0.0,0.0,0.0,0.0,112.0,0.0,0.0,0.0,0.0,0
42,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0061803651087492,0.0083446502685546,0.0085830688476562,0.0085830688476562,0.0092983245849609,0.0092983245849609,0.0060081481933593,0.0049092552878639,0.0076055526733398,0.0075817108154296,0.0108242034912109,0.0,0.0,0.0194072723388671,0.0,0.0,1.36,0.496,0.0,0.0,3.744,4.232,133.552,0.0,0.0,159.856,0.0,0
43,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0060648467410263,0.0083446502685546,0.0078678131103515,0.0078678131103515,0.0123977661132812,0.0123977661132812,0.0058174133300781,0.0066757202148437,0.0066757202148437,0.0074386596679687,0.0104427337646484,0.0,0.0,0.0195503234863281,0.0,0.0,1.36,0.496,0.0,0.0,3.744,4.232,113.256,0.0,0.0,1.192,0.0,0
44,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0060292618784738,0.0081062316894531,0.0085830688476562,0.0085830688476562,0.0121593475341796,0.0121593475341796,0.0065326690673828,0.0050067901611328,0.0050067901611328,0.0088691711425781,0.0115156173706054,0.0,0.0,0.0259637832641601,0.0,0.0,1.36,0.496,0.0,0.0,8.264,7.736,113.256,0.0,0.0,1.192,0.0,0
45,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0060033798217773,0.0081062316894531,0.0073909759521484,0.0073909759521484,0.0071525573730468,0.0071525573730468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.36,0.496,0.0,0.0,0.0,0.0,112.0,0.0,0.0,0.0,0.0,0
46,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0061070919036865,0.0081300735473632,0.0081062316894531,0.0081062316894531,0.0078678131103515,0.0078678131103515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.36,0.496,0.0,0.0,0.0,0.0,112.0,0.0,0.0,0.0,0.0,0
47,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0061869621276855,0.0081062316894531,0.0069141387939453,0.0069141387939453,0.0085830688476562,0.0085830688476562,0.0,0.0046842238482306,0.0078678131103515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.36,0.496,0.0,0.0,0.0,0.0,112.0,0.0,0.0,162.696,0.0,0
48,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0060942114853277,0.008249282836914,0.0107288360595703,0.0107288360595703,0.0104904174804687,0.0104904174804687,0.0066280364990234,0.0042915344238281,0.0049114227294921,0.0081539154052734,0.0108718872070312,0.0,0.0,0.0204086303710937,0.0,0.0,1.36,0.496,0.0,0.0,3.744,4.232,133.24,0.0,0.0,200.128,0.0,0
49,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0061632981940881,0.0081062316894531,0.0083446502685546,0.0083446502685546,0.0119209289550781,0.0119209289550781,0.005960464477539,0.0050067901611328,0.0050067901611328,0.0076770782470703,0.0114917755126953,0.0,0.0,0.0206947326660156,0.0,0.0,1.36,0.496,0.0,0.0,3.744,4.232,113.256,0.0,0.0,1.192,0.0,0
50,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0058833639420087,0.0078678131103515,0.0071525573730468,0.0071525573730468,0.0090599060058593,0.0090599060058593,0.0060796737670898,0.0050067901611328,0.0050067901611328,0.0083684921264648,0.011444091796875,0.0,0.0,0.0278949737548828,0.0,0.0,1.36,0.496,0.0,0.0,8.264,7.736,113.256,0.0,0.0,1.192,0.0,0
51,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0059924908538362,0.0081062316894531,0.0066757202148437,0.0066757202148437,0.0069141387939453,0.0069141387939453,0.0,0.0047683715820312,0.0047683715820312,0.0,0.0,0.0073909759521484,0.0089168548583984,0.0,0.0,0.0,1.36,0.496,1.696,1.696,0.0,0.0,113.256,0.0,0.0054836273193359,1.192,0.0064373016357421,0
52,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0060021877288818,0.0081062316894531,0.0073909759521484,0.0073909759521484,0.005960464477539,0.005960464477539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.36,0.496,0.0,0.0,0.0,0.0,112.0,0.0,0.0,0.0,0.0,0
53,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0063535643786918,0.0085830688476562,0.0066757202148437,0.0066757202148437,0.0073909759521484,0.0073909759521484,0.0,0.004887580871582,0.0075817108154296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.36,0.496,0.0,0.0,0.0,0.0,136.104,0.0,0.0,110.368,0.0,0
54,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0061383887903014,0.0081062316894531,0.0073909759521484,0.0073909759521484,0.0126361846923828,0.0126361846923828,0.0062942504882812,0.0071525573730468,0.0075340270996093,0.0082969665527343,0.0107288360595703,0.0,0.0,0.0197887420654296,0.0,0.0,1.36,0.496,0.0,0.0,3.744,4.232,117.192,0.0,0.0,20.88,0.0,0
55,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0058710575103759,0.0074148178100585,0.0069141387939453,0.0069141387939453,0.0095367431640625,0.0095367431640625,0.0067710876464843,0.0,0.0,0.0084877014160156,0.0113964080810546,0.0,0.0,0.021982192993164,0.0,0.0,1.36,0.496,0.0,0.0,3.744,4.232,112.0,0.0,0.0,0.0,0.0,0
56,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0061087347381743,0.0081062316894531,0.0071525573730468,0.0071525573730468,0.0109672546386718,0.0109672546386718,0.0064849853515625,0.0069141387939453,0.0069141387939453,0.0081062316894531,0.0101566314697265,0.0,0.0,0.0185012817382812,0.0,0.0,1.36,0.496,0.0,0.0,3.744,4.232,113.256,0.0,0.0,1.192,0.0,0
57,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0061087347381743,0.0083446502685546,0.0088214874267578,0.0088214874267578,0.0145435333251953,0.0145435333251953,0.0066161155700683,0.0047683715820312,0.0047683715820312,0.0082731246948242,0.0108877817789713,0.0,0.0,0.0189542770385742,0.0,0.0,1.36,0.496,0.0,0.0,5.048,2.976,113.256,0.0,0.0,1.192,0.0,0
58,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0060302455250809,0.0081062316894531,0.0100135803222656,0.0100135803222656,0.0131130218505859,0.0131130218505859,0.0,0.0045458475748697,0.0069141387939453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.36,0.496,0.0,0.0,0.0,0.0,132.168,0.0,0.0,115.448,0.0,0
59,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0059878826141357,0.0078678131103515,0.0064373016357421,0.0070095062255859,0.0112056732177734,0.0113964080810546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.208,1.344,0.0,0.0,0.0,0.0,112.0,0.0,0.0,0.0,0.0,0
60,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0058305263519287,0.0073909759521484,0.0073909759521484,0.0073909759521484,0.0104904174804687,0.0104904174804687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.36,0.496,0.0,0.0,0.0,0.0,112.0,0.0,0.0,0.0,0.0,0
61,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0060931802383197,0.0081062316894531,0.0071525573730468,0.0071525573730468,0.0085830688476562,0.0085830688476562,0.0058174133300781,0.0070095062255859,0.0087738037109375,0.0073432922363281,0.0109672546386718,0.0,0.0,0.0210285186767578,0.0,0.0,1.36,0.496,0.0,0.0,3.744,4.232,120.728,0.0,0.0,28.392,0.0,0
62,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0061087347381743,0.0083446502685546,0.0069141387939453,0.0069141387939453,0.0095367431640625,0.0095367431640625,0.0063419342041015,0.0042915344238281,0.0042915344238281,0.0086545944213867,0.0098705291748046,0.0,0.0,0.0194787979125976,0.0,0.0,1.36,0.496,0.0,0.0,14.52,15.544,117.192,0.0,0.0,2.168,0.0,0
63,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0061194101969401,0.0083446502685546,0.0081062316894531,0.0081062316894531,0.0112056732177734,0.0112056732177734,0.0061750411987304,0.0052452087402343,0.0052452087402343,0.0086069107055664,0.0104904174804687,0.0,0.0,0.0254631042480468,0.0,0.0,1.36,0.496,0.0,0.0,8.264,7.736,113.256,0.0,0.0,1.192,0.0,0
64,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0060945007931533,0.0083446502685546,0.0073909759521484,0.0073909759521484,0.0071525573730468,0.0071525573730468,0.0,0.0081062316894531,0.0081062316894531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.36,0.496,0.0,0.0,0.0,0.0,113.256,0.0,0.0,1.192,0.0,0
65,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0059830015571556,0.0078678131103515,0.0064373016357421,0.0064373016357421,0.0061988830566406,0.0061988830566406,0.0,0.005960464477539,0.005960464477539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.36,0.496,0.0,0.0,0.0,0.0,113.256,0.0,0.0,1.192,0.0,0
66,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0060892105102539,0.0081062316894531,0.0092983245849609,0.0092983245849609,0.0116825103759765,0.0116825103759765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.36,0.496,0.0,0.0,0.0,0.0,112.0,0.0,0.0,0.0,0.0,0
67,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0060796737670898,0.0081062316894531,0.0078678131103515,0.0078678131103515,0.0116825103759765,0.0116825103759765,0.0062942504882812,0.0,0.0,0.0083446502685546,0.0107765197753906,0.0,0.0,0.0197887420654296,0.0,0.0,1.36,0.496,0.0,0.0,3.744,4.232,112.0,0.0,0.0,0.0,0.0,0
68,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0061500072479248,0.0086069107055664,0.0092983245849609,0.0092983245849609,0.0116825103759765,0.0116825103759765,0.0065326690673828,0.0,0.0,0.0084877014160156,0.011301040649414,0.0,0.0,0.0214576721191406,0.0,0.0,1.36,0.496,0.0,0.0,3.744,4.232,112.0,0.0,0.0,0.0,0.0,0
69,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0061583518981933,0.0081300735473632,0.0066757202148437,0.0066757202148437,0.0100135803222656,0.0100135803222656,0.0059869554307725,0.0,0.0,0.0077724456787109,0.0110756267200816,0.0,0.0,0.0286102294921875,0.0,0.0,1.36,0.496,0.0,0.0,8.792,7.208,112.0,0.0,0.0,0.0,0.0,0
70,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0061134793865146,0.0085830688476562,0.0069141387939453,0.0069141387939453,0.0064373016357421,0.0064373016357421,0.0,0.0092983245849609,0.0092983245849609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.36,0.496,0.0,0.0,0.0,0.0,113.256,0.0,0.0,1.192,0.0,0
71,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0060684052272815,0.0081062316894531,0.0078678131103515,0.0078678131103515,0.0069141387939453,0.0069141387939453,0.0,0.0045299530029296,0.0045299530029296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.36,0.496,0.0,0.0,0.0,0.0,113.256,0.0,0.0,1.192,0.0,0
72,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0060197725817931,0.0081062316894531,0.0095367431640625,0.0095367431640625,0.009775161743164,0.009775161743164,0.0,0.0042915344238281,0.0042915344238281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.36,0.496,0.0,0.0,0.0,0.0,113.256,0.0,0.0,1.192,0.0,0
73,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0059521198272705,0.0081062316894531,0.0066757202148437,0.0066757202148437,0.0104904174804687,0.0104904174804687,0.006103515625,0.0,0.0,0.0078678131103515,0.01068115234375,0.0,0.0,0.0199794769287109,0.0,0.0,1.36,0.496,0.0,0.0,3.744,4.232,112.0,0.0,0.0,0.0,0.0,0
74,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0060624744168561,0.0081062316894531,0.0095367431640625,0.0095367431640625,0.0131130218505859,0.0131130218505859,0.006103515625,0.0072717666625976,0.0096559524536132,0.0078201293945312,0.0113964080810546,0.0,0.0,0.0219345092773437,0.0,0.0,1.36,0.496,0.0,0.0,3.744,4.232,117.192,0.0,0.0,16.656,0.0,0
75,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0060634705626848,0.0084638595581054,0.0066757202148437,0.0066757202148437,0.0064373016357421,0.0064373016357421,0.0071525573730468,0.0053019750685918,0.0066757202148437,0.0097990036010742,0.0109672546386718,0.0,0.0,0.0275373458862304,0.0,0.0,1.36,0.496,0.0,0.0,8.264,7.736,126.544,0.0,0.0,49.912,0.0,0
76,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0063103822926383,0.0088214874267578,0.0107288360595703,0.0107288360595703,0.0052452087402343,0.0052452087402343,0.0,0.0050663948059082,0.0057220458984375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.36,0.496,0.0,0.0,0.0,0.0,114.408,0.0,0.0,50.816,0.0,0
77,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0060873838206428,0.0078678131103515,0.0069141387939453,0.0069141387939453,0.0073909759521484,0.0073909759521484,0.0,0.005960464477539,0.005960464477539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.36,0.496,0.0,0.0,0.0,0.0,113.256,0.0,0.0,1.192,0.0,0
78,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.005946230532518,0.0081062316894531,0.00762939453125,0.00762939453125,0.0095367431640625,0.0095367431640625,0.0,0.0047683715820312,0.0047683715820312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.36,0.496,0.0,0.0,0.0,0.0,113.256,0.0,0.0,1.192,0.0,0
79,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0059972355021766,0.00762939453125,0.0078678131103515,0.0078678131103515,0.0119209289550781,0.0119209289550781,0.0073432922363281,0.0081062316894531,0.0081062316894531,0.0108242034912109,0.0107765197753906,0.0,0.0,0.0192165374755859,0.0,0.0,1.36,0.496,0.0,0.0,3.744,4.232,113.256,0.0,0.0,1.192,0.0,0
80,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0062084197998046,0.0083446502685546,0.00762939453125,0.00762939453125,0.0088214874267578,0.0088214874267578,0.006103515625,0.0,0.0,0.0076770782470703,0.0115871429443359,0.0,0.0,0.0216484069824218,0.0,0.0,1.36,0.496,0.0,0.0,3.744,4.232,112.0,0.0,0.0,0.0,0.0,0
81,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0061075485760892,0.0085830688476562,0.0069141387939453,0.0069141387939453,0.0078678131103515,0.0078678131103515,0.0063843197292751,0.0064373016357421,0.0064373016357421,0.0092029571533203,0.0102736733176491,0.0,0.0,0.0252723693847656,0.0,0.0,1.36,0.496,0.0,0.0,8.792,7.208,114.888,0.0,0.0,2.6,0.0,0
82,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0059175491333007,0.0078678131103515,0.0071525573730468,0.0071525573730468,0.0083446502685546,0.0083446502685546,0.0,0.0,0.0,0.0,0.0,0.0090599060058593,0.0090599060058593,0.0,0.0,0.0,1.36,0.496,0.848,0.848,0.0,0.0,112.0,0.0,0.0045299530029296,0.0,0.0045299530029296,0
83,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0061607360839843,0.0081300735473632,0.0069141387939453,0.0069141387939453,0.0138282775878906,0.0138282775878906,0.0,0.0,0.0,0.0,0.0,0.0045299530029296,0.0045299530029296,0.0,0.0,0.0,1.36,0.496,0.848,0.848,0.0,0.0,112.0,0.0,0.0102519989013671,0.0,0.0102519989013671,0
84,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0061284145110933,0.0085830688476562,0.0078678131103515,0.0078678131103515,0.0078678131103515,0.0078678131103515,0.0,0.0067551930745442,0.008249282836914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.36,0.496,0.0,0.0,0.0,0.0,120.472,0.0,0.0,7.832,0.0,0
