time_seconds,a1_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,f1_c_retransmissions_ul_count,f1_c_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_packet_loss_dl_percentage,f1_u_packet_loss_ul_percentage,f1_u_retransmissions_dl_count,f1_u_latency_mean_dl_ms,f1_u_latency_mean_ul_ms,f1_u_latency_p90_dl_ms,e2_du_latency_mean_ul_ms,e2_du_latency_p90_ul_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,f1_c_latency_mean_dl_ms,f1_c_latency_mean_ul_ms,f1_c_latency_p90_ul_ms,f1_u_latency_p90_ul_ms,f1_c_latency_p90_dl_ms,a1_latency_mean_dl_ms,a1_latency_p90_dl_ms,e2_du_throughput_dl_kbps,a1_retransmissions_ul_count,e2_du_throughput_ul_kbps,a1_retransmissions_dl_count,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,a1_throughput_dl_kbps,a1_throughput_ul_kbps,a1_packet_loss_dl_percentage,f1_u_throughput_ul_kbps,a1_latency_mean_ul_ms,a1_latency_p90_ul_ms,f1_u_throughput_dl_kbps,F-node
58,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.004819461277553,0.0060656491447897,0.0076532363891601,0.0107288360595703,0.0107288360595703,0.0073909759521484,0.0073909759521484,0.0,0.0,0.0,0.0078678131103515,0.0,0.0,0.0,0.496,0.0,1.36,0.0,0.0,0.0,0.0,0.0,0.0,130.912,0.0,0.0,114.256,0
59,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0083446502685546,0.0061680428424284,0.0083446502685546,0.0065565109252929,0.0072240829467773,0.0112056732177734,0.0115871429443359,0.0,0.0,0.0,0.0085830688476562,0.0,0.0,0.0,1.344,0.0,2.272,0.0,0.0,0.0,0.0,0.0,0.0,113.256,0.0,0.0,1.192,0
60,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0047683715820312,0.0061751598149389,0.0047683715820312,0.0054836273193359,0.0054836273193359,0.0085830688476562,0.0085830688476562,0.0,0.0,0.0,0.0081062316894531,0.0,0.01068115234375,0.0198841094970703,0.496,0.0,1.36,0.0,0.0,0.0,3.744,4.232,0.0,113.256,0.0058174133300781,0.0072479248046875,1.192,0
61,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0050408499581473,0.006360542483446,0.0062942504882812,0.0061988830566406,0.0061988830566406,0.0083446502685546,0.0083446502685546,0.0,0.0,0.0,0.0087261199951171,0.0,0.0102996826171875,0.0190258026123046,0.496,0.0,1.36,0.0,0.0,0.0,3.744,4.232,0.0,127.176,0.0067710876464843,0.0082969665527343,31.752,0
62,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061726570129394,0.0,0.00762939453125,0.00762939453125,0.0107288360595703,0.0107288360595703,0.0,0.0,0.0,0.0083923339843749,0.0,0.0111189755526455,0.0243186950683593,0.496,0.0,1.424,0.0,0.0,0.0,8.792,7.208,0.0,112.0,0.0058809916178385,0.0071525573730468,0.0,0
63,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060927867889404,0.0,0.0088214874267578,0.0088214874267578,0.0095367431640625,0.0095367431640625,0.0,0.0,0.0,0.0081062316894531,0.0,0.0,0.0,0.496,0.0,1.36,0.0,0.0,0.0,0.0,0.0,0.0,112.0,0.0,0.0,0.0,0
64,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0063669681549072,0.0,0.0081062316894531,0.0081062316894531,0.0092983245849609,0.0092983245849609,0.0,0.0,0.0,0.0088214874267578,0.0,0.0,0.0,0.496,0.0,1.36,0.0,0.0,0.0,0.0,0.0,0.0,112.0,0.0,0.0,0.0,0
65,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061726570129394,0.0,0.0061988830566406,0.0061988830566406,0.0066757202148437,0.0066757202148437,0.0107288360595703,0.0116825103759765,0.0130176544189453,0.0083446502685546,0.0116825103759765,0.0,0.0,0.496,0.0,1.36,0.0,1.696,1.696,0.0,0.0,0.0,112.0,0.0,0.0,0.0,0
66,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.00762939453125,0.0062747974300858,0.00762939453125,0.0073909759521484,0.0073909759521484,0.0119209289550781,0.0119209289550781,0.0,0.0,0.0,0.0085830688476562,0.0,0.0110626220703125,0.0203609466552734,0.496,0.0,1.36,0.0,0.0,0.0,3.744,4.232,0.0,113.256,0.006103515625,0.007486343383789,1.192,0
67,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0081062316894531,0.0063008929959577,0.0081062316894531,0.0081062316894531,0.0081062316894531,0.0100135803222656,0.0100135803222656,0.0,0.0,0.0,0.0085830688476562,0.0,0.0107765197753906,0.0204086303710937,0.496,0.0,1.36,0.0,0.0,0.0,3.744,4.232,0.0,113.256,0.0060081481933593,0.0074386596679687,1.192,0
68,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0073909759521484,0.0064752588224648,0.0073909759521484,0.0081062316894531,0.0081062316894531,0.0100135803222656,0.0100135803222656,0.0,0.0,0.0,0.0083446502685546,0.0,0.0097179412841796,0.0210285186767578,0.496,0.0,1.36,0.0,0.0,0.0,19.04,19.048,0.0,113.256,0.006265640258789,0.0084877014160156,1.192,0
69,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062453746795654,0.0,0.0073909759521484,0.0073909759521484,0.0102519989013671,0.0102519989013671,0.0,0.0,0.0,0.0085830688476562,0.0,0.0,0.0,0.496,0.0,1.36,0.0,0.0,0.0,0.0,0.0,0.0,112.0,0.0,0.0,0.0,0
70,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062310695648193,0.0,0.0092983245849609,0.0092983245849609,0.0143051147460937,0.0143051147460937,0.0,0.0,0.0,0.0088214874267578,0.0,0.0,0.0,0.496,0.0,1.36,0.0,0.0,0.0,0.0,0.0,0.0,112.0,0.0,0.0,0.0,0
