time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,f1_c_retransmissions_dl_count,f1_c_retransmissions_ul_count,f1_u_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_packet_loss_dl_percentage,f1_u_packet_loss_ul_percentage,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,e2_du_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,f1_c_latency_mean_ul_ms,f1_u_latency_mean_dl_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,f1_u_latency_p90_dl_ms,f1_c_latency_p90_ul_ms,a1_latency_mean_ul_ms,a1_latency_p90_ul_ms,a1_latency_mean_dl_ms,a1_latency_p90_dl_ms,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,a1_throughput_ul_kbps,a1_throughput_dl_kbps,f1_c_latency_mean_dl_ms,f1_c_latency_p90_dl_ms,f1_u_throughput_ul_kbps,f1_u_throughput_dl_kbps,F-node
75,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060660329031113,0.0083446502685546,0.0066757202148437,0.0066757202148437,0.0,0.0069141387939453,0.0092983245849609,0.0092983245849609,0.0069141387939453,0.0,0.0061988830566406,0.0086069107055664,0.0111103057861328,0.0263929367065429,0.496,1.424,0.0,0.0,15.472,16.528,0.0,0.0,113.256,1.192,0
76,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060655102871432,0.0081062316894531,0.0071525573730468,0.0071525573730468,0.0,0.0078678131103515,0.0143051147460937,0.0143051147460937,0.008249282836914,0.0,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,0.0,0.0,122.384,10.512,0
77,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062549114227294,0.0085830688476562,0.0095367431640625,0.0095367431640625,0.0,0.0,0.0109672546386718,0.0109672546386718,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.424,0.0,0.0,0.0,0.0,0.0,0.0,112.0,0.0,0
78,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060648467410263,0.0081062316894531,0.0066757202148437,0.0066757202148437,0.0,0.0061988830566406,0.009775161743164,0.009775161743164,0.0061988830566406,0.0,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,0.0,0.0,117.192,5.256,0
79,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061847195766939,0.0083446502685546,0.0073909759521484,0.0073909759521484,0.0,0.0041392912347632,0.0066757202148437,0.0066757202148437,0.0049591064453124,0.0,0.006866455078125,0.0100374221801757,0.0114917755126953,0.029301643371582,0.496,1.424,0.0,0.0,8.464,7.488,0.0,0.0,122.384,853.512,0
80,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0066958849702901,0.0090599060058593,0.0081062316894531,0.0081062316894531,0.0,0.0040045943476619,0.005960464477539,0.005960464477539,0.0047683715820312,0.0,0.0064849853515625,0.0089645385742187,0.0111341476440429,0.0274896621704101,0.496,1.424,0.0,0.0,8.464,7.488,0.0,0.0,117.192,6878.744,0
81,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0064679891756265,0.0085830688476562,0.009775161743164,0.009775161743164,0.0,0.0040563596349184,0.0147819519042968,0.0147819519042968,0.0050067901611328,0.0,0.006085947940224,0.0088214874267578,0.0107401893252418,0.0264644622802734,0.496,1.424,0.0,0.0,14.944,17.056,0.0,0.0,118.448,1509.976,0
82,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061316065268941,0.0081062316894531,0.0069141387939453,0.0069141387939453,0.0,0.0042601635581568,0.0112056732177734,0.0112056732177734,0.0050067901611328,0.0,0.0,0.0,0.0,0.0,0.496,1.424,0.0,0.0,0.0,0.0,0.0,0.0,115.856,601.968,0
83,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0066462129649549,0.0088214874267578,0.0102519989013671,0.0102519989013671,0.0,0.0041100223368578,0.0102519989013671,0.0102519989013671,0.0050067901611328,0.0,0.0,0.0,0.0,0.0,0.496,1.424,0.0,0.0,0.0,0.0,0.0,0.0,115.712,2177.4,0
84,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0063115684547234,0.0085830688476562,0.00762939453125,0.00762939453125,0.0,0.0044504801432291,0.0081062316894531,0.0081062316894531,0.0057220458984375,0.0,0.0,0.0,0.0,0.0,0.496,1.424,0.0,0.0,0.0,0.0,0.0,0.0,114.344,180.92,0
85,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061988830566406,0.0083446502685546,0.00762939453125,0.00762939453125,0.0,0.0,0.0071525573730468,0.0071525573730468,0.0,0.0,0.0060319900512695,0.0086545944213867,0.0112533569335937,0.0298976898193359,0.496,1.424,0.0,0.0,8.464,7.488,0.0,0.0,112.0,0.0,0
86,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061237812042236,0.0081300735473632,0.0119209289550781,0.0119209289550781,0.0,0.0,0.0052452087402343,0.0052452087402343,0.0,0.0,0.0064108106825086,0.0089168548583984,0.011422417380593,0.026702880859375,0.496,1.36,0.0,0.0,7.936,8.016,0.0,0.0,112.0,0.0,0
87,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062417984008789,0.0083446502685546,0.0069141387939453,0.0069141387939453,0.0,0.0,0.0095367431640625,0.0095367431640625,0.0,0.0,0.0061869621276855,0.0086069107055664,0.011146068572998,0.0283241271972656,0.496,1.36,0.0,0.0,15.472,16.528,0.0,0.0,112.0,0.0,0
88,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061051762519191,0.0083446502685546,0.0071525573730468,0.0071525573730468,0.0,0.0045299530029296,0.0100135803222656,0.0100135803222656,0.0045299530029296,0.0,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,0.0,0.0,113.256,1.192,0
