time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,f1_c_retransmissions_dl_count,f1_c_retransmissions_ul_count,f1_u_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_packet_loss_dl_percentage,f1_u_packet_loss_ul_percentage,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,e2_du_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,f1_c_latency_mean_ul_ms,a1_latency_mean_ul_ms,f1_c_latency_p90_ul_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,f1_u_latency_mean_dl_ms,f1_u_latency_p90_dl_ms,a1_latency_p90_ul_ms,a1_latency_mean_dl_ms,a1_latency_p90_dl_ms,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,a1_throughput_ul_kbps,a1_throughput_dl_kbps,f1_u_throughput_ul_kbps,f1_c_latency_mean_dl_ms,f1_c_latency_p90_dl_ms,f1_u_throughput_dl_kbps,F-node
156,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0067579746246337,0.0086069107055664,0.00762939453125,0.00762939453125,0.0,0.0067949295043945,0.0,0.0073909759521484,0.0073909759521484,0.0,0.0,0.0076532363891601,0.0117222468058268,0.0213384628295898,0.496,1.808,0.0,0.0,3.704,4.272,112.0,0.0,0.0,0.0,1
157,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0065541267395019,0.0081300735473632,0.0064373016357421,0.0064373016357421,0.0,0.0060558319091796,0.0,0.00762939453125,0.00762939453125,0.0,0.0,0.0076770782470703,0.0109195709228515,0.0203609466552734,0.496,1.776,0.0,0.0,4.232,3.744,112.0,0.0,0.0,0.0,1
158,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0068477137171806,0.0090599060058593,0.0073909759521484,0.0073909759521484,0.0,0.0060717264811197,0.0,0.0090599060058593,0.0090599060058593,0.0057220458984375,0.0057220458984375,0.0086307525634765,0.0107606252034505,0.0265121459960937,0.496,1.776,0.0,0.0,11.968,12.008,113.256,0.0,0.0,1.192,1
159,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0065369392508891,0.0081062316894531,0.0069141387939453,0.0069141387939453,0.0,0.005960464477539,0.0,0.0069141387939453,0.0069141387939453,0.0102519989013671,0.0102519989013671,0.0080108642578125,0.0108242034912109,0.018930435180664,0.496,1.776,0.0,0.0,4.232,3.744,113.256,0.0,0.0,1.192,1
160,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0066923264840349,0.0085830688476562,0.00762939453125,0.00762939453125,0.0,0.0061511993408203,0.0,0.0123977661132812,0.0123977661132812,0.0092983245849609,0.0092983245849609,0.0086545944213867,0.0103473663330078,0.0247478485107421,0.496,1.776,0.0,0.0,7.736,8.264,113.256,0.0,0.0,1.192,1
161,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0067996506643767,0.0085830688476562,0.0057220458984375,0.0057220458984375,0.0,0.0,0.0,0.0066757202148437,0.0066757202148437,0.010848045349121,0.0111341476440429,0.0,0.0,0.0,0.496,1.776,0.0,0.0,0.0,0.0,119.712,0.0,0.0,7.68,1
162,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006568431854248,0.0081062316894531,0.0092983245849609,0.0092983245849609,0.0,0.0061511993408203,0.0,0.0064373016357421,0.0064373016357421,0.0,0.0,0.0081062316894531,0.0111579895019531,0.0209331512451171,0.496,1.84,0.0,0.0,4.232,3.744,112.0,0.0,0.0,0.0,1
163,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0066399574279785,0.0083446502685546,0.0050067901611328,0.0050067901611328,0.0,0.005960464477539,0.0,0.0090599060058593,0.0090599060058593,0.0,0.0,0.00762939453125,0.0126361846923828,0.0243663787841796,0.496,1.776,0.0,0.0,4.232,3.744,112.0,0.0,0.0,0.0,1
164,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0066304206848144,0.0083684921264648,0.0071525573730468,0.0071525573730468,0.0,0.006421407063802,0.0,0.013589859008789,0.013589859008789,0.0,0.0,0.0087261199951171,0.0109672546386718,0.025796890258789,0.496,1.776,0.0,0.0,11.968,12.008,112.0,0.0,0.0,0.0,1
165,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0066152259485045,0.0083446502685546,0.0069141387939453,0.0069141387939453,0.0,0.0060081481933593,0.0,0.0181198120117187,0.0181198120117187,0.005960464477539,0.005960464477539,0.0076770782470703,0.0108718872070312,0.0203132629394531,0.496,1.776,0.0,0.0,4.232,3.744,113.256,0.0,0.0,1.192,1
