time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,f1_c_retransmissions_dl_count,f1_c_retransmissions_ul_count,f1_u_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_packet_loss_ul_percentage,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,e2_du_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,f1_c_latency_mean_ul_ms,a1_latency_mean_ul_ms,f1_c_latency_p90_ul_ms,f1_c_latency_mean_dl_ms,f1_c_latency_p90_dl_ms,a1_latency_p90_ul_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,a1_latency_mean_dl_ms,f1_u_latency_mean_dl_ms,a1_latency_p90_dl_ms,f1_u_latency_p90_dl_ms,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_throughput_ul_kbps,f1_c_throughput_dl_kbps,a1_throughput_dl_kbps,a1_throughput_ul_kbps,f1_u_throughput_ul_kbps,f1_u_packet_loss_dl_percentage,f1_u_throughput_dl_kbps,F-node
32,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0063934136385941,0.0088214874267578,0.011444091796875,0.011444091796875,0.0,0.006270408630371,0.0,0.0,0.0,0.0083684921264648,0.0066757202148437,0.0066757202148437,0.0111818313598632,0.0045299530029296,0.0289201736450195,0.0045299530029296,0.496,1.36,0.0,0.0,7.488,8.464,113.256,0.0,1.192,0
33,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060541712822605,0.0083446502685546,0.0119209289550781,0.0119209289550781,0.0,0.0063180923461914,0.0,0.0,0.0,0.0088214874267578,0.0088214874267578,0.0088214874267578,0.0112414360046386,0.0061988830566406,0.026249885559082,0.0061988830566406,0.496,1.36,0.0,0.0,16.528,15.472,113.256,0.0,1.192,0
34,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061609258699179,0.0083446502685546,0.0071525573730468,0.0071525573730468,0.0,0.0,0.0,0.0,0.0,0.0,0.0092983245849609,0.0092983245849609,0.0,0.0088214874267578,0.0,0.0088214874267578,0.496,1.424,0.0,0.0,0.0,0.0,114.264,0.0,1.976,0
35,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0064279974960699,0.0088214874267578,0.0090599060058593,0.0090599060058593,0.0,0.0,0.0,0.0,0.0,0.0,0.011444091796875,0.011444091796875,0.0,0.0038599329335348,0.0,0.0045299530029296,0.496,1.36,0.0,0.0,0.0,0.0,137.96,0.0,9970.352,0
36,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0074443532459771,0.009775161743164,0.0092983245849609,0.0092983245849609,0.0,0.0,0.0,0.0,0.0,0.0,0.0123977661132812,0.0123977661132812,0.0,0.0038612460770896,0.0,0.0045299530029296,0.496,1.424,0.0,0.0,0.0,0.0,117.192,0.0,29296.904,0
37,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0065982341766357,0.0090599060058593,0.00762939453125,0.00762939453125,0.0,0.0063180923461914,0.0,0.0,0.0,0.0084400177001953,0.0140666961669921,0.0140666961669921,0.0111818313598632,0.0,0.0294208526611328,0.0,0.496,1.424,0.0,0.0,7.488,8.464,112.0,0.0,0.0,0
38,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0063668330901949,0.0085830688476562,0.0071525573730468,0.0071525573730468,0.0,0.0059843063354492,0.0,0.0,0.0,0.0086069107055664,0.013589859008789,0.013589859008789,0.0111341476440429,0.0041700326479398,0.0275850296020507,0.0050067901611328,0.496,1.424,0.0,0.0,7.488,8.464,121.16,0.0,973.952,0
39,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006672179344857,0.0092983245849609,0.0095367431640625,0.0095367431640625,0.0,0.0062823295593261,0.0,0.0,0.0,0.0086069107055664,0.0100135803222656,0.0100135803222656,0.0110864639282226,0.0039039085939102,0.0284433364868164,0.0045299530029296,0.496,1.424,0.0,0.0,16.528,15.472,118.448,0.0,9578.928,0
40,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0068548306896911,0.0090599060058593,0.0107288360595703,0.0107288360595703,0.0,0.0,0.0,0.0,0.0,0.0,0.0088214874267578,0.0088214874267578,0.0,0.0039068339310745,0.0,0.0045299530029296,0.496,1.424,0.0,0.0,0.0,0.0,113.256,0.0,8732.376,0
41,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0064573665656665,0.0090599060058593,0.0081062316894531,0.0081062316894531,0.0,0.0,0.0,0.0,0.0,0.0,0.0085830688476562,0.0085830688476562,0.0,0.0044061587407038,0.0,0.0054836273193359,0.496,1.424,0.0,0.0,0.0,0.0,122.384,0.0,355.184,0
