time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,f1_c_retransmissions_dl_count,f1_c_retransmissions_ul_count,f1_u_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_packet_loss_dl_percentage,f1_u_packet_loss_ul_percentage,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,f1_u_latency_mean_dl_ms,f1_u_latency_p90_dl_ms,a1_latency_mean_ul_ms,f1_c_latency_mean_dl_ms,a1_latency_p90_ul_ms,f1_c_latency_mean_ul_ms,f1_c_latency_p90_dl_ms,a1_latency_mean_dl_ms,f1_c_latency_p90_ul_ms,e2_du_latency_p90_dl_ms,e2_du_latency_mean_dl_ms,a1_latency_p90_dl_ms,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,a1_throughput_dl_kbps,a1_throughput_ul_kbps,f1_u_throughput_ul_kbps,e2_du_latency_mean_ul_ms,e2_du_latency_p90_ul_ms,f1_u_throughput_dl_kbps,F-node
107,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061047077178955,0.0083684921264648,0.0,0.0,0.0060081481933593,0.0064849853515625,0.0072479248046875,0.0064373016357421,0.0080108642578125,0.0115871429443359,0.0068426132202148,0.0123977661132812,0.0123977661132812,0.0223159790039062,0.496,1.36,6.096,5.728,3.744,4.232,112.0,32.01413154602051,32.01413154602051,0.0,1
108,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059974193572998,0.0083446502685546,0.0,0.0,0.0057935714721679,0.0063776969909667,0.0083684921264648,0.0064969062805175,0.0084161758422851,0.0108718872070312,0.0070810317993164,0.0081062316894531,0.0081062316894531,0.0287771224975585,0.496,1.36,5.6,5.728,8.264,7.736,112.0,32.01580047607422,32.01580047607422,0.0,1
109,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062358379364013,0.0088214874267578,0.0,0.0,0.0,0.0057617823282877,0.0,0.0066359837849934,0.0065565109252929,0.0,0.0082254409790039,0.0140666961669921,0.0140666961669921,0.0,0.496,1.36,9.856,10.176,0.0,0.0,112.0,32.0134162902832,32.0134162902832,0.0,1
110,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060826391723025,0.0081062316894531,0.0083446502685546,0.0083446502685546,0.0057220458984375,0.0058174133300781,0.0072956085205078,0.0071128209431966,0.0071525573730468,0.0126361846923828,0.0084638595581054,0.0145435333251953,0.0145435333251953,0.0250816345214843,0.496,1.36,6.448,7.008,3.744,4.232,113.256,32.013654708862305,32.013654708862305,1.192,1
111,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061288994936207,0.0081062316894531,0.0057220458984375,0.0057220458984375,0.0059127807617187,0.0074386596679687,0.0073909759521484,0.0063776969909667,0.0107288360595703,0.012826919555664,0.0074148178100585,0.0123977661132812,0.0123977661132812,0.023651123046875,0.496,1.36,6.096,5.728,3.744,4.232,113.256,32.01007843017578,32.01007843017578,1.192,1
112,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062439572158737,0.0088214874267578,0.0078678131103515,0.0078678131103515,0.0065485636393229,0.0060796737670898,0.0090599060058593,0.0080466270446777,0.0071048736572265,0.0113169352213541,0.0093936920166015,0.00762939453125,0.00762939453125,0.0297069549560546,0.496,1.36,5.6,5.728,12.008,11.968,113.256,32.010555267333984,32.010555267333984,1.192,1
113,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061655044555664,0.0081062316894531,0.0,0.0,0.0059127807617187,0.0068346659342447,0.0075340270996093,0.0071128209431966,0.0103712081909179,0.011444091796875,0.009775161743164,0.013589859008789,0.013589859008789,0.0217437744140625,0.496,1.36,9.856,10.176,3.744,4.232,112.0,32.01889991760254,32.01889991760254,0.0,1
114,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062084197998046,0.0083684921264648,0.0,0.0,0.0071048736572265,0.0060081481933593,0.0094175338745117,0.006866455078125,0.0075340270996093,0.0115156173706054,0.0089168548583984,0.013589859008789,0.013589859008789,0.0301599502563476,0.496,1.36,6.448,6.224,8.264,7.736,112.0,32.02080726623535,32.02080726623535,0.0,1
115,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0065449372078608,0.008702278137207,0.00422687853797,0.0052452087402343,0.0,0.0071525573730468,0.0,0.0080108642578125,0.0092983245849609,0.0,0.0091552734375,0.0131130218505859,0.0131130218505859,0.0,0.496,1.36,6.096,6.512,0.0,0.0,138.928,32.00984001159668,32.00984001159668,1105.792,1
116,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061822767874494,0.0085830688476562,0.0046816739169034,0.005960464477539,0.006103515625,0.0054836273193359,0.0076770782470703,0.0054836273193359,0.0065326690673828,0.0108718872070312,0.0067949295043945,0.0100135803222656,0.0100135803222656,0.0208377838134765,0.496,1.424,5.6,5.728,3.744,4.232,114.376,32.02319145202637,32.02319145202637,81.368,1
117,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061431334386417,0.0085830688476562,0.0042915344238281,0.0042915344238281,0.006103515625,0.0071922938028971,0.0078678131103515,0.0081062316894531,0.0100135803222656,0.0108242034912109,0.0094175338745117,0.0543594360351562,0.0543594360351562,0.0208377838134765,0.496,1.424,9.856,10.176,3.744,4.232,113.256,32.01460838317871,32.01460838317871,1.192,1
118,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061502504111522,0.0085830688476562,0.0064373016357421,0.0064373016357421,0.0060240427652994,0.006723403930664,0.0083446502685546,0.0075101852416992,0.0099658966064453,0.0111897786458333,0.0098943710327148,0.0128746032714843,0.0128746032714843,0.0286579132080078,0.496,1.36,6.448,7.008,12.008,11.968,113.256,32.01889991760254,32.01889991760254,1.192,1
119,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0064609074356532,0.0087976455688476,0.0064373016357421,0.0068187713623046,0.005960464477539,0.0067710876464843,0.0072479248046875,0.0061988830566406,0.0080585479736328,0.0113964080810546,0.0066757202148437,0.0112056732177734,0.0112056732177734,0.0213146209716796,0.496,1.36,6.096,5.728,3.744,4.232,117.504,32.01031684875488,32.01031684875488,5.152,1
120,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061727874907688,0.0085830688476562,0.0057220458984375,0.0057220458984375,0.006413459777832,0.0061392784118652,0.0088691711425781,0.0067949295043945,0.0078439712524414,0.0111103057861328,0.0078201293945312,0.0131130218505859,0.0131130218505859,0.0287294387817382,0.496,1.36,5.6,5.728,8.264,7.736,117.192,32.018184661865234,32.018184661865234,6.2,1
121,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0063445180507716,0.0085353851318359,0.0062670026506696,0.0081539154052734,0.0061829884847005,0.0062783559163411,0.0080585479736328,0.0073115030924479,0.0081062316894531,0.0097592671712239,0.0090599060058593,0.0114202499389648,0.0113248825073242,0.0210285186767578,1.344,2.272,9.856,10.176,10.776,11.312,127.576,32.01115131378174,32.01391696929932,30.856,1
122,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061075485760892,0.0083446502685546,0.0043888481295838,0.0054836273193359,0.0068187713623046,0.0053882598876953,0.0092029571533203,0.0059207280476888,0.0070571899414062,0.010538101196289,0.007033348083496,0.0073909759521484,0.0073909759521484,0.0197410583496093,0.496,1.424,6.448,7.008,3.744,4.232,117.192,32.01150894165039,32.01150894165039,364.6,1
123,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0066603001077376,0.0088214874267578,0.0043209497030679,0.0052452087402343,0.0064849853515625,0.006103515625,0.0086307525634765,0.0063776969909667,0.0083446502685546,0.0113487243652343,0.0072479248046875,0.0078678131103515,0.0078678131103515,0.0216960906982421,0.496,1.392,6.096,5.728,3.744,4.232,117.192,32.019853591918945,32.019853591918945,1280.768,1
124,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0070132831535717,0.0092744827270507,0.0042749598702007,0.0052452087402343,0.0061194101969401,0.0059008598327636,0.008249282836914,0.008702278137207,0.0080347061157226,0.0111738840738932,0.0100612640380859,0.0085830688476562,0.0085830688476562,0.0273704528808593,0.496,1.424,5.6,5.728,12.008,11.968,118.448,32.01699256896973,32.01699256896973,1600.568,1
