time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,f1_c_retransmissions_dl_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_dl_percentage,f1_c_retransmissions_ul_count,f1_u_packet_loss_dl_percentage,f1_u_packet_loss_ul_percentage,f1_u_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,f1_u_latency_mean_dl_ms,a1_latency_mean_ul_ms,f1_u_latency_p90_dl_ms,f1_c_latency_mean_ul_ms,a1_latency_p90_ul_ms,f1_c_latency_mean_dl_ms,f1_c_latency_p90_ul_ms,a1_latency_mean_dl_ms,f1_c_latency_p90_dl_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,a1_latency_p90_dl_ms,e2_du_throughput_dl_kbps,e2_du_retransmissions_ul_count,f1_c_throughput_ul_kbps,f1_c_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_u_throughput_ul_kbps,a1_throughput_dl_kbps,a1_throughput_ul_kbps,e2_du_packet_loss_ul_percentage,e2_du_latency_mean_ul_ms,f1_u_throughput_dl_kbps,e2_du_latency_p90_ul_ms,F-node
88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.006204813867066,0.0083446502685546,0.0069141387939453,0.0,0.0069141387939453,0.0,0.0,0.0,0.0,0.0,0.0,0.0064373016357421,0.0064373016357421,0.0,0.496,0,0.0,0.0,1.424,114.424,0.0,0.0,0.0,0.0107288360595703,2.136,0.0107288360595703,0
89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0061811787067073,0.0085353851318359,0.0049273173014322,0.0,0.0056266784667968,0.0,0.0,0.0,0.0,0.0,0.0,0.0081062316894531,0.0081062316894531,0.0,0.496,0,0.0,0.0,1.392,118.448,0.0,0.0,0.0,0.0064373016357421,17.064,0.0064373016357421,0
90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0071838064101135,0.0098943710327148,0.0041548311085571,0.0,0.0050067901611328,0.0,0.0,0.0,0.0,0.0,0.0,0.0200271606445312,0.0200271606445312,0.0,0.496,0,0.0,0.0,1.424,136.736,0.0,0.0,0.0,0.0100135803222656,8411.216,0.0100135803222656,0
91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0073484855123085,0.009775161743164,0.0041062145800942,0.0062465667724609,0.0050067901611328,0.0,0.0079631805419921,0.0,0.0,0.011444091796875,0.0,0.0123977661132812,0.012969970703125,0.0213146209716796,1.344,0,0.0,0.0,2.272,118.448,3.744,4.232,0.0,0.0091791152954101,7677.592,0.012516975402832,0
92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0075840950012207,0.0100374221801757,0.004110608782087,0.006103515625,0.0047683715820312,0.0,0.0077247619628906,0.0,0.0,0.0100612640380859,0.0,0.011444091796875,0.011444091796875,0.0188350677490234,0.496,0,0.0,0.0,1.424,116.632,3.744,4.232,0.0,0.0138282775878906,7205.496,0.0138282775878906,0
93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0066244602203369,0.0090599060058593,0.0041336289251037,0.0059366226196289,0.0047683715820312,0.0,0.0083684921264648,0.0,0.0,0.009775161743164,0.0,0.013589859008789,0.013589859008789,0.0226497650146484,0.496,0,0.0,0.0,1.424,112.0,8.264,7.736,0.0,0.011444091796875,3243.104,0.011444091796875,0
94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0063542702897864,0.0083446502685546,0.0046155391595302,0.0,0.0052928924560546,0.0,0.0,0.0,0.0,0.0,0.0,0.0090599060058593,0.0090599060058593,0.0,0.496,0,0.0,0.0,1.424,117.192,0.0,0.0,0.0,0.0083446502685546,276.664,0.0083446502685546,0
95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0062320955950229,0.0085830688476562,0.0049081341973666,0.0062306722005208,0.0058650970458984,0.0,0.0088214874267578,0.0,0.0,0.0096956888834635,0.0,0.0133514404296875,0.0133514404296875,0.0178337097167968,0.496,0,0.0,0.0,1.424,114.392,10.776,11.312,0.0,0.0073909759521484,124.184,0.0073909759521484,0
96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0062036277049809,0.0083446502685546,0.0047683715820312,0.0,0.0047683715820312,0.0,0.0,0.0,0.0,0.0,0.0,0.0131130218505859,0.0131130218505859,0.0,0.496,0,0.0,0.0,1.392,113.256,0.0,0.0,0.0,0.0073909759521484,1.192,0.0073909759521484,0
97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0065074247472426,0.0088214874267578,0.0042901949936084,0.006103515625,0.0050067901611328,0.0,0.0076770782470703,0.0,0.0,0.0098705291748046,0.0,0.0071525573730468,0.0071525573730468,0.018310546875,0.496,0,0.0,0.0,1.424,128.832,3.744,4.232,0.0,0.0104904174804687,1433.552,0.0104904174804687,1
98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0064609074356532,0.0088214874267578,0.0043589493324016,0.006866455078125,0.0050067901611328,0.0,0.0088691711425781,0.0,0.0,0.0108718872070312,0.0,0.0,0.0,0.0203132629394531,0.0,0,0.0,0.0,1.424,118.448,3.744,4.232,0.0,1036.9651317596436,1102.968,1036.9651317596436,1
99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.006333589553833,0.0083446502685546,0.0051259994506835,0.0061273574829101,0.0060796737670898,0.0,0.0079154968261718,0.0,0.0,0.0108718872070312,0.0,0.0,0.0,0.0251054763793945,0.0,1,0.0,0.0,2.48,112.0,8.264,7.736,0.0,0.0224113464355468,24.0,0.0224113464355468,1
100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0063471533172759,0.0088214874267578,0.0046147240532769,0.0,0.0054836273193359,0.0,0.0,0.0,0.0,0.0,0.0,0.009775161743164,0.009775161743164,0.0,0.496,0,0.0,0.0,1.36,117.192,0.0,0.0,0.0,3069.016218185425,275.464,3069.016218185425,1
101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0063827381798283,0.0083446502685546,0.0041056195751424,0.0,0.0047683715820312,0.0,0.0,0.0,0.0,0.0,0.0,0.0061988830566406,0.0061988830566406,0.0,0.848,1,0.0,0.0,3.264,117.192,0.0,0.0,0.0,1024.011492729187,2611.352,1843.2105779647827,1
102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0062239170074462,0.0083446502685546,0.0,0.0,0.0,0.0137090682983398,0.0,0.013589859008789,0.0174283981323242,0.0,0.0160694122314453,0.0,0.0,0.0,0.0,0,1.696,1.696,0.0,112.0,0.0,0.0,0.0,0.0,0.0,0.0,1
103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0060541712822605,0.0078678131103515,0.0047683715820312,0.0061511993408203,0.0047683715820312,0.0,0.0073432922363281,0.0,0.0,0.0108718872070312,0.0,0.0064373016357421,0.0064373016357421,0.0208854675292968,1.008,1,0.0,0.0,5.28,113.256,3.744,4.232,0.0,0.0141859054565429,1.192,0.015425682067871,1
104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0061721336550828,0.0081062316894531,0.0048726797103881,0.0060558319091796,0.007033348083496,0.0,0.007486343383789,0.0,0.0,0.0103473663330078,0.0,0.0095367431640625,0.0095367431640625,0.0192642211914062,0.496,0,0.0,0.0,1.36,134.024,3.744,4.232,0.0,1053.0200004577637,122.448,1053.0200004577637,1
105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0068619476622016,0.009775161743164,0.0040910551496087,0.0063048468695746,0.0047683715820312,0.0,0.0084400177001953,0.0,0.0,0.0106638128107244,0.0,0.0,0.0,0.0247955322265625,0.0,1,0.0,0.0,3.264,113.256,8.792,7.208,50.0,0.0133514404296875,5225.048,0.0133514404296875,1
106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0072953724625087,0.009775161743164,0.0040234627827181,0.0,0.0047683715820312,0.0,0.0,0.0,0.0,0.0,0.0,0.0108877817789713,0.0125408172607421,0.0,1.84,0,0.0,0.0,2.272,122.384,0.0,0.0,0.0,0.0165700912475585,11104.56,0.0180006027221679,1
107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0070476531982421,0.0095844268798828,0.0040258176879319,0.0,0.0047683715820312,0.0,0.0,0.0,0.0,0.0,0.0,0.0095367431640625,0.0095367431640625,0.0,0.496,0,0.0,0.0,1.424,112.0,0.0,0.0,0.0,0.0133514404296875,9824.968,0.0133514404296875,1
108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0059187412261962,0.0078678131103515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.392,112.0,0.0,0.0,0.0,3069.042444229126,0.0,3069.042444229126,1
109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0060045719146728,0.0081062316894531,0.0,0.0060081481933593,0.0,0.0,0.0075340270996093,0.0,0.0,0.0109195709228515,0.0,0.0,0.0,0.0202178955078125,0.0,1,0.0,0.0,2.384,112.0,3.744,4.232,0.0,2048.011541366577,0.0,2048.011541366577,1
110,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0070548639064881,0.0092983245849609,0.0041357020741885,0.006103515625,0.0047683715820312,0.0,0.00762939453125,0.0,0.0,0.0103473663330078,0.0,0.0069141387939453,0.0069141387939453,0.0185966491699218,1.008,0,0.0,0.0,1.904,134.024,3.744,4.232,0.0,0.0138282775878906,8501.184,0.0138282775878906,1
111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0073177979724241,0.009775161743164,0.0040414415556808,0.0059366226196289,0.0047683715820312,0.0,0.0077247619628906,0.0,0.0,0.0102758407592773,0.0,0.0,0.0,0.0239133834838867,0.0,1,0.0,0.0,3.44,118.448,8.264,7.736,0.0,0.0162124633789062,12577.328,0.0162124633789062,1
112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0065310084404636,0.0090599060058593,0.0041672881220428,0.0,0.0047683715820312,0.0,0.0,0.0,0.0,0.0,0.0,0.0077486038208007,0.0086069107055664,0.0,0.992,0,0.0,0.0,1.424,113.256,0.0,0.0,0.0,0.0100135803222656,2976.184,0.0100135803222656,1
113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0061821937561035,0.0083446502685546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0073909759521484,0.0075817108154296,0.0,1.344,0,0.0,0.0,2.24,112.0,0.0,0.0,0.0,0.009775161743164,0.0,0.0109195709228515,1
114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.006434941055751,0.0085830688476562,0.0043417278089021,0.0,0.0054836273193359,0.0,0.0,0.0,0.0,0.0,0.0,0.00762939453125,0.00762939453125,0.0,0.496,0,0.0,0.0,1.424,122.384,0.0,0.0,0.0,0.0095367431640625,795.96,0.0095367431640625,1
115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0064659118652343,0.0090599060058593,0.0,0.0061511993408203,0.0,0.0,0.0078678131103515,0.0,0.0,0.0109195709228515,0.0,0.0,0.0,0.0209331512451171,0.0,0,0.0,0.0,1.36,112.0,3.744,4.232,0.0,1061.0451698303225,0.0,1061.0451698303225,1
116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0063693523406982,0.0088214874267578,0.0,0.0058650970458984,0.0,0.0,0.0075340270996093,0.0,0.0,0.0115871429443359,0.0,0.0,0.0,0.0218868255615234,0.0,1,0.0,0.0,2.352,112.0,3.744,4.232,0.0,0.0157356262207031,0.0,0.0157356262207031,1
