time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_ul_percentage,f1_u_retransmissions_ul_count,f1_u_packet_loss_dl_percentage,f1_u_packet_loss_ul_percentage,f1_u_retransmissions_dl_count,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,e2_du_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,a1_latency_mean_ul_ms,f1_u_latency_mean_dl_ms,e2_du_latency_mean_dl_ms,f1_u_latency_p90_dl_ms,e2_du_latency_p90_dl_ms,a1_latency_p90_ul_ms,a1_latency_mean_dl_ms,a1_latency_p90_dl_ms,f1_c_retransmissions_ul_count,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_retransmissions_dl_count,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,a1_throughput_ul_kbps,a1_throughput_dl_kbps,f1_u_throughput_ul_kbps,f1_c_packet_loss_dl_percentage,f1_c_latency_mean_dl_ms,f1_c_latency_p90_dl_ms,f1_c_latency_mean_ul_ms,f1_u_throughput_dl_kbps,f1_c_latency_p90_ul_ms,F-node
20,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0059367412358374,0.0078678131103515,0.0069141387939453,0.0069141387939453,0.0060240427652994,0.0069141387939453,0.0107288360595703,0.0069141387939453,0.0107288360595703,0.0081539154052734,0.010538101196289,0.0267982482910156,0.0,0.496,1.36,0.0,0.0,0.0,11.968,12.008,113.256,0.0,0.0,0.0,0.0,1.192,0.0,0
21,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0060117244720458,0.0081300735473632,0.0073909759521484,0.0073909759521484,0.0066757202148437,0.0,0.0112056732177734,0.0,0.0112056732177734,0.0092983245849609,0.0121593475341796,0.0234603881835937,0.0,0.496,1.36,0.0,0.0,0.0,4.232,3.744,112.0,0.0,0.0,0.0,0.0,0.0,0.0,0
22,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0059068202972412,0.0081062316894531,0.0073909759521484,0.0073909759521484,0.0065088272094726,0.0,0.0069141387939453,0.0,0.0069141387939453,0.009012222290039,0.0114202499389648,0.0296354293823242,0.0,0.496,1.36,0.0,0.0,0.0,7.736,8.264,112.0,0.0,0.0,0.0,0.0,0.0,0.0,0
23,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0061595439910888,0.0083446502685546,0.0071525573730468,0.0071525573730468,0.0,0.0,0.0133514404296875,0.0,0.0133514404296875,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,0.0,112.0,0.0,0.0,0.0,0.0,0.0,0.0,0
24,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0067798836717327,0.0095367431640625,0.0116825103759765,0.0116825103759765,0.005960464477539,0.003947047736701,0.0216960906982421,0.0047683715820312,0.0216960906982421,0.0078201293945312,0.0108718872070312,0.0207424163818359,0.0,0.496,1.36,0.0,0.0,0.0,4.232,3.744,143.152,0.0,0.0,0.0,0.0,8161.664,0.0,0
25,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0073402234823396,0.0095367431640625,0.0119209289550781,0.0119209289550781,0.0060558319091796,0.0038656438527559,0.0152587890625,0.0045299530029296,0.0152587890625,0.0079631805419921,0.011301040649414,0.0214576721191406,0.0,0.496,1.424,0.0,0.0,0.0,4.232,3.744,115.856,0.0,0.0,0.0,0.0,28094.728,0.0,0
26,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.006783126604439,0.0090599060058593,0.011444091796875,0.011444091796875,0.0063010624476841,0.0040663613213433,0.0157356262207031,0.0047683715820312,0.0157356262207031,0.0079870223999023,0.0112056732177734,0.0287294387817382,0.0,0.496,1.424,0.0,0.0,0.0,11.44,12.536,118.448,0.0,0.0,0.0,0.0,2308.784,0.0,0
27,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0063924506159112,0.0085830688476562,0.0085830688476562,0.0085830688476562,0.0062942504882812,0.0043511390686035,0.0123977661132812,0.0051736831665039,0.0123977661132812,0.0082015991210937,0.01220703125,0.0226974487304687,0.0,0.496,1.424,0.0,0.0,0.0,4.232,3.744,118.448,0.0,0.0,0.0,0.0,480.544,0.0,0
28,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0062676804575754,0.0085830688476562,0.009012222290039,0.0088214874267578,0.0059127807617187,0.0040607452392578,0.0126361846923828,0.0050067901611328,0.0168323516845703,0.0083446502685546,0.0108003616333007,0.0255107879638671,0.0,1.344,2.272,0.0,0.0,0.0,7.736,8.264,115.912,0.0,0.0,0.0,0.0,3926.872,0.0,0
29,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0067694270195652,0.0092983245849609,0.0088214874267578,0.0088214874267578,0.0,0.0040079608108058,0.0119209289550781,0.0047683715820312,0.0119209289550781,0.0,0.0,0.0,0.0,0.496,1.424,0.0,0.0,0.0,0.0,0.0,117.192,0.0,0.0,0.0,0.0,5521.376,0.0,0
