time_seconds,a1_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,f1_c_retransmissions_ul_count,f1_c_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_packet_loss_dl_percentage,f1_u_packet_loss_ul_percentage,f1_u_retransmissions_dl_count,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,e2_du_latency_p90_ul_ms,f1_u_latency_mean_dl_ms,f1_c_latency_mean_dl_ms,f1_u_latency_p90_dl_ms,f1_c_latency_p90_dl_ms,f1_c_latency_mean_ul_ms,f1_c_latency_p90_ul_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,a1_retransmissions_ul_count,a1_retransmissions_dl_count,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,a1_throughput_ul_kbps,a1_throughput_dl_kbps,f1_u_throughput_ul_kbps,a1_packet_loss_dl_percentage,a1_latency_mean_dl_ms,a1_latency_p90_dl_ms,a1_latency_mean_ul_ms,a1_latency_p90_ul_ms,f1_u_throughput_dl_kbps,F-node
110,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0064195972858089,0.0087976455688476,0.0088214874267578,0.0088214874267578,0.004280767133159,0.0,0.0052452087402343,0.0,0.0,0.0,0.0126361846923828,0.0126361846923828,0.496,1.36,0.0,2.0,0.0,0.0,1.056,1.056,118.448,33.33333333333333,0.0177621841430664,0.0205278396606445,0.0255107879638671,0.0390529632568359,1290.856,1
111,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0068374199442344,0.0092983245849609,0.0073909759521484,0.0073909759521484,0.004099908276139,0.0,0.0047683715820312,0.0,0.0,0.0,0.0140666961669921,0.0140666961669921,0.496,1.36,0.0,1.0,0.0,0.0,0.0,0.0,118.448,100.0,0.0,0.0,0.0,0.0,1834.888,1
112,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0065104796154664,0.0088214874267578,0.0102519989013671,0.0102519989013671,0.0043815666145378,0.0,0.0054836273193359,0.0,0.0,0.0,0.0154972076416015,0.0154972076416015,0.496,1.36,0.0,3.0,0.0,0.0,0.592,0.592,118.448,80.0,0.0195503234863281,0.0195503234863281,5362.993383407593,12210.588455200195,1279.552,1
113,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.006291403699277,0.0085830688476562,0.009775161743164,0.009775161743164,0.0042498829853103,0.0,0.0052452087402343,0.0,0.0,0.0,0.0073909759521484,0.0073909759521484,0.496,1.36,1.0,1.0,0.0,0.0,0.592,0.0,116.248,100.0,0.0,0.0,4339.013719558716,11186.608791351318,1444.224,1
114,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0066057366518238,0.0090599060058593,0.0078678131103515,0.0078678131103515,0.0041831623424183,0.0,0.0050067901611328,0.0,0.0,0.0,0.0088214874267578,0.0088214874267578,0.496,1.36,0.0,1.0,0.0,0.0,0.0,0.0,117.192,100.0,0.0,0.0,0.0,0.0,2242.872,1
115,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.006867878472627,0.0092983245849609,0.0085830688476562,0.0085830688476562,0.0041253130200883,0.0,0.0047683715820312,0.0,0.0,0.0,0.0102519989013671,0.0102519989013671,0.496,1.36,1.0,1.0,0.0,0.0,0.592,0.0,114.712,100.0,0.0,0.0,2291.0200595855717,9138.615131378174,2382.656,1
116,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0069687022498591,0.0092983245849609,0.0078678131103515,0.0078678131103515,0.0041718752879016,0.0,0.0050067901611328,0.0,0.0,0.0,0.0123977661132812,0.0123977661132812,0.496,1.36,0.0,0.0,0.0,0.0,0.0,0.0,117.192,100.0,0.0,0.0,0.0,0.0,2338.392,1
117,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0063535010460579,0.0088214874267578,0.0095367431640625,0.0095367431640625,0.0043211604011129,0.0,0.0052928924560546,0.0,0.0,0.0,0.011444091796875,0.011444091796875,0.496,1.36,0.0,0.0,0.0,0.0,0.0,0.0,116.544,100.0,0.0,0.0,0.0,0.0,1449.256,1
118,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0066285086150216,0.0092744827270507,0.0078678131103515,0.0078678131103515,0.0042222795032319,0.0,0.0050306320190429,0.0,0.0,0.0,0.0071525573730468,0.0071525573730468,0.496,1.36,0.0,0.0,0.0,0.0,0.0,0.0,118.448,100.0,0.0,0.0,0.0,0.0,1815.376,1
119,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0063912703259156,0.0085830688476562,0.0081062316894531,0.0081062316894531,0.0042266184740727,0.0,0.0050067901611328,0.0,0.0,0.0,0.0145435333251953,0.0145435333251953,0.496,1.36,1.0,2.0,0.0,0.0,0.592,0.0,118.448,100.0,0.0,0.0,-1740.9780979156494,5106.616973876954,1728.512,1
120,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0063934136385941,0.0090599060058593,0.00762939453125,0.00762939453125,0.0042728755785071,0.0,0.0050067901611328,0.0,0.0,0.0,0.0109672546386718,0.0109672546386718,0.496,1.36,0.0,1.0,0.0,0.0,0.0,0.0,117.192,100.0,0.0,0.0,0.0,0.0,998.6,1
121,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0064871204433156,0.0085830688476562,0.009775161743164,0.009775161743164,0.0042640801632043,0.0,0.0052452087402343,0.0,0.0,0.0,0.0112056732177734,0.0112056732177734,0.496,1.36,0.0,0.0,0.0,0.0,0.0,0.0,117.192,100.0,0.0,0.0,0.0,0.0,1477.496,1
122,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.006535753088804,0.0083446502685546,0.0066757202148437,0.008392333984375,0.0042012963162,0.0,0.0050067901611328,0.0,0.0,0.0,0.0101327896118164,0.0121355056762695,1.344,2.208,0.0,0.0,0.0,0.0,0.0,0.0,117.192,100.0,0.0,0.0,0.0,0.0,2208.536,1
123,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0061561812215776,0.0083446502685546,0.0083446502685546,0.0083446502685546,0.0043883919715881,0.0,0.0054121017456054,0.0,0.0,0.0,0.0112056732177734,0.0112056732177734,0.496,1.36,0.0,0.0,0.0,0.0,0.0,0.0,117.192,100.0,0.0,0.0,0.0,0.0,516.064,1
124,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0059793491174678,0.0078678131103515,0.00762939453125,0.00762939453125,0.0052154064178466,0.0,0.0066280364990234,0.0,0.0,0.0,0.0395774841308593,0.0395774841308593,0.496,1.36,0.0,0.0,0.0,0.0,3.776,3.024,118.448,42.857142857142854,0.0149011611938476,0.0284194946289062,0.0066280364990234,0.0088691711425781,55.728,1
125,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0061241548452804,0.0083446502685546,0.0116825103759765,0.0116825103759765,0.0054836273193359,0.0,0.0054836273193359,0.0,0.0,0.0,0.0128746032714843,0.0128746032714843,0.496,1.36,1.0,3.0,0.0,0.0,4.816,3.144,113.256,60.0,0.0143051147460937,0.0207185745239257,0.0108991350446428,0.0199317932128906,1.192,1
126,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.006133644141961,0.0083446502685546,0.00762939453125,0.00762939453125,0.0051259994506835,0.0,0.0066041946411132,0.0,0.0,0.0,0.0078678131103515,0.0078678131103515,0.496,1.36,0.0,2.0,0.0,0.0,3.776,3.024,113.256,33.33333333333333,0.0143647193908691,0.0223159790039062,0.0071048736572265,0.0102519989013671,9.808,1
127,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0060537073871876,0.0083446502685546,0.0085830688476562,0.0085830688476562,0.0052452087402343,0.0,0.0052452087402343,0.0,0.0,0.0,0.0090599060058593,0.0090599060058593,0.496,1.36,0.0,0.0,0.0,0.0,0.0,0.0,118.32,33.33333333333333,0.0,0.0,0.0,0.0,2.872,1
128,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0060200691223144,0.0078678131103515,0.0066757202148437,0.0066757202148437,0.0,0.0,0.0,0.0,0.0,0.0,0.0083446502685546,0.0083446502685546,0.496,1.36,1.0,0.0,0.0,0.0,0.592,0.528,112.0,50.0,0.0107288360595703,0.0107288360595703,-10251.979207992554,-3404.3841361999503,0.0,1
129,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0060141086578369,0.0081062316894531,0.0092983245849609,0.0092983245849609,0.0,0.0,0.0,0.0,0.0,0.0,0.0073909759521484,0.0073909759521484,0.496,1.36,0.0,1.0,0.0,0.0,0.0,0.0,112.0,100.0,0.0,0.0,0.0,0.0,0.0,1
130,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0061566019293122,0.0078678131103515,0.0073909759521484,0.0073909759521484,0.0045733018354936,0.0,0.0073909759521484,0.0,0.0,0.0,0.0081062316894531,0.0081062316894531,0.496,1.36,0.0,1.0,0.0,0.0,0.0,0.0,127.576,100.0,0.0,0.0,0.0,0.0,122.376,1
131,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0060391543534001,0.0083446502685546,0.0090599060058593,0.0090599060058593,0.0053644180297851,0.0,0.0071525573730468,0.0,0.0,0.0,0.0100135803222656,0.0100135803222656,0.496,1.36,0.0,1.0,0.0,0.0,0.0,0.0,123.64,100.0,0.0,0.0,0.0,0.0,26.176,1
132,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0060123972373433,0.0083446502685546,0.0071525573730468,0.0071525573730468,0.0049386705671037,0.0,0.0064373016357421,0.0,0.0,0.0,0.0073909759521484,0.0073909759521484,0.496,1.36,0.0,1.0,0.0,0.0,0.0,0.0,118.448,100.0,0.0,0.0,0.0,0.0,50.2,1
133,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0064892343955464,0.0088214874267578,0.0085830688476562,0.0085830688476562,0.0043173631032307,0.0,0.0050306320190429,0.0,0.0,0.0,0.0128746032714843,0.0128746032714843,0.496,1.36,0.0,1.0,0.0,0.0,0.0,0.0,118.448,100.0,0.0,0.0,0.0,0.0,942.048,1
134,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0060033798217773,0.0078678131103515,0.0078678131103515,0.0078678131103515,0.0,0.0,0.0,0.0,0.0,0.0,0.0085830688476562,0.0085830688476562,0.496,1.36,0.0,0.0,0.0,0.0,0.0,0.0,112.0,100.0,0.0,0.0,0.0,0.0,0.0,1
135,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0074063197220906,0.009775161743164,0.0119209289550781,0.0119209289550781,0.0038858166895469,0.0,0.0045299530029296,0.0,0.0,0.0,0.0252723693847656,0.0252723693847656,0.496,1.36,0.0,1.0,0.0,0.0,0.0,0.0,122.384,100.0,0.0,0.0,0.0,0.0,30983.176,1
136,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0070893764495849,0.009322166442871,0.0092983245849609,0.0092983245849609,0.0039386749267578,0.0064373016357421,0.0047683715820312,0.0079631805419921,0.0057220458984375,0.006866455078125,0.0138282775878906,0.0138282775878906,0.496,1.36,0.0,0.0,1.696,1.696,0.0,0.0,112.0,100.0,0.0,0.0,0.0,0.0,857.864,1
137,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0064468383789062,0.0083446502685546,0.00762939453125,0.00762939453125,0.0,0.0,0.0,0.0,0.0,0.0,0.0138282775878906,0.0138282775878906,0.496,1.36,0.0,0.0,0.0,0.0,0.0,0.0,112.0,100.0,0.0,0.0,0.0,0.0,0.0,1
138,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0063514709472656,0.0083446502685546,0.00762939453125,0.00762939453125,0.0047683715820312,0.0,0.0047683715820312,0.0,0.0,0.0,0.011444091796875,0.011444091796875,0.496,1.36,0.0,1.0,0.0,0.0,3.112,2.096,112.696,33.33333333333333,0.0139474868774414,0.0199556350708007,0.0051657358805338,0.0056743621826171,1.192,1
139,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0060268895543036,0.0081062316894531,0.0071525573730468,0.0071525573730468,0.0057220458984375,0.0,0.0057220458984375,0.0,0.0,0.0,0.0069141387939453,0.0069141387939453,0.496,1.36,0.0,1.0,0.0,0.0,1.12,1.12,113.256,60.0,0.0243186950683593,0.0309944152832031,1031.688630580902,2472.7698087692265,1.192,1
140,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0059970534674011,0.0083446502685546,0.0069141387939453,0.0069141387939453,0.0061988830566406,0.0,0.0072002410888671,0.0,0.0,0.0,0.0116825103759765,0.0116825103759765,0.496,1.36,1.0,4.0,0.0,0.0,1.12,0.528,118.448,83.33333333333334,0.0181198120117187,0.0181198120117187,251.81472301483157,1432.934427261353,16.552,1
141,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.006108283996582,0.0081062316894531,0.00762939453125,0.00762939453125,0.0,0.0,0.0,0.0,0.0,0.0,0.005960464477539,0.005960464477539,0.496,1.36,0.0,5.0,0.0,0.0,0.592,0.592,112.0,85.71428571428571,0.0226497650146484,0.0226497650146484,5286.786842346191,11981.78243637085,0.0,1
142,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0065808157319004,0.0088214874267578,0.0083446502685546,0.0083446502685546,0.0038840801331524,0.0061392784118652,0.0045299530029296,0.0075340270996093,0.0065962473551432,0.0078678131103515,0.0081062316894531,0.0081062316894531,0.496,1.36,1.0,1.0,10.752,24.592,0.592,0.0,143.152,100.0,0.0,0.0,4262.818145751953,10957.813739776611,23683.928,1
143,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0070083141326904,0.009775161743164,0.0171661376953125,0.0171661376953125,0.0038615540961998,0.0,0.0045299530029296,0.0,0.0,0.0,0.0205039978027343,0.0205039978027343,0.496,1.36,1.0,1.0,0.0,0.0,0.592,0.528,112.0,50.0,0.0090599060058593,0.0090599060058593,-1711.273193359375,-409.3846797943115,3845.2,1
144,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0059294700622558,0.0078916549682617,0.0092983245849609,0.0092983245849609,0.0,0.0,0.0,0.0,0.0,0.0,0.009775161743164,0.009775161743164,0.496,1.36,1.0,1.0,0.0,0.0,0.592,0.0,112.0,100.0,0.0,0.0,2214.8201942443848,8909.815788269043,0.0,1
145,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0064384819257377,0.0083446502685546,0.0107288360595703,0.0107288360595703,0.0052452087402343,0.0072419643402099,0.0052452087402343,0.0094175338745117,0.0066492292616102,0.0085353851318359,0.0104904174804687,0.0104904174804687,0.496,1.36,0.0,1.0,21.856,13.648,0.528,0.528,113.752,0.0,0.0207424163818359,0.0207424163818359,0.0050067901611328,0.0050067901611328,1.192,1
146,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.006575584411621,0.0090599060058593,0.0095367431640625,0.0095367431640625,0.0052452087402343,0.0140666961669921,0.0052452087402343,0.0140666961669921,0.0,0.0,0.019073486328125,0.019073486328125,0.496,1.36,0.0,2.0,0.496,0.0,0.0,0.0,112.696,100.0,0.0,0.0,0.0,0.0,1.192,1
147,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0066330183797807,0.0083446502685546,0.0088214874267578,0.0088214874267578,0.0071525573730468,0.0,0.0071525573730468,0.0,0.0,0.0,0.0090599060058593,0.0090599060058593,0.496,1.776,0.0,1.0,0.0,0.0,0.0,0.0,113.256,100.0,0.0,0.0,0.0,0.0,1.192,1
148,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0066330183797807,0.0083446502685546,0.0095367431640625,0.0095367431640625,0.0071525573730468,0.0,0.0071525573730468,0.0,0.0,0.0,0.0162124633789062,0.0162124633789062,0.496,1.776,1.0,0.0,0.0,0.0,0.592,0.0,113.256,100.0,0.0,0.0,-1818.1716918945312,4876.823902130128,1.192,1
149,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0066330183797807,0.0083446502685546,0.0071525573730468,0.0071525573730468,0.0071525573730468,0.0,0.0071525573730468,0.0,0.0,0.0,0.0100135803222656,0.0100135803222656,0.496,1.776,0.0,0.0,0.0,0.0,0.0,0.0,113.256,100.0,0.0,0.0,0.0,0.0,1.192,1
150,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0073076451866372,0.0092983245849609,0.0069141387939453,0.0069141387939453,0.0038698005966287,0.0,0.0045299530029296,0.0,0.0,0.0,0.0131130218505859,0.0131130218505859,0.496,1.776,0.0,0.0,0.0,0.0,0.0,0.0,143.152,100.0,0.0,0.0,0.0,0.0,22319.0,1
151,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0071430206298828,0.0085830688476562,0.0112056732177734,0.0112056732177734,0.0,0.0,0.0,0.0,0.0,0.0,0.0138282775878906,0.0138282775878906,0.496,1.776,0.0,0.0,0.0,0.0,0.0,0.0,112.0,100.0,0.0,0.0,0.0,0.0,0.0,1
152,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0067634962091398,0.0085830688476562,0.0126361846923828,0.0126361846923828,0.0078678131103515,0.0,0.0078678131103515,0.0,0.0,0.0,0.0112056732177734,0.0112056732177734,0.496,1.776,0.0,0.0,0.0,0.0,0.0,0.0,113.256,100.0,0.0,0.0,0.0,0.0,1.192,1
153,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0066840233494393,0.0083446502685546,0.0056028366088867,0.0060796737670898,0.0064373016357421,0.0,0.0064373016357421,0.0,0.0,0.0,0.0095367431640625,0.009918212890625,1.344,2.624,0.0,1.0,0.0,0.0,3.64,2.624,113.256,25.0,0.015417734781901,0.0249385833740234,0.007033348083496,0.008559226989746,1.192,1
154,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0065630348167609,0.0081062316894531,0.0073909759521484,0.0073909759521484,0.0061988830566406,0.0,0.0061988830566406,0.0,0.0,0.0,0.0109672546386718,0.0109672546386718,0.496,1.776,0.0,2.0,0.0,0.0,0.0,0.0,113.256,100.0,0.0,0.0,0.0,0.0,1.192,1
155,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0066196918487548,0.0083446502685546,0.0071525573730468,0.0071525573730468,0.0,0.0,0.0,0.0,0.0,0.0,0.0123977661132812,0.0123977661132812,0.496,1.776,0.0,3.0,0.0,0.0,0.592,0.592,112.0,80.0,0.0209808349609375,0.0209808349609375,512.0044946670532,921.6033220291138,0.0,1
156,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0066757202148437,0.0083684921264648,0.0069141387939453,0.0069141387939453,0.0,0.0,0.0,0.0,0.0,0.0,0.0107288360595703,0.0107288360595703,0.496,1.776,2.0,2.0,0.0,0.0,4.096,2.344,112.0,85.71428571428571,0.0219345092773437,0.0219345092773437,-4614.067511125045,0.0307559967041015,0.0,1
157,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0066971778869628,0.0088214874267578,0.0069141387939453,0.0069141387939453,0.0,0.0,0.0,0.0,0.0,0.0,0.0071525573730468,0.0071525573730468,0.496,1.776,0.0,3.0,0.0,0.0,0.528,0.528,112.0,66.66666666666666,0.0159740447998046,0.0159740447998046,0.0100135803222656,0.0100135803222656,0.0,1
