time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,f1_c_retransmissions_dl_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_dl_percentage,f1_c_retransmissions_ul_count,f1_u_packet_loss_dl_percentage,f1_u_packet_loss_ul_percentage,f1_u_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,f1_u_latency_mean_dl_ms,f1_u_latency_p90_dl_ms,a1_latency_mean_ul_ms,a1_latency_p90_ul_ms,f1_c_latency_mean_dl_ms,f1_c_latency_mean_ul_ms,f1_c_latency_p90_dl_ms,a1_latency_mean_dl_ms,f1_c_latency_p90_ul_ms,a1_latency_p90_dl_ms,e2_du_retransmissions_ul_count,e2_du_throughput_dl_kbps,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,e2_du_throughput_ul_kbps,f1_u_throughput_ul_kbps,a1_throughput_dl_kbps,a1_throughput_ul_kbps,e2_du_packet_loss_ul_percentage,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,e2_du_latency_mean_ul_ms,e2_du_latency_p90_ul_ms,f1_u_throughput_dl_kbps,F-node
60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0060648467410263,0.0083446502685546,0.009775161743164,0.009775161743164,0.0062942504882812,0.0080108642578125,0.0,0.0,0.0,0.0121593475341796,0.0,0.0231742858886718,0,0.496,0.0,0.0,1.36,113.256,3.744,4.232,0.0,0.0145435333251953,0.0145435333251953,0.0083446502685546,0.0083446502685546,1.192,0
61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0060069561004638,0.0081062316894531,0.0,0.0,0.0063419342041015,0.0084877014160156,0.0,0.0,0.0,0.0111103057861328,0.0,0.0208377838134765,0,0.496,0.0,0.0,1.36,112.0,3.744,4.232,0.0,0.0131130218505859,0.0131130218505859,0.0061988830566406,0.0061988830566406,0.0,0
62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0062709901391006,0.0087261199951171,0.0048359828208809,0.0060558319091796,0.0059843063354492,0.0088453292846679,0.0,0.0,0.0,0.0107049942016601,0.0,0.0249862670898437,0,0.496,0.0,0.0,1.424,137.96,8.264,7.736,0.0,0.0100135803222656,0.0100135803222656,0.0078678131103515,0.0078678131103515,302.456,0
63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0062688666196604,0.0081062316894531,0.005197525024414,0.0065803527832031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.496,0.0,0.0,1.424,117.192,0.0,0.0,0.0,0.0100135803222656,0.0100135803222656,0.0066757202148437,0.0066757202148437,96.76,0
64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0059497890187733,0.0078678131103515,0.0058520923961292,0.0073909759521484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.496,0.0,0.0,1.392,114.424,0.0,0.0,0.0,0.0128746032714843,0.0128746032714843,0.0073909759521484,0.0073909759521484,44.104,0
65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0061953421866539,0.0081062316894531,0.005824225289481,0.007486343383789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.496,0.0,0.0,1.424,118.448,0.0,0.0,0.0,0.0107288360595703,0.0107288360595703,0.0069141387939453,0.0069141387939453,78.64,0
66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0061882604466806,0.0083208084106445,0.0053473881312779,0.0060081481933593,0.0060796737670898,0.0071287155151367,0.0,0.0,0.0,0.010848045349121,0.0,0.020146369934082,0,0.496,0.0,0.0,1.424,116.016,4.272,3.704,0.0,0.0123977661132812,0.0123977661132812,0.0090599060058593,0.0090599060058593,27.672,0
67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0061502504111522,0.0083446502685546,0.0078678131103515,0.0078678131103515,0.0060081481933593,0.0076770782470703,0.0,0.0,0.0,0.011301040649414,0.0,0.0210285186767578,0,0.496,0.0,0.0,1.392,113.256,3.744,4.232,0.0,0.0081062316894531,0.0081062316894531,0.0066757202148437,0.0066757202148437,1.192,0
68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0064278593157777,0.0088214874267578,0.0052592333625344,0.0061988830566406,0.0059366226196289,0.0083684921264648,0.0,0.0,0.0,0.010991096496582,0.0,0.02593994140625,0,0.496,0.0,0.0,1.424,119.488,8.264,7.736,0.0,0.0095367431640625,0.0095367431640625,0.00762939453125,0.00762939453125,73.576,0
69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0060933146310682,0.0085830688476562,0.005960464477539,0.005960464477539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.496,0.0,0.0,1.424,117.192,0.0,0.0,0.0,0.00762939453125,0.00762939453125,0.0071525573730468,0.0071525573730468,10.376,0
