time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,f1_c_retransmissions_dl_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_dl_percentage,f1_c_retransmissions_ul_count,f1_u_packet_loss_dl_percentage,f1_u_packet_loss_ul_percentage,f1_u_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,f1_u_latency_mean_dl_ms,f1_c_latency_mean_ul_ms,f1_c_latency_mean_dl_ms,f1_u_latency_p90_dl_ms,a1_latency_mean_ul_ms,f1_c_latency_p90_ul_ms,f1_c_latency_p90_dl_ms,a1_latency_p90_ul_ms,a1_latency_mean_dl_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,a1_latency_p90_dl_ms,e2_du_retransmissions_ul_count,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,f1_u_throughput_ul_kbps,a1_throughput_dl_kbps,a1_throughput_ul_kbps,e2_du_packet_loss_ul_percentage,f1_u_throughput_dl_kbps,e2_du_latency_mean_ul_ms,e2_du_latency_p90_ul_ms,F-node
92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.005926236067668,0.0081062316894531,0.008702278137207,0.0,0.0,0.0089883804321289,0.0066757202148437,0.0,0.0,0.0092029571533203,0.0102996826171875,0.009775161743164,0.009775161743164,0.0235557556152343,0,0.496,1.36,0.0,0.0,118.96,8.264,7.736,0.0,6.384,0.005960464477539,0.005960464477539,0
93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0060209587438782,0.0083446502685546,0.0069141387939453,0.0,0.0,0.0069141387939453,0.0,0.0,0.0,0.0,0.0,0.0109672546386718,0.0109672546386718,0.0,0,0.496,1.36,0.0,0.0,113.256,0.0,0.0,0.0,1.192,0.0073909759521484,0.0073909759521484,0
94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0059402997220926,0.0078678131103515,0.0047683715820312,0.0,0.0,0.0047683715820312,0.0,0.0,0.0,0.0,0.0,0.0116825103759765,0.0116825103759765,0.0,0,0.496,1.36,0.0,0.0,113.256,0.0,0.0,0.0,1.192,0.0092983245849609,0.0092983245849609,0
95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.006162112032003,0.0081062316894531,0.0057220458984375,0.0,0.0,0.0057220458984375,0.0,0.0,0.0,0.0,0.0,0.0064373016357421,0.0064373016357421,0.0,0,0.496,1.36,0.0,0.0,113.256,0.0,0.0,0.0,1.192,0.0061988830566406,0.0061988830566406,0
96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0063675205882002,0.0085830688476562,0.0052045031291682,0.0,0.0,0.00762939453125,0.0057220458984375,0.0,0.0,0.0074386596679687,0.0107765197753906,0.0205039978027343,0.0205039978027343,0.0206947326660156,0,0.496,1.36,0.0,0.0,137.96,3.744,4.232,0.0,189.48,0.0107288360595703,0.0107288360595703,0
97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0062463295400439,0.0088214874267578,0.0045473982648151,0.0,0.0,0.005960464477539,0.0055789947509765,0.0,0.0,0.0070571899414062,0.010538101196289,0.0,0.0,0.0200748443603515,0,0.0,1.36,0.0,0.0,117.192,3.744,4.232,0.0,209.736,7192.789554595947,7192.789554595947,1
98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0059770707467302,0.00762939453125,0.0054438908894856,0.0,0.0,0.0065565109252929,0.006013446384006,0.0,0.0,0.0077724456787109,0.0111189755526455,0.0,0.0,0.0255107879638671,1,0.0,2.352,0.0,0.0,114.424,8.792,7.208,0.0,22.112,6145.004987716675,6145.004987716675,1
99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0063186854272339,0.0085830688476562,0.0053002284123347,0.0,0.0,0.0061511993408203,0.0,0.0,0.0,0.0,0.0,0.0045299530029296,0.0045299530029296,0.0,0,1.008,1.84,0.0,0.0,117.192,0.0,0.0,0.0,76.888,0.0081062316894531,0.0081062316894531,1
100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0060926569570409,0.0081062316894531,0.0053776635064019,0.0064373016357421,0.0112056732177734,0.0061988830566406,0.0,0.0064373016357421,0.0112056732177734,0.0,0.0,0.0,0.0,0.0,1,0.0,3.344,0.848,0.848,116.016,0.0,0.0,0.0,42.904,4097.005605697632,4097.005605697632,1
101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0059924908538362,0.0078678131103515,0.0051856040954589,0.0181198120117187,0.0045299530029296,0.0059127807617187,0.0,0.0181198120117187,0.0045299530029296,0.0,0.0,0.0045299530029296,0.0045299530029296,0.0,0,1.04,1.84,0.848,0.848,113.256,0.0,0.0,0.0,8.512,0.013589859008789,0.013589859008789,1
102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0060955291898379,0.0081062316894531,0.0050663948059082,0.0,0.0,0.0064373016357421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,4.336,0.0,0.0,120.744,0.0,0.0,0.0,63.392,2049.0059852600098,2049.0059852600098,1
103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0060221449059633,0.0078678131103515,0.0052452087402343,0.0,0.0,0.0052452087402343,0.0068187713623046,0.0,0.0,0.0102996826171875,0.0108718872070312,0.0,0.0,0.0211238861083984,0,0.0,1.84,0.0,0.0,117.192,3.744,4.232,100.0,21.752,0.0,0.0,1
104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0058925151824951,0.0081062316894531,0.0,0.0,0.0,0.0,0.0056743621826171,0.0,0.0,0.0071525573730468,0.0110626220703125,0.0123977661132812,0.0123977661132812,0.0214099884033203,1,0.496,6.32,0.0,0.0,112.0,3.744,4.232,0.0,0.0,0.0126361846923828,0.0126361846923828,1
105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.006037950515747,0.0078916549682617,0.0,0.0,0.0,0.0,0.0058650970458984,0.0,0.0,0.0081539154052734,0.010538101196289,0.0045299530029296,0.0045299530029296,0.0246524810791015,0,0.848,2.208,0.0,0.0,112.0,8.264,7.736,0.0,0.0,73612.40613460541,132502.32589244845,1
106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0060426777806775,0.0081062316894531,0.004955700465611,0.0,0.0,0.0069856643676757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,2.352,0.0,0.0,125.752,0.0,0.0,0.0,83.312,146176.02396011353,146176.02396011353,1
