time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,f1_c_retransmissions_dl_count,f1_c_retransmissions_ul_count,f1_u_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_packet_loss_dl_percentage,f1_u_packet_loss_ul_percentage,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,e2_du_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,f1_c_latency_mean_ul_ms,a1_latency_mean_ul_ms,f1_u_latency_mean_dl_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,f1_c_latency_p90_ul_ms,f1_u_latency_p90_dl_ms,a1_latency_p90_ul_ms,a1_latency_mean_dl_ms,a1_latency_p90_dl_ms,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,a1_throughput_ul_kbps,a1_throughput_dl_kbps,f1_c_latency_mean_dl_ms,f1_c_latency_p90_dl_ms,f1_u_throughput_ul_kbps,f1_u_throughput_dl_kbps,F-node
26,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062756019063515,0.0085830688476562,0.0073909759521484,0.0073909759521484,0.0,0.0058809916178385,0.006258487701416,0.00762939453125,0.00762939453125,0.0,0.0074386596679687,0.00762939453125,0.011716570172991,0.0247955322265625,0.496,1.36,0.0,0.0,4.368,4.672,0.0,0.0,119.792,11.168,0
27,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061858352737047,0.0083446502685546,0.0069141387939453,0.0069141387939453,0.0,0.0058809916178385,0.0040531158447265,0.0107288360595703,0.0107288360595703,0.0,0.0040531158447265,0.00762939453125,0.011716570172991,0.0247955322265625,0.496,1.424,0.0,0.0,4.368,4.672,0.0,0.0,113.256,1.192,0
28,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059830015571556,0.0078678131103515,0.0071048736572265,0.005960464477539,0.0,0.0058809916178385,0.0061988830566406,0.0119209289550781,0.0126838684082031,0.0,0.0061988830566406,0.00762939453125,0.011716570172991,0.0247955322265625,1.344,2.208,0.0,0.0,4.368,4.672,0.0,0.0,113.256,1.192,0
29,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060423096614097,0.0078678131103515,0.0057220458984375,0.0057220458984375,0.0,0.0058809916178385,0.0054836273193359,0.005960464477539,0.005960464477539,0.0,0.0054836273193359,0.00762939453125,0.011716570172991,0.0247955322265625,0.496,1.36,0.0,0.0,4.368,4.672,0.0,0.0,113.256,1.192,0
30,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060423096614097,0.0078678131103515,0.0109672546386718,0.0109672546386718,0.0,0.0058809916178385,0.0054836273193359,0.0107288360595703,0.0107288360595703,0.0,0.0054836273193359,0.00762939453125,0.011716570172991,0.0247955322265625,0.496,1.36,0.0,0.0,4.368,4.672,0.0,0.0,113.256,1.192,0
31,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061178442292612,0.0081062316894531,0.0066757202148437,0.0066757202148437,0.0,0.0058809916178385,0.0069936116536458,0.00762939453125,0.00762939453125,0.0,0.0082969665527343,0.00762939453125,0.011716570172991,0.0247955322265625,0.496,1.424,0.0,0.0,4.368,4.672,0.0,0.0,121.928,9.064,0
32,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060188770294189,0.0081300735473632,0.009775161743164,0.009775161743164,0.0,0.0058809916178385,0.0,0.0066757202148437,0.0066757202148437,0.0,0.0,0.00762939453125,0.011716570172991,0.0247955322265625,0.496,1.36,0.0,0.0,4.368,4.672,0.0,0.0,112.0,0.0,0
33,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0057590007781982,0.0078678131103515,0.00762939453125,0.00762939453125,0.0,0.0058809916178385,0.0,0.0123977661132812,0.0123977661132812,0.0,0.0,0.00762939453125,0.011716570172991,0.0247955322265625,0.496,1.36,0.0,0.0,4.368,4.672,0.0,0.0,112.0,0.0,0
34,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059510221575746,0.0080823898315429,0.0069141387939453,0.0069141387939453,0.0,0.0058809916178385,0.0066757202148437,0.0107288360595703,0.0107288360595703,0.0,0.00762939453125,0.00762939453125,0.011716570172991,0.0247955322265625,0.496,1.424,0.0,0.0,4.368,4.672,0.0,0.0,115.52,3.168,0
35,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0064940128511595,0.0085830688476562,0.0057220458984375,0.0057220458984375,0.0,0.0058809916178385,0.003812537304382,0.0112056732177734,0.0112056732177734,0.0,0.0042915344238281,0.00762939453125,0.011716570172991,0.0247955322265625,0.496,1.36,0.0,0.0,4.368,4.672,0.0,0.0,139.216,25859.904,0
