time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,f1_c_retransmissions_dl_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_dl_percentage,f1_c_retransmissions_ul_count,f1_u_packet_loss_dl_percentage,f1_u_packet_loss_ul_percentage,f1_u_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,f1_u_latency_mean_dl_ms,a1_latency_mean_ul_ms,f1_c_latency_mean_ul_ms,f1_u_latency_p90_dl_ms,f1_c_latency_mean_dl_ms,f1_c_latency_p90_ul_ms,a1_latency_p90_ul_ms,f1_c_latency_p90_dl_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,a1_latency_mean_dl_ms,a1_latency_p90_dl_ms,e2_du_retransmissions_ul_count,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,f1_u_throughput_ul_kbps,a1_throughput_dl_kbps,a1_throughput_ul_kbps,e2_du_packet_loss_ul_percentage,e2_du_latency_mean_ul_ms,e2_du_latency_p90_ul_ms,f1_u_throughput_dl_kbps,F-node
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0060695913893666,0.0083446502685546,0.005960464477539,0.0059945242745535,0.0085830688476562,0.005960464477539,0.0104904174804687,0.01068115234375,0.008249282836914,0.011444091796875,0.009775161743164,0.009775161743164,0.0091416495186941,0.0181198120117187,0,0.496,1.36,1.696,1.696,113.256,25.152,27.344,0.0,0.0066757202148437,0.0066757202148437,1.192,0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0058845501040937,0.0081062316894531,0.0078678131103515,0.0059945242745535,0.0085830688476562,0.0078678131103515,0.0104904174804687,0.01068115234375,0.008249282836914,0.011444091796875,0.0078678131103515,0.0078678131103515,0.0091416495186941,0.0181198120117187,0,0.496,1.36,1.696,1.696,113.256,25.152,27.344,0.0,0.0069141387939453,0.0069141387939453,1.192,0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0064662359293224,0.0088214874267578,0.003846825541304,0.0059945242745535,0.0085830688476562,0.0045299530029296,0.0104904174804687,0.01068115234375,0.008249282836914,0.011444091796875,0.0147819519042968,0.0147819519042968,0.0091416495186941,0.0181198120117187,0,0.496,1.36,1.696,1.696,143.152,25.152,27.344,0.0,0.0078678131103515,0.0078678131103515,20585.432,0
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0063443183898925,0.0086069107055664,0.0,0.0059945242745535,0.0085830688476562,0.0,0.0104904174804687,0.01068115234375,0.008249282836914,0.011444091796875,0.011444091796875,0.011444091796875,0.0091416495186941,0.0181198120117187,0,0.496,1.424,1.696,1.696,112.0,25.152,27.344,0.0,0.0078678131103515,0.0078678131103515,0.0,0
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0057816505432128,0.0078678131103515,0.0,0.0059945242745535,0.0085830688476562,0.0,0.0104904174804687,0.01068115234375,0.008249282836914,0.011444091796875,0.0102519989013671,0.0102519989013671,0.0091416495186941,0.0181198120117187,0,0.496,1.392,1.696,1.696,112.0,25.152,27.344,0.0,0.00762939453125,0.00762939453125,0.0,0
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0059008598327636,0.00762939453125,0.0,0.0059945242745535,0.0085830688476562,0.0,0.0104904174804687,0.01068115234375,0.008249282836914,0.011444091796875,0.005960464477539,0.005960464477539,0.0091416495186941,0.0181198120117187,0,0.496,1.36,1.696,1.696,112.0,25.152,27.344,0.0,0.005960464477539,0.005960464477539,0.0,0
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0059901185296661,0.0081062316894531,0.0047683715820312,0.0059945242745535,0.0085830688476562,0.0047683715820312,0.0104904174804687,0.01068115234375,0.008249282836914,0.011444091796875,0.0119209289550781,0.0119209289550781,0.0091416495186941,0.0181198120117187,0,0.496,1.36,1.696,1.696,113.256,25.152,27.344,0.0,0.00762939453125,0.00762939453125,1.192,0
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.005816938865244,0.0073909759521484,0.0088214874267578,0.0059945242745535,0.0085830688476562,0.0088214874267578,0.0104904174804687,0.01068115234375,0.008249282836914,0.011444091796875,0.0085830688476562,0.0085830688476562,0.0091416495186941,0.0181198120117187,0,0.496,1.36,1.696,1.696,113.256,25.152,27.344,0.0,0.0057220458984375,0.0057220458984375,1.192,0
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0058252419998396,0.00762939453125,0.0047683715820312,0.0059945242745535,0.0085830688476562,0.0047683715820312,0.0104904174804687,0.01068115234375,0.008249282836914,0.011444091796875,0.005960464477539,0.005960464477539,0.0091416495186941,0.0181198120117187,0,0.496,1.36,1.696,1.696,113.256,25.152,27.344,0.0,0.0054836273193359,0.0054836273193359,1.192,0
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0057363510131835,0.0074148178100585,0.0,0.0059945242745535,0.0085830688476562,0.0,0.0104904174804687,0.01068115234375,0.008249282836914,0.011444091796875,0.0071525573730468,0.0071525573730468,0.0091416495186941,0.0181198120117187,0,0.496,1.36,1.696,1.696,112.0,25.152,27.344,0.0,0.005960464477539,0.005960464477539,0.0,0
