time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,f1_c_retransmissions_dl_count,f1_c_retransmissions_ul_count,f1_u_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_packet_loss_ul_percentage,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,e2_du_latency_p90_ul_ms,a1_latency_mean_ul_ms,f1_c_latency_mean_dl_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,f1_c_latency_mean_ul_ms,a1_latency_p90_ul_ms,f1_u_latency_mean_dl_ms,f1_c_latency_p90_dl_ms,f1_u_latency_p90_dl_ms,f1_c_latency_p90_ul_ms,a1_latency_mean_dl_ms,a1_latency_p90_dl_ms,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,a1_throughput_dl_kbps,f1_u_throughput_ul_kbps,a1_throughput_ul_kbps,f1_u_packet_loss_dl_percentage,f1_u_throughput_dl_kbps,F-node
52,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0057244300842285,0.00762939453125,0.0069141387939453,0.0069141387939453,0.0061750411987304,0.0,0.0083446502685546,0.0083446502685546,0.0,0.0079870223999023,0.0,0.0,0.0,0.0,0.011610984802246,0.0269651412963867,0.496,1.36,0.0,0.0,8.264,112.0,7.736,0.0,0.0,0
53,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059535202470797,0.0079870223999023,0.0073909759521484,0.0073909759521484,0.0066757202148437,0.0,0.0090599060058593,0.0090599060058593,0.0,0.0087261199951171,0.0070730845133463,0.0,0.0089406967163085,0.0,0.0116348266601562,0.0223159790039062,0.496,1.424,0.0,0.0,3.744,127.52,4.232,0.0,14.016,0
54,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062928411173703,0.0081062316894531,0.0078678131103515,0.0078678131103515,0.0061988830566406,0.0,0.0081062316894531,0.0081062316894531,0.0,0.0080108642578125,0.0057816505432128,0.0,0.0060558319091796,0.0,0.0115871429443359,0.0227928161621093,0.496,1.424,0.0,0.0,3.744,120.6,4.232,0.0,11.072,0
55,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0058613201179126,0.0078439712524414,0.0071525573730468,0.0071525573730468,0.0061988830566406,0.0,0.0066757202148437,0.0066757202148437,0.0,0.0086307525634765,0.0060399373372395,0.0,0.0073432922363281,0.0,0.011301040649414,0.0255584716796875,0.496,1.392,0.0,0.0,8.264,115.6,7.736,0.0,5.672,0
56,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0058613201179126,0.0078439712524414,0.0071525573730468,0.0071525573730468,0.007331371307373,0.0,0.0102519989013671,0.0102519989013671,0.0,0.0095844268798828,0.0060399373372395,0.0,0.0073432922363281,0.0,0.0104506810506184,0.0187158584594726,0.496,1.424,0.0,0.0,4.272,115.6,3.704,0.0,5.672,0
57,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0058613201179126,0.0078439712524414,0.0078678131103515,0.0078678131103515,0.0063896179199218,0.0102519989013671,0.0071525573730468,0.0071525573730468,0.0121593475341796,0.0084400177001953,0.0060399373372395,0.0110149383544921,0.0073432922363281,0.0129222869873046,0.0120162963867187,0.02288818359375,0.496,1.36,1.696,1.696,3.744,115.6,4.232,0.0,5.672,0
58,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0058613201179126,0.0078439712524414,0.0073909759521484,0.0073909759521484,0.0058889389038085,0.0,0.0109672546386718,0.0109672546386718,0.0,0.0077486038208007,0.0060399373372395,0.0,0.0073432922363281,0.0,0.0119924545288085,0.0317573547363281,0.496,1.36,0.0,0.0,8.264,115.6,7.736,0.0,5.672,0
59,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0058613201179126,0.0078439712524414,0.0066757202148437,0.0066757202148437,0.0069141387939453,0.0,0.011444091796875,0.011444091796875,0.0,0.0089645385742187,0.0060399373372395,0.0,0.0073432922363281,0.0,0.0115871429443359,0.0217914581298828,0.496,1.36,0.0,0.0,3.744,115.6,4.232,0.0,5.672,0
60,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059936770159213,0.0078678131103515,0.007033348083496,0.0078916549682617,0.0060200691223144,0.0,0.0089406967163085,0.0090360641479492,0.0,0.0065326690673828,0.0090599060058593,0.0,0.0090599060058593,0.0,0.0124375025431315,0.0226497650146484,1.344,2.208,0.0,0.0,4.272,113.256,3.704,0.0,1.192,0
61,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0058845501040937,0.00762939453125,0.0064373016357421,0.0064373016357421,0.0061750411987304,0.0,0.0107288360595703,0.0107288360595703,0.0,0.0088453292846679,0.0061988830566406,0.0,0.0061988830566406,0.0,0.0112295150756835,0.0284671783447265,0.496,1.36,0.0,0.0,8.264,113.256,7.736,0.0,1.192,0
