time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_retransmissions_ul_count,f1_c_retransmissions_dl_count,f1_u_packet_loss_dl_percentage,f1_u_packet_loss_ul_percentage,f1_u_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,e2_du_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,f1_u_latency_mean_dl_ms,f1_u_latency_p90_dl_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,a1_latency_mean_ul_ms,a1_latency_p90_ul_ms,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,a1_throughput_dl_kbps,a1_throughput_ul_kbps,f1_u_throughput_ul_kbps,f1_c_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,f1_c_latency_mean_dl_ms,f1_c_latency_p90_dl_ms,a1_latency_mean_dl_ms,a1_latency_p90_dl_ms,f1_c_latency_p90_ul_ms,f1_c_latency_mean_ul_ms,f1_u_throughput_dl_kbps,F-node
21,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0061639631637419,0.0085830688476562,0.0066757202148437,0.0066757202148437,0.0,0.0,0.0073909759521484,0.0073909759521484,0.0064690907796223,0.0091075897216796,0.496,1.36,9.856,10.24,12.008,11.968,110.88,16.666666666666664,16.666666666666664,522.3570823669434,755.3036689758301,0.0109513600667317,0.0273704528808593,-398.6410617828369,-577.5593757629395,0.0,0
22,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0059080123901367,0.0081062316894531,0.0073909759521484,0.0073909759521484,0.0,0.0,0.0107288360595703,0.0107288360595703,0.0062465667724609,0.0088691711425781,0.496,1.36,6.448,6.256,8.264,7.736,112.0,20.0,40.0,548.0957627296448,709.2807531356812,0.0110626220703125,0.0272035598754882,-357.42244720458984,-533.6801211039225,0.0,0
23,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0060439109802246,0.0083684921264648,0.0069141387939453,0.0069141387939453,0.0,0.0,0.0138282775878906,0.0138282775878906,0.0,0.0,0.496,1.36,5.6,6.544,0.0,0.0,112.0,25.0,20.0,533.276637395223,721.4598655700684,0.0,0.0,-315.27557373046875,-479.498028755188,0.0,0
24,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0064147645561256,0.0090599060058593,0.0112056732177734,0.0112056732177734,0.005960464477539,0.005960464477539,0.0081062316894531,0.0081062316894531,0.0,0.0,0.496,1.36,6.096,5.76,0.0,0.0,113.256,40.0,25.0,535.8354250590006,722.9249477386475,0.0,0.0,-360.0519180297852,-533.9899857838949,1.192,0
25,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0061272400353342,0.0081062316894531,0.0095367431640625,0.0095367431640625,0.0052452087402343,0.0052452087402343,0.0095367431640625,0.0095367431640625,0.0072479248046875,0.0095367431640625,0.496,1.36,9.856,10.24,3.744,4.232,114.376,16.666666666666664,16.666666666666664,519.8660850524902,748.8840579986572,0.0116348266601562,0.0225543975830078,-401.92580223083496,-576.9932270050049,1.192,0
26,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0061702728271484,0.0081062316894531,0.0066757202148437,0.0066757202148437,0.0051856040954589,0.006413459777832,0.0081062316894531,0.0081062316894531,0.0061511993408203,0.0081777572631835,0.496,1.424,6.448,6.256,7.488,8.464,117.328,20.0,40.0,549.6142506599426,703.8750171661377,0.0115156173706054,0.0299692153930664,-361.5803241729736,-533.6354573567709,32.704,0
27,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0063440074091372,0.0085830688476562,0.0095605850219726,0.008702278137207,0.0042664377312911,0.0060319900512695,0.0134706497192382,0.0152826309204101,0.0061194101969401,0.008249282836914,1.344,2.24,5.6,6.544,12.008,11.968,141.232,25.0,20.0,533.5903167724609,718.5920238494873,0.0113487243652343,0.028228759765625,-321.3917732238769,-480.7542562484741,424.768,0
28,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0060856342315673,0.0081062316894531,0.0064373016357421,0.0064373016357421,0.0044277736118861,0.0062942504882812,0.0138282775878906,0.0138282775878906,0.0060558319091796,0.0084400177001953,0.496,1.424,6.096,5.76,8.264,7.736,116.632,40.0,25.0,533.37295850118,717.8422451019287,0.010848045349121,0.0257015228271484,-364.012336730957,-534.0011914571127,152.704,0
29,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0063222439134891,0.0088214874267578,0.0083446502685546,0.0083446502685546,0.0058412551879882,0.0074625015258789,0.013589859008789,0.013589859008789,0.0,0.0,0.496,1.424,9.856,10.24,0.0,0.0,117.192,16.666666666666664,16.666666666666664,521.7745304107666,747.215747833252,0.0,0.0,-404.6177387237549,-575.5779266357422,14.336,0
30,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0071335787796855,0.009775161743164,0.0095367431640625,0.0095367431640625,0.0039576460325903,0.0047683715820312,0.0126361846923828,0.0126361846923828,0.0,0.0,0.496,1.424,6.448,6.256,0.0,0.0,117.192,20.0,40.0,543.5751080513,715.0902032852173,0.0,0.0,-360.9382152557373,-527.027448018392,19121.192,0
