time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_retransmissions_ul_count,f1_c_retransmissions_dl_count,f1_u_packet_loss_dl_percentage,f1_u_packet_loss_ul_percentage,f1_u_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,f1_u_latency_mean_dl_ms,f1_u_latency_p90_dl_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,a1_latency_mean_ul_ms,a1_latency_p90_ul_ms,a1_latency_mean_dl_ms,a1_latency_p90_dl_ms,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,f1_c_packet_loss_dl_percentage,a1_throughput_ul_kbps,a1_throughput_dl_kbps,f1_c_packet_loss_ul_percentage,f1_u_throughput_ul_kbps,e2_du_latency_mean_ul_ms,e2_du_latency_p90_ul_ms,f1_c_latency_p90_dl_ms,f1_c_latency_mean_dl_ms,f1_c_latency_mean_ul_ms,f1_c_latency_p90_ul_ms,f1_u_throughput_dl_kbps,F-node
20,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0075605971303152,0.0102519989013671,0.0040697440122946,0.0047683715820312,0.0147819519042968,0.0147819519042968,0.0064108106825086,0.0086784362792968,0.0113790685480291,0.0302791595458984,0.496,1.424,8.88,9.04,0.0,7.936,8.016,0.0,117.192,0.00762939453125,0.00762939453125,800.9630680084229,800.3939628601074,-800.4030227661133,-799.9979496002197,7666.024,0
21,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0070742706754314,0.009775161743164,0.0041658109654494,0.0050067901611328,0.0119209289550781,0.0119209289550781,0.0062227249145507,0.0085830688476562,0.0112056732177734,0.0286579132080078,0.496,1.424,6.576,6.864,0.0,15.472,16.528,0.0,117.192,0.0073909759521484,0.0073909759521484,800.9353637695312,800.2959251403809,-800.5853176116943,-799.967098236084,8860.928,0
22,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0070458027853894,0.009775161743164,0.0041368557036056,0.0047683715820312,0.0104904174804687,0.0104904174804687,0.0,0.0,0.0,0.0,0.496,1.424,6.448,7.008,0.0,0.0,0.0,0.0,117.192,0.0095367431640625,0.0095367431640625,805.8270931243896,802.0978927612305,-800.675630569458,-800.0205755233765,6885.392,0
23,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0071276479692601,0.0095367431640625,0.0040786124491488,0.0047683715820312,0.0095367431640625,0.0095367431640625,0.0,0.0,0.0,0.0,0.496,1.424,6.096,5.728,0.0,0.0,0.0,0.0,117.192,0.0109672546386718,0.0109672546386718,800.0345230102539,788.1435871124268,-802.4417161941528,-800.2147674560547,12266.72,0
24,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0063759265559734,0.0085830688476562,0.0043094799082766,0.0050067901611328,0.0123977661132812,0.0123977661132812,0.0,0.0,0.0,0.0,0.496,1.424,9.856,10.176,0.0,0.0,0.0,0.0,116.928,0.0085830688476562,0.0085830688476562,812.5042915344238,804.2918046315511,-789.8418108622233,-778.5247564315796,604.936,0
25,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0062605634850649,0.0081062316894531,0.0078678131103515,0.0078678131103515,0.0121593475341796,0.0121593475341796,0.0061273574829101,0.0083684921264648,0.0118255615234375,0.0329017639160156,0.496,1.424,6.448,6.224,0.0,8.464,7.488,0.0,113.256,0.0123977661132812,0.0123977661132812,801.2944221496582,795.4423427581787,-804.3803215026855,-795.1603412628174,1.192,0
26,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0061929522462152,0.0083446502685546,0.0050067901611328,0.0050067901611328,0.0131130218505859,0.0131130218505859,0.0067472457885742,0.0088691711425781,0.0121116638183593,0.0313043594360351,0.496,1.36,5.6,6.512,0.0,8.464,7.488,0.0,113.256,0.0092983245849609,0.0092983245849609,806.8471908569336,802.4643063545227,-796.8012809753418,-788.1331443786621,1.192,0
27,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0061929522462152,0.0083446502685546,0.0050067901611328,0.0050067901611328,0.0085830688476562,0.0085830688476562,0.005960464477539,0.0075817108154296,0.0107288360595703,0.026702880859375,0.496,1.36,6.096,5.728,0.0,14.416,17.584,0.0,113.256,0.0085830688476562,0.0085830688476562,800.60715675354,800.0879764556885,-802.5266528129578,-800.0136137008667,1.192,0
28,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0061929522462152,0.0083446502685546,0.0050067901611328,0.0050067901611328,0.0132322311401367,0.0180959701538085,0.0,0.0,0.0,0.0,1.344,2.208,9.856,10.176,0.0,0.0,0.0,0.0,113.256,0.0069141387939453,0.0072956085205078,805.490255355835,801.818331082662,-800.3021478652954,-799.9399900436401,1.192,0
29,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0061929522462152,0.0083446502685546,0.0050067901611328,0.0050067901611328,0.0092983245849609,0.0092983245849609,0.0,0.0,0.0,0.0,0.496,1.36,5.6,5.728,0.0,0.0,0.0,0.0,113.256,0.0107288360595703,0.0107288360595703,800.7137775421143,799.989640712738,-801.015317440033,-799.2806911468506,1.192,0
30,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0061929522462152,0.0083446502685546,0.0050067901611328,0.0050067901611328,0.0085830688476562,0.0085830688476562,0.0,0.0,0.0,0.0,0.496,1.36,6.448,7.008,0.0,0.0,0.0,0.0,113.256,0.0073909759521484,0.0073909759521484,801.1673927307129,800.4525184631348,-800.312876701355,-799.9396324157715,1.192,0
31,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0061549950594925,0.0083446502685546,0.0042915344238281,0.0042915344238281,0.0195503234863281,0.0195503234863281,0.006723403930664,0.0099420547485351,0.0124454498291015,0.032663345336914,0.496,1.36,6.096,5.728,0.0,8.464,7.488,0.0,113.256,0.0073909759521484,0.0073909759521484,800.0290870666504,799.5851516723633,-800.212025642395,-799.9274969100952,1.192,0
