time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,f1_c_retransmissions_dl_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_dl_percentage,f1_c_retransmissions_ul_count,f1_u_packet_loss_dl_percentage,f1_u_packet_loss_ul_percentage,f1_u_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,f1_u_latency_mean_dl_ms,f1_u_latency_p90_dl_ms,a1_latency_mean_ul_ms,f1_c_latency_mean_ul_ms,f1_c_latency_mean_dl_ms,f1_c_latency_p90_ul_ms,a1_latency_p90_ul_ms,f1_c_latency_p90_dl_ms,a1_latency_mean_dl_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,a1_latency_p90_dl_ms,e2_du_retransmissions_ul_count,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,f1_u_throughput_ul_kbps,a1_throughput_dl_kbps,a1_throughput_ul_kbps,e2_du_packet_loss_ul_percentage,f1_u_throughput_dl_kbps,e2_du_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,F-node
60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0060236454010009,0.0088453292846679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0085830688476562,0.0110626220703125,0.0,0,1.344,2.208,0.0,0.0,112.0,0.0,0.0,0.0,0.0,0.0066757202148437,0.0066757202148437,0
61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0059343689116672,0.0081062316894531,0.0085830688476562,0.0085830688476562,0.0060081481933593,0.0,0.0,0.0,0.0075817108154296,0.0,0.0121116638183593,0.0116825103759765,0.0116825103759765,0.0230789184570312,0,0.496,1.36,0.0,0.0,113.256,3.744,4.232,0.0,1.192,0.0064373016357421,0.0064373016357421,0
62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0058655715107324,0.00762939453125,0.0095367431640625,0.0095367431640625,0.0069618225097656,0.0,0.0,0.0,0.0083446502685546,0.0,0.012063980102539,0.0133514404296875,0.0133514404296875,0.0230312347412109,0,0.496,1.36,0.0,0.0,113.256,3.744,4.232,0.0,1.192,0.0083446502685546,0.0083446502685546,0
63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.006089756144813,0.0078678131103515,0.0057220458984375,0.0057220458984375,0.0061723921034071,0.0,0.0,0.0,0.0070095062255859,0.0,0.010880556973544,0.0169277191162109,0.0169277191162109,0.026702880859375,0,0.496,1.36,0.0,0.0,113.256,8.792,7.208,0.0,1.192,0.0066757202148437,0.0066757202148437,0
64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0062127715175591,0.0084638595581054,0.0040280646172122,0.0047683715820312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0071525573730468,0.0071525573730468,0.0,0,0.496,1.36,0.0,0.0,141.248,0.0,0.0,0.0,2733.912,0.0071525573730468,0.0071525573730468,0
65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0070647813787507,0.009775161743164,0.0039210920760549,0.0045299530029296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0071525573730468,0.0071525573730468,0.0,0,0.496,1.36,0.0,0.0,117.192,0.0,0.0,0.0,18075.424,0.0109672546386718,0.0109672546386718,0
66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0070635952166656,0.0092983245849609,0.003944844641584,0.0045299530029296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0100135803222656,0.0100135803222656,0.0,0,0.496,1.424,0.0,0.0,117.192,0.0,0.0,0.0,15434.528,0.0145435333251953,0.0145435333251953,0
67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0060624744168561,0.0081062316894531,0.0061988830566406,0.0061988830566406,0.0061511993408203,0.0,0.0,0.0,0.0082969665527343,0.0,0.011444091796875,0.0126361846923828,0.0126361846923828,0.0218868255615234,0,0.496,1.424,0.0,0.0,116.376,3.744,4.232,0.0,4.088,0.0078678131103515,0.0078678131103515,0
68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0062249786225124,0.0083446502685546,0.0049226424273322,0.0066757202148437,0.0073909759521484,0.0081062316894531,0.0040531158447265,0.0081062316894531,0.0110149383544921,0.0040531158447265,0.0118732452392578,0.0095367431640625,0.0095367431640625,0.0211238861083984,0,0.496,1.424,0.848,0.848,113.256,3.744,4.232,0.0,132.792,0.0078678131103515,0.0078678131103515,0
69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0062555369764271,0.0083446502685546,0.0052111489432198,0.0057220458984375,0.0066518783569335,0.0042915344238281,0.0088214874267578,0.0042915344238281,0.0088453292846679,0.0088214874267578,0.0106573104858398,0.0083446502685546,0.0083446502685546,0.0251293182373046,0,0.496,1.424,0.848,0.848,116.032,8.264,7.736,0.0,16.12,0.0081062316894531,0.0081062316894531,0
70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0061419472765566,0.0085830688476562,0.0042915344238281,0.0042915344238281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0100135803222656,0.0100135803222656,0.0,0,0.496,1.424,0.0,0.0,113.256,0.0,0.0,0.0,1.192,0.0069141387939453,0.0069141387939453,0
71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0061249732971191,0.0083446502685546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0064373016357421,0.0064373016357421,0.0,0,0.496,1.36,0.0,0.0,112.0,0.0,0.0,0.0,0.0,0.0102519989013671,0.0102519989013671,0
72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0059463009975924,0.0081062316894531,0.0073115030924479,0.0089645385742187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0145435333251953,0.0145435333251953,0.0,0,0.496,1.36,0.0,0.0,119.824,0.0,0.0,0.0,16.168,0.00762939453125,0.00762939453125,0
73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0061327868168896,0.0083208084106445,0.0040637913034923,0.0049591064453124,0.006723403930664,0.0,0.0,0.0,0.009012222290039,0.0,0.0119209289550781,0.0145435333251953,0.0145435333251953,0.0218868255615234,0,0.496,1.424,0.0,0.0,122.384,3.744,4.232,0.0,747.672,0.011444091796875,0.011444091796875,0
74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0061658349367651,0.0081062316894531,0.0039586075791367,0.0045299530029296,0.005960464477539,0.0,0.0,0.0,0.007486343383789,0.0,0.01068115234375,0.0107288360595703,0.0107288360595703,0.019693374633789,0,0.496,1.424,0.0,0.0,121.232,3.744,4.232,0.0,1254.728,0.0116825103759765,0.0116825103759765,0
75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0065789364352084,0.0088214874267578,0.0039253234863281,0.0045299530029296,0.0065088272094726,0.0,0.0,0.0,0.009322166442871,0.0,0.010848045349121,0.0104904174804687,0.0104904174804687,0.0257730484008789,0,0.496,1.424,0.0,0.0,118.448,8.264,7.736,0.0,4142.184,0.009775161743164,0.009775161743164,0
76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0065179606575277,0.0085830688476562,0.0038640907561161,0.0045299530029296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0123977661132812,0.0123977661132812,0.0,0,0.496,1.424,0.0,0.0,113.256,0.0,0.0,0.0,5575.296,0.0092983245849609,0.0092983245849609,0
77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0062143031637466,0.0083446502685546,0.0061988830566406,0.0061988830566406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0183582305908203,0.0183582305908203,0.0,0,0.496,1.424,0.0,0.0,113.256,0.0,0.0,0.0,1.192,0.0092983245849609,0.0092983245849609,0
78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0058519840240478,0.0076532363891601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013589859008789,0.013589859008789,0.0,0,0.496,1.36,0.0,0.0,112.0,0.0,0.0,0.0,0.0,0.0069141387939453,0.0069141387939453,0
79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0061941851536041,0.0085830688476562,0.0040398703681098,0.0047683715820312,0.0061511993408203,0.0,0.0,0.0,0.0077724456787109,0.0,0.0108718872070312,0.0081062316894531,0.0081062316894531,0.0197410583496093,0,0.496,1.36,0.0,0.0,127.576,3.744,4.232,0.0,1236.912,0.0069141387939453,0.0069141387939453,0
