time_seconds,a1_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,e2_du_retransmissions_dl_count,f1_c_retransmissions_ul_count,f1_c_retransmissions_dl_count,e2_du_retransmissions_ul_count,f1_u_packet_loss_ul_percentage,f1_u_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_packet_loss_dl_percentage,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,e2_du_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,f1_u_latency_mean_dl_ms,f1_u_latency_p90_dl_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,a1_retransmissions_dl_count,a1_retransmissions_ul_count,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,a1_throughput_dl_kbps,f1_u_throughput_ul_kbps,a1_throughput_ul_kbps,f1_c_packet_loss_ul_percentage,f1_c_packet_loss_dl_percentage,a1_packet_loss_dl_percentage,f1_c_latency_p90_ul_ms,f1_c_latency_mean_ul_ms,f1_c_latency_mean_dl_ms,f1_c_latency_p90_dl_ms,a1_latency_mean_ul_ms,a1_latency_p90_ul_ms,a1_latency_p90_dl_ms,a1_latency_mean_dl_ms,f1_u_throughput_dl_kbps,F-node
87,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0061786174774169,0.0083446502685546,0.00762939453125,0.00762939453125,0.0,0.0,0.0126361846923828,0.0126361846923828,0.496,1.36,2.0,0.0,6.576,6.864,1.584,112.0,0.0,20.0,20.0,0.0,-50.36323070526123,-212.74691820144653,250.53614377975464,442.8732872009278,0.0,0.0,4359.03525352478,4359.029213587443,0.0,1
88,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0061870214357898,0.0083446502685546,0.011444091796875,0.011444091796875,0.0052452087402343,0.0052452087402343,0.0073909759521484,0.0073909759521484,0.496,1.36,3.0,0.0,6.448,7.008,4.288,113.256,1.648,33.33333333333333,20.0,0.0,-118.29285621643064,-268.50152015686035,336.3677263259888,543.0270671844482,1412.9356741905212,3388.591408729553,4359.036922454834,4359.023475646973,1.192,1
89,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0060992454414937,0.0081062316894531,0.0081062316894531,0.0081062316894531,0.0066757202148437,0.0066757202148437,0.0195503234863281,0.0195503234863281,0.496,1.36,2.0,2.0,6.096,5.728,1.712,113.256,1.776,25.0,40.0,0.0,-81.03189468383789,-260.33687591552734,266.6618824005127,489.5551681518554,1196.7756085925632,3078.738641738892,4359.046030044556,4359.026908874512,1.192,1
90,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0060150279334528,0.0078678131103515,0.00762939453125,0.00762939453125,0.0047683715820312,0.0047683715820312,0.0071525573730468,0.0071525573730468,0.496,1.36,1.0,3.0,8.88,9.04,2.768,113.256,2.304,20.0,20.0,0.0,-106.0970067977905,-323.4606385231018,209.89751815795896,450.3655433654786,484.9925292165656,2257.849884033202,4359.022569656372,4359.016577402751,1.192,1
91,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0061476230621337,0.0081300735473632,0.0100374221801757,0.0091791152954101,0.0,0.0,0.0145435333251953,0.0193119049072265,1.344,2.208,1.0,2.0,6.576,6.864,1.776,112.0,1.776,20.0,20.0,0.0,-36.36002540588379,-209.2769145965576,251.51121616363525,449.9667406082154,168.21330123477512,2355.2518129348764,4359.0211391448975,4359.015130996704,0.0,1
92,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0060057640075683,0.0083446502685546,0.0073909759521484,0.0073909759521484,0.0,0.0,0.0100135803222656,0.0100135803222656,0.496,1.36,0.0,4.0,6.448,7.008,1.776,112.0,2.368,33.33333333333333,20.0,0.0,-108.19909572601316,-268.23657751083374,338.5850787162781,554.4055938720703,-426.646629969279,2052.9199361801147,4359.018659591675,4359.016100565593,0.0,1
93,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0063252449035644,0.0088214874267578,0.0083446502685546,0.0083446502685546,0.0,0.0,0.0109672546386718,0.0109672546386718,0.496,1.36,0.0,2.0,6.096,5.728,3.208,112.0,3.824,25.0,40.0,0.0,-86.4497184753418,-267.3027515411377,266.7120297749837,483.53271484375,-957.2059631347656,614.3866062164303,4359.027338027954,4359.017467498779,0.0,1
94,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0061893937599599,0.0083446502685546,0.0090599060058593,0.0090599060058593,0.0046094258626302,0.0057697296142578,0.013589859008789,0.013589859008789,0.496,1.36,1.0,1.0,8.88,9.04,3.216,117.192,3.704,20.0,20.0,0.0,-109.89656448364256,-321.99686765670776,210.8325958251953,449.06778335571295,-796.9625526004368,204.8124790191652,4359.018683433533,4359.014272689819,31.512,1
95,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.006234588254477,0.0081062316894531,0.0078678131103515,0.0078678131103515,0.0041509285951272,0.0057697296142578,0.009775161743164,0.009775161743164,0.496,1.424,1.0,1.0,6.576,6.864,1.648,141.928,0.592,20.0,20.0,0.0,-40.66767692565918,-210.51162481307983,250.8176565170288,448.7560987472535,-2219.447573026021,-511.9895935058594,4359.022784233093,4359.017729759216,425.96,1
96,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0064054338058622,0.0085830688476562,0.0083446502685546,0.0083446502685546,0.0044822692871093,0.006103515625,0.0088214874267578,0.0088214874267578,0.496,1.424,1.0,0.0,6.448,7.008,3.152,118.448,3.112,33.33333333333333,20.0,0.0,-111.06851100921628,-268.25159788131714,338.356077671051,554.0927410125732,0.0075499216715494,0.0093460083007812,4359.020709991455,4359.016100565593,153.896,1
97,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0063723856859868,0.0087976455688476,0.0078678131103515,0.0078678131103515,0.0054836273193359,0.0061988830566406,0.009775161743164,0.009775161743164,0.496,1.424,1.0,0.0,6.096,5.728,3.232,118.448,1.12,25.0,40.0,0.0,-105.3689956665039,-294.3100134531657,266.6868368784587,483.6178779602051,1602.86773954119,3474.0187168121342,4359.028196334839,4359.02214050293,15.528,1
98,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0073198062270434,0.009775161743164,0.0078678131103515,0.0078678131103515,0.0039399853971013,0.0045299530029296,0.0133514404296875,0.0133514404296875,0.496,1.36,1.0,2.0,8.88,9.04,2.704,117.192,1.712,20.0,20.0,0.0,-112.69478797912596,-300.4753589630127,211.95203065872192,444.1766262054444,791.1884968097394,2868.615436553956,4359.025430679321,4359.01951789856,19121.192,1
99,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0063943862915039,0.0085830688476562,0.0085830688476562,0.0085830688476562,0.0,0.0,0.0131130218505859,0.0131130218505859,0.496,1.424,1.0,1.0,6.576,6.864,1.12,112.0,0.592,20.0,20.0,0.0,-45.656514167785645,-211.73816919326785,251.44720077514648,444.2595005035401,-171.39323552449545,1535.0147485733032,4359.0256690979,4359.019756317139,0.0,1
100,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0061726570129394,0.0083446502685546,0.009775161743164,0.009775161743164,0.0,0.0,0.0095367431640625,0.0095367431640625,0.496,1.392,1.0,1.0,6.448,7.008,2.176,112.0,1.12,33.33333333333333,20.0,0.0,-114.50753211975096,-268.51141452789307,336.5921378135681,546.1164712905884,-1023.7709113529752,409.6090793609623,4359.032034873962,4359.023928642273,0.0,1
101,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0060796737670898,0.0081062316894531,0.00762939453125,0.00762939453125,0.0,0.0,0.0100135803222656,0.0100135803222656,0.496,1.36,1.0,1.0,6.096,5.728,3.088,112.0,3.84,25.0,40.0,0.0,-101.85885429382324,-280.317227045695,320.0400670369466,580.071496963501,-137.35210100809732,2660.621166229248,4359.026408195496,4359.018325805664,0.0,1
