time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,f1_c_retransmissions_dl_count,f1_c_retransmissions_ul_count,f1_u_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_packet_loss_ul_percentage,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,e2_du_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,a1_latency_mean_ul_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,a1_latency_p90_ul_ms,a1_latency_mean_dl_ms,f1_c_latency_mean_dl_ms,f1_c_latency_mean_ul_ms,f1_c_latency_p90_dl_ms,f1_u_latency_mean_dl_ms,f1_c_latency_p90_ul_ms,a1_latency_p90_dl_ms,f1_u_latency_p90_dl_ms,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_throughput_ul_kbps,f1_c_throughput_dl_kbps,a1_throughput_dl_kbps,a1_throughput_ul_kbps,f1_u_throughput_ul_kbps,f1_u_packet_loss_dl_percentage,f1_u_throughput_dl_kbps,F-node
20,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059260657770716,0.0081062316894531,0.0081062316894531,0.0081062316894531,0.0064443139468922,0.0069141387939453,0.0069141387939453,0.0086784362792968,0.0095036294725206,0.0157356262207031,0.0180006027221679,0.0184059143066406,0.0045299530029296,0.0211477279663085,0.0205039978027343,0.0045299530029296,0.496,1.424,1.696,1.696,25.68,26.816,113.256,0.0,1.192,0
21,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059962272644042,0.0081300735473632,0.0069141387939453,0.0069141387939453,0.0064443139468922,0.0107288360595703,0.0107288360595703,0.0086784362792968,0.0095036294725206,0.0157356262207031,0.0180006027221679,0.0184059143066406,0.0,0.0211477279663085,0.0205039978027343,0.0,0.496,1.36,1.696,1.696,25.68,26.816,112.0,0.0,0.0,0
22,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059497356414794,0.0078678131103515,0.0069141387939453,0.0069141387939453,0.0064443139468922,0.0064373016357421,0.0064373016357421,0.0086784362792968,0.0095036294725206,0.0157356262207031,0.0180006027221679,0.0184059143066406,0.0,0.0211477279663085,0.0205039978027343,0.0,0.496,1.36,1.696,1.696,25.68,26.816,112.0,0.0,0.0,0
23,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062486500415987,0.0085830688476562,0.0071525573730468,0.0071525573730468,0.0064443139468922,0.009775161743164,0.009775161743164,0.0086784362792968,0.0095036294725206,0.0157356262207031,0.0180006027221679,0.0184059143066406,0.0042742577151975,0.0211477279663085,0.0205039978027343,0.0054836273193359,0.496,1.424,1.696,1.696,25.68,26.816,140.352,0.0,690.856,0
24,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060772895812988,0.0081062316894531,0.005960464477539,0.005960464477539,0.0,0.0104904174804687,0.0104904174804687,0.0,0.0,0.0157356262207031,0.0180006027221679,0.0184059143066406,0.0,0.0211477279663085,0.0,0.0,0.496,1.424,1.696,1.696,0.0,0.0,112.0,0.0,0.0,0
25,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060079109609423,0.0078678131103515,0.0071525573730468,0.0071525573730468,0.0,0.00762939453125,0.00762939453125,0.0,0.0,0.0157356262207031,0.0180006027221679,0.0184059143066406,0.0061988830566406,0.0211477279663085,0.0,0.0061988830566406,0.496,1.36,1.696,1.696,0.0,0.0,113.256,0.0,1.192,0
26,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006061288254771,0.0083446502685546,0.0083446502685546,0.0083446502685546,0.0066757202148437,0.0143051147460937,0.0143051147460937,0.0093460083007812,0.0113248825073242,0.0,0.0,0.0,0.0057220458984375,0.0,0.0283002853393554,0.0057220458984375,0.496,1.36,0.0,0.0,8.264,7.736,113.256,0.0,1.192,0
27,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060624744168561,0.0081062316894531,0.0069141387939453,0.0069141387939453,0.0066041946411132,0.0133514404296875,0.0133514404296875,0.0086784362792968,0.01068115234375,0.0,0.0,0.0,0.005960464477539,0.0,0.0262975692749023,0.005960464477539,0.496,1.36,0.0,0.0,8.264,7.736,113.256,0.0,1.192,0
28,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060624744168561,0.0081062316894531,0.0083446502685546,0.0083446502685546,0.0,0.0088214874267578,0.0088214874267578,0.0,0.0,0.0,0.0,0.0,0.005960464477539,0.0,0.0,0.005960464477539,0.496,1.36,0.0,0.0,0.0,0.0,113.256,0.0,1.192,0
29,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060624744168561,0.0081062316894531,0.006866455078125,0.0066757202148437,0.0,0.0079870223999023,0.0082731246948242,0.0,0.0,0.0,0.0,0.0,0.005960464477539,0.0,0.0,0.005960464477539,1.344,2.208,0.0,0.0,0.0,0.0,113.256,0.0,1.192,0
30,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0063956362529865,0.0089406967163085,0.0104904174804687,0.0104904174804687,0.0061988830566406,0.0083446502685546,0.0083446502685546,0.0075340270996093,0.0118732452392578,0.0,0.0,0.0,0.0039587775580317,0.0,0.0210285186767578,0.0047683715820312,0.496,1.36,0.0,0.0,3.744,4.232,143.152,0.0,1530.632,0
31,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0067599377228846,0.0092983245849609,0.0090599060058593,0.0090599060058593,0.0064373016357421,0.00762939453125,0.00762939453125,0.0081539154052734,0.0116825103759765,0.0,0.0,0.0,0.0038339663184595,0.0,0.0295877456665039,0.0042915344238281,0.496,1.424,0.0,0.0,7.488,8.464,117.192,0.0,9613.72,0
32,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059794430709003,0.0081062316894531,0.009775161743164,0.009775161743164,0.0060876210530598,0.0102519989013671,0.0102519989013671,0.008249282836914,0.0107924143473307,0.0,0.0,0.0,0.0073909759521484,0.0,0.0270843505859375,0.0073909759521484,0.496,1.424,0.0,0.0,12.008,11.968,113.256,0.0,1.192,0
33,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060126556092826,0.0083446502685546,0.0083446502685546,0.0083446502685546,0.0060081481933593,0.0066757202148437,0.0066757202148437,0.0083446502685546,0.0104188919067382,0.0,0.0,0.0,0.0052452087402343,0.0,0.0270605087280273,0.0052452087402343,0.496,1.36,0.0,0.0,8.264,7.736,113.256,0.0,1.192,0
34,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006147878086982,0.0081062316894531,0.0081062316894531,0.0081062316894531,0.0,0.0119209289550781,0.0119209289550781,0.0,0.0,0.0,0.0,0.0,0.0088214874267578,0.0,0.0,0.0088214874267578,0.496,1.36,0.0,0.0,0.0,0.0,113.256,0.0,1.192,0
35,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061821937561035,0.0083446502685546,0.009775161743164,0.009775161743164,0.0,0.009775161743164,0.009775161743164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,112.0,0.0,0.0,0
36,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060880184173583,0.0083446502685546,0.0073909759521484,0.0073909759521484,0.0063419342041015,0.009775161743164,0.009775161743164,0.0080585479736328,0.0114917755126953,0.0,0.0,0.0,0.0,0.0,0.0209331512451171,0.0,0.496,1.36,0.0,0.0,3.744,4.232,112.0,0.0,0.0,0
37,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061631202697753,0.0083446502685546,0.0073909759521484,0.0073909759521484,0.0063048468695746,0.0081062316894531,0.0081062316894531,0.0087261199951171,0.0104253942316228,0.0,0.0,0.0,0.0,0.0,0.028848648071289,0.0,0.496,1.36,0.0,0.0,8.016,7.936,112.0,0.0,0.0,0
38,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061666965484619,0.0086069107055664,0.0071525573730468,0.0071525573730468,0.0062942504882812,0.0119209289550781,0.0119209289550781,0.0088214874267578,0.0109513600667317,0.0,0.0,0.0,0.0,0.0,0.0278949737548828,0.0,0.496,1.36,0.0,0.0,12.008,11.968,112.0,0.0,0.0,0
