time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_retransmissions_ul_count,f1_c_retransmissions_dl_count,f1_u_packet_loss_dl_percentage,f1_u_packet_loss_ul_percentage,f1_u_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,e2_du_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,f1_u_latency_mean_dl_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,f1_u_latency_p90_dl_ms,a1_latency_mean_ul_ms,a1_latency_p90_ul_ms,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,f1_u_throughput_ul_kbps,f1_c_packet_loss_ul_percentage,f1_c_packet_loss_dl_percentage,a1_throughput_dl_kbps,a1_throughput_ul_kbps,f1_c_latency_p90_ul_ms,f1_c_latency_mean_ul_ms,f1_c_latency_mean_dl_ms,f1_c_latency_p90_dl_ms,a1_latency_p90_dl_ms,a1_latency_mean_dl_ms,f1_u_throughput_dl_kbps,F-node
22,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.006118224034855,0.0078678131103515,0.0073909759521484,0.0073909759521484,0.0057220458984375,0.0088214874267578,0.0088214874267578,0.0057220458984375,0.0062670026506696,0.0078678131103515,0.496,1.36,6.448,7.04,113.256,33.33333333333333,20.0,25.152,27.344,-109.6029996871948,-268.2281732559204,338.3460640907288,554.0735006332397,0.0215053558349609,0.0097547258649553,1.192,0
23,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0060701370239257,0.0085830688476562,0.0102519989013671,0.0102519989013671,0.0,0.013589859008789,0.013589859008789,0.0,0.0062670026506696,0.0078678131103515,0.496,1.36,6.096,5.76,112.0,25.0,40.0,25.152,27.344,-86.63253784179688,-266.643762588501,266.6942278544108,483.5866451263428,0.0215053558349609,0.0097547258649553,0.0,0
24,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0060141086578369,0.0078916549682617,0.0090599060058593,0.0090599060058593,0.0,0.0107288360595703,0.0107288360595703,0.0,0.0062670026506696,0.0078678131103515,0.496,1.36,8.88,9.072,112.0,20.0,20.0,25.152,27.344,-111.2460136413574,-321.7460513114929,211.06433868408203,448.4619617462159,0.0215053558349609,0.0097547258649553,0.0,0
25,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0061714649200439,0.0085830688476562,0.0078678131103515,0.0078678131103515,0.0,0.0109672546386718,0.0109672546386718,0.0,0.0062670026506696,0.0078678131103515,0.496,1.36,6.576,6.928,112.0,20.0,20.0,25.152,27.344,-42.31681823730469,-210.7621431350708,250.5902647972107,448.4435319900513,0.0215053558349609,0.0097547258649553,0.0,0
26,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0059998035430908,0.0078678131103515,0.00762939453125,0.00762939453125,0.0,0.009775161743164,0.009775161743164,0.0,0.0062670026506696,0.0078678131103515,0.496,1.36,6.448,7.04,112.0,33.33333333333333,20.0,25.152,27.344,-113.12580108642577,-268.4835195541382,338.3407592773437,551.2681484222412,0.0215053558349609,0.0097547258649553,0.0,0
27,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0058833639420087,0.0078678131103515,0.0107288360595703,0.0107288360595703,0.0061988830566406,0.0100135803222656,0.0100135803222656,0.0061988830566406,0.0062670026506696,0.0078678131103515,0.496,1.36,6.096,5.76,113.256,25.0,40.0,25.152,27.344,-90.6036376953125,-266.9702370961507,266.67102177937824,478.28712463378906,0.0215053558349609,0.0097547258649553,1.192,0
28,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0062543566864315,0.0090360641479492,0.0069379806518554,0.0060796737670898,0.0043511390686035,0.0121593475341796,0.0138759613037109,0.0051021575927734,0.0062670026506696,0.0078678131103515,1.344,2.208,8.88,9.072,118.448,20.0,20.0,25.152,27.344,-114.81926441192624,-320.49041986465454,212.3245596885681,443.7334537506104,0.0215053558349609,0.0097547258649553,26.192,0
29,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0061563926168007,0.0083208084106445,0.0104904174804687,0.0104904174804687,0.0056028366088867,0.0071525573730468,0.0071525573730468,0.0056982040405273,0.0062670026506696,0.0078678131103515,0.496,1.424,6.576,6.928,116.032,20.0,20.0,25.152,27.344,-47.62699604034424,-212.257981300354,251.3541579246521,443.7658548355103,0.0215053558349609,0.0097547258649553,3.68,0
30,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0061401592686845,0.0081062316894531,0.0104904174804687,0.0104904174804687,0.0065962473551432,0.009775161743164,0.009775161743164,0.0073432922363281,0.0062670026506696,0.0078678131103515,0.496,1.424,6.448,7.04,119.624,33.33333333333333,20.0,25.152,27.344,-115.9302473068237,-268.49257946014404,336.33506298065186,546.0375547409058,0.0215053558349609,0.0097547258649553,6.76,0
31,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0061500072479248,0.0083446502685546,0.0078678131103515,0.0078678131103515,0.0,0.0143051147460937,0.0143051147460937,0.0,0.0062670026506696,0.0078678131103515,0.496,1.424,6.096,5.76,112.0,25.0,40.0,25.152,27.344,-94.63467597961426,-266.64336522420246,266.6922410329183,477.2782325744629,0.0215053558349609,0.0097547258649553,0.0,0
