time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,f1_c_retransmissions_dl_count,f1_c_retransmissions_ul_count,f1_u_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_packet_loss_dl_percentage,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,e2_du_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,f1_u_latency_mean_dl_ms,f1_u_latency_p90_dl_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,a1_latency_mean_ul_ms,f1_c_latency_mean_dl_ms,f1_c_latency_mean_ul_ms,a1_latency_p90_ul_ms,f1_c_latency_p90_dl_ms,f1_c_latency_p90_ul_ms,f1_u_packet_loss_ul_percentage,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,a1_throughput_ul_kbps,a1_throughput_dl_kbps,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,f1_u_throughput_ul_kbps,a1_latency_mean_dl_ms,a1_latency_p90_dl_ms,f1_u_throughput_dl_kbps,F-node
20,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0057458877563476,0.00762939453125,0.0071525573730468,0.0071525573730468,0.0,0.0,0.0102519989013671,0.0102519989013671,0.0056743621826171,0.0,0.0,0.0071525573730468,0.0,0.0,0.0,0.496,1.36,4.232,3.744,0.0,0.0,112.0,0.0104427337646484,0.0201702117919921,0.0,0
21,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059843063354492,0.0078916549682617,0.0066757202148437,0.0066757202148437,0.0,0.0,0.0088214874267578,0.0088214874267578,0.0057697296142578,0.0,0.0,0.0078678131103515,0.0,0.0,0.0,0.496,1.36,11.968,12.008,0.0,0.0,112.0,0.0103950500488281,0.0260353088378906,0.0,0
22,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0058281421661376,0.00762939453125,0.0061988830566406,0.0061988830566406,0.0,0.0,0.005960464477539,0.005960464477539,0.0057697296142578,0.0,0.0,0.0071048736572265,0.0,0.0,0.0,0.496,1.36,4.232,3.744,0.0,0.0,112.0,0.0118255615234375,0.0230789184570312,0.0,0
23,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061005064584676,0.0083446502685546,0.0092983245849609,0.0092983245849609,0.0039925498347128,0.0047683715820312,0.0088214874267578,0.0088214874267578,0.005960464477539,0.0,0.0,0.0086069107055664,0.0,0.0,0.0,0.496,1.36,7.736,8.264,0.0,0.0,143.152,0.0115633010864257,0.0317335128784179,2671.44,0
24,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00681735501431,0.0088214874267578,0.009775161743164,0.009775161743164,0.0038687940703982,0.0045299530029296,0.0092983245849609,0.0092983245849609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,115.856,0.0,0.0,11957.992,0
25,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0074216634920327,0.0100135803222656,0.0116825103759765,0.0116825103759765,0.0038426119169209,0.0045299530029296,0.0092983245849609,0.0092983245849609,0.0056743621826171,0.0,0.0,0.0072956085205078,0.0,0.0,0.0,0.496,1.36,4.232,3.744,0.0,0.0,118.448,0.0104427337646484,0.0200748443603515,23384.32,0
26,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0064479242457021,0.0085830688476562,0.0092983245849609,0.0092983245849609,0.0043190442598783,0.0052452087402343,0.0116825103759765,0.0116825103759765,0.0060558319091796,0.0,0.0,0.0075817108154296,0.0,0.0,0.0,0.496,1.36,4.232,3.744,0.0,0.0,118.448,0.0108718872070312,0.0204086303710937,826.032,0
27,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061431334386417,0.0081062316894531,0.00762939453125,0.00762939453125,0.0041333111849698,0.0050067901611328,0.0088214874267578,0.0088214874267578,0.0060558319091796,0.0,0.0,0.0081300735473632,0.0,0.0,0.0,0.496,1.36,8.464,7.488,0.0,0.0,115.912,0.0101327896118164,0.0241518020629882,1004.912,0
28,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0064859342812305,0.0088214874267578,0.0068187713623046,0.0064373016357421,0.0039668793373919,0.0047683715820312,0.0110864639282226,0.0113725662231445,0.0058174133300781,0.0,0.0,0.0078916549682617,0.0,0.0,0.0,1.344,2.208,7.736,8.264,0.0,0.0,117.192,0.0106334686279296,0.0275850296020507,3840.08,0
29,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0065132160091874,0.0085830688476562,0.0066757202148437,0.0066757202148437,0.0039229420999724,0.0047683715820312,0.0081062316894531,0.0081062316894531,0.0062942504882812,0.0,0.0,0.0087499618530273,0.0,0.0,0.0,0.496,1.36,7.736,8.264,0.0,0.0,117.192,0.0111818313598632,0.0273942947387695,5401.496,0
30,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0065737102755266,0.0088214874267578,0.0112056732177734,0.0112056732177734,0.0039247895388032,0.0047683715820312,0.0069141387939453,0.0069141387939453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,114.888,0.0,0.0,7278.936,0
31,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061729166767384,0.0085830688476562,0.0140666961669921,0.0140666961669921,0.0039291920634986,0.0047683715820312,0.0133514404296875,0.0133514404296875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,118.448,0.0,0.0,3918.096,0
32,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006190579922045,0.0083446502685546,0.0073909759521484,0.0073909759521484,0.0061511993408203,0.0079154968261718,0.0100135803222656,0.0100135803222656,0.0058650970458984,0.0,0.0,0.0075340270996093,0.0,0.0,0.0,0.496,1.36,4.232,3.744,0.0,0.0,113.256,0.0113487243652343,0.0226020812988281,9.736,0
33,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0058442205932009,0.0078678131103515,0.0066757202148437,0.0066757202148437,0.0057220458984375,0.0057220458984375,0.0081062316894531,0.0081062316894531,0.0062227249145507,0.0,0.0,0.0088930130004882,0.0,0.0,0.0,0.496,1.36,8.464,7.488,0.0,0.0,113.256,0.0116348266601562,0.03204345703125,1.192,0
34,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059270858764648,0.0078916549682617,0.0090599060058593,0.0090599060058593,0.0,0.0,0.0078678131103515,0.0078678131103515,0.0058333079020182,0.0,0.0,0.008249282836914,0.0,0.0,0.0,0.496,1.36,11.968,12.008,0.0,0.0,112.0,0.0107447306315104,0.0262737274169921,0.0,0
35,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0057923793792724,0.00762939453125,0.0064373016357421,0.0064373016357421,0.0,0.0,0.0069141387939453,0.0069141387939453,0.0058174133300781,0.0,0.0,0.0081062316894531,0.0,0.0,0.0,0.496,1.36,7.736,8.264,0.0,0.0,112.0,0.0115156173706054,0.0255584716796874,0.0,0
36,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005803108215332,0.0078678131103515,0.0085830688476562,0.0085830688476562,0.0,0.0,0.0092983245849609,0.0092983245849609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,112.0,0.0,0.0,0.0,0
37,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0058352947235107,0.0078678131103515,0.0081062316894531,0.0081062316894531,0.0,0.0,0.0150203704833984,0.0150203704833984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,112.0,0.0,0.0,0.0,0
38,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005946230532518,0.00762939453125,0.0078678131103515,0.0078678131103515,0.0045299530029296,0.0045299530029296,0.0069141387939453,0.0069141387939453,0.0060081481933593,0.0,0.0,0.0076770782470703,0.0,0.0,0.0,0.496,1.36,4.232,3.744,0.0,0.0,113.256,0.0109672546386718,0.0210762023925781,1.192,0
39,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0058003325960529,0.0078678131103515,0.0107288360595703,0.0107288360595703,0.0045299530029296,0.0045299530029296,0.013589859008789,0.013589859008789,0.0061511993408203,0.0,0.0,0.007486343383789,0.0,0.0,0.0,0.496,1.36,4.232,3.744,0.0,0.0,113.256,0.0117301940917968,0.0239849090576171,1.192,0
40,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0058928532386893,0.0081062316894531,0.0069141387939453,0.0069141387939453,0.0045299530029296,0.0045299530029296,0.0140666961669921,0.0140666961669921,0.0060399373372395,0.0,0.0,0.0080108642578125,0.0,0.0,0.0,0.496,1.36,11.968,12.008,0.0,0.0,113.256,0.0107447306315104,0.0271797180175781,1.192,0
41,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0057780742645263,0.00762939453125,0.0069141387939453,0.0069141387939453,0.0,0.0,0.0109672546386718,0.0109672546386718,0.0057697296142578,0.0,0.0,0.0075340270996093,0.0,0.0,0.0,0.496,1.36,4.232,3.744,0.0,0.0,112.0,0.0119686126708984,0.0241756439208984,0.0,0
42,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0058841705322265,0.0083446502685546,0.0069141387939453,0.0069141387939453,0.0,0.0,0.0119209289550781,0.0119209289550781,0.0060796737670898,0.005960464477539,0.0054836273193359,0.0080347061157226,0.007486343383789,0.0056743621826171,0.0,0.496,1.36,7.736,8.264,1.696,1.696,112.0,0.0112295150756835,0.0267267227172851,0.0,0
43,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060451030731201,0.0078678131103515,0.0090599060058593,0.0090599060058593,0.0,0.0,0.0092983245849609,0.0092983245849609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,112.0,0.0,0.0,0.0,0
44,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0058293342590332,0.0078678131103515,0.0069141387939453,0.0069141387939453,0.0,0.0,0.0102519989013671,0.0102519989013671,0.0056743621826171,0.0,0.0,0.0070571899414062,0.0,0.0,0.0,0.496,1.36,4.232,3.744,0.0,0.0,112.0,0.0105857849121093,0.0204086303710937,0.0,0
45,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005955696105957,0.0076532363891601,0.0069141387939453,0.0069141387939453,0.0,0.0,0.0081062316894531,0.0081062316894531,0.0061988830566406,0.0,0.0,0.0077724456787109,0.0,0.0,0.0,0.496,1.36,4.232,3.744,0.0,0.0,112.0,0.0116348266601562,0.0218868255615234,0.0,0
46,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060873838206428,0.0088214874267578,0.0064373016357421,0.0064373016357421,0.0047683715820312,0.0047683715820312,0.0078678131103515,0.0078678131103515,0.0056902567545572,0.0,0.0,0.0078678131103515,0.0,0.0,0.0,0.496,1.36,11.968,12.008,0.0,0.0,113.256,0.0108083089192708,0.0281333923339843,1.192,0
47,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006234588254477,0.0085830688476562,0.0071525573730468,0.0071525573730468,0.0039507902742967,0.0047683715820312,0.0078678131103515,0.0078678131103515,0.0057220458984375,0.0,0.0,0.0074386596679687,0.0,0.0,0.0,0.496,1.36,4.232,3.744,0.0,0.0,144.408,0.0113487243652343,0.020456314086914,2536.792,0
48,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061198036269386,0.0083446502685546,0.0081062316894531,0.0081062316894531,0.0045696894327799,0.0056028366088867,0.0083446502685546,0.0083446502685546,0.0056266784667968,0.0,0.0,0.0078916549682617,0.0,0.0,0.0,0.496,1.36,7.736,8.264,0.0,0.0,116.944,0.0104665756225585,0.0256299972534179,236.08,0
49,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005735158920288,0.0073909759521484,0.0078678131103515,0.0078678131103515,0.0,0.0,0.0119209289550781,0.0119209289550781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,112.0,0.0,0.0,0.0,0
50,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059914588928222,0.0078916549682617,0.0069141387939453,0.0069141387939453,0.0,0.0,0.0092983245849609,0.0092983245849609,0.005960464477539,0.0,0.0,0.0072956085205078,0.0,0.0,0.0,0.496,1.36,4.232,3.744,0.0,0.0,112.0,0.0127315521240234,0.0237464904785156,0.0,0
51,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059151649475097,0.00762939453125,0.0066757202148437,0.0066757202148437,0.0,0.0,0.0150203704833984,0.0150203704833984,0.0060558319091796,0.0,0.0,0.0078201293945312,0.0,0.0,0.0,0.496,1.36,4.232,3.744,0.0,0.0,112.0,0.0113487243652343,0.0216007232666015,0.0,0
52,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060319900512695,0.0083446502685546,0.0064373016357421,0.0064373016357421,0.0,0.0,0.0081062316894531,0.0081062316894531,0.0057538350423177,0.0,0.0,0.0078678131103515,0.0,0.0,0.0,0.496,1.36,11.968,12.008,0.0,0.0,112.0,0.0106493631998697,0.0258922576904296,0.0,0
53,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061453842535251,0.00762939453125,0.0064373016357421,0.0064373016357421,0.0039257415353435,0.0042915344238281,0.0121593475341796,0.0121593475341796,0.0055789947509765,0.0,0.0,0.0069141387939453,0.0,0.0,0.0,0.496,1.36,4.232,3.744,0.0,0.0,138.656,0.0104427337646484,0.0200748443603515,829.176,0
54,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059049908477481,0.0078439712524414,0.0102519989013671,0.0102519989013671,0.0042915344238281,0.0042915344238281,0.0123977661132812,0.0123977661132812,0.0063180923461914,0.0,0.0,0.0081300735473632,0.0,0.0,0.0,0.496,1.36,7.736,8.264,0.0,0.0,113.816,0.0116586685180664,0.0286579132080078,1.192,0
