time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_retransmissions_ul_count,f1_c_retransmissions_dl_count,f1_u_packet_loss_dl_percentage,f1_u_packet_loss_ul_percentage,f1_u_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,f1_u_latency_mean_dl_ms,f1_u_latency_p90_dl_ms,a1_latency_mean_ul_ms,e2_du_latency_mean_ul_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_ul_ms,a1_latency_p90_ul_ms,e2_du_latency_p90_dl_ms,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,a1_throughput_dl_kbps,a1_throughput_ul_kbps,f1_c_packet_loss_ul_percentage,f1_u_throughput_ul_kbps,f1_c_packet_loss_dl_percentage,a1_latency_mean_dl_ms,a1_latency_p90_dl_ms,f1_c_latency_p90_ul_ms,f1_c_latency_p90_dl_ms,f1_c_latency_mean_ul_ms,f1_c_latency_mean_dl_ms,f1_u_throughput_dl_kbps,F-node
129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0063008929959577,0.0083446502685546,0.0066757202148437,0.0066757202148437,0.0080823898315429,0.0,0.0,0.0,0.011301040649414,0.0,0.0,0.0,5.6,5.76,7.488,8.464,25.0,113.256,25.0,85.01627445220947,85.03532409667969,-363.8729572296143,712.9220962524414,-533.6724122365316,526.9565582275391,1.192,1
130,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0067293643951416,0.0085830688476562,0.0045299530029296,0.0045299530029296,0.0084400177001953,0.0,0.0,0.0,0.0118732452392578,0.0,0.0,0.0,9.856,10.24,12.008,11.968,16.666666666666664,112.696,16.666666666666664,85.0178877512614,85.03432273864746,-386.2228393554688,860.903263092041,-571.775484085083,553.6874294281006,1.192,1
131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0067448616027832,0.0090599060058593,0.0,0.0,0.0082916683620876,0.0,0.0,0.0,0.0121593475341796,0.0,0.0,0.0,5.6,5.76,7.208,7.208,25.0,112.0,25.0,85.01584529876709,85.03153324127197,-435.0260257720947,1146.479892730713,-640.3384208679199,747.0134894053141,0.0,1
132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0067830085754394,0.0090599060058593,0.0,0.0,0.0181198120117187,0.0,0.0,0.0,0.0181198120117187,0.0,0.0,0.0,1.344,1.28,1.056,0.528,50.0,112.0,50.0,0.0,0.0,-395.0679302215576,1076.2345790863037,-395.0679302215576,1076.2345790863037,0.0,1
133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0067007541656494,0.0088214874267578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.856,10.24,0.0,0.0,16.666666666666664,112.0,16.666666666666664,0.0,0.0,-395.7473754882813,761.0767364501953,-753.5674095153809,520.7620143890381,0.0,1
134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0065588951110839,0.0081062316894531,0.0,0.0,0.0089645385742187,0.0,0.0,0.0,0.0136375427246093,0.0,0.0,0.0,6.448,6.256,3.744,4.232,40.0,112.0,20.0,85.0163459777832,85.02826690673828,-352.1764278411865,712.038516998291,-533.6759090423584,549.4390726089478,0.0,1
135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0068358177148201,0.0088214874267578,0.0040373449659533,0.0047683715820312,0.0077486038208007,0.0,0.0,0.0,0.01068115234375,0.0,0.0,0.0,5.6,6.544,2.688,3.704,20.0,144.408,25.0,85.01847585042317,85.03568172454834,-310.00678539276123,727.862548828125,-477.77485847473145,533.9978535970052,2402.136,1
136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0068939740384989,0.0092983245849609,0.0039536806079448,0.0045299530029296,0.0109275182088216,0.0,0.0,0.0,0.014662742614746,0.0,0.0,0.0,6.096,5.76,5.328,4.76,25.0,113.256,40.0,85.02054214477539,85.03162860870361,-355.56607246398926,724.5156764984131,-534.6364974975586,533.4043502807617,2176.04,1
137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0063830082959467,0.0083446502685546,0.0044902165730794,0.0058650970458984,0.0079631805419921,0.0,0.0,0.0,0.011444091796875,0.0,0.0,0.0,9.856,10.24,12.008,11.968,16.666666666666664,118.448,16.666666666666664,85.01403672354562,85.0273609161377,-398.6192226409912,757.5513362884521,-577.5693416595459,521.624755859375,164.96,1
138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0068536445276061,0.0088214874267578,0.004123238956227,0.0050067901611328,0.0094890594482421,0.0,0.0,0.0,0.0146150588989257,0.0,0.0,0.0,6.448,6.256,8.264,7.736,40.0,121.824,20.0,85.01734733581543,85.0374698638916,-356.0345649719238,707.2164535522461,-533.6976846059164,548.4328866004944,2090.792,1
