time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,f1_c_retransmissions_dl_count,f1_c_retransmissions_ul_count,f1_u_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_packet_loss_dl_percentage,f1_u_packet_loss_ul_percentage,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,e2_du_latency_p90_ul_ms,f1_c_latency_mean_ul_ms,f1_c_latency_p90_ul_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,a1_latency_mean_ul_ms,f1_u_latency_mean_dl_ms,f1_u_latency_p90_dl_ms,a1_latency_p90_ul_ms,a1_latency_mean_dl_ms,a1_latency_p90_dl_ms,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,f1_u_throughput_ul_kbps,a1_throughput_dl_kbps,a1_throughput_ul_kbps,f1_c_latency_p90_dl_ms,f1_c_latency_mean_dl_ms,f1_u_throughput_dl_kbps,F-node
20,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060510635375976,0.0083684921264648,0.0081062316894531,0.0081062316894531,0.0,0.0,0.0116825103759765,0.0116825103759765,0.006239754813058,0.0,0.0,0.0078678131103515,0.0095231192452566,0.0200271606445312,0.496,1.36,0.0,0.0,112.0,25.152,27.344,0.0,0.0,0.0,0
21,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061821937561035,0.0081062316894531,0.0090599060058593,0.0090599060058593,0.0,0.0,0.0085830688476562,0.0085830688476562,0.006239754813058,0.0,0.0,0.0078678131103515,0.0095231192452566,0.0200271606445312,0.496,1.36,0.0,0.0,112.0,25.152,27.344,0.0,0.0,0.0,0
22,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061097654324133,0.0083446502685546,0.0073909759521484,0.0073909759521484,0.0,0.0,0.0131130218505859,0.0131130218505859,0.006239754813058,0.003968926494836,0.0047683715820312,0.0078678131103515,0.0095231192452566,0.0200271606445312,0.496,1.36,0.0,0.0,143.152,25.152,27.344,0.0,0.0,3647.688,0
23,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060079109609423,0.0078678131103515,0.0078678131103515,0.0078678131103515,0.0,0.0,0.0104904174804687,0.0104904174804687,0.006239754813058,0.0041831623424183,0.0056266784667968,0.0078678131103515,0.0095231192452566,0.0200271606445312,0.496,1.424,0.0,0.0,117.192,25.152,27.344,0.0,0.0,331.032,0
24,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059592783154539,0.0078678131103515,0.0071525573730468,0.0071525573730468,0.0,0.0,0.0150203704833984,0.0150203704833984,0.006239754813058,0.0064373016357421,0.0064373016357421,0.0078678131103515,0.0095231192452566,0.0200271606445312,0.496,1.424,0.0,0.0,113.256,25.152,27.344,0.0,0.0,1.192,0
25,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062294194263777,0.0085830688476562,0.0102519989013671,0.0102519989013671,0.0,0.0,0.0083446502685546,0.0083446502685546,0.006239754813058,0.0038717104041058,0.0045299530029296,0.0078678131103515,0.0095231192452566,0.0200271606445312,0.496,1.36,0.0,0.0,123.64,25.152,27.344,0.0,0.0,1528.272,0
26,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062617496471499,0.0085830688476562,0.0131130218505859,0.0131130218505859,0.0,0.0,0.00762939453125,0.00762939453125,0.006239754813058,0.009775161743164,0.009775161743164,0.0078678131103515,0.0095231192452566,0.0200271606445312,0.496,1.424,0.0,0.0,113.256,25.152,27.344,0.0,0.0,1.192,0
27,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060904026031494,0.0085830688476562,0.0073909759521484,0.0073909759521484,0.0057220458984375,0.0057220458984375,0.0092983245849609,0.0092983245849609,0.006239754813058,0.0,0.0,0.0078678131103515,0.0095231192452566,0.0200271606445312,0.496,1.36,0.848,0.848,112.0,25.152,27.344,0.0123977661132812,0.0123977661132812,0.0,0
28,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061178442292612,0.0085830688476562,0.0085830688476562,0.0085830688476562,0.0,0.0,0.011444091796875,0.011444091796875,0.0066757202148437,0.0038782755533854,0.0045299530029296,0.0089168548583984,0.0118732452392578,0.022745132446289,0.496,1.36,0.0,0.0,127.576,4.52,3.504,0.0,0.0,4508.312,0
29,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061178442292612,0.0085830688476562,0.0069141387939453,0.0069141387939453,0.0,0.0,0.0102519989013671,0.0123500823974609,0.0061988830566406,0.0038782755533854,0.0045299530029296,0.0086307525634765,0.0110864639282226,0.0274181365966796,1.344,2.272,0.0,0.0,127.576,8.264,7.736,0.0,0.0,4508.312,0
30,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0063192726361869,0.0083446502685546,0.0069141387939453,0.0069141387939453,0.0,0.0,0.0131130218505859,0.0131130218505859,0.0,0.0038964181097097,0.0045299530029296,0.0,0.0,0.0,0.496,1.392,0.0,0.0,122.384,0.0,0.0,0.0,0.0,6675.272,0
31,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00655117319591,0.0088214874267578,0.0104904174804687,0.0104904174804687,0.0066757202148437,0.0066757202148437,0.0107288360595703,0.0107288360595703,0.0,0.0038857824884178,0.0045299530029296,0.0,0.0,0.0,0.496,1.424,0.848,0.848,117.888,0.0,0.0,0.0064373016357421,0.0064373016357421,4243.4,0
32,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0063447809931057,0.0081062316894531,0.0112056732177734,0.0112056732177734,0.0,0.0,0.0078678131103515,0.0078678131103515,0.0067710876464843,0.0073909759521484,0.0073909759521484,0.0091552734375,0.0117301940917968,0.0226974487304687,0.496,1.424,0.0,0.0,113.256,3.744,4.232,0.0,0.0,1.192,0
