time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,f1_c_retransmissions_dl_count,f1_c_retransmissions_ul_count,f1_u_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_packet_loss_dl_percentage,f1_u_packet_loss_ul_percentage,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,e2_du_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,f1_u_latency_mean_dl_ms,f1_u_latency_p90_dl_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,a1_latency_mean_ul_ms,f1_c_latency_mean_ul_ms,f1_c_latency_mean_dl_ms,f1_c_latency_p90_ul_ms,a1_latency_p90_ul_ms,f1_c_latency_p90_dl_ms,a1_latency_mean_dl_ms,a1_latency_p90_dl_ms,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,f1_u_throughput_ul_kbps,a1_throughput_dl_kbps,a1_throughput_ul_kbps,f1_u_throughput_dl_kbps,F-node
20,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059711399363048,0.0078678131103515,0.009775161743164,0.009775161743164,0.0081062316894531,0.0081062316894531,0.0121593475341796,0.0121593475341796,0.0,0.0077486038208007,0.0096559524536132,0.0097513198852539,0.0,0.0110864639282226,0.0,0.0,0.496,1.36,1.696,1.696,116.552,0.0,0.0,4.264,0
21,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005965232849121,0.0081062316894531,0.00762939453125,0.00762939453125,0.0,0.0,0.0088214874267578,0.0088214874267578,0.0067710876464843,0.0077486038208007,0.0096559524536132,0.0097513198852539,0.0092029571533203,0.0110864639282226,0.0124454498291015,0.023508071899414,0.496,1.424,1.696,1.696,112.0,4.52,3.504,0.0,0
22,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060117244720458,0.0078678131103515,0.0064373016357421,0.0064373016357421,0.0,0.0,0.0126361846923828,0.0126361846923828,0.0064611434936523,0.0077486038208007,0.0096559524536132,0.0097513198852539,0.0091314315795898,0.0110864639282226,0.012063980102539,0.0292301177978515,0.496,1.36,1.696,1.696,112.0,8.264,7.736,0.0,0
23,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060892105102539,0.0083446502685546,0.0092983245849609,0.0092983245849609,0.0,0.0,0.0073909759521484,0.0073909759521484,0.0,0.0077486038208007,0.0096559524536132,0.0097513198852539,0.0,0.0110864639282226,0.0,0.0,0.496,1.36,1.696,1.696,112.0,0.0,0.0,0.0,0
24,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060268895543036,0.0083446502685546,0.0085830688476562,0.0085830688476562,0.0088214874267578,0.0088214874267578,0.0121593475341796,0.0121593475341796,0.0,0.0077486038208007,0.0096559524536132,0.0097513198852539,0.0,0.0110864639282226,0.0,0.0,0.496,1.36,1.696,1.696,113.256,0.0,0.0,1.192,0
25,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006190579922045,0.0085830688476562,0.0085830688476562,0.0085830688476562,0.00762939453125,0.00762939453125,0.0128746032714843,0.0128746032714843,0.0060081481933593,0.0077486038208007,0.0096559524536132,0.0097513198852539,0.0074386596679687,0.0110864639282226,0.0119209289550781,0.0229835510253906,0.496,1.36,1.696,1.696,113.256,3.744,4.232,1.192,0
26,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060790806860473,0.0081062316894531,0.0073909759521484,0.0073909759521484,0.0064373016357421,0.0064373016357421,0.0088214874267578,0.0088214874267578,0.0058650970458984,0.0077486038208007,0.0096559524536132,0.0097513198852539,0.0078916549682617,0.0110864639282226,0.0107526779174804,0.0273942947387695,0.496,1.36,1.696,1.696,113.256,7.488,8.464,1.192,0
27,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060999393463134,0.0083446502685546,0.0078678131103515,0.0078678131103515,0.0,0.0,0.0102519989013671,0.0102519989013671,0.0060399373372395,0.0,0.0,0.0,0.0084877014160156,0.0,0.0104904174804687,0.0267982482910156,0.496,1.36,0.0,0.0,112.0,12.008,11.968,0.0,0
28,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060367584228515,0.0081062316894531,0.0071287155151367,0.007033348083496,0.0,0.0,0.0112056732177734,0.0121593475341796,0.0066995620727539,0.0,0.0,0.0,0.0088214874267578,0.0,0.0109195709228515,0.0270843505859375,1.344,2.208,0.0,0.0,112.0,8.264,7.736,0.0,0
29,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060411234993246,0.0081062316894531,0.0073909759521484,0.0073909759521484,0.0070730845133463,0.0083446502685546,0.0083446502685546,0.0083446502685546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,117.192,0.0,0.0,25.0,0
