time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,f1_c_retransmissions_dl_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_dl_percentage,f1_c_retransmissions_ul_count,f1_u_packet_loss_dl_percentage,f1_u_packet_loss_ul_percentage,f1_u_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,f1_u_latency_mean_dl_ms,f1_u_latency_p90_dl_ms,f1_c_latency_mean_ul_ms,a1_latency_mean_ul_ms,f1_c_latency_p90_ul_ms,a1_latency_p90_ul_ms,a1_latency_mean_dl_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,f1_c_latency_mean_dl_ms,f1_c_latency_p90_dl_ms,a1_latency_p90_dl_ms,e2_du_retransmissions_ul_count,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,f1_u_throughput_ul_kbps,a1_throughput_dl_kbps,a1_throughput_ul_kbps,e2_du_packet_loss_ul_percentage,f1_u_throughput_dl_kbps,e2_du_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,F-node
29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0059807300567626,0.0078678131103515,0.0,0.0,0.0,0.0065122331891741,0.0,0.0083446502685546,0.0092302049909319,0.0066757202148437,0.0066757202148437,0.0,0.0,0.0189781188964843,0,0.496,1.392,0.0,0.0,112.0,25.152,27.344,0.0,0.0,0.0061988830566406,0.0061988830566406,0
30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0058786192936683,0.00762939453125,0.0095367431640625,0.0095367431640625,0.0,0.0065122331891741,0.0,0.0083446502685546,0.0092302049909319,0.0081062316894531,0.0081062316894531,0.0,0.0,0.0189781188964843,0,0.496,1.36,0.0,0.0,113.256,25.152,27.344,0.0,1.192,0.0064373016357421,0.0064373016357421,0
31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0061563926168007,0.0083446502685546,0.0068346659342447,0.0084877014160156,0.0,0.0065122331891741,0.0,0.0083446502685546,0.0092302049909319,0.0143051147460937,0.0143051147460937,0.0,0.0,0.0189781188964843,0,0.496,1.36,0.0,0.0,118.448,25.152,27.344,0.0,16.552,0.0061988830566406,0.0061988830566406,0
32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0060304480405589,0.0078678131103515,0.0052452087402343,0.0052452087402343,0.0,0.0065122331891741,0.0,0.0083446502685546,0.0092302049909319,0.0069141387939453,0.0069141387939453,0.0,0.0,0.0189781188964843,0,0.496,1.36,0.0,0.0,113.256,25.152,27.344,0.0,1.192,0.0073909759521484,0.0073909759521484,0
33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.00599535500131,0.008249282836914,0.0039267824940472,0.0045299530029296,0.0,0.0065122331891741,0.0,0.0083446502685546,0.0092302049909319,0.0102519989013671,0.0102519989013671,0.0,0.0,0.0189781188964843,0,0.496,1.424,0.0,0.0,137.96,25.152,27.344,0.0,2841.576,0.0073909759521484,0.0073909759521484,0
34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0075309430781881,0.0104904174804687,0.0038627075822386,0.0045299530029296,0.0,0.0065122331891741,0.0,0.0083446502685546,0.0092302049909319,0.0126361846923828,0.0126361846923828,0.0,0.0,0.0189781188964843,0,0.496,1.36,0.0,0.0,117.192,25.152,27.344,0.0,24621.792,0.0078678131103515,0.0078678131103515,0
35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0059807300567626,0.0078916549682617,0.0,0.0,0.0,0.0065122331891741,0.0,0.0083446502685546,0.0092302049909319,0.0140666961669921,0.0140666961669921,0.0,0.0,0.0189781188964843,0,0.496,1.424,0.0,0.0,112.0,25.152,27.344,0.0,0.0,0.0081062316894531,0.0081062316894531,0
36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0059497356414794,0.0078678131103515,0.0,0.0,0.0,0.0065122331891741,0.0,0.0083446502685546,0.0092302049909319,0.011444091796875,0.011444091796875,0.0,0.0,0.0189781188964843,0,0.496,1.392,0.0,0.0,112.0,25.152,27.344,0.0,0.0,0.0071525573730468,0.0071525573730468,0
37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0059699537742197,0.0081062316894531,0.0078678131103515,0.0078678131103515,0.0,0.0065122331891741,0.0,0.0083446502685546,0.0092302049909319,0.0107288360595703,0.0107288360595703,0.0,0.0,0.0189781188964843,0,0.496,1.36,0.0,0.0,113.256,25.152,27.344,0.0,1.192,0.0071525573730468,0.0071525573730468,0
38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0061526227353224,0.0083446502685546,0.0090599060058593,0.0090599060058593,0.0,0.0065122331891741,0.0,0.0083446502685546,0.0092302049909319,0.0123977661132812,0.0123977661132812,0.0,0.0,0.0189781188964843,0,0.496,1.36,0.0,0.0,113.256,25.152,27.344,0.0,1.192,0.0073909759521484,0.0073909759521484,0
