time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,f1_c_retransmissions_dl_count,f1_c_retransmissions_ul_count,f1_u_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_packet_loss_dl_percentage,f1_u_packet_loss_ul_percentage,f1_u_latency_p90_ul_ms,f1_u_latency_mean_ul_ms,f1_c_latency_mean_dl_ms,e2_du_latency_mean_ul_ms,e2_du_latency_p90_ul_ms,f1_c_latency_p90_dl_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,f1_u_latency_mean_dl_ms,f1_u_latency_p90_dl_ms,f1_c_latency_mean_ul_ms,a1_latency_mean_ul_ms,a1_latency_p90_ul_ms,f1_c_latency_p90_ul_ms,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,f1_u_throughput_ul_kbps,a1_throughput_dl_kbps,a1_throughput_ul_kbps,a1_latency_p90_dl_ms,a1_latency_mean_dl_ms,f1_u_throughput_dl_kbps,F-node
24,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0081062316894531,0.0060257033922185,0.0069141387939453,0.0081062316894531,0.0081062316894531,0.0094890594482421,0.0131130218505859,0.0131130218505859,0.0050067901611328,0.0050067901611328,0.0066757202148437,0.0066348484584263,0.0085830688476562,0.0088691711425781,0.496,1.424,6.096,5.76,113.256,25.152,27.344,0.0218391418457031,0.0105040413992745,1.192,0
25,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0085353851318359,0.00599922217759,0.0066280364990234,0.00762939453125,0.00762939453125,0.008392333984375,0.0154972076416015,0.0154972076416015,0.0047385692596435,0.0060558319091796,0.0085830688476562,0.0,0.0,0.0102519989013671,0.496,1.36,8.88,10.24,123.032,0.0,0.0,0.0,0.0,179.264,0
26,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0085830688476562,0.0063263543761602,0.0069618225097656,0.0071525573730468,0.0071525573730468,0.0108718872070312,0.0092983245849609,0.0092983245849609,0.0051718491774338,0.0057220458984375,0.0069737434387207,0.0,0.0,0.0091552734375,0.496,1.424,6.576,5.76,117.04,0.0,0.0,0.0,0.0,183.952,0
27,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0088214874267578,0.0062451433779588,0.0056266784667968,0.0073909759521484,0.0073909759521484,0.0063419342041015,0.0090599060058593,0.0090599060058593,0.0050635564894903,0.005960464477539,0.0063180923461914,0.0,0.0,0.0073909759521484,0.496,1.424,6.448,7.04,117.192,0.0,0.0,0.0,0.0,166.6,0
28,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0083446502685546,0.006377993531488,0.0072956085205078,0.0066757202148437,0.0082015991210937,0.009012222290039,0.0137090682983398,0.0145673751831054,0.0047683715820312,0.0055313110351562,0.0079274177551269,0.0066916147867838,0.0096321105957031,0.0104665756225585,1.344,2.272,6.096,5.76,117.192,12.784,11.24,0.0319480895996093,0.0126997629801432,17.2,0
29,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0083446502685546,0.006377993531488,0.0068187713623046,0.0071525573730468,0.0071525573730468,0.0075340270996093,0.0133514404296875,0.0133514404296875,0.0047683715820312,0.0055313110351562,0.006866455078125,0.0,0.0,0.0080585479736328,0.496,1.424,8.88,9.072,117.192,0.0,0.0,0.0,0.0,17.2,0
30,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0083446502685546,0.006377993531488,0.0080108642578125,0.00762939453125,0.00762939453125,0.0109672546386718,0.0064373016357421,0.0064373016357421,0.0047683715820312,0.0055313110351562,0.006866455078125,0.0,0.0,0.0082015991210937,0.496,1.36,6.576,6.928,117.192,0.0,0.0,0.0,0.0,17.2,0
31,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0083446502685546,0.0062119308395765,0.0056266784667968,0.0078678131103515,0.0078678131103515,0.0080108642578125,0.0152587890625,0.0152587890625,0.0064373016357421,0.0075817108154296,0.0067551930745442,0.0,0.0,0.0084638595581054,0.496,1.36,6.448,7.04,117.888,0.0,0.0,0.0,0.0,7.088,0
32,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0083446502685546,0.0061538088974074,0.0066757202148437,0.0083446502685546,0.0083446502685546,0.0085353851318359,0.0095367431640625,0.0095367431640625,0.0050067901611328,0.0050067901611328,0.0092983245849609,0.0065565109252929,0.0089645385742187,0.0122547149658203,0.496,1.424,6.096,5.76,113.256,7.488,8.464,0.0340700149536132,0.0124454498291015,1.192,0
33,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0081062316894531,0.0060007939884318,0.0062942504882812,0.0085830688476562,0.0085830688476562,0.0076770782470703,0.0131130218505859,0.0131130218505859,0.0069141387939453,0.0069141387939453,0.0068187713623046,0.0067949295043945,0.0089168548583984,0.0076770782470703,0.496,1.36,8.88,9.072,113.256,7.488,8.464,0.0286340713500976,0.0111103057861328,1.192,0
