time_seconds,a1_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,f1_c_retransmissions_ul_count,f1_c_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_packet_loss_dl_percentage,f1_u_packet_loss_ul_percentage,f1_u_retransmissions_dl_count,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,e2_du_latency_p90_ul_ms,f1_c_latency_mean_ul_ms,f1_u_latency_mean_dl_ms,f1_u_latency_p90_dl_ms,a1_latency_mean_ul_ms,f1_c_latency_p90_ul_ms,f1_c_latency_mean_dl_ms,a1_latency_p90_ul_ms,f1_c_latency_p90_dl_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,a1_latency_mean_dl_ms,a1_latency_p90_dl_ms,e2_du_throughput_dl_kbps,a1_retransmissions_ul_count,e2_du_throughput_ul_kbps,a1_retransmissions_dl_count,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,a1_throughput_dl_kbps,f1_u_throughput_ul_kbps,a1_throughput_ul_kbps,a1_packet_loss_dl_percentage,f1_u_throughput_dl_kbps,F-node
74,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0060844421386718,0.0081062316894531,0.0066757202148437,0.0066757202148437,0.0,0.0,0.0,0.005960464477539,0.0,0.0,0.008392333984375,0.0,0.0088214874267578,0.0088214874267578,0.009775161743164,0.0217914581298828,0.496,0.0,1.36,0.0,0.0,0.0,8.264,112.0,7.736,0.0,0.0,0
75,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0058460235595703,0.0081062316894531,0.0064373016357421,0.0064373016357421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0071525573730468,0.0071525573730468,0.0,0.0,0.496,0.0,1.36,0.0,0.0,0.0,0.0,112.0,0.0,0.0,0.0,0
76,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0059723854064941,0.0078678131103515,0.0071525573730468,0.0071525573730468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0081062316894531,0.0081062316894531,0.0,0.0,0.496,0.0,1.36,0.0,0.0,0.0,0.0,112.0,0.0,0.0,0.0,0
77,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0059913046917512,0.0081062316894531,0.0061988830566406,0.0061988830566406,0.0,0.0050067901611328,0.0069618225097656,0.0,0.0,0.0,0.0,0.0,0.0100135803222656,0.0100135803222656,0.0,0.0,0.496,0.0,1.36,0.0,0.0,0.0,0.0,117.192,0.0,0.0,40.944,0
78,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.006075522199792,0.0081062316894531,0.0073909759521484,0.0073909759521484,0.0,0.005960464477539,0.005960464477539,0.0057697296142578,0.0,0.0,0.0073432922363281,0.0,0.009775161743164,0.009775161743164,0.0107288360595703,0.0184535980224609,0.496,0.0,1.36,0.0,0.0,0.0,3.744,113.256,4.232,0.0,1.192,0
79,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0063139816810344,0.0085830688476562,0.0069141387939453,0.0069141387939453,0.0,0.0069141387939453,0.0084400177001953,0.0058174133300781,0.0,0.0,0.0073909759521484,0.0,0.0071525573730468,0.0071525573730468,0.0102043151855468,0.0193119049072265,0.496,0.0,1.424,0.0,0.0,0.0,3.744,122.872,4.232,0.0,14.856,0
80,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.00611473532284,0.0083446502685546,0.00762939453125,0.00762939453125,0.0,0.0057220458984375,0.0069618225097656,0.0056743621826171,0.0,0.0,0.0081300735473632,0.0,0.0154972076416015,0.0154972076416015,0.0100612640380859,0.0243186950683593,0.496,0.0,1.424,0.0,0.0,0.0,8.264,123.056,7.736,0.0,15.592,0
81,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.005936858677628,0.0078678131103515,0.0066757202148437,0.0066757202148437,0.0,0.0052452087402343,0.0065326690673828,0.0,0.0,0.0,0.0,0.0,0.0066757202148437,0.0066757202148437,0.0,0.0,0.496,0.0,1.424,0.0,0.0,0.0,0.0,125.624,0.0,0.0,29.752,0
82,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0060565436064307,0.0083446502685546,0.0064373016357421,0.0064373016357421,0.0128746032714843,0.0050862630208333,0.0055789947509765,0.0,0.0142097473144531,0.0140666961669921,0.0,0.0140666961669921,0.0073909759521484,0.0073909759521484,0.0,0.0,0.496,0.0,1.424,0.0,1.696,1.696,0.0,117.192,0.0,0.0,18.232,0
83,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0058691299969877,0.0078678131103515,0.0066757202148437,0.0066757202148437,0.0,0.0057220458984375,0.0057220458984375,0.0,0.0,0.0,0.0,0.0,0.005960464477539,0.005960464477539,0.0,0.0,0.496,0.0,1.424,0.0,0.0,0.0,0.0,115.8,0.0,0.0,3.512,0
84,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0061775321391091,0.0083446502685546,0.0092983245849609,0.0092983245849609,0.0,0.0067551930745442,0.0077724456787109,0.0055789947509765,0.0,0.0,0.0071525573730468,0.0,0.0116825103759765,0.0116825103759765,0.0102043151855468,0.0192165374755859,0.496,0.0,1.424,0.0,0.0,0.0,3.744,117.192,4.232,0.0,16.68,0
85,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0062236691465472,0.0083446502685546,0.0071525573730468,0.0071525573730468,0.0,0.004887580871582,0.0061750411987304,0.0056266784667968,0.0,0.0,0.0072956085205078,0.0,0.0109672546386718,0.0109672546386718,0.0102043151855468,0.0192165374755859,0.496,0.0,1.424,0.0,0.0,0.0,3.744,115.52,4.232,0.0,99.456,0
86,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0059699067975034,0.0081062316894531,0.0073909759521484,0.0073909759521484,0.0,0.0050365924835205,0.0064611434936523,0.0058412551879882,0.0,0.0,0.0085830688476562,0.0,0.0109672546386718,0.0109672546386718,0.0099658966064453,0.0220537185668945,0.496,0.0,1.424,0.0,0.0,0.0,8.264,118.016,7.736,0.0,53.872,0
87,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.006039543907241,0.0081062316894531,0.0088214874267578,0.0088214874267578,0.0,0.0052213668823242,0.006723403930664,0.0,0.0,0.0,0.0,0.0,0.0071525573730468,0.0071525573730468,0.0,0.0,0.496,0.0,1.424,0.0,0.0,0.0,0.0,116.48,0.0,0.0,44.896,0
88,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0060319900512695,0.0081062316894531,0.0069141387939453,0.0069141387939453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0095367431640625,0.0095367431640625,0.0,0.0,0.496,0.0,1.424,0.0,0.0,0.0,0.0,112.0,0.0,0.0,0.0,0
89,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0061068204369875,0.0083446502685546,0.0069141387939453,0.0069141387939453,0.0,0.007033348083496,0.0075101852416992,0.0,0.0,0.0,0.0,0.0,0.0112056732177734,0.0112056732177734,0.0,0.0,0.496,0.0,1.36,0.0,0.0,0.0,0.0,120.992,0.0,0.0,14.576,0
90,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.006089756144813,0.0081062316894531,0.0069141387939453,0.0071048736572265,0.0,0.0056028366088867,0.0072956085205078,0.006866455078125,0.0,0.0,0.0084400177001953,0.0,0.0089406967163085,0.0111341476440429,0.0115394592285156,0.0218391418457031,1.344,0.0,2.272,0.0,0.0,0.0,3.744,114.392,4.232,0.0,32.896,0
91,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.006031634202644,0.0081062316894531,0.0069141387939453,0.0069141387939453,0.0,0.0045299530029296,0.0045299530029296,0.0057220458984375,0.0,0.0,0.0071525573730468,0.0,0.0145435333251953,0.0145435333251953,0.0108718872070312,0.0211238861083984,0.496,0.0,1.424,0.0,0.0,0.0,3.744,117.192,4.232,0.0,7.736,0
92,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.005960464477539,0.00762939453125,0.0061988830566406,0.0061988830566406,0.0,0.0061511993408203,0.0078201293945312,0.006270408630371,0.0,0.0,0.008702278137207,0.0,0.0112056732177734,0.0112056732177734,0.0099420547485351,0.0234842300415039,0.496,0.0,1.424,0.0,0.0,0.0,8.264,115.52,7.736,0.0,17.352,0
93,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0058240558377545,0.00762939453125,0.00762939453125,0.00762939453125,0.0,0.0042915344238281,0.0042915344238281,0.0,0.0,0.0,0.0,0.0,0.0081062316894531,0.0081062316894531,0.0,0.0,0.496,0.0,1.36,0.0,0.0,0.0,0.0,113.256,0.0,0.0,1.192,0
94,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0060685162473781,0.0082969665527343,0.0102519989013671,0.0102519989013671,0.0,0.0054306454128689,0.0065803527832031,0.0,0.0,0.0,0.0,0.0,0.0102519989013671,0.0102519989013671,0.0,0.0,0.496,0.0,1.424,0.0,0.0,0.0,0.0,119.064,0.0,0.0,36.968,0
95,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0060707775514517,0.0081062316894531,0.0064373016357421,0.0064373016357421,0.0,0.0042418638865153,0.0054836273193359,0.0,0.0,0.0,0.0,0.0,0.0107288360595703,0.0107288360595703,0.0,0.0,0.496,0.0,1.424,0.0,0.0,0.0,0.0,117.192,0.0,0.0,445.232,0
96,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.005960464477539,0.0081062316894531,0.0083446502685546,0.0083446502685546,0.0,0.0047683715820312,0.0056743621826171,0.0060081481933593,0.0,0.0,0.0076770782470703,0.0,0.011444091796875,0.011444091796875,0.0103950500488281,0.0195980072021484,0.496,0.0,1.424,0.0,0.0,0.0,3.744,114.392,4.232,0.0,95.688,0
97,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0058560822140518,0.00762939453125,0.0092983245849609,0.0092983245849609,0.0,0.0052792685372488,0.0061988830566406,0.0057697296142578,0.0,0.0,0.0074386596679687,0.0,0.0083446502685546,0.0083446502685546,0.0110149383544921,0.0209331512451171,0.496,0.0,1.424,0.0,0.0,0.0,3.744,117.192,4.232,0.0,33.416,0
98,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0060233310680484,0.0078678131103515,0.0121593475341796,0.0121593475341796,0.0,0.0060796737670898,0.0072240829467773,0.006270408630371,0.0,0.0,0.0090837478637695,0.0,0.0083446502685546,0.0083446502685546,0.0107526779174804,0.0272035598754882,0.496,0.0,1.424,0.0,0.0,0.0,8.264,117.192,7.736,0.0,16.48,0
