time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,f1_c_retransmissions_dl_count,f1_c_retransmissions_ul_count,f1_u_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_packet_loss_ul_percentage,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,e2_du_latency_p90_ul_ms,a1_latency_mean_ul_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,f1_c_latency_mean_ul_ms,f1_c_latency_p90_ul_ms,a1_latency_p90_ul_ms,f1_c_latency_mean_dl_ms,f1_c_latency_p90_dl_ms,a1_latency_mean_dl_ms,a1_latency_p90_dl_ms,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_throughput_ul_kbps,f1_c_throughput_dl_kbps,a1_throughput_dl_kbps,a1_throughput_ul_kbps,f1_u_packet_loss_dl_percentage,f1_u_throughput_ul_kbps,f1_u_latency_mean_dl_ms,f1_u_latency_p90_dl_ms,f1_u_throughput_dl_kbps,F-node
31,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061643123626708,0.0081062316894531,0.0069141387939453,0.0069141387939453,0.0,0.0092983245849609,0.0092983245849609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,0.0,112.696,0.0052452087402343,0.0052452087402343,1.192,0
32,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060577297685158,0.0083446502685546,0.0066757202148437,0.0066757202148437,0.005960464477539,0.0071525573730468,0.0071525573730468,0.0,0.0,0.0076770782470703,0.0,0.0,0.0108718872070312,0.0211715698242187,0.496,1.36,0.0,0.0,3.744,4.232,0.0,113.256,0.005960464477539,0.005960464477539,1.192,0
33,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006089756144813,0.0081062316894531,0.00762939453125,0.00762939453125,0.0061988830566406,0.011444091796875,0.011444091796875,0.0,0.0,0.0086069107055664,0.0,0.0,0.0105619430541992,0.027012825012207,0.496,1.36,0.0,0.0,7.488,8.464,0.0,113.256,0.0088214874267578,0.0088214874267578,1.192,0
34,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059901185296661,0.0081062316894531,0.0104904174804687,0.0104904174804687,0.0061511993408203,0.011444091796875,0.011444091796875,0.0,0.0,0.008249282836914,0.0,0.0,0.0112215677897135,0.0270843505859375,0.496,1.36,0.0,0.0,12.008,11.968,0.0,117.192,0.0055631001790364,0.0077247619628906,29.176,0
35,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062768052263957,0.0083446502685546,0.0116825103759765,0.0116825103759765,0.0066757202148437,0.0069141387939453,0.0069141387939453,0.0,0.0,0.0091552734374999,0.0,0.0,0.0106096267700195,0.0263452529907226,0.496,1.36,0.0,0.0,8.264,7.736,0.0,137.96,0.0039485824288353,0.0045299530029296,4546.616,0
36,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059474166946031,0.0078678131103515,0.0095367431640625,0.0095367431640625,0.0,0.0071525573730468,0.0071525573730468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.424,0.0,0.0,0.0,0.0,0.0,117.192,0.0043897067799287,0.0065803527832031,163.768,0
37,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062071861912362,0.0083446502685546,0.0078678131103515,0.0078678131103515,0.0,0.0090599060058593,0.0090599060058593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.392,0.0,0.0,0.0,0.0,0.0,117.192,0.0041077070147077,0.0051736831665039,2026.768,0
38,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062732413263604,0.0083208084106445,0.0081062316894531,0.0081062316894531,0.006103515625,0.0128746032714843,0.0128746032714843,0.0,0.0,0.00762939453125,0.0,0.0,0.011301040649414,0.0216960906982421,0.496,1.424,0.0,0.0,3.744,4.232,0.0,118.448,0.0046599995006214,0.005960464477539,188.0,0
39,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0063027485762492,0.0083446502685546,0.0102519989013671,0.0102519989013671,0.0060081481933593,0.0061988830566406,0.0061988830566406,0.0,0.0,0.0076770782470703,0.0,0.0,0.0107765197753906,0.01983642578125,0.496,1.424,0.0,0.0,3.744,4.232,0.0,118.448,0.0039711739253071,0.0047683715820312,5232.024,0
40,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061800914444946,0.0085353851318359,0.0081062316894531,0.0081062316894531,0.0063419342041015,0.0116825103759765,0.0116825103759765,0.0,0.0,0.0081062316894531,0.0,0.0,0.0103950500488281,0.0256061553955078,0.496,1.424,0.0,0.0,12.008,11.968,0.0,120.712,0.0043487548828125,0.0054836273193359,478.432,0
