time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,f1_c_retransmissions_dl_count,f1_c_retransmissions_ul_count,f1_u_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_packet_loss_ul_percentage,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,e2_du_latency_p90_ul_ms,e2_du_latency_mean_dl_ms,a1_latency_mean_ul_ms,e2_du_latency_p90_dl_ms,a1_latency_p90_ul_ms,a1_latency_mean_dl_ms,f1_c_latency_mean_ul_ms,f1_c_latency_mean_dl_ms,f1_c_latency_p90_ul_ms,f1_c_latency_p90_dl_ms,f1_u_latency_mean_dl_ms,a1_latency_p90_dl_ms,f1_u_latency_p90_dl_ms,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,f1_u_throughput_ul_kbps,a1_throughput_dl_kbps,a1_throughput_ul_kbps,f1_u_packet_loss_dl_percentage,f1_u_throughput_dl_kbps,F-node
40,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00604705430975,0.0083446502685546,0.00762939453125,0.00762939453125,0.009775161743164,0.0062465667724609,0.009775161743164,0.0084877014160156,0.0112533569335937,0.0,0.0,0.0,0.0,0.0052452087402343,0.0284671783447265,0.0052452087402343,0.496,1.36,0.0,0.0,113.256,12.008,11.968,0.0,1.192,0
41,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061268853669119,0.0081062316894531,0.0071525573730468,0.0071525573730468,0.0092983245849609,0.006103515625,0.0092983245849609,0.0077247619628906,0.0115394592285156,0.0,0.0,0.0,0.0,0.0077486038208007,0.021982192993164,0.0089883804321289,0.496,1.36,0.0,0.0,119.776,3.744,4.232,0.0,8.24,0
42,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060242001372988,0.0081062316894531,0.0064373016357421,0.0064373016357421,0.0123977661132812,0.0068902969360351,0.0123977661132812,0.0088453292846679,0.011444091796875,0.0,0.0,0.0,0.0,0.0059008598327636,0.0271558761596679,0.0072479248046875,0.496,1.424,0.0,0.0,120.224,8.264,7.736,0.0,20.24,0
43,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061249732971191,0.0085830688476562,0.0064373016357421,0.0064373016357421,0.0085830688476562,0.0,0.0085830688476562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,112.0,0.0,0.0,0.0,0.0,0
44,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059163570404052,0.0078678131103515,0.0078678131103515,0.0078678131103515,0.0066757202148437,0.0064373016357421,0.0066757202148437,0.0083446502685546,0.0117778778076171,0.0,0.0,0.0,0.0,0.0,0.0210762023925781,0.0,0.496,1.36,0.0,0.0,112.0,3.744,4.232,0.0,0.0,0
45,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060351926888992,0.0081062316894531,0.0066757202148437,0.0066757202148437,0.011444091796875,0.0065326690673828,0.011444091796875,0.0080585479736328,0.0110626220703125,0.0,0.0,0.0,0.0,0.0047683715820312,0.0208377838134765,0.0047683715820312,0.496,1.36,0.0,0.0,113.256,3.744,4.232,0.0,1.192,0
46,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061656705182583,0.0083446502685546,0.0071525573730468,0.0071525573730468,0.0116825103759765,0.006692750113351,0.0116825103759765,0.0087499618530273,0.0116676092147827,0.0,0.0,0.0,0.0,0.0083446502685546,0.0292062759399414,0.0083446502685546,0.496,1.36,0.0,0.0,113.256,12.536,11.44,0.0,1.192,0
47,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005960464477539,0.0078678131103515,0.0073909759521484,0.0073909759521484,0.0150203704833984,0.0061511993408203,0.0150203704833984,0.0077247619628906,0.0121593475341796,0.0,0.0,0.0,0.0,0.0090599060058593,0.023508071899414,0.0090599060058593,0.496,1.36,0.0,0.0,113.256,3.744,4.232,0.0,1.192,0
48,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060057640075683,0.0078678131103515,0.0066757202148437,0.0066757202148437,0.0150203704833984,0.0065326690673828,0.0150203704833984,0.0079631805419921,0.0114202499389648,0.0,0.0,0.0,0.0,0.0,0.0264883041381835,0.0,0.496,1.36,0.0,0.0,112.0,8.264,7.736,0.0,0.0,0
49,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0058484077453613,0.00762939453125,0.0071525573730468,0.0071525573730468,0.0088214874267578,0.0,0.0088214874267578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,112.0,0.0,0.0,0.0,0.0,0
